	Score	0.95 MoE	P-Value	Q-Value
IPA_DBP_UP	0.4551375248695227			
KEGG_TYROSINE_METABOLISM	0.4348507996174498			
GO_ALDEHYDE_DEHYDROGENASE_NAD_P_PLUS_ACTIVITY	0.43309496522824714			
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	0.4294797637090058			
GO_SECONDARY_METABOLIC_PROCESS	0.4227948197060326			
KEGG_HISTIDINE_METABOLISM	0.42147615464221755			
LE_EGR2_TARGETS_DN	0.4174741443747035			
IGARASHI_ATF4_TARGETS_DN	0.4170569008097155			
GSE44649_WT_VS_MIR155_KO_NAIVE_CD8_TCELL_UP	0.4152003839524804			
HALLMARK_ESTROGEN_RESPONSE_LATE	0.4150361555511935			
GO_3_CHLOROALLYL_ALDEHYDE_DEHYDROGENASE_ACTIVITY	0.4133321339616297			
SABATES_COLORECTAL_ADENOMA_UP	0.41269303766742			
LANDIS_ERBB2_BREAST_TUMORS_324_UP	0.411909147077113			
ENGELMANN_CANCER_PROGENITORS_DN	0.4118475937523472			
GO_SKELETAL_MUSCLE_SATELLITE_CELL_ACTIVATION	0.4095675685251308			
GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORS_NAD_OR_NADP_AS_ACCEPTOR	0.40948546071543485			
KEGG_PHENYLALANINE_METABOLISM	0.40920306146723706			
IPA_NFE2L2_DN	0.4090854422793301			
GO_LATERAL_PLASMA_MEMBRANE	0.4089260137461463			
GO_REGULATION_OF_MELANIN_BIOSYNTHETIC_PROCESS	0.4085773783539742			
HALLMARK_XENOBIOTIC_METABOLISM	0.4069574514857153			
GO_POSITIVE_REGULATION_OF_SECONDARY_METABOLITE_BIOSYNTHETIC_PROCESS	0.4069106241024379			
NFE2L2.V2	0.4050206788249928			
GO_ORGANIC_HYDROXY_COMPOUND_METABOLIC_PROCESS	0.40360357418970455			
MCBRYAN_PUBERTAL_BREAST_5_6WK_UP	0.4026342645744017			
LI_AMPLIFIED_IN_LUNG_CANCER	0.4023392835778193			
GO_RETINAL_METABOLIC_PROCESS	0.4019628955898777			
GO_FLAVIN_CONTAINING_COMPOUND_METABOLIC_PROCESS	0.4018120113061896			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.4017430874229398			
REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS	0.401403151393027			
GO_AMMONIUM_ION_METABOLIC_PROCESS	0.40114065057833986			
ESC_J1_UP_LATE.V1_UP	0.4008474760632156			
SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP	0.4006408676815574			
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.4005263104577022			
GO_BASAL_PLASMA_MEMBRANE	0.4003406513432404			
GO_PRIMARY_ALCOHOL_METABOLIC_PROCESS	0.399953038500815			
REACTOME_SPHINGOLIPID_METABOLISM	0.39916902146814587			
CROMER_METASTASIS_DN	0.39853486350951445			
BRUECKNER_TARGETS_OF_MIRLET7A3_UP	0.39728278485441215			
GO_PROSTANOID_METABOLIC_PROCESS	0.3972051126271489			
REACTOME_GRB7_EVENTS_IN_ERBB2_SIGNALING	0.397028407818408			
MCBRYAN_PUBERTAL_TGFB1_TARGETS_DN	0.39693047224943373			
GSE20715_WT_VS_TLR4_KO_48H_OZONE_LUNG_DN	0.39659638236260875			
GO_MONOCARBOXYLIC_ACID_BINDING	0.396239302314944			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3	0.396201827423098			
GO_ENDOSOME_ORGANIZATION	0.3958571522019756			
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_UP	0.3957852004184995			
NELSON_RESPONSE_TO_ANDROGEN_UP	0.3957332727880705			
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.39559278539694104			
LTE2_UP.V1_UP	0.3949921631228397			
MOREAUX_B_LYMPHOCYTE_MATURATION_BY_TACI_UP	0.3948052316646973			
FARMER_BREAST_CANCER_APOCRINE_VS_BASAL	0.3947394516221174			
AKT_UP.V1_UP	0.3945676357988842			
JECHLINGER_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_DN	0.3938163200911676			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.39374689305139743			
GO_NAIL_DEVELOPMENT	0.3937390339129978			
GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_CH_OH_GROUP_OF_DONORS	0.3935756307663153			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.3935220168524118			
GO_BASAL_PART_OF_CELL	0.39333022191806755			
GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORS	0.39262624865902845			
GO_CELLULAR_MODIFIED_AMINO_ACID_METABOLIC_PROCESS	0.39251081887903966			
BIOCARTA_ERBB3_PATHWAY	0.39208638525706846			
WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2_UP	0.3918691889741353			
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	0.39163257283515446			
STEIN_ESRRA_TARGETS	0.3912651022857402			
GO_NEGATIVE_REGULATION_OF_KERATINOCYTE_PROLIFERATION	0.3912057092155917			
BAE_BRCA1_TARGETS_UP	0.3903622971421269			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.39033344234535966			
GO_DIOL_METABOLIC_PROCESS	0.390170547778598			
NUYTTEN_NIPP1_TARGETS_DN	0.39000132275034166			
ERBB2_UP.V1_UP	0.38976188606487233			
GO_CELL_DIFFERENTIATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT	0.3896479603603401			
IPA_MAFF_UP	0.3893513528103674			
GO_APICAL_PART_OF_CELL	0.38925866679279664			
JI_METASTASIS_REPRESSED_BY_STK11	0.3890733275544956			
COULOUARN_TEMPORAL_TGFB1_SIGNATURE_DN	0.38898778443412807			
GO_CELLULAR_HORMONE_METABOLIC_PROCESS	0.3888981380094815			
IPA_NFE2L3_UP	0.38885626997553585			
GO_ORGANIC_HYDROXY_COMPOUND_CATABOLIC_PROCESS	0.3886755436899256			
GO_CELLULAR_ALDEHYDE_METABOLIC_PROCESS	0.38866373102259555			
FARMER_BREAST_CANCER_BASAL_VS_LULMINAL	0.3884416879897513			
MEK_UP.V1_UP	0.3882702153153627			
GO_CYTOCHROME_B5_REDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H	0.3873547088556892			
SMID_BREAST_CANCER_ERBB2_UP	0.3870809311560632			
IPA_SPDEF_UP	0.38707176089985074			
NKX2_3_TARGET_GENES	0.3867708969847997			
GO_REGULATION_OF_PERK_MEDIATED_UNFOLDED_PROTEIN_RESPONSE	0.38637040312058435			
STEIN_ESRRA_TARGETS_UP	0.38628399436127786			
GO_MONOCARBOXYLIC_ACID_TRANSPORT	0.38617453177619177			
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS	0.38613990397069226			
SINGH_NFE2L2_TARGETS	0.3861230912855316			
WANG_BARRETTS_ESOPHAGUS_AND_ESOPHAGUS_CANCER_DN	0.38610893247967654			
KOHOUTEK_CCNT1_TARGETS	0.38588495764044073			
GU_PDEF_TARGETS_DN	0.38582593342775034			
GO_REGULATION_OF_RECEPTOR_CATABOLIC_PROCESS	0.3857829747004095			
BHAT_ESR1_TARGETS_VIA_AKT1_UP	0.385740869785363			
GO_MYOTUBE_DIFFERENTIATION_INVOLVED_IN_SKELETAL_MUSCLE_REGENERATION	0.38542695905601954			
SMID_BREAST_CANCER_RELAPSE_IN_PLEURA_DN	0.3851534718167426			
GO_ESTABLISHMENT_OF_PIGMENT_GRANULE_LOCALIZATION	0.3849541476237106			
FOXD2_TARGET_GENES	0.3848550768271777			
CROMER_TUMORIGENESIS_DN	0.384778257437688			
GO_CELLULAR_PIGMENTATION	0.3846917735113113			
IPA_NFE2L3_DN	0.3842938096486861			
GO_ALCOHOL_DEHYDROGENASE_NADPPLUS_ACTIVITY	0.38407623350893205			
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	0.3838500714810497			
GO_MONOOXYGENASE_ACTIVITY	0.38384834343096547			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.3835903703546294			
GO_NEGATIVE_REGULATION_OF_STEM_CELL_PROLIFERATION	0.3835893319951108			
GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_PDC_UP	0.3835328719439356			
MCBRYAN_PUBERTAL_BREAST_3_4WK_UP	0.3833642458091391			
GO_EPITHELIUM_DEVELOPMENT	0.3831901804164163			
REACTOME_RNF_MUTANTS_SHOW_ENHANCED_WNT_SIGNALING_AND_PROLIFERATION	0.3831702923626151			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.3831157374924945			
GO_PIGMENT_GRANULE_LOCALIZATION	0.38305481967253985			
BORLAK_LIVER_CANCER_EGF_UP	0.3830547850833932			
GRAESSMANN_RESPONSE_TO_MC_AND_DOXORUBICIN_UP	0.38304921373852807			
GO_REGULATION_OF_EPIDERMAL_CELL_DIFFERENTIATION	0.38298948603887784			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.38283046811629734			
IPA_BACH1_DN	0.3827916611855182			
GO_INTRACELLULAR_STEROL_TRANSPORT	0.38264937866099896			
PID_ERBB_NETWORK_PATHWAY	0.382596570628421			
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	0.38247214521306583			
RB_P107_DN.V1_DN	0.3824362365128			
WANG_BARRETTS_ESOPHAGUS_DN	0.3822821700155897			
SESTO_RESPONSE_TO_UV_C2	0.382082443136762			
GO_REGULATION_OF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_RECEPTOR_CATABOLIC_PROCESS	0.3820796866960372			
WAMUNYOKOLI_OVARIAN_CANCER_LMP_UP	0.3817961968641978			
JAEGER_METASTASIS_DN	0.3817790578609525			
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_DN	0.38173406916844826			
PASQUALUCCI_LYMPHOMA_BY_GC_STAGE_UP	0.3817318792616784			
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	0.3817206967737488			
MOHANKUMAR_HOXA1_TARGETS_DN	0.3817021596349783			
GSE27786_CD8_TCELL_VS_ERYTHROBLAST_DN	0.381668994897705			
BOSCO_EPITHELIAL_DIFFERENTIATION_MODULE	0.38165132688795556			
GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN	0.38152403522985306			
LANDIS_ERBB2_BREAST_TUMORS_65_UP	0.3815118624235016			
GO_APICAL_JUNCTION_COMPLEX	0.381506646955507			
RICKMAN_HEAD_AND_NECK_CANCER_E	0.3812443389755729			
HNF4_Q6	0.3811604426712662			
GSE20715_0H_VS_6H_OZONE_TLR4_KO_LUNG_DN	0.38098750711551427			
GSE19888_ADENOSINE_A3R_ACT_VS_TCELL_MEMBRANES_ACT_AND_A3R_INH_PRETREAT_IN_MAST_CELL_DN	0.3809144689939654			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_1	0.38081880574460875			
PID_FAK_PATHWAY	0.3806874699408975			
HERNANDEZ_MITOTIC_ARREST_BY_DOCETAXEL_2_DN	0.38058794843563976			
GO_COSTAMERE	0.38055156732529277			
ROY_WOUND_BLOOD_VESSEL_DN	0.3804025640041535			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.3803263106962573			
GO_DESMOSOME	0.3802880457971903			
GO_EPITHELIAL_CELL_DIFFERENTIATION	0.3801862379059768			
GO_CELL_CELL_JUNCTION_ASSEMBLY	0.38017709056104393			
GO_METANEPHRIC_NEPHRON_EPITHELIUM_DEVELOPMENT	0.38013739311213296			
GO_UNSATURATED_FATTY_ACID_METABOLIC_PROCESS	0.3800363480662951			
GO_REGULATION_OF_EPIDERMIS_DEVELOPMENT	0.37990166159271693			
KANG_FLUOROURACIL_RESISTANCE_DN	0.37975134993924825			
DELPUECH_FOXO3_TARGETS_UP	0.3797425737636161			
REACTOME_SIGNALING_BY_RETINOIC_ACID	0.3796333326414365			
REACTOME_SYNTHESIS_OF_15_EICOSATETRAENOIC_ACID_DERIVATIVES	0.37948465774246215			
GO_APICAL_PLASMA_MEMBRANE	0.3792267328455601			
DURCHDEWALD_SKIN_CARCINOGENESIS_DN	0.37914863005057825			
GO_ISOPRENOID_METABOLIC_PROCESS	0.37899576088547066			
GO_CELL_JUNCTION_ORGANIZATION	0.3789695857857491			
GO_HORMONE_METABOLIC_PROCESS	0.3788170469316729			
LAMB_CCND1_TARGETS	0.3787950256476913			
GO_ADHERENS_JUNCTION	0.3784273887029099			
GO_RETINOL_METABOLIC_PROCESS	0.37842201280835125			
GSE19888_CTRL_VS_T_CELL_MEMBRANES_ACT_MAST_CELL_DN	0.3783289341464625			
GO_CELL_CELL_JUNCTION	0.37823547989800294			
PID_NECTIN_PATHWAY	0.3781682221788447			
PASINI_SUZ12_TARGETS_DN	0.37816754974258293			
MARTINEZ_TP53_TARGETS_DN	0.3781440433397304			
GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP	0.3777606478382814			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.3776053690977809			
GO_TERPENOID_METABOLIC_PROCESS	0.3774793505913062			
DAZARD_UV_RESPONSE_CLUSTER_G24	0.3772923470645813			
GO_CELL_JUNCTION_ASSEMBLY	0.3772260779236107			
VECCHI_GASTRIC_CANCER_EARLY_UP	0.3772188715607214			
GO_REGULATION_OF_INCLUSION_BODY_ASSEMBLY	0.3769455522040564			
KANG_FLUOROURACIL_RESISTANCE_UP	0.37688457127976116			
BHAT_ESR1_TARGETS_NOT_VIA_AKT1_UP	0.3768687717418575			
GO_REGULATION_OF_SECONDARY_METABOLIC_PROCESS	0.37669561713651134			
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_UP	0.37665399243602665			
REACTOME_SIGNALING_BY_WNT_IN_CANCER	0.3766295432591317			
FARMER_BREAST_CANCER_APOCRINE_VS_LUMINAL	0.37650155549508313			
HUPER_BREAST_BASAL_VS_LUMINAL_UP	0.37647921336103407			
GO_CADHERIN_BINDING	0.37647180932383056			
GO_KERATINOCYTE_PROLIFERATION	0.37627232904902624			
GO_REGULATION_OF_KERATINOCYTE_PROLIFERATION	0.3762235248871759			
GO_EXOCRINE_SYSTEM_DEVELOPMENT	0.3761794882814707			
YAMAZAKI_TCEB3_TARGETS_UP	0.37611796409223225			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.37609958596385784			
SIX4_TARGET_GENES	0.37599130150356846			
GO_ALDO_KETO_REDUCTASE_NADP_ACTIVITY	0.375963766904302			
GO_XENOBIOTIC_TRANSPORT	0.37589008724544865			
SESTO_RESPONSE_TO_UV_C0	0.37587004796380946			
REACTOME_EGR2_AND_SOX10_MEDIATED_INITIATION_OF_SCHWANN_CELL_MYELINATION	0.37586544005206246			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.37586357721171326			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.3758410279447514			
GO_PROTEIN_O_LINKED_MANNOSYLATION	0.3758024156202663			
GO_NEGATIVE_REGULATION_OF_ANOIKIS	0.37577317123437265			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.37576242398328147			
CREIGHTON_AKT1_SIGNALING_VIA_MTOR_UP	0.37569854794833163			
GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN_NAD_P_H_AS_ONE_DONOR_AND_INCORPORATION_OF_ONE_ATOM_OF_OXYGEN	0.3755809910816115			
GSE20715_0H_VS_48H_OZONE_TLR4_KO_LUNG_DN	0.3755600175077475			
YANG_BREAST_CANCER_ESR1_UP	0.3752786420116207			
DORN_ADENOVIRUS_INFECTION_32HR_DN	0.3752710635377827			
CHIBA_RESPONSE_TO_TSA_DN	0.37525555474353317			
GO_ICOSANOID_METABOLIC_PROCESS	0.3752230849420267			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_DN	0.375061009126214			
GO_RECEPTOR_CATABOLIC_PROCESS	0.3749496169532096			
WANG_ESOPHAGUS_CANCER_VS_NORMAL_DN	0.37483891211769926			
GO_ENSHEATHMENT_OF_NEURONS	0.37476718710648627			
GO_PIGMENT_GRANULE	0.3747631041981333			
TOMIDA_METASTASIS_DN	0.37447358419378396			
GO_ZONULA_ADHERENS	0.3743073779145415			
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX6_DN	0.3740767284065156			
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM	0.37399790795739696			
GSE42021_TREG_VS_TCONV_PLN_DN	0.3739182391693065			
GO_MEMBRANE_LIPID_METABOLIC_PROCESS	0.3738680519214256			
KIM_WT1_TARGETS_12HR_UP	0.3738011957942244			
GO_RETINOL_DEHYDROGENASE_ACTIVITY	0.37378740734557125			
GO_REGULATION_OF_INTRACELLULAR_LIPID_TRANSPORT	0.37375467158103964			
WOOD_EBV_EBNA1_TARGETS_UP	0.37364056463624157			
GO_XENOBIOTIC_METABOLIC_PROCESS	0.3735850982221377			
LIU_CMYB_TARGETS_UP	0.37355180587620357			
LEE_LIVER_CANCER_MYC_TGFA_UP	0.37351607415079957			
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_24H_UP	0.3734552425798735			
GO_MULTIVESICULAR_BODY_SORTING_PATHWAY	0.37333384656509294			
SESTO_RESPONSE_TO_UV_C8	0.37333039305172017			
RB_P130_DN.V1_DN	0.37332647818460274			
BCAT.100_UP.V1_UP	0.3732869502339605			
GO_RECEPTOR_MEDIATED_ENDOCYTOSIS_INVOLVED_IN_CHOLESTEROL_TRANSPORT	0.3731580488217554			
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS	0.37306282652830686			
GO_VACUOLAR_TRANSPORT	0.37304245614361586			
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.37290818413366056			
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_DN	0.37284968809177016			
GO_LYSOSOMAL_TRANSPORT	0.37283901501023436			
GO_FATTY_ACID_DERIVATIVE_METABOLIC_PROCESS	0.3728207031830694			
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP	0.3727270076094386			
GSE13522_CTRL_VS_T_CRUZI_Y_STRAIN_INF_SKIN_129_MOUSE_UP	0.37270066021507786			
GO_MOLTING_CYCLE_PROCESS	0.3726843355971264			
PROVENZANI_METASTASIS_DN	0.3723518252646514			
HALLMARK_ANDROGEN_RESPONSE	0.3723041058152211			
CHYLA_CBFA2T3_TARGETS_DN	0.3722501864518435			
GO_REGULATION_OF_ANOIKIS	0.3721560482208429			
AMIT_SERUM_RESPONSE_240_MCF10A	0.3720481609063294			
ENK_UV_RESPONSE_EPIDERMIS_DN	0.3718080281458723			
REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2	0.37169336178536305			
BOYLAN_MULTIPLE_MYELOMA_C_DN	0.3716348553932836			
REACTOME_SYNTHESIS_OF_12_EICOSATETRAENOIC_ACID_DERIVATIVES	0.3714779247593844			
TIEN_INTESTINE_PROBIOTICS_24HR_DN	0.37126009131182713			
MCBRYAN_PUBERTAL_TGFB1_TARGETS_UP	0.37118379488723835			
LEE_LIVER_CANCER_ACOX1_UP	0.37109961885953774			
HOFMANN_MYELODYSPLASTIC_SYNDROM_LOW_RISK_DN	0.37109369080985555			
GO_PHOSPHATIDYLCHOLINE_BIOSYNTHETIC_PROCESS	0.3709958279929665			
GO_EPITHELIAL_TUBE_BRANCHING_INVOLVED_IN_LUNG_MORPHOGENESIS	0.37064871686832784			
GO_CALCIUM_DEPENDENT_PROTEIN_BINDING	0.3706300192407249			
BURTON_ADIPOGENESIS_5	0.37036767671698967			
GO_REGULATION_OF_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE	0.37007060743965287			
RIGGINS_TAMOXIFEN_RESISTANCE_DN	0.36982692231321374			
GO_CYTIDYLYLTRANSFERASE_ACTIVITY	0.3697699869676635			
WANG_LMO4_TARGETS_UP	0.36972059759301884			
DITTMER_PTHLH_TARGETS_UP	0.36959252276656623			
AHRR_TARGET_GENES	0.3695858340576141			
SHEPARD_BMYB_MORPHOLINO_UP	0.3695096439366816			
GO_ENTRY_OF_BACTERIUM_INTO_HOST_CELL	0.3693922996597722			
GO_REGULATION_OF_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE	0.3693777802120259			
