	Score	0.95 MoE	P-Value	Q-Value
IPA_HOXB1_UP	0.391552327767133			
REACTOME_MINERALOCORTICOID_BIOSYNTHESIS	0.3779593228549839			
REACTOME_METABOLISM_OF_AMINE_DERIVED_HORMONES	0.3762900176407184			
GO_RHOMBOMERE_DEVELOPMENT	0.3695919058416908			
GO_INTRACELLULAR_MRNA_LOCALIZATION	0.3685756488591103			
GO_CEREBRAL_CORTEX_NEURON_DIFFERENTIATION	0.3664209536238731			
LEIN_LOCALIZED_TO_DISTAL_AND_PROXIMAL_DENDRITES	0.36553305064820607			
GO_RESPONSE_TO_LIPOTEICHOIC_ACID	0.3644243223098063			
GO_MEMBRANE_DEPOLARIZATION_DURING_SA_NODE_CELL_ACTION_POTENTIAL	0.3634928545296184			
NKX61_01	0.3622118975089156			
GO_NEGATIVE_REGULATION_OF_AMINE_TRANSPORT	0.3599398024489306			
GO_NOTCH_BINDING	0.3583328892527775			
VALK_AML_CLUSTER_15	0.3578330623530966			
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_POSTSYNAPTIC_MEMBRANE	0.35662123913219745			
GO_3_UTR_MEDIATED_MRNA_DESTABILIZATION	0.3554836516155931			
REACTOME_SEROTONIN_AND_MELATONIN_BIOSYNTHESIS	0.3551937087512557			
TCTAGAG_MIR517	0.353914984350399			
GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_HEART_PROCESS	0.3534300502286319			
HFH8_01	0.3530738599782486			
GO_ISOCITRATE_DEHYDROGENASE_ACTIVITY	0.35298235598083927			
GO_RESPONSE_TO_INACTIVITY	0.3528524553736588			
HOLLEMAN_ASPARAGINASE_RESISTANCE_ALL_UP	0.3527338451843848			
OCT1_05	0.35262271635515424			
GO_PHOSPHATIDYLINOSITOL_3_4_BISPHOSPHATE_5_KINASE_ACTIVITY	0.35252514067655283			
IPA_PHOX2B_UP	0.3520545111879649			
AP4_01	0.35169635087763484			
GO_PRIMARY_AMINO_COMPOUND_BIOSYNTHETIC_PROCESS	0.3514032050575312			
IPA_PSIP1_UP	0.34892701271171467			
LE_NEURONAL_DIFFERENTIATION_UP	0.34800103323366915			
GO_POSITIVE_REGULATION_OF_HIGH_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	0.347578053747286			
TTAYRTAA_E4BP4_01	0.34688858127378974			
GTTGNYNNRGNAAC_UNKNOWN	0.34678000984170115			
GSE9037_CTRL_VS_LPS_1H_STIM_IRAK4_KO_BMDM_DN	0.3466366017446018			
GO_SYNAPTIC_TRANSMISSION_GLYCINERGIC	0.3466085286772506			
MIR4253	0.3455733101075632			
GCGCTTT_MIR518B_MIR518C_MIR518D	0.3453889469231418			
MIR1253	0.34528502091815694			
