	Score	0.95 MoE	P-Value	Q-Value
GO_CORTICOTROPIN_RELEASING_HORMONE_RECEPTOR_BINDING	0.34284249739456496			
GO_OPIOID_RECEPTOR_BINDING	0.33372264686970826			
SMN2_TARGET_GENES	0.3310318825983079			
SMN1_TARGET_GENES	0.3310318825983079			
GO_REGULATION_OF_EXOCYTOSIS	0.3254338616290381			
GO_PIP_BODY	0.32351395578677195			
chr1q24	0.32336926877089867			
GO_EXOCYTIC_PROCESS	0.3227027177759179			
GO_RNA_IMPORT_INTO_MITOCHONDRION	0.3223184178912094			
REACTOME_ERYTHROPOIETIN_ACTIVATES_PHOSPHOINOSITIDE_3_KINASE_PI3K	0.31964064327938685			
GSE23925_DARK_ZONE_VS_NAIVE_BCELL_UP	0.31842715047707937			
GO_REGULATION_OF_TRANSLATIONAL_ELONGATION	0.3181284272317952			
PID_IL3_PATHWAY	0.31756443800685047			
GO_ENUCLEATE_ERYTHROCYTE_DIFFERENTIATION	0.3171721780099658			
GO_TRANSCRIPTION_INITIATION_FROM_RNA_POLYMERASE_I_PROMOTER	0.31632655187893816			
GO_REGULATION_OF_RIBONUCLEOPROTEIN_COMPLEX_LOCALIZATION	0.313054747905057			
CDC73_TARGET_GENES	0.312806474775849			
IPA_RELB_UP	0.3121790067953688			
GO_NEGATIVE_REGULATION_OF_CELL_CHEMOTAXIS_TO_FIBROBLAST_GROWTH_FACTOR	0.31195440087729287			
YU_BAP1_TARGETS	0.31110980711853303			
GO_RESPONSE_TO_NICOTINE	0.31067464587007887			
PTPRA_TARGET_GENES	0.3105024643968001			
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	0.31048084441233137			
GO_REGULATION_OF_LIPID_CATABOLIC_PROCESS	0.30932491311320515			
GO_REGULATION_OF_BILE_ACID_METABOLIC_PROCESS	0.30856514600384044			
SHIPP_DLBCL_CURED_VS_FATAL_DN	0.3085488792265626			
GO_REGULATION_OF_BILE_ACID_BIOSYNTHETIC_PROCESS	0.30774885171481103			
BIOCARTA_VIP_PATHWAY	0.30743195383430394			
GO_CARNITINE_BIOSYNTHETIC_PROCESS	0.3069697747442395			
GO_LIPID_EXPORT_FROM_CELL	0.3067477306466145			
GO_RACEMASE_AND_EPIMERASE_ACTIVITY	0.30648451868168525			
REACTOME_LTC4_CYSLTR_MEDIATED_IL4_PRODUCTION	0.3063093682141482			
GSE26343_UNSTIM_VS_LPS_STIM_MACROPHAGE_DN	0.3062922214853424			
PAX8_TARGET_GENES	0.30612560005200434			
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_VENTX	0.30592001395119267			
GO_FEMALE_MATING_BEHAVIOR	0.30587093178004393			
NPAT_TARGET_GENES	0.30582741896522836			
GO_NEGATIVE_REGULATION_OF_URINE_VOLUME	0.30574948277932795			
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0.30570563339386847			
GO_POSITIVE_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	0.3053056277424783			
GO_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX	0.30516458435148974			
GO_TRANSCRIPTION_ELONGATION_FACTOR_COMPLEX	0.30497447379586096			
GO_MALE_GAMETE_GENERATION	0.3047444239306466			
GO_TRANSFERASE_COMPLEX_TRANSFERRING_PHOSPHORUS_CONTAINING_GROUPS	0.30459039774042085			
GO_POTASSIUM_ION_HOMEOSTASIS	0.3043039187571642			
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	0.30419142089758194			
BIOCARTA_SET_PATHWAY	0.30403618674596466			
GO_RNA_SURVEILLANCE	0.30354453419318755			
HOLLEMAN_ASPARAGINASE_RESISTANCE_B_ALL_UP	0.30346146402397145			
GO_RRNA_3_END_PROCESSING	0.30330598020753863			
GO_FLIPPASE_ACTIVITY	0.3028020543742315			
GO_NEUROPEPTIDE_RECEPTOR_ACTIVITY	0.30262480056566227			
GO_PSEUDOURIDINE_SYNTHESIS	0.30243340315982936			
COLLIS_PRKDC_REGULATORS	0.30239863180493626			
chr19p13	0.30238514219041907			
REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1	0.3023294056628379			
BIOCARTA_ACTINY_PATHWAY	0.3023077109390726			
GO_LYMPHOID_PROGENITOR_CELL_DIFFERENTIATION	0.3022981094558026			
IPA_FOSL1_DN	0.302176125780552			
GSE17301_CTRL_VS_48H_ACD3_ACD28_IFNA2_STIM_CD8_TCELL_DN	0.30203121784693016			
GO_COENZYME_TRANSPORT	0.301928403773787			
GO_CIRCADIAN_SLEEP_WAKE_CYCLE_REM_SLEEP	0.30172680660165346			
GO_RNA_POLYMERASE_CORE_ENZYME_BINDING	0.3013528594172738			
chr22q12	0.3012515809165882			
GO_NEUROPEPTIDE_HORMONE_ACTIVITY	0.3011996444799064			
GSE7768_OVA_WITH_LPS_VS_OVA_WITH_MPL_IMMUNIZED_MOUSE_WHOLE_SPLEEN_6H_UP	0.30037030116947255			
GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_DN	0.30031544852309117			
IPA_MEOX2_UP	0.30018062966354353			
GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_MDC_DN	0.30016233542596915			
GO_CATION_CHLORIDE_SYMPORTER_ACTIVITY	0.29999108153984366			
GO_GOLGI_CIS_CISTERNA	0.2999270458304687			
BIOCARTA_CTBP1_PATHWAY	0.29987984810941026			
GO_NEUTROPHIL_MEDIATED_KILLING_OF_SYMBIONT_CELL	0.2997666333360105			
GSE19401_RETINOIC_ACID_VS_RETINOIC_ACID_AND_PAM2CSK4_STIM_FOLLICULAR_DC_DN	0.2995432228962954			
GSE40666_STAT1_KO_VS_STAT4_KO_CD8_TCELL_UP	0.2995372687224257			
GO_H4_H2A_HISTONE_ACETYLTRANSFERASE_COMPLEX	0.2994795423771209			
GO_CYTOPLASM_ORGANIZATION	0.29918275868403216			
GO_N_ACETYLTRANSFERASE_ACTIVITY	0.29882922129753103			
GSE22611_UNSTIM_VS_6H_MDP_STIM_MUTANT_NOD2_TRANSDUCED_HEK293T_CELL_DN	0.2987986447016052			
GO_POSITIVE_REGULATION_OF_STEROID_HORMONE_SECRETION	0.29875765600513665			
GO_CELLULAR_LIPID_CATABOLIC_PROCESS	0.2985786762375244			
BIOCARTA_CTCF_PATHWAY	0.2984500447033755			
GO_RNA_POLYMERASE_I_PREINITIATION_COMPLEX_ASSEMBLY	0.2978656384844017			
IPA_CEBPE_DN	0.29782324027134544			
GO_UNCONVENTIONAL_MYOSIN_COMPLEX	0.2977674963148132			
GO_LSM1_7_PAT1_COMPLEX	0.29767388241745213			
GO_GLYCEROLIPID_CATABOLIC_PROCESS	0.2976414668727662			
GSE17186_MEMORY_VS_NAIVE_BCELL_UP	0.2974539454156943			
WHITFIELD_CELL_CYCLE_G1_S	0.29741255692472224			
GO_PYRUVATE_BIOSYNTHETIC_PROCESS	0.2974120628499062			
PCGF6_TARGET_GENES	0.29729398500762866			
MIR4254	0.2971723827037056			
GO_POSITIVE_REGULATION_OF_CORTICOSTEROID_HORMONE_SECRETION	0.2970843795470484			
