	Score	0.95 MoE	P-Value	Q-Value
GSE9509_10MIN_VS_30MIN_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_UP	0.36504270906009906			
GSE11884_WT_VS_FURIN_KO_NAIVE_CD4_TCELL_UP	0.35334137485151884			
GO_HISTONE_H3_S10_PHOSPHORYLATION	0.35308037838316186			
GO_DIOL_METABOLIC_PROCESS	0.34741060055254247			
IPA_ESRRB_UP	0.34683304457581887			
GO_CELLULAR_PIGMENTATION	0.34557613917777336			
GSE8835_HEALTHY_VS_CLL_CD4_TCELL_DN	0.34533771252227724			
GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_CD4_TCELL_DN	0.34417059110966			
WANG_THOC1_TARGETS_UP	0.3429831956249789			
YANG_BREAST_CANCER_ESR1_UP	0.3428748204494543			
BCAT.100_UP.V1_UP	0.3426094760422137			
GSE12963_ENV_NEF_VS_ENV_NEF_AND_VPR_DEFICIENT_HIV1_INF_CD4_TCELL_DN	0.34188036302663216			
GO_POSITIVE_REGULATION_OF_DNA_BINDING	0.34187826575243946			
IPA_NFATC1_DN	0.340866364270903			
GO_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_CELL_FATE_COMMITMENT	0.3403265271080863			
GSE45365_CD8A_DC_VS_CD11B_DC_IFNAR_KO_MCMV_INFECTION_UP	0.34016979267512254			
GSE19888_ADENOSINE_A3R_INH_VS_ACT_IN_MAST_CELL_UP	0.33926980807348095			
GO_BILE_ACID_SODIUM_SYMPORTER_ACTIVITY	0.33661816317146637			
IPA_NOTCH2_DN	0.33616165877038917			
LU_TUMOR_ENDOTHELIAL_MARKERS_DN	0.33611481143529653			
GO_MYOSIN_BINDING	0.3360631222396498			
REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION	0.3354934897999915			
MIR632	0.3348913641395668			
GSE37605_C57BL6_VS_NOD_FOXP3_IRES_GFP_TCONV_UP	0.3344778055678876			
GO_UTERUS_DEVELOPMENT	0.3340045113937669			
KORKOLA_CORRELATED_WITH_POU5F1	0.3339097582735969			
YAUCH_HEDGEHOG_SIGNALING_PARACRINE_UP	0.33326292555198167			
GO_CHAPERONE_MEDIATED_PROTEIN_COMPLEX_ASSEMBLY	0.3330563011178632			
GSE17721_POLYIC_VS_GARDIQUIMOD_12H_BMDC_DN	0.3325412711559462			
REACTOME_MINERALOCORTICOID_BIOSYNTHESIS	0.3322162076244415			
GO_MESSENGER_RIBONUCLEOPROTEIN_COMPLEX	0.33216771008860113			
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	0.33212351021626296			
MATZUK_MATERNAL_EFFECT	0.3313777472170373			
MEISSNER_ES_ICP_WITH_H3K4ME3	0.33128907207078634			
GSE9960_HEALTHY_VS_GRAM_NEG_AND_POS_SEPSIS_PBMC_UP	0.3304556995740599			
IPA_JUND_UP	0.3296043399022414			
IPA_HDAC4_UP	0.3293737383373596			
PURBEY_TARGETS_OF_CTBP1_NOT_SATB1_UP	0.32936987413029817			
GSE17721_LPS_VS_POLYIC_0.5H_BMDC_DN	0.32912253810316994			
PITX1_TARGET_GENES	0.3290609497953509			
IPA_SOX9_DN	0.32859329014721456			
MIR6134	0.328299810641514			
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_3H_DN	0.3282069131621946			
GO_CIA_COMPLEX	0.32786126494637996			
GO_VESICLE_LOCALIZATION	0.3277601151425543			
GO_MODULATION_BY_VIRUS_OF_HOST_CELLULAR_PROCESS	0.32714789379013626			
GO_POLYMERIC_CYTOSKELETAL_FIBER	0.32699387573860744			
