	Score	0.95 MoE	P-Value	Q-Value
GO_NEGATIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	0.2548899219090319			
GO_NOREPINEPHRINE_TRANSPORT	0.24957454597654619			
GSE15330_LYMPHOID_MULTIPOTENT_VS_PRO_BCELL_UP	0.24750578087166672			
GO_ANKYRIN_BINDING	0.2455304904023853			
GSE35685_CD34POS_CD38NEG_VS_CD34POS_CD10POS_BONE_MARROW_UP	0.24247606024985527			
GSE40666_UNTREATED_VS_IFNA_STIM_STAT4_KO_EFFECTOR_CD8_TCELL_90MIN_DN	0.2418338209214448			
GO_NEGATIVE_REGULATION_OF_LIPID_TRANSPORT	0.23984034831825624			
GSE19941_UNSTIM_VS_LPS_AND_IL10_STIM_IL10_KO_NFKBP50_KO_MACROPHAGE_UP	0.23906520768906633			
MIR3194_5P	0.23857586728264144			
GO_ADENYLATE_CYCLASE_ACTIVATING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY	0.2384822013219566			
GO_DEATH_DOMAIN_BINDING	0.23838940491142732			
GO_VITAMIN_BINDING	0.2382073860563648			
GO_ZINC_ION_BINDING	0.23769469842820987			
BOYAULT_LIVER_CANCER_SUBCLASS_G123_DN	0.23665302726475249			
GO_REGULATION_OF_CATECHOLAMINE_METABOLIC_PROCESS	0.23619566702421727			
REACTOME_REGULATION_OF_PTEN_LOCALIZATION	0.2361859534487926			
GO_REGULATION_OF_CELLULAR_AMINE_METABOLIC_PROCESS	0.23606199263694475			
GO_FUCOSE_BINDING	0.23602569252139088			
GO_NEGATIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	0.23573986361942384			
MIR6861_5P	0.23527591421435193			
GO_RESPONSE_TO_METHYLMERCURY	0.23448151833610942			
BIOCARTA_HES_PATHWAY	0.23433930743189504			
GO_TRANSITION_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.23402317532539693			
STAMBOLSKY_RESPONSE_TO_VITAMIN_D3_DN	0.23386302428232286			
IPA_RB1_DN	0.2336831778253387			
GO_GRANULAR_COMPONENT	0.23354222990433496			
GSE6269_HEALTHY_VS_FLU_INF_PBMC_UP	0.23344856248734455			
GSE14699_NAIVE_VS_DELETIONAL_TOLERANCE_CD8_TCELL_UP	0.2334064619390761			
GO_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	0.23333071930665875			
CAFFAREL_RESPONSE_TO_THC_24HR_3_UP	0.23309502012248023			
GO_CYTOSOLIC_CALCIUM_ION_TRANSPORT	0.23290402248511816			
GO_RESPONSE_TO_ANESTHETIC	0.2328479964216736			
GO_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING	0.23282202575360714			
GO_RESPONSE_TO_COCAINE	0.23257021363836275			
SU_LIVER	0.2323878109814383			
GSE40666_UNTREATED_VS_IFNA_STIM_STAT1_KO_CD8_TCELL_90MIN_DN	0.23233283478335384			
BIOCARTA_IL17_PATHWAY	0.2322581481047196			
REACTOME_METABOLISM_OF_PORPHYRINS	0.23174781045731643			
GSE23114_WT_VS_SLE2C1_MOUSE_SPLEEN_B1A_BCELL_DN	0.2314427099772384			
GO_REGULATION_OF_CATION_TRANSMEMBRANE_TRANSPORT	0.23104426193384434			
GSE14415_ACT_VS_CTRL_NATURAL_TREG_DN	0.23098935610179663			
IPA_HOPX_UP	0.23056195818658845			
GSE7460_CD8_TCELL_VS_TREG_ACT_UP	0.23022842878947145			
BORCZUK_MALIGNANT_MESOTHELIOMA_DN	0.2300523162005798			
GO_ACROSOME_ASSEMBLY	0.22997602907517609			
REACTOME_CD209_DC_SIGN_SIGNALING	0.22989650594606142			
GO_INOSITOL_PHOSPHATE_BIOSYNTHETIC_PROCESS	0.2297304560661425			
GSE16385_UNTREATED_VS_12H_ROSIGLITAZONE_IFNG_TNF_TREATED_MACROPHAGE_UP	0.22955789744089788			
GO_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	0.22942420589069318			
GO_CELLULAR_HOMEOSTASIS	0.22935400546210227			
AML_Q6	0.22934259892731204			
GSE3039_CD4_TCELL_VS_ALPHAALPHA_CD8_TCELL_DN	0.22917935808615986			
XU_CREBBP_TARGETS_DN	0.22917345128927782			
GO_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	0.2289959472875656			
GO_D1_DOPAMINE_RECEPTOR_BINDING	0.2288273246010679			
IPA_STAT4_DN	0.22876537173797867			
GO_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	0.2286253612583027			
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.2285233309353451			
GO_BETA_2_ADRENERGIC_RECEPTOR_BINDING	0.22850294717524383			
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_VENTX	0.22821595576550371			
MIR3663_5P	0.22815517617887127			
GO_DOPAMINE_RECEPTOR_BINDING	0.22799767015765285			
GO_REGULATION_OF_CARBOHYDRATE_BIOSYNTHETIC_PROCESS	0.22798808135120888			
GSE32164_RESTING_DIFFERENTIATED_VS_CMYC_INHIBITED_MACROPHAGE_UP	0.22794538140963552			
REACTOME_INTERLEUKIN_7_SIGNALING	0.2278954172341658			
GO_CELLULAR_ION_HOMEOSTASIS	0.22775550851031326			
ZNF654_TARGET_GENES	0.22765584411903544			
REACTOME_ZINC_INFLUX_INTO_CELLS_BY_THE_SLC39_GENE_FAMILY	0.2275872875418882			
GSE16385_ROSIGLITAZONE_IL4_VS_IFNG_TNF_STIM_MACROPHAGE_UP	0.2275751985376638			
GSE13738_RESTING_VS_BYSTANDER_ACTIVATED_CD4_TCELL_UP	0.22734042797335327			
RACCACAR_AML_Q6	0.2273322521994055			
GSE35543_IN_VIVO_NTREG_VS_IN_VITRO_ITREG_DN	0.22733073618149577			
GO_CELLULAR_DETOXIFICATION_OF_ALDEHYDE	0.22731761017421806			
GO_REGULATION_OF_POTASSIUM_ION_TRANSPORT	0.22730929802202565			
GSE17721_POLYIC_VS_GARDIQUIMOD_16H_BMDC_DN	0.22730746462237242			
MIR3193	0.2272413634572493			
GO_NEGATIVE_REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS	0.2271530902723984			
MIR1233_5P	0.22700949624013445			
GO_CELLULAR_PROCESS_INVOLVED_IN_REPRODUCTION_IN_MULTICELLULAR_ORGANISM	0.22697720966969906			
REACTOME_TBC_RABGAPS	0.22697139123431606			
GO_RESPONSE_TO_AMMONIUM_ION	0.2269604334867204			
GO_REGULATION_OF_GLUTAMATE_SECRETION	0.22691365936861482			
