	Score	0.95 MoE	P-Value	Q-Value
GO_MYOFILAMENT	0.29796798453203893			
GO_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.2836970760693723			
GO_REGULATION_OF_MUSCLE_CONTRACTION	0.28279232436942064			
GSE13522_CTRL_VS_T_CRUZI_Y_STRAIN_INF_SKIN_129_MOUSE_UP	0.2818561228115101			
GO_REGULATION_OF_ENDOCYTOSIS	0.28122546117948793			
LOPEZ_MBD_TARGETS	0.2810809348928184			
GO_PROLACTIN_SECRETION	0.2804625849693271			
GO_CAVEOLA	0.28001429100058006			
GCNP_SHH_UP_LATE.V1_DN	0.27955246398344963			
GO_ENDOTHELIAL_CELL_MIGRATION	0.27941637254203233			
GO_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION	0.27914904738545787			
GO_GLOMERULAR_EPITHELIAL_CELL_DEVELOPMENT	0.27841486488623796			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.278364840689831			
GO_POSITIVE_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.2765230836370296			
KYNG_WERNER_SYNDROM_AND_NORMAL_AGING_DN	0.27635585719753314			
GO_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION	0.27632239332905			
SRF_Q4	0.27624890650680883			
GO_ACTIN_CYTOSKELETON	0.27592577571967486			
GO_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY	0.2752888993509623			
GO_ACTIN_FILAMENT_BASED_PROCESS	0.27525024657948094			
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.2752054261531179			
GO_GLOMERULAR_EPITHELIAL_CELL_DIFFERENTIATION	0.275201342600484			
MARTORIATI_MDM4_TARGETS_NEUROEPITHELIUM_UP	0.2748278750714063			
GSE22886_NAIVE_TCELL_VS_DC_DN	0.27478230624450056			
TSC22D4_TARGET_GENES	0.2741340525000708			
HALLMARK_APICAL_JUNCTION	0.27309224729120124			
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.2729552409761413			
GO_REGULATION_OF_PSEUDOPODIUM_ASSEMBLY	0.2724315110533245			
REACTOME_MET_PROMOTES_CELL_MOTILITY	0.2722547248179572			
GO_POSITIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION	0.27182607420281385			
GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_UP	0.2718208178472748			
GSE16450_CTRL_VS_IFNA_12H_STIM_IMMATURE_NEURON_CELL_LINE_DN	0.2716933469907151			
GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	0.27138913560763717			
GO_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	0.2712033277991821			
GSE3982_DC_VS_CENT_MEMORY_CD4_TCELL_UP	0.2711004682259805			
