	Score	0.95 MoE	P-Value	Q-Value
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.5591254799115664			
CROMER_METASTASIS_DN	0.5568910926231244			
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.5536650673709912			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.5533700336385053			
GO_CADHERIN_BINDING	0.5517604682692586			
LANDIS_ERBB2_BREAST_TUMORS_324_UP	0.5508097183215451			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.550779784212698			
NUYTTEN_NIPP1_TARGETS_DN	0.5499764294469618			
GO_APICAL_JUNCTION_COMPLEX	0.5463695714270497			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.5455869081277972			
MEK_UP.V1_UP	0.5438456562071525			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.5431846578988587			
HALLMARK_XENOBIOTIC_METABOLISM	0.5431051471126814			
FARMER_BREAST_CANCER_BASAL_VS_LULMINAL	0.5430564560069218			
DELPUECH_FOXO3_TARGETS_UP	0.5423247678359624			
BRUECKNER_TARGETS_OF_MIRLET7A3_UP	0.5419720344403489			
KOHOUTEK_CCNT1_TARGETS	0.5419700291812297			
GU_PDEF_TARGETS_DN	0.5417970774649599			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.5416742857214552			
MCBRYAN_PUBERTAL_TGFB1_TARGETS_DN	0.5414713000562749			
KMT2D_TARGET_GENES	0.5412360835464222			
BORLAK_LIVER_CANCER_EGF_UP	0.5409259901973518			
PID_ECADHERIN_STABILIZATION_PATHWAY	0.540668783596737			
GSE20715_0H_VS_48H_OZONE_TLR4_KO_LUNG_DN	0.5400029155336709			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.5396039261963758			
GO_LAMININ_COMPLEX	0.5379894578216182			
MCBRYAN_PUBERTAL_BREAST_3_4WK_UP	0.537649440127569			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3	0.537583856290003			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.5374468034819853			
WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2_UP	0.5373527157490345			
RB_P130_DN.V1_DN	0.5372811494246721			
GO_ADHERENS_JUNCTION	0.5368306905050402			
GO_EPITHELIAL_CELL_DIFFERENTIATION	0.5359484841952424			
LI_AMPLIFIED_IN_LUNG_CANCER	0.5359134733202414			
GSE20715_0H_VS_24H_OZONE_LUNG_DN	0.5354681998609305			
GO_ERBB2_SIGNALING_PATHWAY	0.5354269384083009			
COULOUARN_TEMPORAL_TGFB1_SIGNATURE_UP	0.5352728328856285			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_4	0.5351599313481689			
FARMER_BREAST_CANCER_APOCRINE_VS_BASAL	0.5350004638851087			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.5349071663643419			
GO_EPITHELIUM_DEVELOPMENT	0.5346025972781764			
GO_APICAL_PART_OF_CELL	0.5345698639051836			
ESC_J1_UP_LATE.V1_UP	0.5341165555045091			
HALLMARK_ESTROGEN_RESPONSE_LATE	0.5337474636085319			
GO_CELL_CELL_JUNCTION	0.5336417940117697			
WU_CELL_MIGRATION	0.5324899227229472			
GO_CELL_JUNCTION_ORGANIZATION	0.5323166081342758			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1	0.5322361814758936			
OUELLET_CULTURED_OVARIAN_CANCER_INVASIVE_VS_LMP_UP	0.532065389806213			
JECHLINGER_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_DN	0.5319067733414581			
GO_CELL_JUNCTION_ASSEMBLY	0.5318119454852143			
BOSCO_EPITHELIAL_DIFFERENTIATION_MODULE	0.531547834114852			
BAE_BRCA1_TARGETS_UP	0.5313389184998073			
SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP	0.5313143959813328			
PROVENZANI_METASTASIS_DN	0.531186100961578			
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.5308278432887413			
GO_TIGHT_JUNCTION	0.530500159175825			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.5302954785858505			
SABATES_COLORECTAL_ADENOMA_UP	0.530291424929513			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.5301292508540794			
DITTMER_PTHLH_TARGETS_UP	0.5298522763569572			
GO_ENTRY_OF_BACTERIUM_INTO_HOST_CELL	0.5297502941042231			
MCBRYAN_PUBERTAL_BREAST_5_6WK_UP	0.5295529087055302			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.5295145298686298			
GO_LATERAL_PLASMA_MEMBRANE	0.5293093535222592			
IGARASHI_ATF4_TARGETS_DN	0.5289234037198017			
PID_ERBB_NETWORK_PATHWAY	0.5287976906758166			
ERBB2_UP.V1_UP	0.5287271500869917			
AMIT_SERUM_RESPONSE_240_MCF10A	0.5286516639090574			
AKT_UP.V1_UP	0.5286323690028782			
TOMIDA_METASTASIS_DN	0.5284706278260681			
WGGAATGY_TEF1_Q6	0.527871814819058			
GO_NEGATIVE_REGULATION_OF_ERBB_SIGNALING_PATHWAY	0.5278713121331499			
PID_INTEGRIN4_PATHWAY	0.5266841873276681			
GO_COSTAMERE	0.5259109091064149			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.5256482531838301			
DORN_ADENOVIRUS_INFECTION_32HR_DN	0.5256147013316279			
GO_CELL_DIFFERENTIATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT	0.5256122329242894			
REACTOME_ERBB2_ACTIVATES_PTK6_SIGNALING	0.5256109823513384			
LEI_MYB_TARGETS	0.5251438739948389			
GO_ALDEHYDE_DEHYDROGENASE_NAD_P_PLUS_ACTIVITY	0.5248998291656358			
GO_BASAL_PART_OF_CELL	0.5246063318035316			
FARMER_BREAST_CANCER_APOCRINE_VS_LUMINAL	0.5245382308820157			
NR0B1_TARGET_GENES	0.5244981048948999			
GO_REGULATION_OF_PROTEIN_HOMOOLIGOMERIZATION	0.52393425742678			
STEIN_ESRRA_TARGETS	0.5234443331209674			
LEE_LIVER_CANCER_MYC_TGFA_UP	0.5234075505690603			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.5233587628861113			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.523028303547973			
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_UP	0.5226716905541048			
GO_BRANCHING_INVOLVED_IN_MAMMARY_GLAND_DUCT_MORPHOGENESIS	0.5226088754675228			
GRAESSMANN_RESPONSE_TO_MC_AND_DOXORUBICIN_UP	0.5225096928976899			
GO_EPITHELIAL_CELL_DEVELOPMENT	0.5220750103528431			
DELACROIX_RARG_BOUND_MEF	0.5218882837815279			
GO_RECEPTOR_CATABOLIC_PROCESS	0.5214772077153378			
REACTOME_CELL_CELL_COMMUNICATION	0.5211372425385938			
GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN	0.521005410966268			
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_DN	0.520423948974126			
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.5203806413806642			
LHX9_TARGET_GENES	0.5199276235499339			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.5199200451913695			
GO_ANCHORING_JUNCTION	0.5199175581111227			
GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP	0.519891591700355			
SESTO_RESPONSE_TO_UV_C2	0.5198521975506626			
GREB1_TARGET_GENES	0.5198096855258979			
FONTAINE_PAPILLARY_THYROID_CARCINOMA_UP	0.5192084310471026			
IPA_SNAI2_DN	0.5191193571001157			
GO_LAMININ_BINDING	0.5190945390669457			
ZBED4_TARGET_GENES	0.5190718093530335			
GO_CELL_ADHESION_MOLECULE_BINDING	0.5186254723749494			
GO_REPRODUCTIVE_SYSTEM_DEVELOPMENT	0.5184839735567169			
DURCHDEWALD_SKIN_CARCINOGENESIS_DN	0.5184790643020023			
REACTOME_MET_ACTIVATES_PTK2_SIGNALING	0.518401450915174			
HOFMANN_MYELODYSPLASTIC_SYNDROM_LOW_RISK_DN	0.5183325768242966			
REACTOME_LAMININ_INTERACTIONS	0.518301908413616			
GO_HEMIDESMOSOME_ASSEMBLY	0.5182413439322584			
GO_APICAL_PLASMA_MEMBRANE	0.5177873241675636			
PID_NECTIN_PATHWAY	0.5173004206350752			
LEE_LIVER_CANCER_ACOX1_UP	0.5172552443524532			
GO_MAMMARY_GLAND_MORPHOGENESIS	0.5169630765689981			
RODRIGUES_NTN1_TARGETS_DN	0.5166281845241318			
FORTSCHEGGER_PHF8_TARGETS_DN	0.5165753454285903			
GO_ERBB_SIGNALING_PATHWAY	0.5164831675571929			
CHIBA_RESPONSE_TO_TSA_DN	0.5164669405906275			
WINTER_HYPOXIA_UP	0.5162342452308023			
FOXD2_TARGET_GENES	0.5160547765609842			
HUPER_BREAST_BASAL_VS_LUMINAL_DN	0.5156703260141248			
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	0.5155982561361409			
REACTOME_SIGNALING_BY_MET	0.5155639418947716			
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN	0.5155118863901377			
GO_REGULATION_OF_VENTRICULAR_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	0.5152311467598911			
JI_METASTASIS_REPRESSED_BY_STK11	0.5150682206139324			
IWANAGA_CARCINOGENESIS_BY_KRAS_UP	0.514809173814009			
LEF1_UP.V1_DN	0.5146393334845996			
ESC_V6.5_UP_EARLY.V1_DN	0.5145486510052112			
DORN_ADENOVIRUS_INFECTION_48HR_DN	0.5145250058723214			
GO_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	0.5144521723004731			
GO_METANEPHRIC_NEPHRON_EPITHELIUM_DEVELOPMENT	0.5143920599000937			
GO_APICAL_JUNCTION_ASSEMBLY	0.5143647572805687			
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX2_DN	0.5143025107684648			
REACTOME_TYPE_I_HEMIDESMOSOME_ASSEMBLY	0.5140883775278631			
ONDER_CDH1_TARGETS_2_DN	0.5140558389634937			
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_DN	0.5140285662152123			
GO_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	0.5138105469495717			
REACTOME_MET_PROMOTES_CELL_MOTILITY	0.5134860105063982			
YAMASHITA_LIVER_CANCER_STEM_CELL_UP	0.513457630176032			
LTE2_UP.V1_UP	0.5134025215440846			
