	Score	0.95 MoE	P-Value	Q-Value
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.5839286843373872			
GO_COSTAMERE	0.5833838973471348			
AMIT_SERUM_RESPONSE_240_MCF10A	0.5814988661006495			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.580904571904667			
LTE2_UP.V1_UP	0.580735734646439			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.5781433421889309			
ERBB2_UP.V1_UP	0.577122742982428			
FORTSCHEGGER_PHF8_TARGETS_DN	0.5768493432753525			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.5767457019052782			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.5755752098501641			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.574886837217485			
MEK_UP.V1_UP	0.574754482211107			
GO_LAMININ_BINDING	0.5737841895211566			
ESC_J1_UP_LATE.V1_UP	0.57342068431429			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.5731346746722906			
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.5722893540321936			
JIANG_HYPOXIA_NORMAL	0.5720402326947096			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.5718186601748717			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.5717904705153314			
GO_CELL_JUNCTION_ASSEMBLY	0.570951633095337			
DELACROIX_RARG_BOUND_MEF	0.5708753850191248			
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_B	0.5706196720169512			
GO_CELL_JUNCTION_ORGANIZATION	0.5698520611388247			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.569078597353923			
GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN	0.568387240672698			
LHX9_TARGET_GENES	0.5682262659392523			
WGGAATGY_TEF1_Q6	0.5679889533243786			
GO_ADHERENS_JUNCTION	0.5678390761842831			
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.5678112142344427			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.5675701269093499			
GO_CELL_CELL_JUNCTION	0.5667886275720918			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.5667145237179598			
DURCHDEWALD_SKIN_CARCINOGENESIS_DN	0.5662432435451746			
GO_ANCHORING_JUNCTION	0.565966158204843			
GO_GOLGI_VESICLE_TRANSPORT	0.5659291116988515			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.5657540922755924			
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN	0.5649562275605114			
REACTOME_SIGNALING_BY_MET	0.5646937189724609			
