	Score	0.95 MoE	P-Value	Q-Value
MIR6840_3P	0.2761098557910921			
GO_THROMBOPOIETIN_MEDIATED_SIGNALING_PATHWAY	0.27268410912310337			
GO_POTASSIUM_ION_EXPORT_ACROSS_PLASMA_MEMBRANE	0.2686202351986758			
GO_NEGATIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_CHEMOTAXIS	0.26548068564873467			
GO_PANCREATIC_A_CELL_DIFFERENTIATION	0.26363649482904145			
GO_POSITIVE_REGULATION_OF_PRODUCTION_OF_MIRNAS_INVOLVED_IN_GENE_SILENCING_BY_MIRNA	0.26310589333186357			
GO_ERYTHROCYTE_HOMEOSTASIS	0.26273574045736936			
chr10q25	0.2625526378988335			
PHB2_TARGET_GENES	0.2624993798414271			
GO_DEFENSE_RESPONSE_TO_GRAM_NEGATIVE_BACTERIUM	0.26232707196904664			
GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_PDC_UP	0.2622824901299946			
GO_RESPONSE_TO_SELENIUM_ION	0.2620341620290064			
GSE37605_TREG_VS_TCONV_C57BL6_FOXP3_IRES_GFP_UP	0.26166530726964415			
GSE17721_0.5H_VS_8H_PAM3CSK4_BMDC_DN	0.26149978723063066			
GO_ALPHA_ADRENERGIC_RECEPTOR_ACTIVITY	0.26141013946738434			
ZNF589_TARGET_GENES	0.2605255372278258			
MIR6805_5P	0.26051249311766217			
GATAAGR_GATA_C	0.26040759889092574			
GO_CYCLOSPORIN_A_BINDING	0.26031746742977796			
GO_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING	0.2602670156595516			
GO_AMMONIUM_TRANSPORT	0.26009841100702			
GO_POSITIVE_REGULATION_OF_SMOOTH_MUSCLE_CONTRACTION	0.26007064146713255			
GO_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING	0.2599599031080291			
GSE45365_NK_CELL_VS_BCELL_MCMV_INFECTION_UP	0.25993988955234015			
GSE2706_R848_VS_LPS_2H_STIM_DC_UP	0.2597479521162079			
IPA_HOXA10_DN	0.25946974711083426			
REACTOME_TNFR1_MEDIATED_CERAMIDE_PRODUCTION	0.2588210320309805			
DARWICHE_PAPILLOMA_PROGRESSION_RISK	0.2586118042027442			
GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_BCELL_DN	0.2585421962397455			
GO_LEUKOCYTE_ACTIVATION_INVOLVED_IN_INFLAMMATORY_RESPONSE	0.25840095727153056			
GO_INOSITOL_LIPID_MEDIATED_SIGNALING	0.25836308572789135			
GO_MAP_KINASE_ACTIVITY	0.2576861368225634			
GSE22611_UNSTIM_VS_6H_MDP_STIM_MUTANT_NOD2_TRANSDUCED_HEK293T_CELL_DN	0.25749225291159783			
chr5q12	0.2574395674720313			
GO_MULTI_ORGANISM_MEMBRANE_ORGANIZATION	0.25728745296919675			
GO_REGULATION_OF_LIPASE_ACTIVITY	0.2569572847159984			
MIR6756_5P	0.25675536292398854			
GSE21774_CD62L_POS_CD56_BRIGHT_VS_CD62L_NEG_CD56_DIM_NK_CELL_UP	0.25671248782814937			
GO_REGULATION_OF_SMOOTH_MUSCLE_CONTRACTION	0.25668938100402156			
GO_MANNOSE_METABOLIC_PROCESS	0.25661604248789815			
GO_POSITIVE_REGULATION_OF_LIPASE_ACTIVITY	0.2561796836305			
GO_RIBBON_SYNAPSE	0.2559107329390643			
SREBP1_Q6	0.25573571326582295			
GSE16385_ROSIGLITAZONE_IFNG_TNF_VS_IL4_STIM_MACROPHAGE_UP	0.2557300519131692			
GO_REGULATION_OF_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	0.2557229441079864			
GSE7460_CD8_TCELL_VS_TREG_ACT_UP	0.25560029547850543			
GSE20727_DNFB_ALLERGEN_VS_ROS_INH_AND_DNFB_ALLERGEN_TREATED_DC_UP	0.2554915154416772			
GO_NEGATIVE_REGULATION_OF_PROSTAGLANDIN_BIOSYNTHETIC_PROCESS	0.25547640471987126			
BIOCARTA_MRP_PATHWAY	0.25526734978094195			
GO_POSITIVE_REGULATION_OF_GASTRO_INTESTINAL_SYSTEM_SMOOTH_MUSCLE_CONTRACTION	0.25518851643962703			
IPA_MBD2_DN	0.254977643405332			
GO_GLIAL_CELL_ACTIVATION	0.2549747745634493			
GO_NEUROENDOCRINE_CELL_DIFFERENTIATION	0.25460999491326736			
GSE15659_TREG_VS_TCONV_DN	0.2545773877760335			
GO_INTRINSIC_COMPONENT_OF_PEROXISOMAL_MEMBRANE	0.2545616429027148			
GSE11057_CD4_CENT_MEM_VS_PBMC_DN	0.25448853737124283			
MIR4453	0.2541662476668083			
GSE21379_TFH_VS_NON_TFH_SAP_KO_CD4_TCELL_UP	0.2541509339279843			
IPA_KLF10_UP	0.25392926405305294			
GO_NEGATIVE_REGULATION_OF_VASCULAR_SMOOTH_MUSCLE_CELL_PROLIFERATION	0.2538484040528579			
IPA_YY1_UP	0.25374858194432304			
GO_TERTIARY_GRANULE	0.2536950540733956			
GO_D2_DOPAMINE_RECEPTOR_BINDING	0.2536049252122184			
GO_REGULATION_OF_HORMONE_SECRETION	0.25359173706712695			
KEGG_INSULIN_SIGNALING_PATHWAY	0.25346292183490715			
MIR11181_3P	0.25339019088172476			
GO_HORMONE_TRANSPORT	0.25318623235064064			
MIR556_5P	0.253174808869248			
GSE21774_CD62L_POS_CD56_DIM_VS_CD62L_NEG_CD56_DIM_NK_CELL_DN	0.2531660935082477			
GO_IMIDAZOLE_CONTAINING_COMPOUND_METABOLIC_PROCESS	0.2531239002551902			
GO_REGULATION_OF_VASCULAR_SMOOTH_MUSCLE_CELL_PROLIFERATION	0.25298894378415104			
KYNG_DNA_DAMAGE_UP	0.2529414893618706			
GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_DN	0.2528542955752362			
IPA_TCF7L2_DN	0.252733946235418			
GO_L_ORNITHINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.2526244978405933			
CHEOK_RESPONSE_TO_HD_MTX_UP	0.2525413757441829			
GO_DIGESTIVE_SYSTEM_PROCESS	0.2524803179184501			
PID_BMP_PATHWAY	0.25229638764495954			
LIAN_NEUTROPHIL_GRANULE_CONSTITUENTS	0.2520772112860728			
GO_DEFINITIVE_ERYTHROCYTE_DIFFERENTIATION	0.2520661532842161			
MIR6766_5P	0.25190122669593895			
chr13q32	0.25178933669759385			
ZNF548_TARGET_GENES	0.25147221897538535			
GATA_Q6	0.2513444058271609			
GO_EMBRYONIC_HEMOPOIESIS	0.2513158995834328			
GATA_C	0.25130384566491204			
NIKOLSKY_BREAST_CANCER_22Q13_AMPLICON	0.2512338590998375			
chr13q14	0.25114836600101476			
GO_FICOLIN_1_RICH_GRANULE_MEMBRANE	0.2510474725172873			
GSE13485_DAY3_VS_DAY21_YF17D_VACCINE_PBMC_DN	0.2509380545687508			
GSE21670_UNTREATED_VS_TGFB_TREATED_STAT3_KO_CD4_TCELL_UP	0.25081734158892754			
GSE18281_SUBCAPSULAR_CORTICAL_REGION_VS_WHOLE_MEDULLA_THYMUS_UP	0.2508145220305865			
GO_TRANSEPITHELIAL_TRANSPORT	0.25057261428238464			
MIR1245A	0.2505271771107531			
GO_IRON_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.25049152579399453			
GO_NEGATIVE_REGULATION_OF_MICROGLIAL_CELL_ACTIVATION	0.25019432024110183			
BIOCARTA_AT1R_PATHWAY	0.25004877734102143			
GO_DIGESTION	0.24974160112503832			
REACTOME_NEUTROPHIL_DEGRANULATION	0.24957750967766237			
GO_SEGMENT_SPECIFICATION	0.24946294754805282			
GO_GLUTATHIONE_TRANSFERASE_ACTIVITY	0.2493499442148008			
GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_2H_DN	0.24934373273909616			
KAYO_AGING_MUSCLE_DN	0.24917800971272638			
GSE19941_UNSTIM_VS_LPS_AND_IL10_STIM_IL10_KO_NFKBP50_KO_MACROPHAGE_UP	0.24914485759600102			
GO_VERY_LOW_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING	0.24912192748404938			
TCTGATC_MIR383	0.24911649567303687			
chr3q23	0.2490872821665149			
GO_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY	0.24907404449525153			
GO_REGULATION_OF_LIPID_CATABOLIC_PROCESS	0.24904352199190957			
CHESLER_BRAIN_D6MIT150_QTL_TRANS	0.24895620234073612			
GO_AZUROPHIL_GRANULE	0.24894597898309614			
GO_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM	0.24869665888406098			
GO_MYELOID_CELL_HOMEOSTASIS	0.24854593652140541			
GO_HEMOGLOBIN_ALPHA_BINDING	0.24853988768674765			
GO_AZUROPHIL_GRANULE_LUMEN	0.2484756899930232			
MIR6846_5P	0.24842829310820652			
GO_PHOSPHOLIPASE_C_ACTIVITY	0.24832046327301238			
GO_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_NEUROTRANSMITTER_RECEPTOR_LEVELS	0.24820920141037553			
GO_CELLULAR_RESPONSE_TO_COLD	0.24818749116942365			
GSE10325_BCELL_VS_MYELOID_DN	0.24818084283873865			
GSE13493_DP_VS_CD4INTCD8POS_THYMOCYTE_UP	0.24810976715140723			
GSE17721_4_VS_24H_CPG_BMDC_UP	0.24801198544616165			
AGGGCAG_MIR18A	0.2479284604761292			
GSE17721_LPS_VS_GARDIQUIMOD_0.5H_BMDC_UP	0.24792352872787907			
GSE1460_CD4_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_DN	0.2479121298317988			
GO_ION_GATED_CHANNEL_ACTIVITY	0.2478714938325061			
HAHTOLA_CTCL_CUTANEOUS	0.247861059090197			
GO_DISRUPTION_BY_HOST_OF_SYMBIONT_CELLS	0.24774095098096938			
WEBER_METHYLATED_ICP_IN_SPERM_UP	0.24768849567968845			
GO_NEUROPEPTIDE_RECEPTOR_BINDING	0.2476612177734998			
GO_REGULATION_OF_SPHINGOLIPID_BIOSYNTHETIC_PROCESS	0.2476462536777938			
SEF1_C	0.24750105978947337			
GSE2770_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_48H_DN	0.2474954049164679			
MIR4640_5P	0.24740334667910138			
GO_POSITIVE_REGULATION_OF_LIPID_CATABOLIC_PROCESS	0.24734996950922108			
GO_POSITIVE_REGULATION_OF_STEROID_METABOLIC_PROCESS	0.2473418410902457			
GSE8515_IL1_VS_IL6_4H_STIM_MAC_DN	0.24733148197527155			
GO_POSITIVE_REGULATION_OF_UTERINE_SMOOTH_MUSCLE_CONTRACTION	0.24726635836260924			
chr4q12	0.24724870726175197			
MIR6848_5P	0.24721145940447584			
