	Score	0.95 MoE	P-Value	Q-Value
GO_NUCLEAR_RECEPTOR_TRANSCRIPTION_COACTIVATOR_ACTIVITY	0.2984246019106521			
GO_RRNA_3_END_PROCESSING	0.2843347413917406			
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_UP	0.2842658081372277			
GO_NEGATIVE_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_INITIATION	0.2811689580894834			
GO_THO_COMPLEX	0.28071183192774657			
GO_LSM1_7_PAT1_COMPLEX	0.27762284973327767			
GO_TRANSLOCATION_OF_MOLECULES_INTO_HOST	0.27742987757174625			
GSE14000_TRANSLATED_RNA_VS_MRNA_16H_LPS_DC_UP	0.2767042861543807			
MIR218_2_3P	0.27519672285721813			
GO_CATALYTIC_COMPLEX	0.2747613044770588			
GO_SIN3_TYPE_COMPLEX	0.2742480793181133			
IPA_XBP1_DN	0.2742371264864982			
REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	0.27409473913385324			
GSE15659_NONSUPPRESSIVE_TCELL_VS_ACTIVATED_TREG_DN	0.2739024485758206			
GSE23925_LIGHT_ZONE_VS_NAIVE_BCELL_DN	0.273872480270577			
REACTOME_DNA_REPLICATION	0.27372096224189885			
REACTOME_NUCLEAR_PORE_COMPLEX_NPC_DISASSEMBLY	0.2726087422850273			
REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	0.27255097720121424			
GO_REGULATION_OF_TRANSLATION_AT_SYNAPSE_MODULATING_SYNAPTIC_TRANSMISSION	0.2723849279013346			
GO_P53_BINDING	0.27223935392598037			
GO_EXONUCLEASE_ACTIVITY	0.2713278361746372			
GO_REGULATION_OF_MITOTIC_RECOMBINATION	0.2712180594856816			
MIKKELSEN_NPC_WITH_LCP_H3K27ME3	0.2710280833991546			
GO_SPLICEOSOMAL_CONFORMATIONAL_CHANGES_TO_GENERATE_CATALYTIC_CONFORMATION	0.27087126708931725			
GSE21774_CD56_BRIGHT_VS_DIM_CD62L_POSITIVE_NK_CELL_DN	0.27083933408591476			
NIKOLSKY_BREAST_CANCER_16Q24_AMPLICON	0.27077077059156013			
GO_H4_H2A_HISTONE_ACETYLTRANSFERASE_COMPLEX	0.2699484883247841			
MIR296_5P	0.2697351167823037			
GO_NUCLEOSOMAL_DNA_BINDING	0.2696746020644435			
RLF_TARGET_GENES	0.26965113035334837			
GO_NUCLEUS_ORGANIZATION	0.2695726261645513			
GO_CILIUM_MOVEMENT_INVOLVED_IN_CELL_MOTILITY	0.26901660907894215			
GO_ATTACHMENT_OF_MITOTIC_SPINDLE_MICROTUBULES_TO_KINETOCHORE	0.26840959416363447			
REACTOME_GLUCOSE_METABOLISM	0.26824846036363914			
chr8q21	0.26810576402301217			
MCRS1_TARGET_GENES	0.2679656943816967			
REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE	0.267688373684647			
REACTOME_M_PHASE	0.2675700227004389			
GO_ARGININE_CATABOLIC_PROCESS	0.26729800184745967			
GO_SMALL_RIBOSOMAL_SUBUNIT	0.2672384825461964			
GO_LIPOPROTEIN_CATABOLIC_PROCESS	0.2671762558300532			
GSE21927_SPLEEN_VS_C26GM_TUMOR_MONOCYTE_BALBC_UP	0.26713289270083534			
GO_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION	0.26662316408452047			
GO_PROTEIN_DNA_COMPLEX	0.26654209130821577			
GO_NUCLEOSIDE_METABOLIC_PROCESS	0.2664081096116088			
GO_CATECHOLAMINE_UPTAKE_INVOLVED_IN_SYNAPTIC_TRANSMISSION	0.2663450927033561			
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	0.26584361389555783			
GO_TRANSCRIPTION_EXPORT_COMPLEX	0.26573676384128114			
GO_AMINE_METABOLIC_PROCESS	0.26564024003488673			
GO_S_ADENOSYL_L_METHIONINE_BINDING	0.2656187382183962			
REACTOME_CELL_CYCLE_MITOTIC	0.265278559251152			
GO_CHROMOSOME_ORGANIZATION	0.2651912141677143			
GO_CLATHRIN_VESICLE_COAT	0.2651637281203727			
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	0.2649586685932559			
GO_POSITIVE_REGULATION_OF_LAMELLIPODIUM_ORGANIZATION	0.2649272746207148			
GO_DNA_CONFORMATION_CHANGE	0.2649223321064502			
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS	0.26460832020434294			
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION	0.26431378304551756			
GO_CHIASMA_ASSEMBLY	0.26420688043270985			
GO_DRUG_BINDING	0.2641783679625467			
GO_EXECUTION_PHASE_OF_APOPTOSIS	0.2641182961178942			
GO_U1_SNRNA_BINDING	0.26407409007083044			
REACTOME_CELL_CYCLE_CHECKPOINTS	0.26392032322519815			
GO_ATP_BIOSYNTHETIC_PROCESS	0.2639138681572135			
REACTOME_CELL_CYCLE	0.2635813155127766			
GO_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTRACELLULAR_STIMULUS	0.2634326509071734			
GO_PROTEASOME_ACCESSORY_COMPLEX	0.2633156231585685			
REACTOME_S_PHASE	0.2629790298628111			
GO_CELL_CYCLE_CHECKPOINT	0.2629705350647893			
GO_PHOSPHOSERINE_RESIDUE_BINDING	0.262756096514054			
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION	0.26253433102217			
MIR8069	0.2625268682685666			
GO_UBIQUITIN_LIKE_PROTEIN_CONJUGATING_ENZYME_ACTIVITY	0.2624849828910614			
GO_SHELTERIN_COMPLEX	0.2624512823749323			
REACTOME_HEME_BIOSYNTHESIS	0.26239945339769366			
GO_CYTOPLASMIC_SIDE_OF_ENDOPLASMIC_RETICULUM_MEMBRANE	0.2622415659139814			
REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING	0.26209662070496964			
GO_EXONUCLEASE_ACTIVITY_ACTIVE_WITH_EITHER_RIBO_OR_DEOXYRIBONUCLEIC_ACIDS_AND_PRODUCING_5_PHOSPHOMONOESTERS	0.2619814486768051			
GSE7831_CPG_VS_INFLUENZA_STIM_PDC_4H_DN	0.2619780120358215			
GO_CONDENSED_CHROMOSOME	0.2618248795572465			
REACTOME_SUMOYLATION_OF_DNA_REPLICATION_PROTEINS	0.261715685965007			
GO_PROTEIN_KINASE_C_ACTIVITY	0.261488249270734			
GO_UNIPLEX_COMPLEX	0.2612978680402927			
GO_ANNULATE_LAMELLAE	0.2610686037144753			
FOXQ1_TARGET_GENES	0.2609906600657299			
GO_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION	0.26075201973827195			
GO_AMMONIUM_TRANSPORT	0.26066280985984347			
GO_TUBULAR_ENDOSOME	0.26065490448608136			
SETD1A_TARGET_GENES	0.2605933128551266			
MIR659_5P	0.26042672512852716			
GO_PROTEIN_LOCALIZATION_TO_CHROMATIN	0.26020017261350525			
GO_LOCOMOTION_INVOLVED_IN_LOCOMOTORY_BEHAVIOR	0.26006101661995784			
