	Score	0.95 MoE	P-Value	Q-Value
GO_REGULATION_OF_CALCINEURIN_MEDIATED_SIGNALING	0.28470700877611416			
GO_ACTIN_MEDIATED_CELL_CONTRACTION	0.2770486972671234			
GO_MODULATION_BY_SYMBIONT_OF_HOST_AUTOPHAGY	0.2761582532268864			
MIR548S	0.2757841326853343			
MIR4433A_5P	0.2754314762404835			
MIR4749_3P	0.2731841991432871			
ZNF654_TARGET_GENES	0.27262599399490633			
ZNF85_TARGET_GENES	0.27220879234896095			
GO_MODIFICATION_OF_SYNAPTIC_STRUCTURE	0.2716238576201221			
GSE41867_DAY8_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_UP	0.2710980955547385			
GO_ACTIN_FILAMENT_BASED_MOVEMENT	0.2710954808327516			
GO_CLEAVAGE_FURROW	0.2707889504167903			
GSE15324_ELF4_KO_VS_WT_ACTIVATED_CD8_TCELL_UP	0.2703967241738954			
DANG_REGULATED_BY_MYC_DN	0.27036535322469846			
GSE9946_IMMATURE_VS_LISTERIA_INF_MATURE_DC_UP	0.27021746011612796			
GO_MODIFICATION_OF_POSTSYNAPTIC_STRUCTURE	0.26974981838050477			
HALLMARK_MYOGENESIS	0.2685852243462996			
SASSON_RESPONSE_TO_FORSKOLIN_DN	0.26830743523418454			
GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_DN	0.2682956979784536			
GO_HINDBRAIN_RADIAL_GLIA_GUIDED_CELL_MIGRATION	0.2678906151155494			
ZHU_CMV_24_HR_DN	0.26774919122452207			
REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC	0.26743555402335717			
GSE21546_UNSTIM_VS_ANTI_CD3_STIM_SAP1A_KO_DP_THYMOCYTES_UP	0.26730343904845294			
GO_MUSCLE_STRUCTURE_DEVELOPMENT	0.26727827715180347			
BURTON_ADIPOGENESIS_9	0.26682871569204236			
SASSON_RESPONSE_TO_GONADOTROPHINS_DN	0.26664171376210705			
IZADPANAH_STEM_CELL_ADIPOSE_VS_BONE_DN	0.26623301435524244			
GO_MUSCLE_CELL_DIFFERENTIATION	0.2661907243580962			
GO_MUSCLE_CELL_DEVELOPMENT	0.2655904687041525			
GO_ATRIAL_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION	0.2655664363434177			
GO_LYSINE_METABOLIC_PROCESS	0.26466714078436715			
