	Score	0.95 MoE	P-Value	Q-Value
MIR532_3P	0.35380861014230286			
MIR4680_5P	0.3520172699545045			
MEIS1AHOXA9_01	0.35142934685165744			
GO_RETROGRADE_AXONAL_TRANSPORT	0.3476431975558002			
REACTOME_CILIUM_ASSEMBLY	0.34655919502099414			
MIR7108_5P	0.34597231907492776			
REACTOME_SMOOTH_MUSCLE_CONTRACTION	0.3416285938314155			
GO_PLASMA_MEMBRANE_BOUNDED_CELL_PROJECTION_CYTOPLASM	0.3408096842434243			
GO_REGULATION_OF_CILIUM_ASSEMBLY	0.33999790437261446			
MIR4298	0.3397477040188981			
GO_MICROTUBULE_BINDING	0.3383505829869245			
GO_HARD_PALATE_DEVELOPMENT	0.3360520585206033			
MIR4715_5P	0.33532117167342484			
MIR3150A_3P	0.33519070127088485			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_2	0.3348492449046578			
MIR3158_5P	0.33358913081768776			
GO_AXON_CYTOPLASM	0.3317221675152737			
GO_CYTOPLASMIC_MICROTUBULE	0.3315014208709841			
MIR185_5P	0.3273288625403904			
GO_MICROTUBULE_BASED_MOVEMENT	0.32697993267159503			
TERAMOTO_OPN_TARGETS_CLUSTER_3	0.326643399443282			
GO_PROTEIN_TRANSPORT_ALONG_MICROTUBULE	0.3262960952032676			
MIR6799_5P	0.32598267812282256			
PRKDC_TARGET_GENES	0.32561670403295784			
MIR143_3P_MIR4770	0.32545049983540575			
GO_NEURONAL_SIGNAL_TRANSDUCTION	0.32542570485829325			
MIR6506_5P	0.32429045011291174			
MIR4306	0.3240743450262266			
GO_TUBULIN_BINDING	0.323519939657316			
GO_MICROTUBULE	0.32324097142990416			
IPA_FOXF2_DN	0.3231356174682909			
GO_MICROTUBULE_ASSOCIATED_COMPLEX	0.322116328076622			
MIR483_3P	0.32199775750372295			
GO_POSITIVE_REGULATION_OF_NUCLEAR_CELL_CYCLE_DNA_REPLICATION	0.3215181687476765			
GO_MICROTUBULE_BASED_PROCESS	0.32137355016052577			
MIR4644	0.32118796901475294			
MIR940	0.32107692077851385			
MIR4455	0.3203501316269492			
MIR3126_5P	0.31999167942739976			
MIR6088	0.31983216902763695			
GO_LATERAL_MESODERM_DEVELOPMENT	0.31950854371694076			
MIR3616_3P	0.3189607206466181			
KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3	0.3185724258033461			
OCT1_02	0.31763382093797937			
REACTOME_KINESINS	0.3173189101453178			
MIR4299	0.31675441677665045			
MIR3138	0.31668113232635586			
MIR3649	0.31644718200730915			
MIR6763_5P	0.31568618399640763			
MIR6808_5P	0.31567084805183393			
GO_MICROTUBULE_CYTOSKELETON	0.3148866951775368			
AGGTGCA_MIR500	0.31439285830557745			
GO_POSITIVE_REGULATION_OF_MAPKKK_CASCADE_BY_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	0.3141183485704183			
REACTOME_REGULATION_OF_PLK1_ACTIVITY_AT_G2_M_TRANSITION	0.31411583570867496			
GO_ANTEROGRADE_AXONAL_TRANSPORT	0.31395855453059474			
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE	0.31330106411144665			
GO_SPINDLE_ORGANIZATION	0.31329784723935294			
MIR6086	0.3131529859311025			
MIR4536_3P	0.3131196146050981			
GO_ANTEROGRADE_DENDRITIC_TRANSPORT	0.31235265825459896			
IPA_MYBL2_UP	0.31226847227362464			
MIR1184	0.31226205528752615			
GO_KINESIN_COMPLEX	0.31185288578125425			
GO_CYTOPLASMIC_REGION	0.31165095444088387			
MIR600	0.3114332492463409			
GO_REGULATION_OF_NUCLEAR_CELL_CYCLE_DNA_REPLICATION	0.31138883283418134			
LIANG_SILENCED_BY_METHYLATION_DN	0.3112225144944833			
GSE27786_CD4_TCELL_VS_ERYTHTROBLAST_DN	0.31116613365444806			
IPA_NOTCH2_UP	0.31099994584525825			
GO_DENDRITIC_SPINE_MEMBRANE	0.31094657253470065			
CAGCAGG_MIR370	0.31055229958602554			
AP2_Q6_01	0.310464083604387			
GO_CILIARY_BASAL_BODY_PLASMA_MEMBRANE_DOCKING	0.3104596305451605			
MIR6778_3P	0.3097150116142596			
CCTGAGT_MIR510	0.30959231334596554			
MIR744_5P	0.30930165354852035			
TET1_Splice_Variant_VP_DE456_TARGET_GENES	0.30918385602137133			
GO_CENTROSOME_SEPARATION	0.3082758271266951			
ZHU_CMV_24_HR_DN	0.30813584887115275			
MIR10400_3P_MIR4674	0.3080562835624953			
GO_MIDDLE_EAR_MORPHOGENESIS	0.30787463666346276			
GO_REGULATION_OF_CELL_CHEMOTAXIS_TO_FIBROBLAST_GROWTH_FACTOR	0.3077710962988666			
REACTOME_ROBO_RECEPTORS_BIND_AKAP5	0.3076330398125874			
GO_ATP_DEPENDENT_MICROTUBULE_MOTOR_ACTIVITY_PLUS_END_DIRECTED	0.30749675400449433			
MIR455_3P	0.30745719425097734			
MIR5682	0.30728574626864547			
MIR3189_5P	0.3072365190718954			
