	Score	0.95 MoE	P-Value	Q-Value
CONCANNON_APOPTOSIS_BY_EPOXOMICIN_UP	0.6574538665145201			
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_24H_UP	0.6482011119621842			
DITTMER_PTHLH_TARGETS_UP	0.6380235197324526			
BRUECKNER_TARGETS_OF_MIRLET7A3_UP	0.635322250257693			
HALLMARK_GLYCOLYSIS	0.6345306588830291			
JIANG_HYPOXIA_NORMAL	0.6331694007607449			
NR0B1_TARGET_GENES	0.6300299578049888			
GSE20715_0H_VS_6H_OZONE_LUNG_DN	0.6294548814016763			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1	0.6290389117393312			
REACTOME_LAMININ_INTERACTIONS	0.6286248098860049			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.6273631414356426			
AMIT_EGF_RESPONSE_240_HELA	0.625759244606448			
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.6243030782461931			
GSE5589_UNSTIM_VS_180MIN_LPS_STIM_MACROPHAGE_UP	0.6237325251818233			
GO_LAMININ_COMPLEX	0.6230862259291797			
LHX9_TARGET_GENES	0.6221638531196111			
GUENTHER_GROWTH_SPHERICAL_VS_ADHERENT_DN	0.622159280712962			
GSE2770_IL12_ACT_VS_ACT_CD4_TCELL_2H_DN	0.6221339948647463			
HALLMARK_XENOBIOTIC_METABOLISM	0.6210608347444693			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.6209211692558049			
TOOKER_GEMCITABINE_RESISTANCE_DN	0.6206882455486447			
ESC_V6.5_UP_EARLY.V1_DN	0.6206829405924252			
SINGH_NFE2L2_TARGETS	0.620092219713114			
CHIBA_RESPONSE_TO_TSA_DN	0.6199267359925783			
GO_ENTRY_OF_BACTERIUM_INTO_HOST_CELL	0.6197777656389261			
ESC_J1_UP_LATE.V1_UP	0.619671906974629			
GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN	0.6195673715406852			
GO_LAMININ_BINDING	0.6188641669114314			
