	Score	0.95 MoE	P-Value	Q-Value
GO_AUTOPHAGIC_CELL_DEATH	0.4102630442577595			
GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_BCELL_UP	0.4092966658534689			
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.40922124748741			
VANTVEER_BREAST_CANCER_BRCA1_DN	0.4065319233106666			
GO_SUBSTRATE_DEPENDENT_CELL_MIGRATION_CELL_EXTENSION	0.404796878110868			
GO_RESPONSE_TO_MANGANESE_ION	0.40371206756380457			
GO_CELLULAR_RESPONSE_TO_MANGANESE_ION	0.40369566502411186			
GO_DENDRITIC_SPINE_MAINTENANCE	0.4016822592032786			
MIR4772_5P	0.40003556240479676			
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_45MIN_UP	0.3999109712229514			
GO_POSITIVE_REGULATION_OF_ENDOCYTOSIS	0.3987101362185787			
GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_UP	0.39743395961052275			
GO_REGULATION_OF_ENDOCYTOSIS	0.39700911774031655			
DOANE_BREAST_CANCER_CLASSES_DN	0.39591043657058017			
GO_REGULATION_OF_AMYLOID_FIBRIL_FORMATION	0.39575464662422394			
REACTOME_INACTIVATION_OF_CDC42_AND_RAC1	0.3955256486781843			
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	0.3936214126615664			
TIEN_INTESTINE_PROBIOTICS_2HR_DN	0.39342347934574246			
GO_CELLULAR_COPPER_ION_HOMEOSTASIS	0.3925532859758717			
GO_CEREBRAL_CORTEX_CELL_MIGRATION	0.3925158882929471			
GO_AXON_MIDLINE_CHOICE_POINT_RECOGNITION	0.39242618074349184			
REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS	0.39240169750378784			
GO_CLATHRIN_BINDING	0.39134698900449316			
GO_ION_CHANNEL_BINDING	0.39132090136043535			
REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT	0.3910480869045915			
GSE3982_MAST_CELL_VS_BCELL_UP	0.39080405321732736			
GSE11961_FOLLICULAR_BCELL_VS_MEMORY_BCELL_DAY40_DN	0.39046271348711975			
MIR6843_3P	0.3904142528511612			
GO_ACTIN_MEDIATED_CELL_CONTRACTION	0.3897005528227197			
BIOCARTA_AGR_PATHWAY	0.3889789611531016			
ACACTAC_MIR1423P	0.38889270885236443			
GO_SYNAPTIC_GROWTH_AT_NEUROMUSCULAR_JUNCTION	0.38756513957884214			
GO_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS	0.3873433876169269			
MIR6848_3P	0.38710562596114634			
GSE1460_NAIVE_CD4_TCELL_CORD_BLOOD_VS_THYMIC_STROMAL_CELL_DN	0.3870303036121674			
GSE45365_BCELL_VS_CD8_TCELL_DN	0.38552657172003174			
HELLER_HDAC_TARGETS_UP	0.3849568343428622			
GO_TRANS_SYNAPTIC_SIGNALING_BY_TRANS_SYNAPTIC_COMPLEX	0.3848739373138896			
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_DN	0.3843415126288604			
GSE5589_UNSTIM_VS_180MIN_LPS_STIM_MACROPHAGE_UP	0.38403105830649636			
MIR122B_5P	0.38385194150815627			
GSE5589_UNSTIM_VS_45MIN_LPS_AND_IL6_STIM_MACROPHAGE_DN	0.3836821385337359			
LEIN_PONS_MARKERS	0.38361243247116933			
CRX_NRL_DN.V1_DN	0.3832291174687169			
SASSON_RESPONSE_TO_GONADOTROPHINS_UP	0.3829594476472477			
GO_AGGREPHAGY	0.3824998772295838			
IPA_BRCA2_UP	0.3822984673746545			
HALLMARK_MYOGENESIS	0.3822868416028542			
HAND1_TARGET_GENES	0.3822788133550037			
WENDT_COHESIN_TARGETS_UP	0.38212198404971315			
GO_POSITIVE_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	0.3819511316404592			
WONG_ADULT_TISSUE_STEM_MODULE	0.38190126388991774			
MIR4255	0.3814906954304441			
GO_CHAPERONE_MEDIATED_AUTOPHAGY	0.38135679030596364			
MIR4504	0.3810224442854124			
GO_POSITIVE_REGULATION_OF_NEUROMUSCULAR_JUNCTION_DEVELOPMENT	0.3809949791275068			
BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP	0.38064170375826206			
GO_NEGATIVE_REGULATION_OF_SYNAPSE_ASSEMBLY	0.3802834126261815			
GO_VESICLE_TRANSPORT_ALONG_ACTIN_FILAMENT	0.3801972893471705			
REACTOME_HS_GAG_BIOSYNTHESIS	0.38016273459067695			
GSE26488_CTRL_VS_PEPTIDE_INJECTION_HDAC7_DELTAP_TG_OT2_THYMOCYTE_DN	0.3801471910241584			
GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.3799301707162123			
MIR7150	0.3798579382542345			
PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY	0.37982251293383584			
GO_AXON_CHOICE_POINT_RECOGNITION	0.37970636660059504			
GO_POSTSYNAPTIC_SPECIALIZATION_INTRACELLULAR_COMPONENT	0.3796599112783238			
OUYANG_PROSTATE_CANCER_PROGRESSION_DN	0.3794663847181705			
MIR142_3P	0.37916788896137243			
UBN1_TARGET_GENES	0.37823172519918163			
GO_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	0.378031719788193			
GO_LIPOPROTEIN_PARTICLE_RECEPTOR_BINDING	0.37789789272681523			
GO_FILAMENTOUS_ACTIN	0.37754606859662915			
BASSO_HAIRY_CELL_LEUKEMIA_UP	0.3772320133116583			
GO_COPPER_ION_HOMEOSTASIS	0.37707340180851384			
IPA_KDR_UP	0.376936648812448			
GO_DENDRITIC_SPINE_DEVELOPMENT	0.3768676633453621			
GO_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT	0.3766474532977268			
REACTOME_TRANSLOCATION_OF_SLC2A4_GLUT4_TO_THE_PLASMA_MEMBRANE	0.376208597871434			
LU_AGING_BRAIN_UP	0.3761997806469857			
REACTOME_VESICLE_MEDIATED_TRANSPORT	0.3761500767705921			
GSE27670_CTRL_VS_LMP1_TRANSDUCED_GC_BCELL_DN	0.3760676980310174			
GO_NEGATIVE_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION	0.3760636047157047			
GO_I_BAND	0.37586828618385165			
IKEDA_MIR1_TARGETS_UP	0.37576841643927583			
GO_REGULATION_OF_RECEPTOR_INTERNALIZATION	0.3756468701219092			
GO_ADHERENS_JUNCTION	0.37543295502219765			
GO_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION	0.375243556280898			
LEIN_ASTROCYTE_MARKERS	0.3751803259568846			
GSE3982_MAST_CELL_VS_EFF_MEMORY_CD4_TCELL_UP	0.37498931126783047			
PID_NCADHERIN_PATHWAY	0.37495329703750635			
BOYLAN_MULTIPLE_MYELOMA_PCA1_DN	0.3749036786429184			
GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN	0.3747104641573765			
GO_BASEMENT_MEMBRANE	0.3747057093744066			
GO_CELLULAR_COMPONENT_MORPHOGENESIS	0.3746731985062927			
GO_CELLULAR_MACROMOLECULE_LOCALIZATION	0.3746433850140515			
ALCALAY_AML_BY_NPM1_LOCALIZATION_UP	0.37446622357261344			
GO_CLATHRIN_COATED_PIT	0.3744305571096978			
GO_RECEPTOR_INTERNALIZATION	0.374317551303724			
GO_CLUSTERING_OF_VOLTAGE_GATED_SODIUM_CHANNELS	0.3743142688342238			
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_24H_UP	0.37427331819373516			
GO_MULTIVESICULAR_BODY_SORTING_PATHWAY	0.37397237351603974			
GO_MEMBRANE_REPOLARIZATION	0.3739346459144275			
KYNG_DNA_DAMAGE_BY_4NQO	0.37389419401728574			
GSE1460_NAIVE_CD4_TCELL_ADULT_BLOOD_VS_THYMIC_STROMAL_CELL_DN	0.3738563517443587			
GSE3982_MAST_CELL_VS_NKCELL_UP	0.37381061109634933			
PAPASPYRIDONOS_UNSTABLE_ATEROSCLEROTIC_PLAQUE_DN	0.3736727209449953			
GSE37301_CD4_TCELL_VS_RAG2_KO_NK_CELL_DN	0.3735981278356954			
REACTOME_ECM_PROTEOGLYCANS	0.37311478276847737			
GO_NEUROMUSCULAR_JUNCTION_DEVELOPMENT	0.3729483659532856			
JOHANSSON_BRAIN_CANCER_EARLY_VS_LATE_DN	0.37292843790741764			
SAKAI_TUMOR_INFILTRATING_MONOCYTES_UP	0.3729197656306625			
GO_CAVEOLA	0.37283136375268033			
HOX13_01	0.37269493165747003			
LIU_PROSTATE_CANCER_DN	0.37246745440838425			
GO_PRESYNAPTIC_ENDOCYTIC_ZONE_MEMBRANE	0.3721569855625345			
GSE3982_MAST_CELL_VS_TH1_UP	0.3718913410221055			
GO_REGULATION_OF_BASEMENT_MEMBRANE_ASSEMBLY_INVOLVED_IN_EMBRYONIC_BODY_MORPHOGENESIS	0.3718736379319668			
GO_CELL_CELL_CONTACT_ZONE	0.37186126730321734			
GO_POSITIVE_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION	0.3718387692325981			
GSE32533_WT_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_DN	0.37159156024551177			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_DN	0.37156137029760095			
GO_POSTSYNAPTIC_DENSITY_INTRACELLULAR_COMPONENT	0.3715118039495348			
HADDAD_T_LYMPHOCYTE_AND_NK_PROGENITOR_UP	0.371469943977732			
GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP	0.37139583643999424			
GO_NEURON_PROJECTION_REGENERATION	0.3710670807089808			
GO_NETRIN_ACTIVATED_SIGNALING_PATHWAY	0.3709934838879211			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.37092879849184063			
BIOCARTA_ACTINY_PATHWAY	0.370914016741128			
GO_CLATHRIN_DEPENDENT_ENDOCYTOSIS	0.37074645223929936			
BURTON_ADIPOGENESIS_9	0.3707462499496812			
PID_IGF1_PATHWAY	0.3707272131874944			
SERVITJA_LIVER_HNF1A_TARGETS_UP	0.3707170795141795			
SENESE_HDAC3_TARGETS_DN	0.3706766494944594			
GO_RESPONSE_TO_AXON_INJURY	0.3705764119395667			
DACOSTA_UV_RESPONSE_VIA_ERCC3_TTD_UP	0.37052378001685843			
GO_FLOTILLIN_COMPLEX	0.3704727709048112			
GO_CONTRACTILE_FIBER	0.37031109784948096			
REACTOME_FORMYL_PEPTIDE_RECEPTORS_BIND_FORMYL_PEPTIDES_AND_MANY_OTHER_LIGANDS	0.37019069809966987			
GO_ACTIN_FILAMENT_BASED_MOVEMENT	0.3701168995972857			
GO_ACTIN_FILAMENT_BUNDLE	0.37008132036029856			
GO_SCHAFFER_COLLATERAL_CA1_SYNAPSE	0.3700412803266083			
GSE15324_ELF4_KO_VS_WT_NAIVE_CD8_TCELL_UP	0.3700342879392279			
SUBTIL_PROGESTIN_TARGETS	0.3698331082348322			
ZBTB1_TARGET_GENES	0.3696983854756163			
GO_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	0.3695395846087287			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.36948177619037365			
HIRSCH_CELLULAR_TRANSFORMATION_SIGNATURE_DN	0.3694785314202267			
YAMAZAKI_TCEB3_TARGETS_UP	0.3692465889931604			
GO_MEMBRANE_REPOLARIZATION_DURING_ACTION_POTENTIAL	0.3691848539139205			
GO_SYNAPSE_ORGANIZATION	0.36918174917300123			
GSE7831_1H_VS_4H_INFLUENZA_STIM_PDC_UP	0.369152689721431			
ROZANOV_MMP14_TARGETS_DN	0.3690803920819406			
GSE21546_UNSTIM_VS_ANTI_CD3_STIM_DP_THYMOCYTES_UP	0.36897579423839266			
GSE32533_WT_VS_MIR17_KO_ACT_CD4_TCELL_UP	0.36896528256590255			
JIANG_AGING_HYPOTHALAMUS_DN	0.36885450106945145			
MIR1914_5P	0.3687178790227163			
GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_UP	0.368613925476167			
SHEN_SMARCA2_TARGETS_UP	0.3686010434729273			
GSE41978_WT_VS_ID2_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP	0.3685974757084664			
TSENG_IRS1_TARGETS_DN	0.3685466533038112			
GSE35685_CD34POS_CD38NEG_VS_CD34POS_CD10NEG_CD62LPOS_BONE_MARROW_DN	0.3685333169772162			
PLASARI_NFIC_TARGETS_BASAL_UP	0.3683508416355921			
GSE3982_MAST_CELL_VS_TH2_UP	0.3683155644861232			
SCHAEFFER_PROSTATE_DEVELOPMENT_12HR_UP	0.36824228221288624			
BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN	0.3681422734215785			
GO_REGULATION_OF_MUSCLE_SYSTEM_PROCESS	0.3681245468099506			
GSE16451_IMMATURE_VS_MATURE_NEURON_CELL_LINE_WEST_EQUINE_ENC_VIRUS_UP	0.3680515257648995			
GO_REGULATION_OF_CELLULAR_PROTEIN_LOCALIZATION	0.36800576334284096			
GO_LAMININ_COMPLEX	0.36796722718342956			
GO_POSITIVE_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT	0.36794349754138606			
NR0B1_TARGET_GENES	0.367900720384887			
REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2	0.36782779688489364			
BERENJENO_TRANSFORMED_BY_RHOA_DN	0.36774632638936533			
DITTMER_PTHLH_TARGETS_UP	0.3676196853056845			
GSE24142_ADULT_VS_FETAL_DN3_THYMOCYTE_DN	0.36737803466288865			
REACTOME_MET_ACTIVATES_PTK2_SIGNALING	0.3672800126134485			
ACTTTAT_MIR1425P	0.36722262290096797			
GSE45365_CD8A_DC_VS_CD11B_DC_IFNAR_KO_UP	0.367053240599494			
GO_INTERCALATED_DISC	0.36699336543330674			
LEE_NEURAL_CREST_STEM_CELL_UP	0.36688126300340806			
MIR206	0.36684199362636266			
GO_CLATHRIN_COAT_OF_COATED_PIT	0.3668129436328491			
PCGF1_TARGET_GENES	0.3666978242958753			
GSE8678_IL7R_LOW_VS_HIGH_EFF_CD8_TCELL_UP	0.36658333559574374			
GO_COLLATERAL_SPROUTING	0.36655618812937785			
SRF_Q4	0.36648935596120275			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	0.36648500170799686			
GO_REGULATION_OF_CYTOPLASMIC_TRANSPORT	0.36639077942617937			
GO_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ASSEMBLY	0.3663150457802304			
GSE7852_LN_VS_FAT_TREG_DN	0.3663120433894318			
GO_AXON_EXTENSION	0.3662708323392031			
GO_RECEPTOR_MEDIATED_ENDOCYTOSIS	0.3662521492406664			
MIR613	0.36624442073273605			
PASINI_SUZ12_TARGETS_DN	0.3661847585845824			
GO_REGULATION_OF_CELL_MORPHOGENESIS	0.3661481534110411			
TIEN_INTESTINE_PROBIOTICS_6HR_DN	0.3661462753733766			
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	0.3661391678651477			
GO_CELLULAR_COMPONENT_MAINTENANCE	0.3658948030333571			
LIM_MAMMARY_LUMINAL_PROGENITOR_DN	0.3658736237861899			
SASSON_RESPONSE_TO_FORSKOLIN_UP	0.3658638486295381			
NABA_ECM_GLYCOPROTEINS	0.3658475721321084			
ZHAN_MULTIPLE_MYELOMA_MS_UP	0.36583749895981715			
GO_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	0.3657924814263571			
GO_T_TUBULE_ORGANIZATION	0.3657683107076479			
KAAB_HEART_ATRIUM_VS_VENTRICLE_UP	0.3656958487602658			
GO_REGULATION_OF_EARLY_ENDOSOME_TO_LATE_ENDOSOME_TRANSPORT	0.3656908392340721			
GO_REGULATION_OF_CYTOSKELETON_ORGANIZATION	0.3656200860988807			
GO_CARDIAC_MUSCLE_CELL_CONTRACTION	0.3656191928594869			
GO_REGULATION_OF_MUSCLE_CONTRACTION	0.36553210795752666			
GO_NEGATIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION	0.3654762742534765			
GO_REGULATION_OF_MEMBRANE_REPOLARIZATION	0.3653295965351729			
GO_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION	0.3653088814761099			
GSE4590_PRE_BCELL_VS_SMALL_PRE_BCELL_UP	0.36526350411285374			
GO_GERM_CELL_MIGRATION	0.3651892264700974			
CORDENONSI_YAP_CONSERVED_SIGNATURE	0.3651277869631586			
GO_CYTOSKELETON_ORGANIZATION	0.36507121621565813			
GO_TELENCEPHALON_GLIAL_CELL_MIGRATION	0.36502734711815926			
GO_ACTOMYOSIN	0.36494665152605665			
GO_FOCAL_ADHESION_ASSEMBLY	0.3649014645620799			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.3648572625390507			
GO_LYSOSOMAL_TRANSPORT	0.3648571915588249			
GO_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING	0.36483065934998427			
TSENG_ADIPOGENIC_POTENTIAL_DN	0.3647718869917612			
GO_FOREBRAIN_CELL_MIGRATION	0.364584391146351			
GSE3982_DC_VS_BCELL_UP	0.36451687793077703			
GO_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION	0.3642495890497327			
GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.3642173362121024			
GO_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY	0.3642003874932676			
MIR4477B	0.36391792393598205			
GO_NEGATIVE_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION	0.36384748049326415			
REACTOME_EPH_EPHRIN_SIGNALING	0.363811418490806			
GO_AMYLOID_BETA_CLEARANCE_BY_TRANSCYTOSIS	0.3636964918572848			
MIR1_3P	0.3636920686103097			
GO_INSULIN_RESPONSIVE_COMPARTMENT	0.3634166321746504			
GO_POSITIVE_REGULATION_OF_DENDRITE_DEVELOPMENT	0.36339231597852184			
GO_LOW_DENSITY_LIPOPROTEIN_PARTICLE_RECEPTOR_BINDING	0.3633782383859149			
GO_MALE_SEX_DIFFERENTIATION	0.36335611410309493			
PSMB5_TARGET_GENES	0.36330938209107344			
GO_COMMISSURAL_NEURON_AXON_GUIDANCE	0.36327155350240803			
GO_ENDOTHELIAL_CELL_MIGRATION	0.36322956756905583			
GO_PROTEIN_LOCALIZATION_TO_MICROTUBULE_END	0.36317726661840366			
GSE21546_WT_VS_SAP1A_KO_AND_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_UP	0.36317407790252026			
QI_HYPOXIA_TARGETS_OF_HIF1A_AND_FOXA2	0.36310678553564213			
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN	0.36310606818240077			
GO_SYNAPTIC_CLEFT	0.363055194161273			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.3630071484568808			
GO_SARCOLEMMA	0.3630055311346444			
GO_PLATELET_ALPHA_GRANULE_MEMBRANE	0.36288947467429605			
GO_NEGATIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	0.3628771587656538			
GO_REGULATION_OF_EXTENT_OF_CELL_GROWTH	0.3628660640703453			
BROWNE_HCMV_INFECTION_16HR_DN	0.3628296568298737			
REACTOME_L1CAM_INTERACTIONS	0.36280812701402493			
JIANG_HYPOXIA_CANCER	0.36277308222617866			
MIR889_3P	0.3626542050531413			
GO_WNT_ACTIVATED_RECEPTOR_ACTIVITY	0.3626321569530373			
GO_GDP_BINDING	0.36245829710830263			
MILI_PSEUDOPODIA_CHEMOTAXIS_DN	0.362386786583164			
GSE6259_CD4_TCELL_VS_CD8_TCELL_UP	0.36229892972944894			
GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY7_DN	0.36226950454762696			
AP1FJ_Q2	0.3622678284894455			
MIR4313	0.3622609447476981			
GO_MYELIN_SHEATH_ABAXONAL_REGION	0.36215409499416334			
KAMIKUBO_MYELOID_MN1_NETWORK	0.36201322857195645			
PUIFFE_INVASION_INHIBITED_BY_ASCITES_DN	0.36198525621789557			
GO_SUBSTRATE_DEPENDENT_CELL_MIGRATION	0.36188344583346			
GO_CLATHRIN_COAT_OF_ENDOCYTIC_VESICLE	0.3618305413262348			
GO_ANNEALING_ACTIVITY	0.3617107201473129			
WANG_LMO4_TARGETS_UP	0.3616489380268559			
GO_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS	0.36158868951208706			
LANDIS_ERBB2_BREAST_TUMORS_65_DN	0.3614995324949084			
GO_PLASMA_MEMBRANE_ORGANIZATION	0.36148037217690004			
GO_REGULATION_OF_SIGNALING_RECEPTOR_ACTIVITY	0.3614759542261956			
REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE	0.3613692872223865			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.36127938735112775			
MIR3685	0.3612022246869472			
GO_NEURON_PROJECTION_ORGANIZATION	0.3611986503924398			
MIR503_5P	0.3611707561008048			
CHEN_LVAD_SUPPORT_OF_FAILING_HEART_UP	0.36075443026696885			
REACTOME_MEMBRANE_TRAFFICKING	0.3607389921533242			
ALFANO_MYC_TARGETS	0.36073520031436795			
GO_ANGIOTENSIN_ACTIVATED_SIGNALING_PATHWAY	0.3607221739053779			
KAN_RESPONSE_TO_ARSENIC_TRIOXIDE	0.36066072510797303			
NABA_BASEMENT_MEMBRANES	0.3606454581217478			
GO_CO_RECEPTOR_BINDING	0.3606337570886374			
PILON_KLF1_TARGETS_UP	0.36061208728310873			
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4	0.3605939061728968			
REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM	0.36046740101423086			
GO_WNT_PROTEIN_BINDING	0.3604563924647517			
