	Score	0.95 MoE	P-Value	Q-Value
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN	0.4632625716690646			
GSE3982_MAC_VS_BCELL_UP	0.46204456350496576			
REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	0.4595672193979337			
HUANG_DASATINIB_RESISTANCE_UP	0.45923720534079265			
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_B	0.45701501528970745			
TBK1.DF_UP	0.4560121440960018			
GSE2770_IL12_ACT_VS_ACT_CD4_TCELL_2H_DN	0.45207072405227455			
ELVIDGE_HYPOXIA_BY_DMOG_UP	0.45146863586938085			
CAHOY_ASTROGLIAL	0.4514101898975132			
NUYTTEN_EZH2_TARGETS_UP	0.45072017725702235			
ELVIDGE_HYPOXIA_UP	0.4503926221007106			
GSE3982_DC_VS_NKCELL_UP	0.4503711576563903			
PEDERSEN_TARGETS_OF_611CTF_ISOFORM_OF_ERBB2	0.44976131337086206			
GSE42088_UNINF_VS_LEISHMANIA_INF_DC_24H_DN	0.44973153421569967			
CONCANNON_APOPTOSIS_BY_EPOXOMICIN_UP	0.44819827524133543			
AMIT_EGF_RESPONSE_240_HELA	0.4480354636785453			
LINSLEY_MIR16_TARGETS	0.44716054427672314			
FORTSCHEGGER_PHF8_TARGETS_DN	0.4471082250330063			
GSE42088_UNINF_VS_LEISHMANIA_INF_DC_4H_UP	0.4470648981131226			
WANG_METHYLATED_IN_BREAST_CANCER	0.44677935129955115			
HENDRICKS_SMARCA4_TARGETS_UP	0.4466053809707775			
RAF_UP.V1_UP	0.44628182532945276			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_CDC25_DN	0.4460389379633171			
OSADA_ASCL1_TARGETS_DN	0.4459663422647526			
EGFR_UP.V1_UP	0.4458658697997412			
PETROVA_ENDOTHELIUM_LYMPHATIC_VS_BLOOD_DN	0.4456398293126631			
GUENTHER_GROWTH_SPHERICAL_VS_ADHERENT_DN	0.44554351425492295			
WEINMANN_ADAPTATION_TO_HYPOXIA_DN	0.4452650006994617			
ZMYND8_TARGET_GENES	0.4443809579207364			
BMI1_DN.V1_UP	0.44401473884463616			
ESC_V6.5_UP_EARLY.V1_DN	0.44395084150466024			
COLINA_TARGETS_OF_4EBP1_AND_4EBP2	0.4433001803538346			
BROWNE_HCMV_INFECTION_14HR_DN	0.44293352114485457			
GSE2770_IL12_AND_TGFB_VS_IL4_TREATED_ACT_CD4_TCELL_2H_UP	0.4428610312160824			
GROSS_HYPOXIA_VIA_HIF1A_DN	0.442369359920639			
RB_DN.V1_DN	0.4421172867891813			
FRIDMAN_SENESCENCE_UP	0.4420616544564267			
HOOI_ST7_TARGETS_UP	0.44160348670134647			
GRUETZMANN_PANCREATIC_CANCER_UP	0.44135318594179546			
KIM_WT1_TARGETS_UP	0.44135088668130884			
GSE2405_HEAT_KILLED_LYSATE_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_24H_UP	0.44076112981883026			
DELACROIX_RARG_BOUND_MEF	0.4400140769029363			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_DN	0.4398881593183177			
PHONG_TNF_RESPONSE_NOT_VIA_P38	0.4398364531937469			
GSE26488_WT_VS_HDAC7_DELTAP_TG_OT2_THYMOCYTE_WITH_PEPTIDE_INJECTION_DN	0.4397750743649274			
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_DN	0.4395166447037871			
GSE11924_TH1_VS_TH2_CD4_TCELL_DN	0.43924214861137817			
MEL18_DN.V1_UP	0.43917154647767276			
DITTMER_PTHLH_TARGETS_UP	0.43906550533672667			
WINTER_HYPOXIA_METAGENE	0.43898386795078564			
BRUINS_UVC_RESPONSE_LATE	0.43884127954590435			
GO_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	0.43879330966545266			
GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_10MIN_UP	0.43877985000927694			
FRIDMAN_IMMORTALIZATION_DN	0.43874977608286825			
GSE37301_CD4_TCELL_VS_RAG2_KO_NK_CELL_DN	0.43863502824373485			
AMIT_EGF_RESPONSE_480_HELA	0.4383378613605738			
GSE2405_0H_VS_3H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	0.43832618739280654			
DURCHDEWALD_SKIN_CARCINOGENESIS_DN	0.4381964759358698			
GO_CAVEOLA	0.4380144496931043			
GO_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	0.4378649244068358			
GSE5589_UNSTIM_VS_180MIN_LPS_STIM_MACROPHAGE_UP	0.4377560910396048			
