	Score	0.95 MoE	P-Value	Q-Value
GOZGIT_ESR1_TARGETS_DN	0.5471859897446888			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.543522870064432			
GO_ADHERENS_JUNCTION	0.5404298271902561			
ESC_J1_UP_LATE.V1_UP	0.5403186224358801			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.5389825905028756			
GO_EPITHELIAL_CELL_DEVELOPMENT	0.5387565147307481			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.5373938745847131			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.537251380270197			
GO_CELL_CELL_JUNCTION	0.5371074368542484			
RIGGINS_TAMOXIFEN_RESISTANCE_DN	0.5367979452154953			
GO_COSTAMERE	0.5361393416069278			
GSE42021_TREG_VS_TCONV_PLN_DN	0.5357978507314334			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.534470163681119			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.5331370938516312			
GO_CELL_JUNCTION_ORGANIZATION	0.5317465572637129			
GO_POSITIVE_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION	0.5308759558000451			
GO_CELL_JUNCTION_ASSEMBLY	0.5308346726147594			
KIM_WT1_TARGETS_12HR_UP	0.5305582883129196			
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN	0.5301612512563237			
REACTOME_CELL_CELL_COMMUNICATION	0.5294301937543804			
GSE9316_IL6_KO_VS_IFNG_KO_INVIVO_EXPANDED_CD4_TCELL_UP	0.5286797985912317			
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	0.5284727922306599			
GSE3982_MAST_CELL_VS_TH2_UP	0.5279542807038864			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.5278156872564024			
GO_REGULATION_OF_ENDOCYTOSIS	0.526712251121938			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.5264351233188957			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.5262495505662773			
KARLSSON_TGFB1_TARGETS_DN	0.52589447055904			
GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP	0.5251840938167732			
GO_SARCOLEMMA	0.5248951461616905			
GSE21670_STAT3_KO_VS_WT_CD4_TCELL_IL6_TREATED_DN	0.5244295028571234			
GO_REGULATION_OF_CELL_MATRIX_ADHESION	0.5243958682318046			
GSE2826_WT_VS_BTK_KO_BCELL_DN	0.523835543114261			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	0.5235067681149045			
GO_INTERCALATED_DISC	0.5234919885229768			
BROWNE_HCMV_INFECTION_16HR_DN	0.5232828017383664			
GSE21380_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.5231239811203834			
GSE11961_FOLLICULAR_BCELL_VS_MEMORY_BCELL_DAY40_DN	0.5230140517015052			
GSE41978_WT_VS_ID2_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP	0.5228412816814924			
GSE32533_WT_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_DN	0.5227515888528241			
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.5224159689300744			
GSE6259_FLT3L_INDUCED_33D1_POS_DC_VS_CD8_TCELL_UP	0.522103112814911			
MEK_UP.V1_UP	0.5220088349802418			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.5215011045118951			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.5212561967522551			
GO_CELL_CELL_JUNCTION_ORGANIZATION	0.5211904152414516			
WGGAATGY_TEF1_Q6	0.5211589117487935			
JIANG_HYPOXIA_NORMAL	0.521122496746076			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.5210891554722976			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.5198399144990459			
NUYTTEN_NIPP1_TARGETS_DN	0.519373212210904			
GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN	0.5191788483772238			
MIR3943	0.5189865629270268			
VANTVEER_BREAST_CANCER_BRCA1_DN	0.518756818082479			
GO_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.5182707176629303			
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX2_DN	0.5182687243154177			
LTE2_UP.V1_UP	0.5173978863623218			
GO_CELL_CELL_JUNCTION_ASSEMBLY	0.5172991747475894			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.5165890232060343			
GO_REGULATION_OF_SMAD_PROTEIN_SIGNAL_TRANSDUCTION	0.5163995127854181			
GO_CELL_CELL_CONTACT_ZONE	0.5158897481291616			
GO_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY	0.5155671966213018			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.5153575520086645			
GO_CELL_LEADING_EDGE	0.5148390290895303			
DELACROIX_RARG_BOUND_MEF	0.5148371590280305			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_4	0.5145323651232155			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.5138018955936562			
GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.5132969584121215			
PID_FAK_PATHWAY	0.513080176783607			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.5129516272291114			
GSE6259_33D1_POS_DC_VS_BCELL_UP	0.5129356327306211			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.5125294022065798			
GO_PLASMA_MEMBRANE_ORGANIZATION	0.5123161493291635			
RODRIGUES_THYROID_CARCINOMA_POORLY_DIFFERENTIATED_DN	0.512025954838694			
GO_CADHERIN_BINDING	0.5115485176731119			
IGLV5_37_TARGET_GENES	0.5115057158145224			
GO_CELL_MATRIX_ADHESION	0.5109922296035888			
P53_DN.V1_UP	0.5109711677228365			
PRMT5_TARGET_GENES	0.5109284589367984			
PASINI_SUZ12_TARGETS_DN	0.5104432257719074			
WESTON_VEGFA_TARGETS_6HR	0.5102050889686692			
BURTON_ADIPOGENESIS_9	0.510164356561683			
BHAT_ESR1_TARGETS_VIA_AKT1_DN	0.5096068746595663			
GAUSSMANN_MLL_AF4_FUSION_TARGETS_F_UP	0.5092284093395217			
PID_ECADHERIN_STABILIZATION_PATHWAY	0.5091974271229521			
CERVERA_SDHB_TARGETS_1_UP	0.5087481814579804			
UDAYAKUMAR_MED1_TARGETS_DN	0.5086835360184296			
GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_20MIN_UP	0.5086154333563712			
DURAND_STROMA_NS_UP	0.5084120540407415			
GO_CONTRACTILE_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.507969585103432			
GO_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS	0.5076587901639447			
GSE21546_UNSTIM_VS_ANTI_CD3_STIM_SAP1A_KO_DP_THYMOCYTES_UP	0.5073778536629273			
BIOCARTA_AGR_PATHWAY	0.507272949632312			
BASSO_HAIRY_CELL_LEUKEMIA_UP	0.5070087402479423			
ONDER_CDH1_SIGNALING_VIA_CTNNB1	0.5069725932188781			
AMIT_SERUM_RESPONSE_240_MCF10A	0.5066698158973693			
GO_ENDOMEMBRANE_SYSTEM_ORGANIZATION	0.5060797210449718			
WU_CELL_MIGRATION	0.5060105460529102			
RAF_UP.V1_DN	0.5059061532377845			
GO_CELL_CORTEX	0.5054860274341944			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.5052395050053504			
IZADPANAH_STEM_CELL_ADIPOSE_VS_BONE_DN	0.5050523846405822			
GO_PLASMA_MEMBRANE_REGION	0.504780975630661			
GO_ACTIN_FILAMENT_BUNDLE	0.504744213101537			
POOLA_INVASIVE_BREAST_CANCER_DN	0.5046679123842654			
IVANOVA_HEMATOPOIESIS_STEM_CELL_LONG_TERM	0.5046064350754075			
PROVENZANI_METASTASIS_DN	0.504101400129248			
PILON_KLF1_TARGETS_UP	0.502924037263034			
KOYAMA_SEMA3B_TARGETS_UP	0.5028873705714079			
GO_CELL_ADHESION_MOLECULE_BINDING	0.5022850959435556			
GO_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.5022761492464896			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1	0.5021698634826807			
GAUSSMANN_MLL_AF4_FUSION_TARGETS_E_UP	0.5021473904306648			
REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE	0.5020191797100253			
REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2	0.5018324166779613			
GO_SALIVARY_GLAND_DEVELOPMENT	0.501701601326517			
FORTSCHEGGER_PHF8_TARGETS_DN	0.5016401234809995			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.5015550421650222			
REACTOME_MEMBRANE_TRAFFICKING	0.5015188089716524			
JOHNSTONE_PARVB_TARGETS_3_UP	0.5014435955103924			
GSE24142_ADULT_VS_FETAL_DN3_THYMOCYTE_DN	0.501297424062532			
HALLMARK_APICAL_JUNCTION	0.5010778488815832			
GO_FOCAL_ADHESION_ASSEMBLY	0.5010252382611899			
PID_AJDISS_2PATHWAY	0.5009856002607297			
GO_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ASSEMBLY	0.5009298106397454			
ERBB2_UP.V1_UP	0.5007565570467202			
GO_ACTOMYOSIN	0.5006982113303062			
GSE22313_HEALTHY_VS_SLE_MOUSE_CD4_TCELL_UP	0.5006602101133493			
GO_MULTIVESICULAR_BODY_SORTING_PATHWAY	0.5004572213354865			
GO_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	0.5003122999767908			
GO_TISSUE_MIGRATION	0.5001868872798827			
LEE_BMP2_TARGETS_UP	0.49975751168690347			
GSE21546_UNSTIM_VS_ANTI_CD3_STIM_DP_THYMOCYTES_UP	0.4994349181149057			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_DN	0.4994206216711862			
GO_I_BAND	0.4991598068737314			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM3	0.49909312901459985			
GSE7831_1H_VS_4H_INFLUENZA_STIM_PDC_UP	0.4990035702143706			
HAN_SATB1_TARGETS_DN	0.4989486689533447			
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	0.4988784750742542			
HUPER_BREAST_BASAL_VS_LUMINAL_DN	0.4988418966507597			
BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN	0.4987059977316103			
HALMOS_CEBPA_TARGETS_DN	0.4986145783552335			
PID_FGF_PATHWAY	0.4986114823634394			
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_B	0.4984548377702984			
GO_POSITIVE_REGULATION_OF_ENDOCYTOSIS	0.4983568520067149			
LOPEZ_MESOTHELIOMA_SURVIVAL_OVERALL_DN	0.49834414457545706			
GO_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA	0.4982679329038967			
GO_EPITHELIUM_DEVELOPMENT	0.49791281073668886			
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_45MIN_UP	0.49783943962761024			
