	Score	0.95 MoE	P-Value	Q-Value
GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN	0.6043392697666112			
DITTMER_PTHLH_TARGETS_UP	0.5972416605764927			
KIM_WT1_TARGETS_12HR_UP	0.5959119668737398			
JIANG_HYPOXIA_NORMAL	0.59473545185077			
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.5938886750182907			
REACTOME_LAMININ_INTERACTIONS	0.5924539782882245			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.5914130445388793			
BOYLAN_MULTIPLE_MYELOMA_C_DN	0.590592744964752			
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_24H_UP	0.5892731447883143			
GUENTHER_GROWTH_SPHERICAL_VS_ADHERENT_DN	0.5889735626325313			
REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	0.5885888677754203			
YAMAZAKI_TCEB3_TARGETS_UP	0.5884702226283015			
REACTOME_SYNDECAN_INTERACTIONS	0.5875434808367661			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_DN	0.5867233984186294			
REACTOME_MET_ACTIVATES_PTK2_SIGNALING	0.5864212019110394			
GO_EXTRACELLULAR_MATRIX_BINDING	0.586270565867835			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.5854039008947486			
GO_BASEMENT_MEMBRANE	0.5846540054163842			
KEGG_ECM_RECEPTOR_INTERACTION	0.5835609618553325			
GSE5589_UNSTIM_VS_180MIN_LPS_STIM_MACROPHAGE_UP	0.583546032315501			
REACTOME_HS_GAG_DEGRADATION	0.5835401232691471			
LU_AGING_BRAIN_UP	0.5832858417451182			
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_45MIN_UP	0.5827638873957325			
GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_UP	0.5824819065564305			
PROVENZANI_METASTASIS_DN	0.5824682091346652			
REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2	0.5820678491794178			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.5819552107492134			
GO_LAMININ_BINDING	0.5817328347203296			
GO_PROTEIN_HYDROXYLATION	0.5817173931625236			
DELACROIX_RARG_BOUND_MEF	0.5817029882793143			
CONCANNON_APOPTOSIS_BY_EPOXOMICIN_UP	0.5816837330346155			
FORTSCHEGGER_PHF8_TARGETS_DN	0.5814413400967733			
PASINI_SUZ12_TARGETS_DN	0.5814260517027782			
GSE26488_WT_VS_HDAC7_DELTAP_TG_OT2_THYMOCYTE_WITH_PEPTIDE_INJECTION_DN	0.5809812595184044			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.580882212482588			
TOOKER_GEMCITABINE_RESISTANCE_DN	0.5807429508042137			
GSE22313_HEALTHY_VS_SLE_MOUSE_CD4_TCELL_UP	0.5800921896370005			
VERNELL_RETINOBLASTOMA_PATHWAY_DN	0.5798978670637848			
NR0B1_TARGET_GENES	0.5798876180368986			
DURCHDEWALD_SKIN_CARCINOGENESIS_DN	0.5798601152452889			
REACTOME_MET_PROMOTES_CELL_MOTILITY	0.5798578237021976			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.5796322614925872			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.5795697929325039			
MILI_PSEUDOPODIA_HAPTOTAXIS_DN	0.5793533820365903			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.5787021944078098			
SUNG_METASTASIS_STROMA_UP	0.5786356136400964			
ALONSO_METASTASIS_NEURAL_UP	0.5783358522572958			
PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP	0.5782888638824758			
BASSO_HAIRY_CELL_LEUKEMIA_UP	0.5782337843553362			
GO_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING	0.5780221811398392			
REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE	0.5777527878827948			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_2_DN	0.5777043120935542			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.5775307374476191			
GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP	0.5774156148272395			
MCBRYAN_PUBERTAL_TGFB1_TARGETS_UP	0.5765356339651215			
PID_NECTIN_PATHWAY	0.5764956470243263			
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.5763865727336369			
ESC_V6.5_UP_EARLY.V1_DN	0.575533222907161			
REACTOME_SIGNALING_BY_MET	0.575529493321589			
GO_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	0.5755191285737884			
TBK1.DF_UP	0.5754263646247297			
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP	0.5751859545053254			
GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.5750797691828636			
GSE7831_1H_VS_4H_INFLUENZA_STIM_PDC_UP	0.5750398364955489			
UDAYAKUMAR_MED1_TARGETS_DN	0.5750317760102579			
GO_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	0.5746094505314348			
GO_COSTAMERE	0.5740530095685421			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.5739985498306645			
PID_FAK_PATHWAY	0.5737153897195996			
LHX9_TARGET_GENES	0.5735905170693247			
GSE2405_0H_VS_3H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	0.5735620611719228			
GO_CELL_JUNCTION_ORGANIZATION	0.5728830665451242			
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.5727552788127179			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1	0.572650231701416			
HALLMARK_PROTEIN_SECRETION	0.572563330585213			
GO_BASEMENT_MEMBRANE_ORGANIZATION	0.5718972002539263			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.5715776110195304			
GO_ADHERENS_JUNCTION	0.5713971416581317			
GO_CELL_JUNCTION_ASSEMBLY	0.5713935126324402			
ESC_J1_UP_LATE.V1_UP	0.5713608534185497			
GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_BCELL_UP	0.5711126219668341			
AMIT_SERUM_RESPONSE_240_MCF10A	0.5710119501352479			
HALLMARK_GLYCOLYSIS	0.570871016426943			
RAF_UP.V1_UP	0.5707975751924602			
GO_LAMININ_COMPLEX	0.5705746603074305			
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_B	0.5703466189263355			
KAAB_FAILED_HEART_ATRIUM_DN	0.5703341940979814			
AMIT_EGF_RESPONSE_480_HELA	0.5699947436863205			
SESTO_RESPONSE_TO_UV_C8	0.5698871353065402			
AMIT_EGF_RESPONSE_240_HELA	0.5698296262139543			
HALLMARK_TGF_BETA_SIGNALING	0.5697869086537444			
PID_INTEGRIN_A9B1_PATHWAY	0.5693537654688616			
REACTOME_ECM_PROTEOGLYCANS	0.5693342203892732			
KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_DN	0.569144102374276			
