	Score	0.95 MoE	P-Value	Q-Value
GO_ACTOMYOSIN	0.3375698844408573			
GO_CONTRACTILE_FIBER	0.33572044673032647			
BIOCARTA_UCALPAIN_PATHWAY	0.3326970276432706			
INSM2_TARGET_GENES	0.3272126148162853			
GO_EPITHELIAL_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT	0.32659567845157345			
GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_20MIN_UP	0.32643178562431324			
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.32541945374073206			
GO_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT	0.325059573090392			
GO_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	0.32443073104162373			
GO_ACTIN_FILAMENT_BUNDLE	0.3241546313117085			
GO_REGULATION_OF_SPROUTING_ANGIOGENESIS	0.3241159955913826			
GO_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	0.32285723597612404			
GO_SUBSTRATE_DEPENDENT_CELL_MIGRATION_CELL_EXTENSION	0.3225849989990786			
GO_POSITIVE_REGULATION_OF_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING	0.3225346509134516			
GO_SCHWANN_CELL_DEVELOPMENT	0.3224332865807963			
GO_ACTIN_FILAMENT_BASED_MOVEMENT	0.3217728389091879			
GO_I_BAND	0.32175258480726826			
GO_REGULATION_OF_INTEGRIN_MEDIATED_SIGNALING_PATHWAY	0.319499738051978			
BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN	0.3187190441584572			
GO_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	0.3185046559318747			
GSE5589_UNSTIM_VS_45MIN_LPS_AND_IL6_STIM_MACROPHAGE_DN	0.3179475980667316			
KEGG_DILATED_CARDIOMYOPATHY	0.3178960736116927			
GO_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING	0.31758729124316937			
QI_HYPOXIA_TARGETS_OF_HIF1A_AND_FOXA2	0.3172749712300368			
REACTOME_SMOOTH_MUSCLE_CONTRACTION	0.31640163387094455			
GO_VASCULOGENESIS	0.31621130571992834			
GO_ACTIN_MEDIATED_CELL_CONTRACTION	0.3161937047026085			
ZHU_CMV_ALL_DN	0.31608221536373793			
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.3152293685472423			
ZHU_CMV_24_HR_DN	0.3152055120305874			
GO_CELL_DIFFERENTIATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT	0.31496709310914883			
VERRECCHIA_EARLY_RESPONSE_TO_TGFB1	0.31465043594827463			
WGGAATGY_TEF1_Q6	0.3145327979454061			
GO_SCHWANN_CELL_DIFFERENTIATION	0.3139823504509071			
GO_CAVEOLA	0.31372238099082495			
GO_ENDOTHELIAL_CELL_DEVELOPMENT	0.3128291894909866			
SRF_Q4	0.3127858598715394			
NGUYEN_NOTCH1_TARGETS_UP	0.31257693447458545			
GO_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.3123217461479278			
GO_POSITIVE_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	0.31200102133960655			
GO_CELL_MATRIX_ADHESION_MEDIATOR_ACTIVITY	0.31187055511441175			
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.31143690139112634			
GSE40685_NAIVE_CD4_TCELL_VS_FOXP3_KO_TREG_PRECURSOR_DN	0.3111800093536529			
GO_RESPONSE_TO_ESTROGEN	0.31112149367409153			
GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP	0.3110919624274964			
GO_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS	0.3110095128931504			
GO_SUPRAMOLECULAR_FIBER_ORGANIZATION	0.31089043103994135			
GSE45365_BCELL_VS_CD8_TCELL_DN	0.31088054621512123			
VERRECCHIA_RESPONSE_TO_TGFB1_C3	0.31086682876096694			
GO_FOCAL_ADHESION_ASSEMBLY	0.3107780147826015			
GO_POSITIVE_REGULATION_OF_SMOOTH_MUSCLE_CONTRACTION	0.310655570886631			
GO_POSITIVE_REGULATION_OF_INTEGRIN_MEDIATED_SIGNALING_PATHWAY	0.31045847667625737			
GO_ENDOTHELIUM_DEVELOPMENT	0.31005391083480116			
GO_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.3099500203248357			
GO_ACTIN_FILAMENT_BASED_PROCESS	0.30983543149717935			
GO_MALE_SEX_DIFFERENTIATION	0.3098037043985802			
PID_NCADHERIN_PATHWAY	0.3095766934017133			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.30929044346837337			
GO_NEGATIVE_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	0.3092664223012507			
GO_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	0.309124969032641			
GO_REGULATION_OF_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING	0.3090017345446733			
KIM_WT1_TARGETS_12HR_UP	0.30899017504552684			
GO_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ASSEMBLY	0.3088214559570654			
GO_ACTIN_CYTOSKELETON	0.30861606727585983			
GSE43863_NAIVE_VS_TH1_EFF_CD4_TCELL_D6_LCMV_UP	0.308261380253445			
COUP_DR1_Q6	0.3081375695816448			
GO_FORMATION_OF_PRIMARY_GERM_LAYER	0.30807609050663387			
BOYLAN_MULTIPLE_MYELOMA_PCA1_DN	0.30805678607870884			
GSE8621_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_UP	0.30770349736976305			
ZIRN_TRETINOIN_RESPONSE_UP	0.30758190429941745			
IPA_SMAD3_UP	0.30725953954947094			
GSE6269_HEALTHY_VS_STAPH_AUREUS_INF_PBMC_DN	0.3069358008558004			
GO_CIRCULATORY_SYSTEM_DEVELOPMENT	0.30672015085377086			
GO_CELL_LEADING_EDGE	0.30654693726735643			
GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	0.3064987015432352			
GO_GASTRULATION	0.30644285690899425			
GO_HEART_MORPHOGENESIS	0.3063486031503839			
SASSON_RESPONSE_TO_FORSKOLIN_DN	0.3063199744147738			
GO_LAMININ_1_BINDING	0.30624232238168364			
GO_COLLAGEN_BINDING_INVOLVED_IN_CELL_MATRIX_ADHESION	0.3061420257089542			
GSE11961_FOLLICULAR_BCELL_VS_MARGINAL_ZONE_BCELL_DN	0.3060417996095336			
GO_POSITIVE_REGULATION_OF_SPROUTING_ANGIOGENESIS	0.3058795587049769			
SASAI_RESISTANCE_TO_NEOPLASTIC_TRANSFROMATION	0.30581978801922777			
GO_ENDOTHELIAL_CELL_MORPHOGENESIS	0.3056669839765841			
GO_SPROUTING_ANGIOGENESIS	0.3054588645499638			
GSE6259_CD4_TCELL_VS_CD8_TCELL_UP	0.30538905548888085			
KEGG_FOCAL_ADHESION	0.305224135407174			
GO_CELLULAR_COPPER_ION_HOMEOSTASIS	0.3051222850399853			
PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP	0.30486216056128446			
BIOCARTA_RHO_PATHWAY	0.3047481984985945			
GO_REGULATION_OF_CELLULAR_PROTEIN_LOCALIZATION	0.30446529070749756			
GO_CELL_SUBSTRATE_JUNCTION	0.3043812336732688			
GO_COPPER_ION_HOMEOSTASIS	0.3043564557148086			
REACTOME_FORMYL_PEPTIDE_RECEPTORS_BIND_FORMYL_PEPTIDES_AND_MANY_OTHER_LIGANDS	0.30416415992741924			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_DN	0.30413902164282225			
NAKAMURA_ADIPOGENESIS_EARLY_DN	0.30412290901660216			
WHITFIELD_CELL_CYCLE_M_G1	0.3041132503888747			
GO_CELL_SUBSTRATE_ADHESION	0.3036284126695235			
GO_REGULATION_OF_MEMBRANE_REPOLARIZATION	0.3035543416073395			
GSE11961_FOLLICULAR_BCELL_VS_MEMORY_BCELL_DAY40_DN	0.3034818152350651			
BIOCARTA_AGR_PATHWAY	0.30336127088215686			
REACTOME_ECM_PROTEOGLYCANS	0.3033460756747626			
GO_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION	0.3033244889086132			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.302856155050361			
GO_PROLACTIN_SECRETION	0.30283370095520895			
APPIERTO_RESPONSE_TO_FENRETINIDE_UP	0.30277573178600575			
MIR3943	0.3027567579405926			
REACTOME_SIGNAL_TRANSDUCTION_BY_L1	0.3025408383819948			
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	0.30246781655656796			
GO_AMEBOIDAL_TYPE_CELL_MIGRATION	0.3022161707785906			
BIOCARTA_AMI_PATHWAY	0.30216147156476236			
GO_CONTRACTILE_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.3021502097029678			
KEGG_ECM_RECEPTOR_INTERACTION	0.3021395441103552			
GO_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION	0.30206405972216027			
SRF_C	0.3020575635464487			
GO_VINCULIN_BINDING	0.3019710160848187			
PID_INTEGRIN_A9B1_PATHWAY	0.3019370264503551			
PID_FAK_PATHWAY	0.30183425402697656			
GO_MULTIVESICULAR_BODY_SORTING_PATHWAY	0.30183202225510664			
ROZANOV_MMP14_TARGETS_SUBSET	0.30181584677432405			
GO_CYTOSKELETON_ORGANIZATION	0.30165061167906476			
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	0.3015948332072188			
IPA_SMAD2_UP	0.3014465144158759			
