	Score	0.95 MoE	P-Value	Q-Value
GO_DATP_METABOLIC_PROCESS	0.4096363806082612			
VISALA_AGING_LYMPHOCYTE_UP	0.40042268670724845			
GO_CYTOPLASMIC_SEQUESTERING_OF_NF_KAPPAB	0.3955488814294147			
GSE15659_TREG_VS_TCONV_DN	0.38631547644841974			
YANAGISAWA_LUNG_CANCER_RECURRENCE	0.3833210995516909			
GO_REGULATION_OF_WNT_SIGNALING_PATHWAY_INVOLVED_IN_HEART_DEVELOPMENT	0.3783213207815976			
GO_NUCLEAR_CYCLIN_DEPENDENT_PROTEIN_KINASE_HOLOENZYME_COMPLEX	0.3743216043311861			
MIR3197	0.3726509989594856			
GO_OSTEOCLAST_DEVELOPMENT	0.3722032475477376			
GO_UBIQUITIN_CONJUGATING_ENZYME_COMPLEX	0.37128025796758973			
MOREIRA_RESPONSE_TO_TSA_UP	0.3706190156937646			
GO_NEGATIVE_REGULATION_OF_NIK_NF_KAPPAB_SIGNALING	0.3682098889642938			
GO_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY_INVOLVED_IN_HEART_DEVELOPMENT	0.3677805214426343			
FRASOR_TAMOXIFEN_RESPONSE_DN	0.3671750159143141			
GO_COPPER_ION_TRANSMEMBRANE_TRANSPORT	0.3670803869392734			
GSE19198_CTRL_VS_IL21_TREATED_TCELL_1H_DN	0.3668149303728712			
ZNF85_TARGET_GENES	0.3658886479267529			
GO_INTRACILIARY_TRANSPORT_PARTICLE_B	0.3654701298115441			
GO_DNA_DEAMINATION	0.36531171763849196			
GO_PROTEIN_NEDDYLATION	0.36465678264663015			
GSE39820_CTRL_VS_IL1B_IL6_IL23A_CD4_TCELL_DN	0.3645911063045148			
GO_NEGATIVE_REGULATION_OF_SINGLE_STRANDED_VIRAL_RNA_REPLICATION_VIA_DOUBLE_STRANDED_DNA_INTERMEDIATE	0.364397116389915			
NGO_MALIGNANT_GLIOMA_1P_LOH	0.3626412943222494			
MIZUSHIMA_AUTOPHAGOSOME_FORMATION	0.36217086419260314			
GSE45365_HEALTHY_VS_MCMV_INFECTION_CD8_TCELL_IFNAR_KO_UP	0.36064194018360163			
chr5q31	0.3602441828220641			
GO_REPLICATIVE_CELL_AGING	0.3601767647386685			
IPA_NANOG_DN	0.35943035855567546			
XU_RESPONSE_TO_TRETINOIN_DN	0.3568275442022298			
MIR1304_3P	0.35619332970549944			
GO_RIBONUCLEOSIDE_METABOLIC_PROCESS	0.355742272183589			
GO_POSITIVE_REGULATION_OF_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	0.35465922378226994			
GSE9037_CTRL_VS_LPS_4H_STIM_IRAK4_KO_BMDM_DN	0.3540166450324406			
GO_NEGATIVE_REGULATION_OF_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY	0.3540159737761311			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_CDC25_UP	0.3537496336068799			
GSE37301_MULTIPOTENT_PROGENITOR_VS_CD4_TCELL_DN	0.35330545719871786			
GSE2128_C57BL6_VS_NOD_CD4CD8_DP_THYMOCYTE_UP	0.35329318253395986			
GO_INTRACILIARY_TRANSPORT_PARTICLE	0.3527055966132141			
GSE9509_10MIN_VS_30MIN_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_DN	0.35230036592549546			
ALKBH3_TARGET_GENES	0.3522399522634327			
GSE11961_FOLLICULAR_BCELL_VS_GERMINAL_CENTER_BCELL_DAY7_UP	0.3521018021743799			
GO_VIRION_BINDING	0.35176571885921504			
IPA_POU1F1_DN	0.35153490926998204			
IPA_EGR3_UP	0.35092901970129714			
GO_CAMP_METABOLIC_PROCESS	0.35073604039565237			
GSE18281_CORTEX_VS_MEDULLA_THYMUS_DN	0.3503872885777332			
IPA_HNRNPK_DN	0.3502384748887602			
GO_NEDD8_TRANSFERASE_ACTIVITY	0.3494697191016705			
GSE17721_0.5H_VS_24H_CPG_BMDC_UP	0.34902127785138826			
GSE5589_WT_VS_IL6_KO_LPS_STIM_MACROPHAGE_45MIN_UP	0.3484674516098666			
GO_CENTRIOLE_ELONGATION	0.3481087525787092			
GSE22103_UNSTIM_VS_LPS_STIM_NEUTROPHIL_UP	0.3478590610369501			
LHX4_TARGET_GENES	0.3478497698378057			
GO_NEGATIVE_REGULATION_OF_HIGH_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	0.3474302614821063			
GO_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNE_RESPONSE_TO_TUMOR_CELL	0.34730986045368306			
GO_ADENYLATE_CYCLASE_ACTIVATOR_ACTIVITY	0.34717662552883216			
GSE22935_WT_VS_MYD88_KO_MACROPHAGE_12H_MBOVIS_BCG_STIM_UP	0.3471394235026397			
GSE28737_BCL6_HET_VS_BCL6_KO_FOLLICULAR_BCELL_UP	0.3469729786270467			
GSE27291_6H_VS_7D_STIM_GAMMADELTA_TCELL_UP	0.34688064479932074			
GSE27786_LSK_VS_ERYTHROBLAST_UP	0.3465252188598117			
GSE3720_VD1_VS_VD2_GAMMADELTA_TCELL_WITH_LPS_STIM_DN	0.3464763368439735			
GO_POSITIVE_REGULATION_OF_HEPATOCYTE_PROLIFERATION	0.3464539069178519			
WANG_CISPLATIN_RESPONSE_AND_XPC_DN	0.34614423259432503			
GSE9988_ANTI_TREM1_VS_LPS_MONOCYTE_UP	0.34602379163137886			
GO_POSITIVE_REGULATION_OF_RYANODINE_SENSITIVE_CALCIUM_RELEASE_CHANNEL_ACTIVITY	0.3459812614985439			
GSE2770_IL12_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_2H_UP	0.34563920833256584			
IPA_HDAC4_UP	0.345520094554514			
GO_MYELIN_SHEATH_ADAXONAL_REGION	0.34539797178117176			
REACTOME_TFAP2_AP_2_FAMILY_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_FACTORS	0.34529137733788406			
NADLER_OBESITY_DN	0.34522974313974025			
GSE11864_CSF1_VS_CSF1_PAM3CYS_IN_MAC_DN	0.34507838006793085			
IPA_CEBPD_DN	0.34499879622750934			
GO_NEGATIVE_REGULATION_OF_CELL_FATE_SPECIFICATION	0.3448702804373595			
GO_AUTOPHAGY_OF_MITOCHONDRION	0.34475207117297985			
GO_REGULATION_OF_CELLULAR_CARBOHYDRATE_CATABOLIC_PROCESS	0.34459905113181144			
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4	0.34444009458085717			
IPA_NFIA_DN	0.3441686662554713			
GO_COBALAMIN_TRANSPORT	0.3440449137685515			
IPA_ESR1_DN	0.3439804374570698			
GO_REGULATION_OF_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE	0.34351229994137916			
chr5q14	0.34328454578297857			
IPA_SKI_UP	0.3431044750287832			
GSE2585_CTEC_VS_MTEC_THYMUS_UP	0.34289077181881195			
IPA_RELA_DN	0.3428748651850205			
GSE7460_TCONV_VS_TREG_LN_DN	0.34258842257611266			
MIR6806_5P	0.34257603510112716			
GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN	0.34251329347902787			
GO_CENTRAL_NERVOUS_SYSTEM_MYELIN_MAINTENANCE	0.34214136082368546			
GO_POSITIVE_REGULATION_OF_SPROUTING_ANGIOGENESIS	0.34209335487683606			
IPA_EOMES_UP	0.342089238466035			
GO_SORTING_ENDOSOME	0.3419543216533041			
GO_NEGATIVE_REGULATION_BY_HOST_OF_SYMBIONT_MOLECULAR_FUNCTION	0.34182956486457955			
IPA_RUNX2_UP	0.3416493685340733			
GO_NUCLEAR_ENVELOPE_ORGANIZATION	0.34146471549328655			
GO_CYTOPLASMIC_SEQUESTERING_OF_TRANSCRIPTION_FACTOR	0.3412962912195797			
GSE15330_HSC_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_IKAROS_KO_UP	0.341286278415271			
NADLER_HYPERGLYCEMIA_AT_OBESITY	0.34115896719667566			
GO_TIM23_MITOCHONDRIAL_IMPORT_INNER_MEMBRANE_TRANSLOCASE_COMPLEX	0.3410798397907767			
IPA_NF1_DN	0.34105925547568355			
GSE32986_GMCSF_AND_CURDLAN_LOWDOSE_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_DN	0.34084857286599			
GSE45365_WT_VS_IFNAR_KO_CD11B_DC_DN	0.34080991623883444			
