	Score	0.95 MoE	P-Value	Q-Value
GO_GOLGI_VESICLE_TRANSPORT	0.5227385887558343			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.5153411437115325			
BHAT_ESR1_TARGETS_VIA_AKT1_DN	0.513766501205025			
GSE6259_33D1_POS_DC_VS_BCELL_UP	0.5127775157998382			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.5109201789710133			
ESC_J1_UP_LATE.V1_UP	0.5106695052386251			
GO_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT	0.5094193532061316			
REACTOME_SPHINGOLIPID_METABOLISM	0.508998545329981			
BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN	0.5086534124290887			
REACTOME_MEMBRANE_TRAFFICKING	0.5084800945238112			
LTE2_UP.V1_UP	0.5079113950568628			
GO_CELL_CORTEX	0.5071506629151784			
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.5067966326704996			
PID_AJDISS_2PATHWAY	0.506044237731338			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.504606061232588			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.5038096584848026			
NELSON_RESPONSE_TO_ANDROGEN_UP	0.5032136882293208			
GOZGIT_ESR1_TARGETS_DN	0.5030693620320965			
HALLMARK_PROTEIN_SECRETION	0.5025424664990273			
GO_GOLGI_APPARATUS	0.5018069099025065			
DELPUECH_FOXO3_TARGETS_UP	0.5013087243701465			
ERBB2_UP.V1_UP	0.5012196298074096			
GSE32533_WT_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_DN	0.500475029430685			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.49952793102017634			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.49774278246894194			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.4973770572007393			
JIANG_HYPOXIA_NORMAL	0.4964531014344106			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.4956001647257529			
UDAYAKUMAR_MED1_TARGETS_DN	0.49468368974348076			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.49407192907082803			
JECHLINGER_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_DN	0.4940535082179946			
PID_NECTIN_PATHWAY	0.4936655833123311			
LIU_SOX4_TARGETS_UP	0.4916627870274537			
AMIT_SERUM_RESPONSE_240_MCF10A	0.4908368673212888			
POOLA_INVASIVE_BREAST_CANCER_DN	0.49016972485092464			
KOHOUTEK_CCNT1_TARGETS	0.49005350600288955			
MEK_UP.V1_UP	0.48939808251139094			
REACTOME_VESICLE_MEDIATED_TRANSPORT	0.4891945431595339			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1	0.48897844051574973			
PASQUALUCCI_LYMPHOMA_BY_GC_STAGE_UP	0.4882942503607362			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.487619983595246			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.4875484904880154			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3	0.48716647276029457			
GO_CELL_CELL_JUNCTION	0.48714732924090454			
GO_ADHERENS_JUNCTION	0.48713532551932565			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.48693128872592917			
DITTMER_PTHLH_TARGETS_UP	0.48680283286505527			
GO_RENAL_SYSTEM_PROCESS	0.4865978708746719			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.4859458510984102			
GSE5589_UNSTIM_VS_180MIN_LPS_AND_IL10_STIM_MACROPHAGE_UP	0.4855747753398081			
GRAESSMANN_RESPONSE_TO_MC_AND_DOXORUBICIN_UP	0.4855143659656992			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.48544125979517466			
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	0.4854035406075603			
GO_CELL_JUNCTION_ORGANIZATION	0.48526107187422746			
GSE42021_TREG_VS_TCONV_PLN_DN	0.48524555455113444			
GO_REGULATION_OF_VACUOLE_ORGANIZATION	0.4851554764716446			
GO_REGULATION_OF_CELL_MATRIX_ADHESION	0.4848487240897482			
GO_BASAL_PART_OF_CELL	0.4847286280431697			
MCBRYAN_PUBERTAL_BREAST_3_4WK_UP	0.48449675301265155			
LEE_BMP2_TARGETS_UP	0.484223944840213			
YAMAZAKI_TCEB3_TARGETS_UP	0.4842009205140114			
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_UP	0.4838371391635605			
WGGAATGY_TEF1_Q6	0.48351962136019794			
GO_VACUOLAR_TRANSPORT	0.48335249219690885			
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP	0.4829217668239101			
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.4829158728841362			
BOYLAN_MULTIPLE_MYELOMA_C_DN	0.482739244388896			
KIM_WT1_TARGETS_12HR_UP	0.48259023925070516			
LIU_CMYB_TARGETS_UP	0.4824502903826584			
GO_CELL_JUNCTION_ASSEMBLY	0.48238294550352756			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.4819612292783824			
DELACROIX_RARG_BOUND_MEF	0.48180311879867044			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	0.4817061327763489			
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_B	0.4815670102088776			
GO_VESICLE_TARGETING_TO_FROM_OR_WITHIN_GOLGI	0.4812888418546053			
REACTOME_CELL_CELL_COMMUNICATION	0.4812125675332133			
GO_LAMININ_BINDING	0.4811888359995312			
FRASOR_TAMOXIFEN_RESPONSE_UP	0.48072920765932187			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.4804822210373626			
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_UP	0.48018529566304763			
GO_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	0.4799731146306634			
RIGGINS_TAMOXIFEN_RESISTANCE_DN	0.4799402967455185			
CONCANNON_APOPTOSIS_BY_EPOXOMICIN_UP	0.47992527933768014			
VERNELL_RETINOBLASTOMA_PATHWAY_DN	0.4798059386978088			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.47973311640545274			
GO_PERINUCLEAR_REGION_OF_CYTOPLASM	0.47923778834796515			
