	Score	0.95 MoE	P-Value	Q-Value
GO_VESICLE_MEDIATED_TRANSPORT_TO_THE_PLASMA_MEMBRANE	0.3487218179707183			
GO_GOLGI_TO_PLASMA_MEMBRANE_TRANSPORT	0.34823645278059057			
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.3466275688221908			
GO_POST_GOLGI_VESICLE_MEDIATED_TRANSPORT	0.3351027370149472			
GO_GOLGI_TO_PLASMA_MEMBRANE_PROTEIN_TRANSPORT	0.32757830995205406			
GO_ENDOSOME_TO_LYSOSOME_TRANSPORT	0.32565173400610076			
GO_PHOSPHOLIPID_BINDING	0.3239878057564487			
REACTOME_SEMAPHORIN_INTERACTIONS	0.31645456618274076			
GO_VACUOLAR_TRANSPORT	0.3122777166440501			
GO_POSITIVE_REGULATION_OF_EMBRYONIC_DEVELOPMENT	0.31201817226147527			
PID_ERBB1_INTERNALIZATION_PATHWAY	0.3116225523647591			
GO_CELL_LEADING_EDGE	0.3102956239720875			
MIR938	0.30983993835901985			
PCGF1_TARGET_GENES	0.3095138656286423			
MIR218_1_3P	0.30919333233328034			
GSE369_SOCS3_KO_VS_WT_LIVER_POST_IL6_INJECTION_UP	0.3086679487763689			
GO_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS	0.30801759014375296			
BCAT.100_UP.V1_UP	0.30786627706916503			
GSE12963_UNINF_VS_ENV_AND_NEF_AND_VPR_DEFICIENT_HIV1_INF_CD4_TCELL_DN	0.30743498227876437			
SIX4_TARGET_GENES	0.30736495249948315			
GSE24814_STAT5_KO_VS_WT_PRE_BCELL_UP	0.30700398759716313			
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION	0.30696241548408304			
HMG20B_TARGET_GENES	0.3068033525530803			
GO_SEMAPHORIN_RECEPTOR_BINDING	0.30601304893564807			
GSE7509_UNSTIM_VS_FCGRIIB_STIM_MONOCYTE_UP	0.3055374178459768			
GO_RUFFLE	0.30552510980845293			
PID_ECADHERIN_KERATINOCYTE_PATHWAY	0.3054144232912263			
DER_IFN_ALPHA_RESPONSE_DN	0.30527974854833567			
GSE32533_WT_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_DN	0.30516107979652285			
MIR885_3P	0.30509997646710296			
GO_WNT_SIGNALOSOME	0.3049985894490944			
GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_UP	0.30497612901723403			
IGLV5_37_TARGET_GENES	0.30461004751130843			
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_45MIN_UP	0.3045217925628255			
MARTINEZ_TP53_TARGETS_DN	0.3044104766318989			
GO_REGULATION_OF_LAMELLIPODIUM_MORPHOGENESIS	0.3043324092792072			
GROSS_ELK3_TARGETS_UP	0.3041157737033523			
GO_LYSOSOMAL_TRANSPORT	0.30410910181988077			
GO_SIGNAL_COMPLEX_ASSEMBLY	0.30383083080013773			
LEE_METASTASIS_AND_ALTERNATIVE_SPLICING_UP	0.3037651989240233			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.3034175824265087			
WAKABAYASHI_ADIPOGENESIS_PPARG_RXRA_BOUND_8D	0.30341428181716634			
GO_THIOREDOXIN_DISULFIDE_REDUCTASE_ACTIVITY	0.3032890601954884			
GO_ESTABLISHMENT_OR_MAINTENANCE_OF_BIPOLAR_CELL_POLARITY	0.3030137071708915			
GO_I_BAND	0.3028790033471738			
BAE_BRCA1_TARGETS_UP	0.30285210692371495			
ZNF654_TARGET_GENES	0.30283707461627174			
NFE2_01	0.3027814145491932			
RODRIGUES_DCC_TARGETS_DN	0.30259123854839165			
GO_SYNAPTIC_GROWTH_AT_NEUROMUSCULAR_JUNCTION	0.3024705620019569			
GO_PHOSPHATIDYLINOSITOL_BINDING	0.3024426749582383			
UEDA_PERIFERAL_CLOCK	0.30232010348218213			
GCACTTT_MIR175P_MIR20A_MIR106A_MIR106B_MIR20B_MIR519D	0.3021239025547498			
HNF1A_TARGET_GENES	0.30178242788852355			
WATANABE_ULCERATIVE_COLITIS_WITH_CANCER_UP	0.3014300077961399			
GO_PROTEIN_LOCALIZATION_TO_LYSOSOME	0.30098889324075334			
GO_PROTEIN_LOCALIZATION_TO_MEMBRANE	0.3008631679359321			
GO_PHOSPHATIDYLINOSITOL_4_5_BISPHOSPHATE_BINDING	0.30072513182025234			
BREDEMEYER_RAG_SIGNALING_VIA_ATM_NOT_VIA_NFKB_UP	0.30070124160124306			
GO_AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS	0.30063493408017505			
CHYLA_CBFA2T3_TARGETS_DN	0.30048013498284437			
GO_PROGESTERONE_RECEPTOR_SIGNALING_PATHWAY	0.30042234459111855			
GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY7_DN	0.30011007358743585			
GCNP_SHH_UP_LATE.V1_DN	0.30010228793043164			
GO_PROTEIN_BINDING_BRIDGING_INVOLVED_IN_SUBSTRATE_RECOGNITION_FOR_UBIQUITINATION	0.3000538272268239			
GO_ASTROCYTE_DIFFERENTIATION	0.300025177649327			
GSE18281_SUBCAPSULAR_CORTICAL_REGION_VS_WHOLE_CORTEX_THYMUS_UP	0.30000384503047306			
GO_EXOCRINE_SYSTEM_DEVELOPMENT	0.29998193575907733			
REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING	0.299959332248351			
GSE42021_CD24HI_VS_CD24INT_TCONV_THYMUS_UP	0.2998115989634444			
SS18_SSX1_FUSION_TARGET_GENES	0.2996687687307182			
GO_SENSORY_PERCEPTION_OF_LIGHT_STIMULUS	0.29963200534723			
GO_ENDOSOMAL_TRANSPORT	0.29902162421097045			
GO_REGULATION_OF_AMYLOID_BETA_FORMATION	0.2990037332578575			
GO_VOLUME_SENSITIVE_ANION_CHANNEL_ACTIVITY	0.298672204457626			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.2983420077879739			
GO_DICHOTOMOUS_SUBDIVISION_OF_AN_EPITHELIAL_TERMINAL_UNIT	0.2982897533641409			
DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_UP	0.29798070505333124			
BOYLAN_MULTIPLE_MYELOMA_D_UP	0.29797807387507036			
GO_CELL_PROJECTION_MEMBRANE	0.2978906290354034			
ANDERSEN_CHOLANGIOCARCINOMA_CLASS1	0.29786009780937334			
LIM_MAMMARY_LUMINAL_PROGENITOR_DN	0.29782518372308353			
GO_REGULATION_OF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_RECEPTOR_CATABOLIC_PROCESS	0.2977949600039474			
