	Score	0.95 MoE	P-Value	Q-Value
GO_SUBSTRATE_DEPENDENT_CELL_MIGRATION_CELL_EXTENSION	0.3326510420582704			
PID_NECTIN_PATHWAY	0.3309923549463229			
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.32111588229480575			
DITTMER_PTHLH_TARGETS_UP	0.3205411427761099			
ZWANG_EGF_PERSISTENTLY_UP	0.31995742418397405			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.31876565245077726			
WELCSH_BRCA1_TARGETS_UP	0.3185086933569162			
GO_POSITIVE_REGULATION_OF_HYDROGEN_PEROXIDE_BIOSYNTHETIC_PROCESS	0.3180377990870974			
AMIT_SERUM_RESPONSE_60_MCF10A	0.3177354219475439			
GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_20MIN_UP	0.3176819063660098			
ALONSO_METASTASIS_NEURAL_UP	0.3171962994150546			
GSE3982_MAST_CELL_VS_EFF_MEMORY_CD4_TCELL_UP	0.316248476489961			
YOSHIMURA_MAPK8_TARGETS_DN	0.31605574705823186			
GSE41978_ID2_KO_AND_BIM_KO_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP	0.31573174316200076			
GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_UP	0.3157047702853384			
KAAB_FAILED_HEART_ATRIUM_DN	0.31528399085835057			
VALK_AML_CLUSTER_3	0.31496186789186664			
PID_SYNDECAN_3_PATHWAY	0.31495627743689464			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.3142484497818288			
GSE5589_UNSTIM_VS_180MIN_LPS_STIM_MACROPHAGE_UP	0.31407622497750315			
GSE2770_IL12_ACT_VS_ACT_CD4_TCELL_2H_DN	0.3126997082620816			
SCHAEFFER_PROSTATE_DEVELOPMENT_12HR_UP	0.31236602039154976			
IPA_NFE2L2_DN	0.3121260987538696			
WIKMAN_ASBESTOS_LUNG_CANCER_UP	0.31142255592868356			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.3110926462039253			
GO_NUCLEOTIDE_SUGAR_TRANSMEMBRANE_TRANSPORT	0.3106414090323616			
YAMAZAKI_TCEB3_TARGETS_UP	0.31040822375894317			
