	Score	0.95 MoE	P-Value	Q-Value
REACTOME_SIGNALING_BY_LEPTIN	0.3428538941227945			
GO_REGULATION_OF_GLIAL_CELL_PROLIFERATION	0.33847413641956037			
GO_GLIAL_CELL_PROLIFERATION	0.3354235034241715			
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING	0.33512407008746203			
BYSTROEM_CORRELATED_WITH_IL5_UP	0.33325471895062186			
GO_PEPTIDYL_LYSINE_DIMETHYLATION	0.33319518391152664			
MIR139_3P	0.3328604131288161			
GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_UP	0.33282975656107977			
GSE20500_CTRL_VS_RARA_ANTAGONIST_TREATED_CD4_TCELL_DN	0.3318433190762245			
REACTOME_PROLACTIN_RECEPTOR_SIGNALING	0.33166300889484573			
GO_PHOSPHATIDYLINOSITOL_3_KINASE_REGULATOR_ACTIVITY	0.33110266027517243			
GO_HEMATOPOIETIC_STEM_CELL_PROLIFERATION	0.3308038206111852			
GO_1_PHOSPHATIDYLINOSITOL_3_KINASE_REGULATOR_ACTIVITY	0.3287504003354667			
GSE19401_PAM2CSK4_VS_RETINOIC_ACID_STIM_FOLLICULAR_DC_UP	0.32870296855430375			
GO_VITAMIN_D_RECEPTOR_BINDING	0.3275134528743433			
BIOCARTA_CARM1_PATHWAY	0.3261343549179038			
GO_SCARNA_LOCALIZATION_TO_CAJAL_BODY	0.32539105152604575			
ZHAN_EARLY_DIFFERENTIATION_GENES_DN	0.32528194250010356			
IPA_RPA2_DN	0.3251551051479144			
GO_EMBRYONIC_HEMOPOIESIS	0.3244118645764937			
GO_VITAMIN_D_BIOSYNTHETIC_PROCESS	0.3241484107815249			
MIR6718_5P	0.3235297392380631			
GO_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_ACTIVITY	0.32221993596060033			
GO_RRNA_CATABOLIC_PROCESS	0.32204993327712994			
HDAC8_TARGET_GENES	0.3216558565472424			
GO_PRIMITIVE_HEMOPOIESIS	0.32072352193118003			
GSE18893_TCONV_VS_TREG_24H_CULTURE_DN	0.3201601370488394			
GO_DNA_TOPOISOMERASE_ACTIVITY	0.32010930750377187			
GO_RNA_POLYMERASE_III_PREINITIATION_COMPLEX_ASSEMBLY	0.3200748321854045			
GO_NCRNA_CATABOLIC_PROCESS	0.31997149100249783			
GO_PROTEIN_DNA_COMPLEX_DISASSEMBLY	0.3198881550706127			
BIOCARTA_EIF_PATHWAY	0.3195437339870634			
GO_POSITIVE_REGULATION_OF_HEAT_GENERATION	0.31946789135632614			
IPA_CBFB_UP	0.3191333691134312			
REACTOME_SUPPRESSION_OF_APOPTOSIS	0.31912065897086006			
GSE7764_NKCELL_VS_SPLENOCYTE_DN	0.3189270383324543			
GRAHAM_CML_QUIESCENT_VS_NORMAL_QUIESCENT_UP	0.31884300043675395			
GO_RIBOSOME_ASSEMBLY	0.3184526685919492			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CHROMATIN	0.31834155377808754			
REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA	0.3183405448100276			
SHIN_B_CELL_LYMPHOMA_CLUSTER_6	0.31794798668099716			
GO_NEGATIVE_REGULATION_OF_DNA_REPLICATION	0.317871403886592			
PID_GMCSF_PATHWAY	0.3177746263951394			
IPA_NFE2_UP	0.31712495376005606			
CC2D1A_TARGET_GENES	0.31707853259265234			
GO_REGULATION_OF_HEAT_GENERATION	0.31680154820720036			
REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND	0.31679126166960453			
GSE37301_HEMATOPOIETIC_STEM_CELL_VS_GRAN_MONO_PROGENITOR_UP	0.3167805665688244			
IPA_TAL1_DN	0.31674006680511896			
REACTOME_STAT5_ACTIVATION	0.31668981152239434			
GO_INTRINSIC_COMPONENT_OF_THE_CYTOPLASMIC_SIDE_OF_THE_PLASMA_MEMBRANE	0.31665305675668537			
MIR203B_5P	0.3165662265696291			
GO_BASE_EXCISION_REPAIR	0.31638932036769407			
GO_COHESIN_LOADING	0.31617000041226306			
IPA_HOXA9_DN	0.3161358510162079			
GSE21033_CTRL_VS_POLYIC_STIM_DC_3H_DN	0.31560446667513725			
MARKS_ACETYLATED_NON_HISTONE_PROTEINS	0.31532504309179843			
IPA_NFIL3_UP	0.31506402694879404			
BIOCARTA_GLEEVEC_PATHWAY	0.3148971932359544			
GO_REGULATION_OF_FEEDING_BEHAVIOR	0.3148089442071751			
GSE14000_UNSTIM_VS_16H_LPS_DC_UP	0.31470141277810326			
GSE2770_UNTREATED_VS_IL4_TREATED_ACT_CD4_TCELL_48H_DN	0.314617116776184			
MIR711	0.31456771078376716			
GO_REGULATION_OF_FEVER_GENERATION	0.3141275403061945			
RIZ_ERYTHROID_DIFFERENTIATION	0.3140412464748137			
GO_DNA_TRANSLOCASE_ACTIVITY	0.31401571485655666			
GO_DNA_METHYLATION_INVOLVED_IN_GAMETE_GENERATION	0.313690543963683			
GSE19923_WT_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_UP	0.31354592292374817			
GO_THO_COMPLEX	0.3134067612122355			
GO_REGULATION_OF_COHESIN_LOADING	0.3132338454564011			
BIOCARTA_EPO_PATHWAY	0.31320857035847266			
REACTOME_INTERLEUKIN_7_SIGNALING	0.3130561624892263			
GO_POSITIVE_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEGREGATION	0.3128749769830853			
GRAHAM_CML_QUIESCENT_VS_NORMAL_DIVIDING_UP	0.3128020896473964			
KEGG_NUCLEOTIDE_EXCISION_REPAIR	0.31245077002217886			
