	Score	0.95 MoE	P-Value	Q-Value
ERBB2_UP.V1_UP	0.4127919160553843			
GSE42021_TREG_VS_TCONV_PLN_DN	0.41203847659946835			
CERVERA_SDHB_TARGETS_1_UP	0.410418814673496			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.40960655425242676			
LTE2_UP.V1_UP	0.4077852001372199			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.4069724731015892			
REACTOME_EPH_EPHRIN_SIGNALING	0.4068537436305294			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.4066133711733906			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.40654981663541917			
PID_ECADHERIN_STABILIZATION_PATHWAY	0.4058108773672184			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.40517216058687955			
GOZGIT_ESR1_TARGETS_DN	0.40510430710676953			
BORLAK_LIVER_CANCER_EGF_UP	0.4042753882806791			
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	0.40425797966737104			
GO_CADHERIN_BINDING	0.4039335079515242			
DOANE_BREAST_CANCER_ESR1_UP	0.4036489547269032			
GO_PLASMA_MEMBRANE_REGION	0.40297353602083363			
RAF_UP.V1_DN	0.40247643395977695			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.40245658521800903			
REACTOME_CELL_CELL_COMMUNICATION	0.40156802245755013			
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	0.4013937456591805			
BRUECKNER_TARGETS_OF_MIRLET7A3_UP	0.401318372628459			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	0.4011487192805465			
FARMER_BREAST_CANCER_APOCRINE_VS_LUMINAL	0.40108662557810243			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.4010713244770622			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.4008283654746609			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.40078226793610183			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.4007363188142403			
VANTVEER_BREAST_CANCER_BRCA1_DN	0.4001046559717695			
AP1_Q2_01	0.3997908197827764			
GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_UP	0.3988336901715273			
LOPEZ_MESOTHELIOMA_SURVIVAL_WORST_VS_BEST_UP	0.3978251639431455			
GO_CELL_JUNCTION_ORGANIZATION	0.39774327415901745			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.39743844281223706			
PID_NECTIN_PATHWAY	0.397335282462517			
MEK_UP.V1_UP	0.39716834810098156			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1	0.39659719555992884			
GSE42021_CD24HI_VS_CD24LOW_TCONV_THYMUS_UP	0.39655822317496064			
GO_ADHERENS_JUNCTION	0.3964004103498618			
GO_BASEMENT_MEMBRANE_ASSEMBLY	0.39640032655988133			
REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE	0.3961801226557985			
YANG_BREAST_CANCER_ESR1_UP	0.3960257662648685			
GO_CELL_JUNCTION_ASSEMBLY	0.39566316195168866			
DITTMER_PTHLH_TARGETS_UP	0.39565865423115865			
ENGELMANN_CANCER_PROGENITORS_DN	0.39523781203667513			
GO_EPITHELIAL_CELL_CELL_ADHESION	0.3952045348676452			
GO_LAMININ_COMPLEX	0.39503835020402794			
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN	0.3948925880231136			
GO_POSITIVE_REGULATION_OF_VESICLE_FUSION	0.39479280114396714			
PASINI_SUZ12_TARGETS_DN	0.3946430172514518			
WINTER_HYPOXIA_UP	0.39459700578787377			
GO_NEGATIVE_REGULATION_OF_ANOIKIS	0.3944689160746584			
GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY7_DN	0.39434025385074256			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.39397680516826394			
GAUSSMANN_MLL_AF4_FUSION_TARGETS_E_UP	0.3936734471700489			
GO_COSTAMERE	0.39341027294000797			
JECHLINGER_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_DN	0.3932256298217451			
SINGH_NFE2L2_TARGETS	0.39298269699323096			
MCBRYAN_PUBERTAL_BREAST_3_4WK_UP	0.3921204626070118			
PID_NCADHERIN_PATHWAY	0.39199603798191196			
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	0.3917322159413619			
GO_APICAL_PART_OF_CELL	0.3913309224122301			
FARMER_BREAST_CANCER_BASAL_VS_LULMINAL	0.39125742911461253			
GO_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	0.3912550190919827			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.3912327495455561			
GROSS_HYPOXIA_VIA_HIF1A_DN	0.3908809377611436			
BECKER_TAMOXIFEN_RESISTANCE_DN	0.39076739540337224			
HALLMARK_GLYCOLYSIS	0.3904021658614741			
GO_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.3901912197856201			
GO_CELL_JUNCTION	0.3901732980507222			
BOYLAN_MULTIPLE_MYELOMA_PCA1_DN	0.39001235940633117			
RIGGINS_TAMOXIFEN_RESISTANCE_DN	0.38980972428672916			
GO_EPHRIN_RECEPTOR_SIGNALING_PATHWAY	0.3897933047822697			
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	0.38969872836721325			
GO_CALCIUM_DEPENDENT_PHOSPHOLIPID_BINDING	0.389274448321737			
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	0.38898878966464406			
GSE18281_SUBCAPSULAR_CORTICAL_REGION_VS_WHOLE_CORTEX_THYMUS_UP	0.38893164856006956			
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX5_DN	0.3889154159006024			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_7	0.3888577936062856			
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.38874633959720595			
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.3882184678671695			
GO_NEGATIVE_REGULATION_OF_STEM_CELL_PROLIFERATION	0.38799060824736054			
GO_CELL_CELL_JUNCTION	0.38775516077296646			
CHIBA_RESPONSE_TO_TSA_DN	0.3871672425366902			
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.38691942215613784			
GO_CLATHRIN_COATED_PIT	0.3865224929386299			
GO_LAMININ_BINDING	0.38651461085518			
LIAO_METASTASIS	0.38642833600302384			
IPA_NFE2L3_DN	0.3863556905425229			
GO_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	0.3862200477979879			
GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_PDC_UP	0.38612737867869534			
LOPEZ_MESOTHELIOMA_SURVIVAL_OVERALL_DN	0.3859993503825328			
IGARASHI_ATF4_TARGETS_DN	0.3859075490928271			
RAF_UP.V1_UP	0.3858014909579926			
GO_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	0.38565441320579497			
GSE20715_0H_VS_6H_OZONE_LUNG_DN	0.38563917388100194			
AMIT_SERUM_RESPONSE_240_MCF10A	0.38541056639046056			
GO_TRANS_SYNAPTIC_SIGNALING_BY_TRANS_SYNAPTIC_COMPLEX	0.3853507597382703			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.38529055343439905			
REACTOME_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS	0.385118182310052			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.38507545453249414			
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.38500679162452667			
GSE26488_WT_VS_HDAC7_DELTAP_TG_OT2_THYMOCYTE_WITH_PEPTIDE_INJECTION_DN	0.3849761902262966			
GO_CELL_CELL_JUNCTION_ORGANIZATION	0.3848948207096485			
MOHANKUMAR_HOXA1_TARGETS_DN	0.38488122257139273			
KUROKAWA_LIVER_CANCER_EARLY_RECURRENCE_UP	0.3847852297305553			
GO_PYRIMIDINE_NUCLEOTIDE_SUGAR_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.3847540764258289			
GO_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY	0.3845312857194928			
NR0B1_TARGET_GENES	0.384527097823027			
GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_UP	0.38437249725953776			
GO_DYSTROGLYCAN_BINDING	0.3842681616739082			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_4	0.3842440765087036			
GO_ACTIN_BASED_CELL_PROJECTION	0.3842005760167313			
RIGGINS_TAMOXIFEN_RESISTANCE_UP	0.3841230619494527			
GO_PERIPHERAL_NERVOUS_SYSTEM_DEVELOPMENT	0.38410652455895167			
PID_CDC42_PATHWAY	0.3840638930173937			
GO_ANIMAL_ORGAN_MORPHOGENESIS	0.38402396409173817			
GO_CELL_CELL_JUNCTION_ASSEMBLY	0.3840074154825411			
GO_CYTOKINETIC_PROCESS	0.3839172937915034			
GO_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.38374235379809596			
REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE	0.3837153927404121			
XU_GH1_AUTOCRINE_TARGETS_DN	0.3836413755158017			
DELACROIX_RARG_BOUND_MEF	0.3832143433950796			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3	0.3829280853456857			
ESC_J1_UP_LATE.V1_UP	0.38285978613859867			
WGGAATGY_TEF1_Q6	0.382807529633061			
GO_MULTIVESICULAR_BODY_SORTING_PATHWAY	0.38267713337618803			
GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN	0.38260920910390905			
HOFMANN_MYELODYSPLASTIC_SYNDROM_LOW_RISK_DN	0.3825959722967041			
ABBUD_LIF_SIGNALING_2_UP	0.38256194074292543			
NUYTTEN_NIPP1_TARGETS_DN	0.382407861870736			
CHUANG_OXIDATIVE_STRESS_RESPONSE_UP	0.3821306430362999			
GSE2405_0H_VS_3H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	0.3819274048509177			
SMID_BREAST_CANCER_BASAL_DN	0.3819006662604757			
GSE42021_CD24HI_VS_CD24INT_TCONV_THYMUS_UP	0.38185940439857896			
GO_APICAL_JUNCTION_COMPLEX	0.38173125286550047			
RODRIGUES_NTN1_TARGETS_DN	0.3816677466085046			
DURAND_STROMA_NS_UP	0.381489620415421			
GO_CELL_CORTEX	0.3814467557737141			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_DN	0.38129063364801097			
REACTOME_MET_PROMOTES_CELL_MOTILITY	0.38120749931613057			
GO_PYRIMIDINE_NUCLEOTIDE_SUGAR_TRANSMEMBRANE_TRANSPORT	0.38110194402378184			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.38103902562202047			
GO_MEMBRANE_BIOGENESIS	0.3809703628901315			
JIANG_HYPOXIA_NORMAL	0.3809633822985195			
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP	0.38093418407104457			
GO_TYPE_B_PANCREATIC_CELL_PROLIFERATION	0.3807690029502853			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.38063469653009047			
REACTOME_MET_ACTIVATES_PTK2_SIGNALING	0.3805665541778888			
GO_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS	0.38044328382055903			
ISSAEVA_MLL2_TARGETS	0.3804270546583117			
HU_ANGIOGENESIS_UP	0.3803512971008359			
MCBRYAN_PUBERTAL_TGFB1_TARGETS_DN	0.3803238532585068			
PID_EPHB_FWD_PATHWAY	0.3802584503675735			
CRX_NRL_DN.V1_DN	0.3800738167115289			
GSE22313_HEALTHY_VS_SLE_MOUSE_CD4_TCELL_UP	0.38004244975363305			
GSE3982_MAC_VS_BCELL_UP	0.37992965363337283			
KIM_MYCL1_AMPLIFICATION_TARGETS_DN	0.3798468187342624			
GO_ERBB_SIGNALING_PATHWAY	0.3797753528431427			
REACTOME_MEMBRANE_TRAFFICKING	0.37969915503832163			
REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2	0.3795102645643292			
GO_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.3793097344180513			
GO_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	0.37904854319126086			
GO_APICAL_PLASMA_MEMBRANE	0.37900932580772145			
PID_INTEGRIN4_PATHWAY	0.3789984776549058			
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX6_DN	0.37888467174325974			
AP1_Q4_01	0.37869570214954457			
WATANABE_ULCERATIVE_COLITIS_WITH_CANCER_UP	0.37862135963922733			
