	Score	0.95 MoE	P-Value	Q-Value
LTE2_UP.V1_UP	0.5854546326553217			
ERBB2_UP.V1_UP	0.5854490996896745			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.5843125196204244			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.5819343628296967			
MEK_UP.V1_UP	0.581733147621472			
DELACROIX_RARG_BOUND_MEF	0.5814743240837145			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.5812631580800838			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.5794772753144802			
GOZGIT_ESR1_TARGETS_DN	0.5792882235343007			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.5792301393284357			
GO_ADHERENS_JUNCTION	0.5791555521648708			
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.5786609309562489			
GO_CELL_JUNCTION_ORGANIZATION	0.5784509475459394			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.5779053699059046			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.5773941092284061			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.5770774283908914			
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.5769675388513216			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.5760025170565529			
GO_CELL_CELL_JUNCTION	0.5755379795169406			
GO_COSTAMERE	0.5743255057087115			
WGGAATGY_TEF1_Q6	0.5741468714511354			
FORTSCHEGGER_PHF8_TARGETS_DN	0.5741407481789006			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.57387722181289			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.5734476547482572			
GO_CELL_JUNCTION_ASSEMBLY	0.5732629256129304			
GO_CELL_CORTEX	0.5719343129490236			
GSE42021_TREG_VS_TCONV_PLN_DN	0.5716971604959428			
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN	0.57150997711257			
UDAYAKUMAR_MED1_TARGETS_DN	0.5712019245793132			
ESC_J1_UP_LATE.V1_UP	0.5710873096816927			
AMIT_SERUM_RESPONSE_240_MCF10A	0.5708436026905844			
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_B	0.570701326047875			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.5691712206930997			
RIGGINS_TAMOXIFEN_RESISTANCE_DN	0.5673538052591615			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.5665983433098158			
GO_LAMININ_BINDING	0.5664080291298443			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.565565995488627			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.5638003028778056			
RAF_UP.V1_UP	0.5637628506413467			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_CDC25_DN	0.5627645882961608			
REACTOME_CELL_CELL_COMMUNICATION	0.5621715947903726			
BHAT_ESR1_TARGETS_VIA_AKT1_DN	0.5620377833847866			
DURCHDEWALD_SKIN_CARCINOGENESIS_DN	0.5620107625937807			
PASINI_SUZ12_TARGETS_DN	0.5618272921862564			
ISSAEVA_MLL2_TARGETS	0.5607329844728486			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.56063984960804			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.5604151442929365			
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP	0.5602268920027649			
CERVERA_SDHB_TARGETS_1_UP	0.5594431967893458			
MCBRYAN_PUBERTAL_BREAST_3_4WK_UP	0.559426447193181			
GROSS_HYPOXIA_VIA_HIF1A_DN	0.5593697563184812			
KIM_WT1_TARGETS_12HR_UP	0.5590175323973122			
PROVENZANI_METASTASIS_DN	0.5590125452016272			
GO_ANCHORING_JUNCTION	0.5586838996666651			
GO_LAMININ_COMPLEX	0.5586003497298293			
GO_CADHERIN_BINDING	0.5584988225770305			
PID_NECTIN_PATHWAY	0.5582754047191213			
FRASOR_TAMOXIFEN_RESPONSE_UP	0.5580917644007518			
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	0.5569877519802487			
GO_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	0.5565676703102894			
GO_TISSUE_MIGRATION	0.5564695205459519			
GO_PERINUCLEAR_REGION_OF_CYTOPLASM	0.556370073414353			
GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN	0.5561909910913296			
GSE37301_PRO_BCELL_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_UP	0.5560812502818628			
JOHNSTONE_PARVB_TARGETS_3_UP	0.5560545255655961			
REACTOME_SIGNALING_BY_MET	0.5559089154364173			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	0.5558206183064697			
JIANG_HYPOXIA_NORMAL	0.5552296049366013			
PID_FAK_PATHWAY	0.5551564858463734			
