	Score	0.95 MoE	P-Value	Q-Value
REACTOME_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION	0.34985315049362314			
GO_TERPENOID_METABOLIC_PROCESS	0.3389409956248807			
PID_HNF3A_PATHWAY	0.33816390057826734			
GO_ANDROGEN_METABOLIC_PROCESS	0.3375005951094891			
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	0.3368335221904436			
REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS	0.33640823538213394			
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	0.3364063375051065			
GO_ISOPRENOID_METABOLIC_PROCESS	0.33623051862532977			
GO_CELLULAR_HORMONE_METABOLIC_PROCESS	0.33569423081970434			
GO_NEGATIVE_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS	0.33549655129230427			
BIOCARTA_EXTRINSIC_PATHWAY	0.3347551482880996			
FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_DN	0.33449824953608776			
GO_STEROID_HORMONE_RECEPTOR_ACTIVITY	0.3341291027812902			
SMID_BREAST_CANCER_BASAL_DN	0.33411039544803567			
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	0.3340385932182621			
LEE_LIVER_CANCER_ACOX1_DN	0.333883780207345			
SMID_BREAST_CANCER_LUMINAL_B_UP	0.33327121927364445			
GO_PRIMARY_ALCOHOL_METABOLIC_PROCESS	0.3329261269936334			
MINGUEZ_LIVER_CANCER_VASCULAR_INVASION_DN	0.332642143130902			
HALLMARK_XENOBIOTIC_METABOLISM	0.3322735865377318			
LEE_LIVER_CANCER_SURVIVAL_UP	0.33158576346718815			
GO_ORGANIC_HYDROXY_COMPOUND_CATABOLIC_PROCESS	0.3313147087364384			
GO_CELLULAR_ALDEHYDE_METABOLIC_PROCESS	0.33085944919103855			
GO_MONOVALENT_INORGANIC_ANION_HOMEOSTASIS	0.33012415537792783			
GO_AMMONIUM_ION_METABOLIC_PROCESS	0.32919176088521895			
REACTOME_REMOVAL_OF_AMINOTERMINAL_PROPEPTIDES_FROM_GAMMA_CARBOXYLATED_PROTEINS	0.32683632861502554			
GO_HORMONE_METABOLIC_PROCESS	0.3266907357384335			
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_27_HYDROXYCHOLESTEROL	0.3259264436671782			
GO_REGULATION_OF_SULFUR_METABOLIC_PROCESS	0.32398850758595604			
REACTOME_VISUAL_PHOTOTRANSDUCTION	0.3234249063101656			
SMITH_LIVER_CANCER	0.32300971588777394			
GO_BILE_ACID_BINDING	0.32267150017838875			
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL	0.3225222518523066			
ACEVEDO_LIVER_CANCER_DN	0.3211520081562428			
IPA_HNF1A_UP	0.32086590761887357			
GO_STEROL_TRANSPORT	0.32078328344570506			
GO_PROTEIN_ACTIVATION_CASCADE	0.32051199651024426			
HSIAO_LIVER_SPECIFIC_GENES	0.32010234220278505			
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS	0.3197560111606751			
NR1H4_TARGET_GENES	0.31945249581269497			
REACTOME_TERMINAL_PATHWAY_OF_COMPLEMENT	0.31941707084842846			
GO_ORGANIC_HYDROXY_COMPOUND_TRANSPORT	0.3194096308519897			
IPA_NR1H4_UP	0.3191703808477717			
IIZUKA_LIVER_CANCER_PROGRESSION_G2_G3_UP	0.31884320065029115			
CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_DN	0.31859310259259394			
GO_ALDEHYDE_CATABOLIC_PROCESS	0.3185354945636563			
GO_QUINONE_METABOLIC_PROCESS	0.31785336071703596			
COULOUARN_TEMPORAL_TGFB1_SIGNATURE_DN	0.31746088819467466			
GO_ANION_HOMEOSTASIS	0.31707666322069683			
SMID_BREAST_CANCER_RELAPSE_IN_BRAIN_DN	0.3170253021501872			
GO_POSITIVE_REGULATION_OF_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING	0.31668107692235975			
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM	0.3158456402917182			
ANDERSEN_LIVER_CANCER_KRT19_DN	0.31574045631864844			
GO_RETINOL_DEHYDROGENASE_ACTIVITY	0.31532894435774667			
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	0.3150167593982098			
GO_ARYLESTERASE_ACTIVITY	0.3148468933727144			
GO_LIPOPROTEIN_CATABOLIC_PROCESS	0.3145893175492709			
SU_LIVER	0.3145465277900132			
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS	0.3142205908134739			
GO_NEGATIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS	0.31411635570269336			
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	0.31406251638851146			
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.3140566368516504			
GO_LIPID_HOMEOSTASIS	0.3136197962819847			
GO_ALCOHOL_CATABOLIC_PROCESS	0.31361093619966185			
GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_APOPTOTIC_PROCESS	0.31348901285074243			
HOEGERKORP_CD44_TARGETS_DIRECT_DN	0.3131541434924397			
GO_ORGANIC_ACID_TRANSPORT	0.313075931964729			
TURASHVILI_BREAST_CARCINOMA_DUCTAL_VS_LOBULAR_DN	0.3130038485186463			
NFE2L2.V2	0.312829246983499			
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL	0.3125144781801839			
STOSSI_RESPONSE_TO_ESTRADIOL	0.31238812661904275			
BOCHKIS_FOXA2_TARGETS	0.3123563487838676			
GO_LOW_DENSITY_LIPOPROTEIN_PARTICLE_RECEPTOR_BINDING	0.3121632190673893			
GO_HEME_TRANSPORTER_ACTIVITY	0.3120956653855624			
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP	0.3120189089035338			
REACTOME_HEME_DEGRADATION	0.3116205126661114			
ESC_V6.5_UP_LATE.V1_UP	0.3112336004967826			
IPA_DBP_UP	0.3111388059463417			
MIR3164	0.31091925456749325			
GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN_REDUCED_PTERIDINE_AS_ONE_DONOR_AND_INCORPORATION_OF_ONE_ATOM_OF_OXYGEN	0.3106128168316945			
GO_RETINOL_METABOLIC_PROCESS	0.31038596468456797			
GO_CELLULAR_KETONE_METABOLIC_PROCESS	0.3102466413201031			
REACTOME_THE_CANONICAL_RETINOID_CYCLE_IN_RODS_TWILIGHT_VISION	0.3101538457462207			
GO_MONOCARBOXYLIC_ACID_BINDING	0.3099888512375113			
GO_XENOBIOTIC_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.3097002847495212			
PILON_KLF1_TARGETS_UP	0.30945511971318324			
GO_PROGESTERONE_METABOLIC_PROCESS	0.3093082337124928			
GO_PYRUVATE_BIOSYNTHETIC_PROCESS	0.3091030826235687			
YANG_BREAST_CANCER_ESR1_UP	0.30904136256981185			
GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN	0.3090050943193924			
SINGH_NFE2L2_TARGETS	0.30847239572574714			
GO_RETINOIC_ACID_METABOLIC_PROCESS	0.3084165190631582			
GO_RESPONSE_TO_FATTY_ACID	0.3083181907051633			
YAGUE_PRETUMOR_DRUG_RESISTANCE_UP	0.30796170066941636			
REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION	0.30757879046761705			
BIOCARTA_INTRINSIC_PATHWAY	0.3075580172584639			
GO_LIPOPROTEIN_PARTICLE_RECEPTOR_BINDING	0.3074251528596762			
CERVERA_SDHB_TARGETS_1_DN	0.3073705649699509			
GO_REGULATION_OF_CELLULAR_KETONE_METABOLIC_PROCESS	0.30721824593118485			
GO_TYROSINE_METABOLIC_PROCESS	0.30717564321212104			
WOO_LIVER_CANCER_RECURRENCE_DN	0.3071390683637872			
REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS	0.3071134170733561			
GO_ETHANOL_METABOLIC_PROCESS	0.307009890720966			
FARMER_BREAST_CANCER_APOCRINE_VS_LUMINAL	0.306888697486913			
WANG_LMO4_TARGETS_UP	0.30655488911441625			
IGARASHI_ATF4_TARGETS_DN	0.30651023991930176			
DOANE_BREAST_CANCER_CLASSES_UP	0.3063136050982433			
HALLMARK_PEROXISOME	0.30626305005560506			
GO_MONOOXYGENASE_ACTIVITY	0.3061518284863158			
REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION	0.3060709421731671			
GO_PRIMARY_ALCOHOL_CATABOLIC_PROCESS	0.30592471811385064			
CAIRO_HEPATOBLASTOMA_POOR_SURVIVAL	0.30577781641153107			
BIOCARTA_ERBB3_PATHWAY	0.30562971875259853			
REACTOME_ALPHA_OXIDATION_OF_PHYTANATE	0.3054739805990228			
GO_LIPID_DIGESTION	0.3053545216326536			
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.30518176135633646			
LTE2_UP.V1_UP	0.3051559994213463			
GO_NEGATIVE_REGULATION_OF_COAGULATION	0.3051018011112555			
REACTOME_PEROXISOMAL_LIPID_METABOLISM	0.30506137125938454			
GO_GLYCOSIDE_METABOLIC_PROCESS	0.30503318055934536			
REACTOME_PHENYLALANINE_AND_TYROSINE_METABOLISM	0.30493672183778797			
HMG20B_TARGET_GENES	0.3048259596648397			
HNF4_01_B	0.30471248739103185			
GO_TERTIARY_ALCOHOL_METABOLIC_PROCESS	0.30465638814604207			
GO_L_PHENYLALANINE_METABOLIC_PROCESS	0.30457519637177927			
BOYAULT_LIVER_CANCER_SUBCLASS_G12_DN	0.3040759349496074			
