	Score	0.95 MoE	P-Value	Q-Value
GO_ACTIN_MEDIATED_CELL_CONTRACTION	0.2550163009306765			
GO_CLATHRIN_COAT_OF_COATED_PIT	0.25217382343196076			
FARMER_BREAST_CANCER_BASAL_VS_LULMINAL	0.24893559915252247			
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.24718201081174124			
SMITH_TERT_TARGETS_UP	0.2468486309315277			
KEGG_DILATED_CARDIOMYOPATHY	0.24681427954758325			
GO_NEGATIVE_REGULATION_OF_METALLOPEPTIDASE_ACTIVITY	0.2459611098169761			
GO_MUSCLE_CONTRACTION	0.24434044811344166			
chr12p11	0.2436051215295024			
CROONQUIST_NRAS_VS_STROMAL_STIMULATION_DN	0.24328682575821362			
SANA_TNF_SIGNALING_DN	0.24287733227969938			
GO_POSITIVE_REGULATION_OF_CELLULAR_PROTEIN_LOCALIZATION	0.24239677633669796			
REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS	0.2423835895680395			
LEE_LIVER_CANCER_SURVIVAL_DN	0.24175363945651615			
GO_REGULATION_OF_INTEGRIN_MEDIATED_SIGNALING_PATHWAY	0.241588480307702			
GSE15930_STIM_VS_STIM_AND_IL12_24H_CD8_T_CELL_DN	0.2413497108373835			
GO_REGULATION_OF_MUSCLE_SYSTEM_PROCESS	0.2411672504056987			
WHITFIELD_CELL_CYCLE_M_G1	0.24097687595126635			
GO_SPLICEOSOMAL_CONFORMATIONAL_CHANGES_TO_GENERATE_CATALYTIC_CONFORMATION	0.24063171675620557			
GO_REPRODUCTION	0.24046840385043777			
GSE21033_CTRL_VS_POLYIC_STIM_DC_1H_DN	0.23938355811869144			
GSE45365_WT_VS_IFNAR_KO_BCELL_MCMV_INFECTION_DN	0.23933384258286802			
BIOCARTA_EEA1_PATHWAY	0.23862958487867952			
GO_POSITIVE_REGULATION_OF_ORGANELLE_ORGANIZATION	0.23840728325641466			
GSE43955_TGFB_IL6_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_DN	0.23817024279243765			
GSE21546_SAP1A_KO_VS_SAP1A_KO_AND_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_UP	0.23806549485021405			
GO_REGULATION_OF_CELL_AGING	0.23794603767758146			
BRUINS_UVC_RESPONSE_LATE	0.23780607411146898			
TOMLINS_PROSTATE_CANCER_DN	0.23736565817929794			
GO_NEUTROPHIL_APOPTOTIC_PROCESS	0.23735876187456187			
GO_MUSCLE_SYSTEM_PROCESS	0.23693083563855702			
GO_ACTIN_FILAMENT_BASED_MOVEMENT	0.23665227746235448			
REACTOME_MUSCLE_CONTRACTION	0.2366257822688819			
GO_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND	0.2365754953699341			
GO_CLATHRIN_COAT_OF_ENDOCYTIC_VESICLE	0.23642231122506155			
GO_DEVELOPMENTAL_PROCESS_INVOLVED_IN_REPRODUCTION	0.23638008430939525			
BURTON_ADIPOGENESIS_7	0.2359286323385842			
GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP	0.23575772993903643			
GAUSSMANN_MLL_AF4_FUSION_TARGETS_E_UP	0.23466024388287227			
CHICAS_RB1_TARGETS_CONFLUENT	0.234548566594668			
GSE45365_WT_VS_IFNAR_KO_CD11B_DC_MCMV_INFECTION_DN	0.23433174182786426			
MIR34A_3P	0.23368323842897995			
ZHU_CMV_24_HR_DN	0.2334284713029688			
GSE17721_CTRL_VS_PAM3CSK4_12H_BMDC_DN	0.23325883548349824			
IPA_SMAD3_UP	0.23317830552874724			
GRADE_COLON_AND_RECTAL_CANCER_UP	0.2331390819698348			
GO_LAYER_FORMATION_IN_CEREBRAL_CORTEX	0.233123403888191			
