	Score	0.95 MoE	P-Value	Q-Value
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP	0.344463398201875			
BIOCARTA_ACTINY_PATHWAY	0.33405152814457617			
SMID_BREAST_CANCER_LUMINAL_B_UP	0.32798499826681365			
GO_PERIPHERAL_NERVOUS_SYSTEM_DEVELOPMENT	0.3218250796684384			
ALONSO_METASTASIS_NEURAL_UP	0.32055197659293455			
GO_SCHWANN_CELL_DIFFERENTIATION	0.3181596019587704			
GO_INSULIN_LIKE_GROWTH_FACTOR_I_BINDING	0.3176483069710493			
GO_HISTONE_DEMETHYLASE_ACTIVITY_H3_K36_SPECIFIC	0.3175871540592022			
GO_HISTONE_H3_K36_DEMETHYLATION	0.3175871540592022			
MIR196A_3P	0.3165852581648075			
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_DN	0.3163215772735247			
GO_MALE_SEX_DIFFERENTIATION	0.3160492557456592			
SCHLOSSER_SERUM_RESPONSE_AUGMENTED_BY_MYC	0.3154117107104968			
GO_SEX_DIFFERENTIATION	0.3143825109349879			
GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_20MIN_UP	0.31425339984048956			
GO_ER_RETENTION_SEQUENCE_BINDING	0.3137353097400252			
BOYLAN_MULTIPLE_MYELOMA_C_DN	0.31370574978776433			
GO_PRESYNAPTIC_ACTIVE_ZONE_CYTOPLASMIC_COMPONENT	0.3136405460020162			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM3	0.3124760862147523			
BECKER_TAMOXIFEN_RESISTANCE_DN	0.31197975100831826			
GO_CELLULAR_COMPONENT_MAINTENANCE	0.3115288695178485			
GO_MANNOSYLATION	0.3114256215519027			
GO_MAINTENANCE_OF_PRESYNAPTIC_ACTIVE_ZONE_STRUCTURE	0.31119296838155835			
GSE1460_NAIVE_CD4_TCELL_CORD_BLOOD_VS_THYMIC_STROMAL_CELL_UP	0.31110302085365227			
GO_NEUROMUSCULAR_JUNCTION_DEVELOPMENT	0.3109971044534325			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.3109580505589727			
GO_GRANULOCYTE_DIFFERENTIATION	0.3108196847181666			
GO_LOCOMOTORY_BEHAVIOR	0.31049926754668195			
GSE5589_UNSTIM_VS_45MIN_LPS_AND_IL6_STIM_MACROPHAGE_DN	0.3104839529896387			
PID_NCADHERIN_PATHWAY	0.30940738815617713			
GO_SUBSTRATE_DEPENDENT_CELL_MIGRATION_CELL_EXTENSION	0.3093301082065204			
ZHAN_MULTIPLE_MYELOMA_MS_UP	0.30848104606558086			
GO_SPONTANEOUS_SYNAPTIC_TRANSMISSION	0.30832471015725726			
IPA_GATA1_UP	0.30809796623224184			
ZNF547_TARGET_GENES	0.30802256736722433			
GO_NEGATIVE_REGULATION_OF_ANOIKIS	0.30747305527806124			
NR0B1_TARGET_GENES	0.3073160669538814			
GCACTTT_MIR175P_MIR20A_MIR106A_MIR106B_MIR20B_MIR519D	0.3072289218962388			
GO_EXOCYTIC_VESICLE	0.30703048228350865			
GO_NEGATIVE_REGULATION_OF_HISTONE_METHYLATION	0.30645869079823734			
GO_LOW_DENSITY_LIPOPROTEIN_RECEPTOR_PARTICLE_METABOLIC_PROCESS	0.306286952340907			
GO_CILIARY_ROOTLET	0.30597566488301725			
GSE30083_SP3_VS_SP4_THYMOCYTE_UP	0.30592460242213015			
GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.3057970926945555			
GO_VITAMIN_BINDING	0.30430621994123136			
HOX13_01	0.30409233154890264			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.3040524658376684			
