	Score	0.95 MoE	P-Value	Q-Value
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_45MIN_UP	0.45591881687587865			
GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN	0.4541792330528291			
CHANDRAN_METASTASIS_DN	0.45349858954694533			
GO_FOCAL_ADHESION_ASSEMBLY	0.4499333248478738			
GO_SMOOTH_MUSCLE_CELL_MIGRATION	0.44960117296266483			
GSE11961_FOLLICULAR_BCELL_VS_MEMORY_BCELL_DAY40_DN	0.44881406039986915			
REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	0.4486060914879864			
GSE37301_CD4_TCELL_VS_RAG2_KO_NK_CELL_DN	0.4485327464835017			
KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_DN	0.44837609274092266			
GO_SUBSTRATE_DEPENDENT_CELL_MIGRATION_CELL_EXTENSION	0.4481260556136528			
GO_MUSCLE_CELL_MIGRATION	0.44792743532405305			
GSE3982_MAC_VS_BCELL_UP	0.4477936114655662			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.44683916763160436			
KIM_WT1_TARGETS_12HR_UP	0.4464904369960153			
YAMAZAKI_TCEB3_TARGETS_UP	0.4463003504842154			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_DN	0.44600062496328474			
LU_AGING_BRAIN_UP	0.4452046745200407			
GO_ENDOTHELIAL_CELL_MIGRATION	0.4442927789191561			
HALLMARK_MYOGENESIS	0.44411460418030774			
GO_CELL_MATRIX_ADHESION	0.4439475679289103			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_CDC25_DN	0.44382502053663553			
UDAYAKUMAR_MED1_TARGETS_DN	0.44307684259335567			
DITTMER_PTHLH_TARGETS_UP	0.44290389405577907			
GSE2770_IL12_ACT_VS_ACT_CD4_TCELL_2H_DN	0.442815816431108			
GO_EXTRACELLULAR_MATRIX_BINDING	0.44212298151169593			
GSE6259_33D1_POS_DC_VS_BCELL_UP	0.44053609773970187			
GO_TISSUE_MIGRATION	0.4404476724115073			
BURTON_ADIPOGENESIS_9	0.440430899455			
WGGAATGY_TEF1_Q6	0.4401590916869403			
GO_CELL_SUBSTRATE_ADHESION	0.4399177219635261			
BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN	0.4399115489596058			
PASINI_SUZ12_TARGETS_DN	0.4396212814754086			
YOSHIMURA_MAPK8_TARGETS_DN	0.43954788021467855			
GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP	0.4393506205813154			
WONG_ADULT_TISSUE_STEM_MODULE	0.4391668867320775			
MILI_PSEUDOPODIA_CHEMOTAXIS_DN	0.43874434798472317			
PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP	0.43867274759785496			
SUNG_METASTASIS_STROMA_UP	0.43867004126634085			
BERENJENO_TRANSFORMED_BY_RHOA_DN	0.43812929622962565			
GO_CALCIUM_ION_BINDING	0.4380722084020513			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.4379389765375113			
REACTOME_MET_ACTIVATES_PTK2_SIGNALING	0.43695429669849445			
MCBRYAN_PUBERTAL_TGFB1_TARGETS_UP	0.43676508169274814			
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINDED_IN_ERYTHROCYTE_UP	0.43669685529229846			
DELACROIX_RARG_BOUND_MEF	0.4366292031213605			
GSE3982_MAST_CELL_VS_TH2_UP	0.43654838797969564			
GO_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ASSEMBLY	0.43639545499200855			
GO_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING	0.43632510002622227			
KEGG_ECM_RECEPTOR_INTERACTION	0.43627335890260466			
GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_BCELL_UP	0.4360314037119562			
LIM_MAMMARY_LUMINAL_PROGENITOR_DN	0.4358369182826926			
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN	0.43577539956422406			
GO_REGULATION_OF_ENDOCYTOSIS	0.4352274151835718			
SIMBULAN_PARP1_TARGETS_UP	0.4351974824869588			
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.43514401565625194			
GO_BASEMENT_MEMBRANE	0.43507647269905786			
GO_I_BAND	0.4350727332504401			
GO_AMINOGLYCAN_BIOSYNTHETIC_PROCESS	0.43489518153617596			
GO_EXTRACELLULAR_MATRIX_ASSEMBLY	0.4348585551613214			
TIEN_INTESTINE_PROBIOTICS_6HR_DN	0.43479875599264267			
JIANG_HYPOXIA_NORMAL	0.4347713785133188			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.4346279975611935			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.4346279524012675			
GO_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	0.43458574161627445			
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_DN	0.434521279962281			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_DN	0.43448396914337306			
GO_CELL_DIFFERENTIATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT	0.43425395061967065			
ESC_J1_UP_LATE.V1_UP	0.4341115931748362			
GO_ENDOTHELIAL_CELL_CHEMOTAXIS	0.4340129557332916			
LIU_PROSTATE_CANCER_DN	0.4339394574695514			
GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_UP	0.43388174699419274			
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_B	0.4338756802053514			
GO_CELLULAR_COPPER_ION_HOMEOSTASIS	0.4338633495321477			
GSE9988_LPS_VS_LPS_AND_ANTI_TREM1_MONOCYTE_DN	0.4337137823594304			
GSE7852_LN_VS_FAT_TREG_DN	0.4336046522956817			
GAUSSMANN_MLL_AF4_FUSION_TARGETS_E_UP	0.4335540038657179			
GO_TRANS_SYNAPTIC_SIGNALING_BY_TRANS_SYNAPTIC_COMPLEX	0.43333009889025553			
VERNELL_RETINOBLASTOMA_PATHWAY_DN	0.4333198126554004			
BASSO_HAIRY_CELL_LEUKEMIA_UP	0.43328621626414837			
LTE2_UP.V1_UP	0.43323120577026436			
GO_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	0.4329888661903498			
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM	0.4329169142056228			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.43285862427739			
AMIT_EGF_RESPONSE_240_HELA	0.4325752013589838			
ESC_V6.5_UP_EARLY.V1_DN	0.43257098336009797			
GO_CONTRACTILE_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.43252374498220597			
GSE9988_LOW_LPS_VS_ANTI_TREM1_AND_LPS_MONOCYTE_DN	0.4323916071302457			
GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.4323710736398524			
GSE26488_WT_VS_HDAC7_DELTAP_TG_OT2_THYMOCYTE_WITH_PEPTIDE_INJECTION_DN	0.43237022158017624			
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.4322617045613617			
GO_REGULATION_OF_VACUOLE_ORGANIZATION	0.43224535801142366			
GO_BASEMENT_MEMBRANE_ASSEMBLY	0.43220072806609255			
GAUSSMANN_MLL_AF4_FUSION_TARGETS_F_UP	0.43203419074425914			
GUENTHER_GROWTH_SPHERICAL_VS_ADHERENT_DN	0.4319830523059759			
REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2	0.4318403192659394			
GO_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION	0.43183800645843706			
GO_SUPRAMOLECULAR_FIBER_ORGANIZATION	0.43172248941839725			
LHX9_TARGET_GENES	0.43164642015137067			
REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE	0.4315781341639796			
GSE21546_UNSTIM_VS_ANTI_CD3_STIM_SAP1A_KO_DP_THYMOCYTES_UP	0.4314545601815406			
WANG_SMARCE1_TARGETS_UP	0.4312774470875144			
GO_COLLAGEN_BINDING	0.43123044179388803			
PID_NECTIN_PATHWAY	0.4312238683187051			
GO_REGULATION_OF_CELL_MATRIX_ADHESION	0.4311302529940055			
MILI_PSEUDOPODIA_HAPTOTAXIS_DN	0.43108438544496214			
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	0.4310659371183369			
GSE7831_1H_VS_4H_INFLUENZA_STIM_PDC_UP	0.4308087633390075			
GSE21546_UNSTIM_VS_ANTI_CD3_STIM_DP_THYMOCYTES_UP	0.43080637088752105			
GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.43069365268957627			
GO_LAMININ_BINDING	0.4305971647150196			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.4305602104086271			
GO_VACUOLAR_TRANSPORT	0.4305548383505908			
DAVICIONI_TARGETS_OF_PAX_FOXO1_FUSIONS_UP	0.4305444396350521			
TBK1.DF_UP	0.43050074622919415			
VERRECCHIA_DELAYED_RESPONSE_TO_TGFB1	0.4304996358984537			
GO_CONTRACTILE_FIBER	0.4304827502506526			
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	0.4304779160816008			
VERRECCHIA_RESPONSE_TO_TGFB1_C3	0.43043263726651154			
GSE42088_UNINF_VS_LEISHMANIA_INF_DC_4H_UP	0.4304117905933495			
GO_ACTIN_FILAMENT_BASED_PROCESS	0.4304023043539623			
GSE3982_DC_VS_NKCELL_UP	0.4303667024220596			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.43028390422846713			
VERRECCHIA_EARLY_RESPONSE_TO_TGFB1	0.430238944661843			
WELCSH_BRCA1_TARGETS_UP	0.4301662243863849			
GO_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	0.43005373518075246			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.43000225271858716			
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.4299791448177485			
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.4299761172278605			
GO_TUBE_DEVELOPMENT	0.42977680674727464			
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	0.42977174217201664			
REACTOME_MET_PROMOTES_CELL_MOTILITY	0.4296612336596688			
GSE37301_PRO_BCELL_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_UP	0.4296550897928246			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	0.4296139045026832			
GO_PERINUCLEAR_REGION_OF_CYTOPLASM	0.42944310031141464			
GO_AMEBOIDAL_TYPE_CELL_MIGRATION	0.429369409458365			
GSE27670_CTRL_VS_LMP1_TRANSDUCED_GC_BCELL_DN	0.4291472873680315			
AMIT_SERUM_RESPONSE_60_MCF10A	0.4291148713358166			
PID_ARF6_TRAFFICKING_PATHWAY	0.42902618035699613			
GO_REGULATION_OF_SPROUTING_ANGIOGENESIS	0.42894612217952716			
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0.4286645281758302			
GO_COPPER_ION_HOMEOSTASIS	0.4284327063203891			
GO_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	0.42828416662488594			
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP	0.4281864719021894			
TOMLINS_PROSTATE_CANCER_DN	0.4281852482481851			
GO_CELL_LEADING_EDGE	0.4280883467027655			
HALLMARK_COAGULATION	0.427815810977979			
GO_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY	0.42776990133233006			
GO_METANEPHRIC_NEPHRON_EPITHELIUM_DEVELOPMENT	0.4277673105479195			
VERRECCHIA_RESPONSE_TO_TGFB1_C5	0.4277350020097261			
GO_EXTRACELLULAR_MATRIX	0.42771045761393717			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.4276993146233656			
GO_TUBE_MORPHOGENESIS	0.42743069105230785			
GO_GOLGI_LUMEN	0.4273321588403471			
REACTOME_SIGNALING_BY_MET	0.42723713440658656			
GO_LYSOSOMAL_TRANSPORT	0.4272164829956382			
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_24H_UP	0.4271874552619204			
