	Score	0.95 MoE	P-Value	Q-Value
IPA_DBP_UP	0.4861174716768052			
GO_ALDEHYDE_DEHYDROGENASE_NAD_P_PLUS_ACTIVITY	0.4577231421669604			
LANDIS_ERBB2_BREAST_TUMORS_324_UP	0.45660575595035763			
ENGELMANN_CANCER_PROGENITORS_DN	0.45262087620579916			
IGARASHI_ATF4_TARGETS_DN	0.4524925288715454			
HALLMARK_ESTROGEN_RESPONSE_LATE	0.4511503523502848			
GO_3_CHLOROALLYL_ALDEHYDE_DEHYDROGENASE_ACTIVITY	0.4500160213207873			
GO_LATERAL_PLASMA_MEMBRANE	0.4447545985452966			
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	0.4447258182330966			
MCBRYAN_PUBERTAL_BREAST_5_6WK_UP	0.44349225489648725			
GO_NEGATIVE_REGULATION_OF_KERATINOCYTE_PROLIFERATION	0.440051280909052			
SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP	0.439548691018061			
CROMER_METASTASIS_DN	0.43907655827242464			
KEGG_HISTIDINE_METABOLISM	0.4381433798772352			
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.43799500561558896			
GO_REGULATION_OF_EPIDERMAL_CELL_DIFFERENTIATION	0.4372679183586311			
FARMER_BREAST_CANCER_APOCRINE_VS_BASAL	0.4355150745730566			
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS	0.43491825405036916			
REACTOME_SPHINGOLIPID_METABOLISM	0.4327810013166818			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.43192738560547256			
BOSCO_EPITHELIAL_DIFFERENTIATION_MODULE	0.4319243239820655			
BAE_BRCA1_TARGETS_UP	0.43182948570797913			
NFE2L2.V2	0.43180438949294436			
GO_CELL_DIFFERENTIATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT	0.43149951924483687			
GO_REGULATION_OF_MELANIN_BIOSYNTHETIC_PROCESS	0.4313415446387928			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.4306817311584982			
IPA_NFE2L2_DN	0.4305067158419986			
CREIGHTON_AKT1_SIGNALING_VIA_MTOR_UP	0.43012949403612094			
GO_NEGATIVE_REGULATION_OF_STEM_CELL_PROLIFERATION	0.4300579981683386			
GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORS_NAD_OR_NADP_AS_ACCEPTOR	0.42971869251317507			
HALLMARK_XENOBIOTIC_METABOLISM	0.42963541180561515			
GO_REGULATION_OF_EPIDERMIS_DEVELOPMENT	0.4288788314175401			
IPA_NFE2L3_DN	0.4286931306736395			
REACTOME_GRB7_EVENTS_IN_ERBB2_SIGNALING	0.42855200002954574			
NUYTTEN_NIPP1_TARGETS_DN	0.4279184742572887			
STEIN_ESRRA_TARGETS	0.4279169783174445			
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_UP	0.42769250862014696			
REACTOME_RNF_MUTANTS_SHOW_ENHANCED_WNT_SIGNALING_AND_PROLIFERATION	0.4273776623715052			
GO_RETINAL_METABOLIC_PROCESS	0.4273240228959403			
GSE19888_CTRL_VS_T_CELL_MEMBRANES_ACT_MAST_CELL_DN	0.42680565125543807			
GO_PRIMARY_ALCOHOL_METABOLIC_PROCESS	0.4266979436557765			
SABATES_COLORECTAL_ADENOMA_UP	0.4263391317253041			
REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS	0.4260959392871412			
GO_ADHERENS_JUNCTION	0.4260823749153747			
MCBRYAN_PUBERTAL_TGFB1_TARGETS_DN	0.4259474535092954			
LI_AMPLIFIED_IN_LUNG_CANCER	0.4257378639288451			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.4254975317502837			
WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2_UP	0.4249128727963285			
GO_POSITIVE_REGULATION_OF_SECONDARY_METABOLITE_BIOSYNTHETIC_PROCESS	0.42470307759983805			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.42456687743799215			
IPA_MAFF_UP	0.4239837431443825			
IPA_SPDEF_UP	0.42370784944653145			
GO_BASAL_PLASMA_MEMBRANE	0.42348177600305387			
MCBRYAN_PUBERTAL_BREAST_3_4WK_UP	0.4229422381513937			
AKT_UP.V1_UP	0.4229183602886768			
MEK_UP.V1_UP	0.4228657683044978			
GSE19888_ADENOSINE_A3R_ACT_VS_TCELL_MEMBRANES_ACT_AND_A3R_INH_PRETREAT_IN_MAST_CELL_DN	0.42284185662559814			
HOFMANN_MYELODYSPLASTIC_SYNDROM_LOW_RISK_DN	0.42277307446798473			
GU_PDEF_TARGETS_DN	0.4227590208771261			
KEGG_PHENYLALANINE_METABOLISM	0.42273187259749395			
DELPUECH_FOXO3_TARGETS_UP	0.42196975886441057			
LANDIS_ERBB2_BREAST_TUMORS_65_UP	0.4218701852824256			
SINGH_NFE2L2_TARGETS	0.421770012435573			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.42068368404432427			
GO_APICAL_JUNCTION_COMPLEX	0.4206111740512216			
IPA_NFE2L3_UP	0.4205878660991098			
GO_MONOCARBOXYLIC_ACID_BINDING	0.4205440092961338			
GO_BASAL_PART_OF_CELL	0.42048189734692804			
