	Score	0.95 MoE	P-Value	Q-Value
MCCABE_HOXC6_TARGETS_CANCER_DN	0.3995900455021463			
RB_DN.V1_DN	0.39756213535588275			
IPA_BRCA2_UP	0.3962920402019177			
WANG_CLIM2_TARGETS_DN	0.39584973287433883			
GSE360_L_MAJOR_VS_B_MALAYI_LOW_DOSE_MAC_UP	0.38724214877601204			
GO_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_IN_RESPONSE_TO_OXIDATIVE_STRESS	0.3860334131665179			
GO_SPHINGOMYELIN_BIOSYNTHETIC_PROCESS	0.3857439762083041			
VANHARANTA_UTERINE_FIBROID_DN	0.38321729105623903			
UBN1_TARGET_GENES	0.3821917769222128			
SMITH_TERT_TARGETS_UP	0.38174926232238604			
GO_ACTIVATION_OF_MAPKK_ACTIVITY	0.38162421371707345			
HOWLIN_CITED1_TARGETS_1_DN	0.3803448830669228			
HOOI_ST7_TARGETS_UP	0.3802061146822235			
ENK_UV_RESPONSE_KERATINOCYTE_DN	0.38004970814363065			
GO_PROLACTIN_SECRETION	0.37953073983684094			
HES2_TARGET_GENES	0.37945059009016713			
GO_TRANSFORMING_GROWTH_FACTOR_BETA2_PRODUCTION	0.3781654119099839			
GO_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_IN_RESPONSE_TO_STRESS	0.376398537116258			
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX2_DN	0.3763109467143858			
MIR4504	0.3759962203148693			
GSE9509_10MIN_VS_30MIN_LPS_STIM_IL10_KO_MACROPHAGE_UP	0.3745923233894874			
GO_POSITIVE_REGULATION_OF_CYTOKINE_SECRETION_INVOLVED_IN_IMMUNE_RESPONSE	0.37452729794751927			
AMIT_SERUM_RESPONSE_120_MCF10A	0.3744393244105181			
ZHANG_ANTIVIRAL_RESPONSE_TO_RIBAVIRIN_DN	0.3743523073875813			
REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS	0.3738135667811253			
SIPA1_TARGET_GENES	0.373200972735607			
REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS	0.3726773423903881			
GO_PHOSPHOLIPASE_A2_INHIBITOR_ACTIVITY	0.3726274018107651			
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_DN	0.3723927005951692			
GSE17721_POLYIC_VS_CPG_24H_BMDC_DN	0.3717745202845457			
TBK1.DF_DN	0.37137708873275843			
REACTOME_MEMBRANE_TRAFFICKING	0.37109135571156476			
IPA_MEF2D_DN	0.37021011214578126			
GO_INTERCALATED_DISC	0.36972123543863933			
GO_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	0.3695831667989461			
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN	0.3694089542029659			
GO_REGULATION_OF_PHOSPHOLIPASE_A2_ACTIVITY	0.36924978081805243			
AP1_01	0.36781333387934995			
IPA_SET_UP	0.3676780831594321			
GO_REGULATION_OF_ACTIN_FILAMENT_BASED_MOVEMENT	0.3673373291172633			
GO_MATERNAL_PROCESS_INVOLVED_IN_FEMALE_PREGNANCY	0.36719747339171943			
GO_PROTEIN_HETERODIMERIZATION_ACTIVITY	0.36704236314351735			
GO_REGULATION_OF_PROTEIN_HOMOOLIGOMERIZATION	0.36699560417129634			
GO_MULTI_MULTICELLULAR_ORGANISM_PROCESS	0.3667708742577284			
GO_ASTROCYTE_PROJECTION	0.366127847128462			
KRIEG_KDM3A_TARGETS_NOT_HYPOXIA	0.36551235455410375			
GOTZMANN_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_DN	0.365411462602233			
KYNG_WERNER_SYNDROM_AND_NORMAL_AGING_DN	0.36510567088139956			
GO_FEMALE_PREGNANCY	0.3646614868527274			
SESTO_RESPONSE_TO_UV_C5	0.36456674597399347			
GO_PHOSPHOLIPASE_INHIBITOR_ACTIVITY	0.3644850080706534			
GO_EPITHELIAL_CELL_DEVELOPMENT	0.36443998483093			
WEINMANN_ADAPTATION_TO_HYPOXIA_UP	0.3644244209988687			
IPA_MESP1_UP	0.3642137368900508			
GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_DN	0.3641294664507243			
GSE20715_0H_VS_24H_OZONE_TLR4_KO_LUNG_DN	0.3640513504967541			
XU_RESPONSE_TO_TRETINOIN_DN	0.3634513682894372			
DURCHDEWALD_SKIN_CARCINOGENESIS_DN	0.36344540262602			
