	Score	0.95 MoE	P-Value	Q-Value
SINGH_NFE2L2_TARGETS	0.567629868918923			
HALLMARK_XENOBIOTIC_METABOLISM	0.5494769992567546			
IGARASHI_ATF4_TARGETS_DN	0.545667435120767			
BRUECKNER_TARGETS_OF_MIRLET7A3_UP	0.5339355344485514			
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	0.5325400788637935			
GO_EPITHELIUM_DEVELOPMENT	0.5317140856783262			
NR0B1_TARGET_GENES	0.5312600048186302			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	0.5287030150328029			
GO_RETINAL_METABOLIC_PROCESS	0.5283942035252936			
MEK_UP.V1_UP	0.5277918890929651			
GO_ENTRY_OF_BACTERIUM_INTO_HOST_CELL	0.5268080977805812			
CONCANNON_APOPTOSIS_BY_EPOXOMICIN_UP	0.5258633585665894			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.5258361291709682			
CHUANG_OXIDATIVE_STRESS_RESPONSE_UP	0.5250637266277632			
GO_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.5246004274859852			
HALLMARK_GLYCOLYSIS	0.5235133735271309			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.523285519547093			
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_24H_UP	0.523031149295417			
DITTMER_PTHLH_TARGETS_UP	0.5218944186173456			
ERBB2_UP.V1_UP	0.5216506374041224			
GO_ALDEHYDE_DEHYDROGENASE_NAD_P_PLUS_ACTIVITY	0.5209417057189183			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.5204753606587675			
DORN_ADENOVIRUS_INFECTION_32HR_DN	0.5200857098181729			
ESC_J1_UP_LATE.V1_UP	0.520042971264808			
IPA_NFE2L3_UP	0.5192847417999896			
BORLAK_LIVER_CANCER_EGF_UP	0.5191223807681521			
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.5187722322837265			
GO_CELL_JUNCTION_ORGANIZATION	0.5187094002097145			
GO_CELL_JUNCTION_ASSEMBLY	0.5173891107057058			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.5167562536143151			
GSE20715_0H_VS_6H_OZONE_LUNG_DN	0.5163137520367168			
KOHOUTEK_CCNT1_TARGETS	0.5161345501704736			
MELLMAN_TUT1_TARGETS_DN	0.5161342365204459			
PID_ECADHERIN_STABILIZATION_PATHWAY	0.5161310007050601			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.5160567064391073			
DELACROIX_RARG_BOUND_MEF	0.5159183641158839			
GO_CELLULAR_ALDEHYDE_METABOLIC_PROCESS	0.515897397120858			
GO_CADHERIN_BINDING	0.5155513149977284			
REACTOME_LAMININ_INTERACTIONS	0.5150416883768126			
DORN_ADENOVIRUS_INFECTION_48HR_DN	0.5149771867052286			
REACTOME_VISUAL_PHOTOTRANSDUCTION	0.5149668565724748			
LI_AMPLIFIED_IN_LUNG_CANCER	0.5144194432121368			
LEI_MYB_TARGETS	0.5140622485100383			
TGASTMAGC_NFE2_01	0.5139179328269922			
WINTER_HYPOXIA_UP	0.5138682420002063			
GO_PROSTANOID_METABOLIC_PROCESS	0.5137906031624115			
GO_HORMONE_METABOLIC_PROCESS	0.5135245420990389			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1	0.5134669527927539			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.5131436912847903			
GO_REPRODUCTIVE_SYSTEM_DEVELOPMENT	0.5129410956051161			
GO_TERPENOID_METABOLIC_PROCESS	0.5128644886964346			
GO_EPITHELIAL_CELL_DIFFERENTIATION	0.5127528889482703			
COULOUARN_TEMPORAL_TGFB1_SIGNATURE_UP	0.5126314164061496			
NAGASHIMA_NRG1_SIGNALING_UP	0.5124885610138016			
FARMER_BREAST_CANCER_BASAL_VS_LULMINAL	0.5122932926276389			
GO_CELL_ADHESION_MOLECULE_BINDING	0.5122035797069151			
WOOD_EBV_EBNA1_TARGETS_UP	0.5119919594608622			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.5109319593359609			
GO_BRANCHING_INVOLVED_IN_MAMMARY_GLAND_DUCT_MORPHOGENESIS	0.5108493396772993			
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_YELLOW_UP	0.5107748158055045			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.5107697681491206			
GSE20715_0H_VS_24H_OZONE_LUNG_DN	0.5105225278837754			
GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN	0.5104834623308836			
GSE5589_UNSTIM_VS_45MIN_LPS_AND_IL6_STIM_MACROPHAGE_DN	0.5104675597596641			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_4	0.5102771198862187			
CHIBA_RESPONSE_TO_TSA_DN	0.5101428662054276			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.5100357841915074			
PROVENZANI_METASTASIS_DN	0.5096112941693097			
GO_LAMININ_COMPLEX	0.5093729520847141			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.5093572344428242			
AMIT_SERUM_RESPONSE_240_MCF10A	0.5092876831645566			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.5092172052005378			
REACTOME_SIGNALING_BY_MET	0.5088771944265785			
GO_CELL_CELL_JUNCTION	0.5086979186280269			
HES2_TARGET_GENES	0.508510965235837			
GO_CELLULAR_HORMONE_METABOLIC_PROCESS	0.5084519959372942			
REACTOME_ERBB2_ACTIVATES_PTK6_SIGNALING	0.5080806795986876			
NFE2L2.V2	0.5079436342847167			
GO_ADHERENS_JUNCTION	0.5077284772287939			
GO_ERBB2_SIGNALING_PATHWAY	0.5075902546633954			
GO_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	0.5074175056988725			
REACTOME_MET_PROMOTES_CELL_MOTILITY	0.5071808138568461			
REACTOME_MET_ACTIVATES_PTK2_SIGNALING	0.5070012695390694			
DORN_ADENOVIRUS_INFECTION_24HR_DN	0.5069824887686066			
KMT2D_TARGET_GENES	0.5069704924358509			
CROMER_METASTASIS_DN	0.5068143356198338			
WANG_ESOPHAGUS_CANCER_VS_NORMAL_DN	0.5067309447882897			
AP1_01	0.5065901140202602			
ESC_V6.5_UP_EARLY.V1_DN	0.506314034762856			
IPA_DBP_UP	0.5063074626488654			
GO_CELL_DIFFERENTIATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT	0.5061610944130635			
NUYTTEN_NIPP1_TARGETS_DN	0.5057808841959289			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM2	0.5057608911648424			
GSE20715_0H_VS_24H_OZONE_TLR4_KO_LUNG_DN	0.5057245184280802			
WGGAATGY_TEF1_Q6	0.505713213716572			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.5056592930465815			
PID_INTEGRIN4_PATHWAY	0.5055687140735937			
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.5055552041638095			
MCBRYAN_PUBERTAL_TGFB1_TARGETS_DN	0.5054237967190114			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.5053720291636841			
GSE42021_TREG_VS_TCONV_PLN_DN	0.5052866544732432			
IPA_NFE2L3_DN	0.5051526138773187			
SESTO_RESPONSE_TO_UV_C8	0.5051092590532692			
ENK_UV_RESPONSE_EPIDERMIS_DN	0.505004048185452			
WU_CELL_MIGRATION	0.5049490903014625			
GO_LAMININ_BINDING	0.5048511836731091			
DURCHDEWALD_SKIN_CARCINOGENESIS_DN	0.5046408753646499			
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP	0.5044069817158837			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.5043058185940648			
IPA_NFE2L2_UP	0.5037464271225988			
REACTOME_CELL_CELL_COMMUNICATION	0.503439905717919			
TGANTCA_AP1_C	0.5031768921619326			
SIMBULAN_UV_RESPONSE_IMMORTALIZED_DN	0.5031666406944211			
GO_METANEPHRIC_NEPHRON_EPITHELIUM_DEVELOPMENT	0.5031044042929391			
GSE20715_0H_VS_48H_OZONE_TLR4_KO_LUNG_DN	0.5030540258118059			
CHYLA_CBFA2T3_TARGETS_DN	0.5030219241820421			
PID_ERBB_NETWORK_PATHWAY	0.5029586301904921			
DELPUECH_FOXO3_TARGETS_UP	0.5022408683811738			
BACH1_01	0.5020324976180032			
PID_NECTIN_PATHWAY	0.5018966444139138			
ZWANG_CLASS_3_TRANSIENTLY_INDUCED_BY_EGF	0.5017472773108936			
LE_SKI_TARGETS_UP	0.5017172394665361			
JECHLINGER_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_DN	0.5015328484994147			
KIM_WT1_TARGETS_12HR_UP	0.5014295145189107			
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.5012823392772541			
BOYLAN_MULTIPLE_MYELOMA_C_DN	0.5012080262920122			
GO_EPITHELIAL_CELL_DEVELOPMENT	0.5010957175630686			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.5009986529887079			
GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_UP	0.5009888607899281			
RIGGINS_TAMOXIFEN_RESISTANCE_DN	0.5008546807167494			
GO_COSTAMERE	0.5005589994092325			
GO_ANCHORING_JUNCTION	0.5002792841786884			
IPA_MAFF_UP	0.5002472974460016			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.5002192756900159			
GO_SPHINGOMYELIN_BIOSYNTHETIC_PROCESS	0.5002086044102455			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.5001701631564828			
NRF2_Q4	0.49981702413931844			
GSE26488_WT_VS_HDAC7_DELTAP_TG_OT2_THYMOCYTE_WITH_PEPTIDE_INJECTION_DN	0.4997858467425144			
DORN_ADENOVIRUS_INFECTION_12HR_DN	0.49977829191111517			
REACTOME_SYNDECAN_INTERACTIONS	0.49948213264203284			
REACTOME_SHC1_EVENTS_IN_ERBB2_SIGNALING	0.49907201426266123			
GO_EXTRACELLULAR_MATRIX_BINDING	0.499038641987197			
LHX9_TARGET_GENES	0.49901756780272594			
JIANG_HYPOXIA_NORMAL	0.498846596801858			
IPA_BACH1_DN	0.4985857824189688			
KAAB_FAILED_HEART_ATRIUM_DN	0.4984952049924351			
AMIT_EGF_RESPONSE_240_HELA	0.498410664573581			
GO_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	0.4983050921332148			
GSE2405_0H_VS_3H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	0.4980034971976318			
REACTOME_SIGNALING_BY_PTK6	0.4978417133104611			
GO_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	0.4977893850181829			
GO_RESPONSE_TO_OXIDATIVE_STRESS	0.4976098910079035			
REACTOME_ERBB2_REGULATES_CELL_MOTILITY	0.4973486485665784			
GO_ERBB_SIGNALING_PATHWAY	0.49730548471318026			
GO_EPITHELIAL_CELL_PROLIFERATION	0.4971738527859101			
GO_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	0.49694826054274727			
GO_GLAND_MORPHOGENESIS	0.4967859857533286			
GO_BASEMENT_MEMBRANE	0.496712632904356			
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_DN	0.4966823914418507			
VANTVEER_BREAST_CANCER_BRCA1_DN	0.4966658278933681			
GO_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	0.4963682370092955			
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	0.4963054235979904			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_DN	0.49624311722351494			
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_UP	0.4958911130448334			
AP1_Q2_01	0.49550123735784735			
LEE_LIVER_CANCER_MYC_TGFA_UP	0.49514609271508964			
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_B	0.4951301765562537			
AMIT_EGF_RESPONSE_60_MCF10A	0.495118304278067			
BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_DN	0.4949984120065262			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.4948998904979277			
GO_BASAL_PART_OF_CELL	0.4947123151667823			
GO_PHOSPHOLIPASE_INHIBITOR_ACTIVITY	0.49453043198966784			
FARMER_BREAST_CANCER_APOCRINE_VS_BASAL	0.4943954864767723			
HU_ANGIOGENESIS_UP	0.4943459196506931			
HOFMANN_MYELODYSPLASTIC_SYNDROM_LOW_RISK_DN	0.49426373827012354			
PASINI_SUZ12_TARGETS_DN	0.494213689319706			
GO_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.49412292627192633			
MCBRYAN_PUBERTAL_BREAST_3_4WK_UP	0.49407968474280217			
WEINMANN_ADAPTATION_TO_HYPOXIA_UP	0.4939822499790645			
RASHI_RESPONSE_TO_IONIZING_RADIATION_2	0.49393617798973255			
MIR3943	0.49377100073093266			
GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_UP	0.4936585734668214			
GO_CELL_CELL_JUNCTION_ORGANIZATION	0.49358507339017393			
YAMAZAKI_TCEB3_TARGETS_UP	0.493448581413111			
LEE_LIVER_CANCER_ACOX1_UP	0.49339520385266283			
FARMER_BREAST_CANCER_CLUSTER_3	0.4931872303451169			
GO_ISOPRENOID_METABOLIC_PROCESS	0.4927958084943459			
RB_P130_DN.V1_DN	0.49275332508888703			
GO_CALCIUM_ION_BINDING	0.49261450646565513			
MOHANKUMAR_HOXA1_TARGETS_DN	0.49258597285951533			
