	Score	0.95 MoE	P-Value	Q-Value
GSE42021_TREG_VS_TCONV_PLN_DN	0.4810218592249667			
GOZGIT_ESR1_TARGETS_DN	0.48006138091120876			
BOYLAN_MULTIPLE_MYELOMA_PCA1_DN	0.47941121168259726			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.4754413079340519			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.47502798006813796			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.4735801987760199			
REACTOME_MEMBRANE_TRAFFICKING	0.4734145748717217			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.4721013621593315			
RIGGINS_TAMOXIFEN_RESISTANCE_DN	0.47209641529212126			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.47075468956779176			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.4698362781859169			
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN	0.468824915745531			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1	0.4675689787450949			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.46707567738889194			
PID_NECTIN_PATHWAY	0.46688436434783614			
LTE2_UP.V1_UP	0.4660087887779764			
GO_CELL_CORTEX	0.46569025145158455			
GO_SUBSTRATE_DEPENDENT_CELL_MIGRATION_CELL_EXTENSION	0.46468457572364436			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.46455072057635877			
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.46423995713167343			
GO_ADHERENS_JUNCTION	0.464051474144047			
JIANG_HYPOXIA_NORMAL	0.46360984525118687			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.4632395610086247			
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	0.4629419900970512			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.462884318085674			
KIM_WT1_TARGETS_12HR_UP	0.46149663348127107			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.4598493477494723			
LIU_SOX4_TARGETS_UP	0.45941715574593467			
GSE21380_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.45868677039448974			
GO_GOLGI_VESICLE_TRANSPORT	0.45847309200181086			
GO_CELL_JUNCTION_ASSEMBLY	0.45846630740277683			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.4583875896232376			
VERNELL_RETINOBLASTOMA_PATHWAY_DN	0.45836139610743065			
GO_CELL_JUNCTION_ORGANIZATION	0.4578884503066661			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.4576692318974431			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.457573587898873			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.4575498994064938			
REACTOME_SIGNALING_BY_HIPPO	0.4574634738176633			
GO_BASEMENT_MEMBRANE_ASSEMBLY	0.4573986762088134			
GO_CORTICAL_ACTIN_CYTOSKELETON	0.4571636654489479			
GO_COSTAMERE	0.4570219015007186			
HALLMARK_PROTEIN_SECRETION	0.45685937730479037			
GO_CELL_CELL_JUNCTION	0.4556973673768673			
LINSLEY_MIR16_TARGETS	0.45564305507315617			
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	0.4552968636957195			
GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.454369239301765			
LIU_CMYB_TARGETS_UP	0.45403216242593175			
PID_FAK_PATHWAY	0.45403055772199374			
GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP	0.4538707095360997			
AMIT_SERUM_RESPONSE_240_MCF10A	0.453868376226708			
CRX_NRL_DN.V1_DN	0.45352304756437667			
DITTMER_PTHLH_TARGETS_UP	0.45327736888416964			
ESC_J1_UP_LATE.V1_UP	0.4529165653699477			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	0.45280009466030724			
IVANOVSKA_MIR106B_TARGETS	0.4526896179846554			
GO_LAMININ_COMPLEX	0.4523284710873154			
