	Score	0.95 MoE	P-Value	Q-Value
MIR342_5P	0.28700164742646733			
IPA_HNF1A_DN	0.28282553403957855			
GO_CALMODULIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	0.2805626287036801			
GO_CCR4_NOT_COMPLEX	0.2781855180106509			
GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_1H_DN	0.2777793447853904			
GO_NEGATIVE_REGULATION_OF_PROTEIN_OLIGOMERIZATION	0.27679354483875934			
WANG_RECURRENT_LIVER_CANCER_UP	0.2734284989461368			
GSE17721_POLYIC_VS_PAM3CSK4_0.5H_BMDC_UP	0.2730512109412429			
ZNF592_TARGET_GENES	0.2727483023535386			
REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES	0.27182999296429106			
AEBP2_TARGET_GENES	0.27167727805861513			
GO_MICROTUBULE_MINUS_END_BINDING	0.2689612365185747			
GO_ANION_SODIUM_SYMPORTER_ACTIVITY	0.2687187323359397			
GO_ACETYLCHOLINE_BINDING	0.26844647092065366			
IPA_RUVBL1_UP	0.26828496828088977			
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_C	0.2678865730979709			
FONTAINE_FOLLICULAR_THYROID_ADENOMA_UP	0.2676912071264297			
GSE21670_TGFB_VS_TGFB_AND_IL6_TREATED_CD4_TCELL_DN	0.2670135932618262			
GO_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING	0.2667697376957085			
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	0.26543494564052456			
GO_PHOTOPERIODISM	0.2651617807225355			
GO_ACETYLCHOLINE_GATED_CATION_SELECTIVE_CHANNEL_ACTIVITY	0.2644309152061681			
GO_GLYCEROLIPID_BIOSYNTHETIC_PROCESS	0.26215779399596484			
MIKKELSEN_MEF_HCP_WITH_H3K27ME3	0.2621377968936536			
KEGG_TIGHT_JUNCTION	0.2619473526950553			
IPA_NEUROD6_UP	0.26123652889558374			
GO_RESPONSE_TO_INTERLEUKIN_18	0.2610609220878848			
MIR3914	0.260927624033727			
GSE37416_0H_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_UP	0.26077968841312893			
GO_CENTRAL_NERVOUS_SYSTEM_MYELIN_MAINTENANCE	0.26074030231823997			
MYBL1_TARGET_GENES	0.2602389230518563			
GO_APICAL_JUNCTION_ASSEMBLY	0.25986060041085873			
ZNF579_TARGET_GENES	0.2597182463343988			
GO_CELLULAR_RESPONSE_TO_NICOTINE	0.25970324241898474			
GO_POSITIVE_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN	0.2595995423869204			
VALK_AML_WITH_EVI1	0.2595932890670024			
ID1_TARGET_GENES	0.259352141176259			
GO_POSITIVE_REGULATION_OF_CYTOPLASMIC_MRNA_PROCESSING_BODY_ASSEMBLY	0.2592146276051678			
MEISSNER_BRAIN_HCP_WITH_H3K4ME2	0.2591738468093967			
IPA_MECOM_UP	0.25900968330621194			
GO_PHOSPHOLIPID_METABOLIC_PROCESS	0.2588690746627058			
GSE1112_OT1_VS_HY_CD8AB_THYMOCYTE_RTOC_CULTURE_UP	0.25828663736248925			
GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY	0.2582216037695484			
SANSOM_APC_MYC_TARGETS	0.25752635264489265			
GO_GLYCEROLIPID_METABOLIC_PROCESS	0.25735891002914724			
GO_PHOTORECEPTOR_RIBBON_SYNAPSE	0.25727405032877865			
GO_NEUROPEPTIDE_RECEPTOR_ACTIVITY	0.2570047705269037			
GSE27291_0H_VS_6H_STIM_GAMMADELTA_TCELL_UP	0.25699198938740736			
SCHLINGEMANN_SKIN_CARCINOGENESIS_TPA_UP	0.2565860646905797			
MIR3059_3P	0.2564053716477198			
GO_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY	0.2561842949152859			
REACTOME_HIGHLY_SODIUM_PERMEABLE_POSTSYNAPTIC_ACETYLCHOLINE_NICOTINIC_RECEPTORS	0.25616938457765054			
GSE42088_UNINF_VS_LEISHMANIA_INF_DC_24H_UP	0.25613668605619044			
GO_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS	0.2558711445411077			
GO_BEHAVIORAL_RESPONSE_TO_NICOTINE	0.2556763983159331			
PID_ECADHERIN_STABILIZATION_PATHWAY	0.2555719457949541			
GO_ENTRAINMENT_OF_CIRCADIAN_CLOCK	0.2555520160969962			
MIR4664_5P	0.25549229875433593			
GSE15750_WT_VS_TRAF6KO_DAY6_EFF_CD8_TCELL_DN	0.25548837522084616			
GO_NEUROPEPTIDE_RECEPTOR_BINDING	0.25534228208166326			
BASSO_HAIRY_CELL_LEUKEMIA_DN	0.25526725718648374			
GO_CLUSTER_OF_ACTIN_BASED_CELL_PROJECTIONS	0.2549694145149661			
GSE26488_HDAC7_KO_VS_VP16_TRANSGENIC_HDAC7_KO_DOUBLE_POSITIVE_THYMOCYTE_DN	0.2548365367487742			
GO_SODIUM_CHLORIDE_SYMPORTER_ACTIVITY	0.2547486159187472			
GO_BRUSH_BORDER	0.25457799802193976			
GSE27786_CD4_TCELL_VS_ERYTHTROBLAST_DN	0.2545023188006272			
GO_NEGATIVE_REGULATION_OF_POSTTRANSCRIPTIONAL_GENE_SILENCING	0.25447607427980196			
GO_RESPONSE_TO_FUNGICIDE	0.2544490822467634			
FOXD2_TARGET_GENES	0.2544344381136335			
GSE16385_UNTREATED_VS_12H_ROSIGLITAZONE_IL4_TREATED_MACROPHAGE_UP	0.25432852217993274			
GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX	0.2541961340392661			
