	Score	0.95 MoE	P-Value	Q-Value
GSE7548_NAIVE_VS_DAY28_PCC_IMMUNIZATION_CD4_TCELL_DN	0.376851068036889			
NR1H4_TARGET_GENES	0.3696362625041597			
GO_GLYCOLIPID_TRANSPORT	0.3606532320098332			
GO_POTASSIUM_ION_LEAK_CHANNEL_ACTIVITY	0.3599968236688326			
GO_NEUROTRANSMITTER_RECEPTOR_TRANSPORT	0.35821025461625966			
GO_SYNAPTIC_VESICLE_RECYCLING	0.35295693614252543			
GO_LOCOMOTORY_BEHAVIOR	0.35210555730169213			
GO_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_NEUROTRANSMITTER_RECEPTOR_LEVELS	0.3486606889382578			
GO_ENDOSOME_TRANSPORT_VIA_MULTIVESICULAR_BODY_SORTING_PATHWAY	0.34844784764675324			
KAAB_FAILED_HEART_ATRIUM_UP	0.34772639655808496			
GO_CORPUS_CALLOSUM_DEVELOPMENT	0.34704311663297704			
GO_NEGATIVE_REGULATION_OF_T_HELPER_17_TYPE_IMMUNE_RESPONSE	0.3451216293951681			
SHIRAISHI_PLZF_TARGETS_DN	0.34397926597000417			
ZMYM2_TARGET_GENES	0.3436355825515064			
CHEMELLO_SOLEUS_VS_EDL_MYOFIBERS_UP	0.3434652795336939			
GO_VOLUNTARY_SKELETAL_MUSCLE_CONTRACTION	0.34312078615622915			
GO_NEURON_SPINE	0.34276371017024837			
MIR6721_5P	0.34212445146198506			
REACTOME_SIGNALING_BY_ERBB2_ECD_MUTANTS	0.34073323729544247			
GO_SYNAPSE	0.3405879958643851			
CACCCBINDINGFACTOR_Q6	0.3405365641131617			
GSE21360_NAIVE_VS_SECONDARY_MEMORY_CD8_TCELL_DN	0.3404996886338797			
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	0.34049510303087516			
GO_PROTEIN_LOCALIZATION_TO_SYNAPSE	0.3403824328475028			
REACTOME_CONSTITUTIVE_SIGNALING_BY_EGFRVIII	0.3394805640679616			
GO_EPHRIN_RECEPTOR_ACTIVITY	0.3384361528932278			
GO_MICTURITION	0.3378485498872153			
REACTOME_EPHRIN_SIGNALING	0.33768193733210916			
MIR6794_5P	0.33745960558864696			
GO_REGULATION_OF_LONG_TERM_NEURONAL_SYNAPTIC_PLASTICITY	0.33682778928012863			
GO_REGULATION_OF_NEURON_PROJECTION_REGENERATION	0.3364409510431161			
GO_REGULATION_OF_NEURON_MIGRATION	0.33592869972076445			
GO_DENDRITIC_SPINE_HEAD	0.3356106419047088			
HANN_RESISTANCE_TO_BCL2_INHIBITOR_UP	0.33527322879253335			
GO_STABILIZATION_OF_MEMBRANE_POTENTIAL	0.3352475528588443			
MIR6852_5P	0.334936638163993			
GO_SENSORY_PERCEPTION_OF_UMAMI_TASTE	0.33490785012922253			
GO_STEREOCILIUM_MEMBRANE	0.3348928793539748			
MCCLUNG_DELTA_FOSB_TARGETS_2WK	0.33451358409424237			
GO_COP9_SIGNALOSOME_ASSEMBLY	0.3342056830098898			
GO_RESPONSE_TO_PROTOZOAN	0.3342005109578464			
GO_POSITIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	0.3341981144136529			
GO_I_SMAD_BINDING	0.3341677646183207			
BONOME_OVARIAN_CANCER_POOR_SURVIVAL_DN	0.3333092435308604			
HUMMERICH_SKIN_CANCER_PROGRESSION_DN	0.33301975267183714			
GO_NEURON_PROJECTION	0.3327009522829565			
GO_INTERLEUKIN_10_BIOSYNTHETIC_PROCESS	0.3311337496330585			
GO_NEURON_DEVELOPMENT	0.33105586861589503			
GO_SYNAPTIC_VESICLE_ENDOCYTOSIS	0.33105354542530596			
GO_NEUROTRANSMITTER_RECEPTOR_LOCALIZATION_TO_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	0.33098878746147475			
GSE14769_UNSTIM_VS_20MIN_LPS_BMDM_DN	0.330959566798082			
GSE6269_HEALTHY_VS_FLU_INF_PBMC_DN	0.33031620641732273			
GO_POSITIVE_REGULATION_OF_CHOLESTEROL_METABOLIC_PROCESS	0.33022664603311497			
GO_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS	0.32987934261097085			
MIR4716_3P	0.32985713359218133			
HALLMARK_MYOGENESIS	0.32971943904480516			
GO_CERAMIDE_TRANSPORT	0.32968367034986473			
GSE21360_NAIVE_VS_PRIMARY_MEMORY_CD8_TCELL_DN	0.3296752760173358			
GO_STEREOCILIUM_BUNDLE	0.329544600279402			
GO_G_QUADRUPLEX_DNA_UNWINDING	0.3295200904670922			
MIKKELSEN_MEF_ICP_WITH_H3K27ME3	0.3292796038201873			
MIR4730	0.3286731835582463			
GO_NEGATIVE_REGULATION_OF_NEURON_PROJECTION_REGENERATION	0.3286607089109174			
GO_SYNAPSE_ORGANIZATION	0.3285501223102531			
GSE2770_IL12_AND_TGFB_VS_IL4_TREATED_ACT_CD4_TCELL_6H_DN	0.3285321412470676			
REACTOME_FIBRONECTIN_MATRIX_FORMATION	0.32811536872987274			
GO_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE	0.3280387647842808			
GO_PRESYNAPTIC_ENDOCYTIC_ZONE	0.32801070936332455			
REACTOME_CALNEXIN_CALRETICULIN_CYCLE	0.32774851251712134			
GO_POSITIVE_REGULATION_OF_NEUROTRANSMITTER_UPTAKE	0.327689528491781			
ZNF300_TARGET_GENES	0.3271818284333176			
GSE34156_TLR1_TLR2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_DN	0.3269222195545035			
GO_ENDOSOMAL_TRANSPORT	0.3268550843102518			
GO_DENDRITE_DEVELOPMENT	0.326845954013932			
GO_SOMATODENDRITIC_COMPARTMENT	0.32673830884652233			
GO_ARF_PROTEIN_SIGNAL_TRANSDUCTION	0.32673149918623917			
GO_RESPONSE_TO_TYPE_I_INTERFERON	0.32631111437139915			
GO_DISTAL_AXON	0.32622923659080655			
GO_PROTEIN_TYROSINE_KINASE_ACTIVITY	0.32605064829500335			
PID_EPHA2_FWD_PATHWAY	0.32577837129354			
GO_NEGATIVE_REGULATION_OF_NUCLEOTIDE_METABOLIC_PROCESS	0.3254829416879922			
GO_LIGAND_GATED_SODIUM_CHANNEL_ACTIVITY	0.3253791648363252			
CAFFAREL_RESPONSE_TO_THC_24HR_3_DN	0.3252649265581889			
MIR210_5P	0.3252124982581945			
GO_VOLTAGE_GATED_SODIUM_CHANNEL_ACTIVITY	0.3252072442894875			
GO_FUNGIFORM_PAPILLA_MORPHOGENESIS	0.325134757807344			
REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE	0.3251088344481962			
PPARA_02	0.3251053684829503			
GSE5589_WT_VS_IL6_KO_LPS_STIM_MACROPHAGE_45MIN_DN	0.32502063485320937			
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_8	0.32485024771302157			
REACTOME_SIGNALING_BY_ERBB2_IN_CANCER	0.3245403733029615			
GO_AXON	0.32428948916711603			
GO_DICARBOXYLIC_ACID_TRANSPORT	0.3240749588434967			
GO_POSITIVE_REGULATION_OF_ATPASE_COUPLED_CALCIUM_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.32388036655075303			
REACTOME_ION_CHANNEL_TRANSPORT	0.323670741274041			
