	Score	0.95 MoE	P-Value	Q-Value
P53_DN.V1_UP	0.39182729772445746			
GO_ALPHA_CATENIN_BINDING	0.3898292250603633			
GO_SPHINGOMYELIN_BIOSYNTHETIC_PROCESS	0.38261547364749426			
GO_REGULATION_OF_PROTEIN_HOMOOLIGOMERIZATION	0.37876014688883264			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_3	0.3787097192159804			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.3781906600467746			
NELSON_RESPONSE_TO_ANDROGEN_UP	0.376951689861135			
PASQUALUCCI_LYMPHOMA_BY_GC_STAGE_UP	0.3737993749480709			
GO_REGULATION_OF_VACUOLE_ORGANIZATION	0.3735394838116675			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.3720759528857652			
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX2_DN	0.3714025747029644			
GSE37532_VISCERAL_ADIPOSE_TISSUE_VS_LN_DERIVED_TCONV_CD4_TCELL_DN	0.37038270138680846			
FRASOR_TAMOXIFEN_RESPONSE_UP	0.36986286844461946			
MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_DN	0.3698523443594392			
GSE42021_TREG_VS_TCONV_PLN_DN	0.3698451733978988			
GO_CADHERIN_BINDING	0.3684936161679209			
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN	0.3674416220951834			
HALLMARK_PROTEIN_SECRETION	0.36682385007710977			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.36612670517033746			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.3657918852945012			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.3657305564191977			
PID_ECADHERIN_STABILIZATION_PATHWAY	0.3655193738936765			
GO_ENDOSOME_ORGANIZATION	0.36418120178039765			
GU_PDEF_TARGETS_DN	0.36368884136194857			
SFMBT1_TARGET_GENES	0.3613184665864107			
HALLMARK_GLYCOLYSIS	0.36128490619155723			
QI_HYPOXIA	0.36116737189048675			
GO_NEGATIVE_REGULATION_OF_PROTEIN_HOMOOLIGOMERIZATION	0.361155711533509			
TEF1_Q6	0.3597541012607871			
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	0.35951374247639545			
GO_CELL_CELL_JUNCTION_ORGANIZATION	0.35950290855870914			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.35948370785422323			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.35924707530091604			
GO_NEGATIVE_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY	0.35917253423586554			
GO_COSTAMERE	0.3590457539536363			
HALMOS_CEBPA_TARGETS_DN	0.3586107408073555			
GO_POSITIVE_REGULATION_OF_HEART_CONTRACTION	0.3583839208473093			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.3583820523410214			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.35816495930191805			
REACTOME_SPHINGOLIPID_METABOLISM	0.35795696741477023			
GO_NEGATIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	0.3577450927604328			
GO_EXTRACELLULAR_EXOSOME_ASSEMBLY	0.35755263625457195			
GO_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY	0.35748537439084205			
GSE32533_WT_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_DN	0.3574658905397222			
GO_ADHERENS_JUNCTION	0.3573208819431482			
GO_POSITIVE_REGULATION_OF_VESICLE_FUSION	0.3571904698771475			
LI_AMPLIFIED_IN_LUNG_CANCER	0.35681937089694893			
GO_PROLACTIN_SECRETION	0.3567749507270998			
WANG_LMO4_TARGETS_DN	0.3565965447905546			
REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE	0.3565321443093618			
REACTOME_MEMBRANE_TRAFFICKING	0.35626961699083204			
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_UP	0.35607584278469917			
FARMER_BREAST_CANCER_BASAL_VS_LULMINAL	0.35586008252565055			
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.35560921195571926			
MONNIER_POSTRADIATION_TUMOR_ESCAPE_DN	0.35555891482078056			
JIANG_HYPOXIA_NORMAL	0.35553041557748877			
GO_RETROGRADE_VESICLE_MEDIATED_TRANSPORT_GOLGI_TO_ENDOPLASMIC_RETICULUM	0.3555066997316051			
CREIGHTON_AKT1_SIGNALING_VIA_MTOR_DN	0.3555034871883213			
BRUECKNER_TARGETS_OF_MIRLET7A3_UP	0.3552260825832591			
LE_EGR2_TARGETS_DN	0.35469776611387993			
LOCKWOOD_AMPLIFIED_IN_LUNG_CANCER	0.3545017018103539			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.35437698002647977			
GO_NEGATIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	0.354366819199802			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.35430774008382937			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.353999569280365			
HOFMANN_MYELODYSPLASTIC_SYNDROM_LOW_RISK_DN	0.3537090079962333			
GO_APICAL_JUNCTION_ASSEMBLY	0.35350031283671596			
YAMASHITA_LIVER_CANCER_STEM_CELL_UP	0.3534730258705765			
GSE42021_CD24HI_VS_CD24LOW_TCONV_THYMUS_UP	0.3534131170322358			
STEIN_ESRRA_TARGETS	0.35338800027582196			
GHO_ATF5_TARGETS_DN	0.3533037690304246			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.35320615422270735			
BAE_BRCA1_TARGETS_UP	0.35311546258219345			
GO_CELL_CELL_JUNCTION_ASSEMBLY	0.3530426768760172			
GO_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	0.3529522557407721			
REACTOME_GLYCOSPHINGOLIPID_METABOLISM	0.35273913468159723			
MIR124_3P	0.35241874233992365			
GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_1H_DN	0.352405751371175			
MEK_UP.V1_UP	0.35235670348040404			
GO_CYTOKINETIC_PROCESS	0.35233211039830614			
MCBRYAN_PUBERTAL_BREAST_3_4WK_UP	0.35214364736035064			
AP1_Q2_01	0.35195605175849043			
MIR506_3P	0.35188212750152087			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_7	0.35161557786947206			
REACTOME_SEMA4D_MEDIATED_INHIBITION_OF_CELL_ATTACHMENT_AND_MIGRATION	0.3515240119682669			
ER_Q6_02	0.35132954902478347			
GO_REGULATION_OF_EXOSOMAL_SECRETION	0.3506985720923746			
BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN	0.3505597273592303			
FARMER_BREAST_CANCER_APOCRINE_VS_BASAL	0.35041933466268976			
REACTOME_NECTIN_NECL_TRANS_HETERODIMERIZATION	0.35029251357941354			
GSE6259_33D1_POS_DC_VS_BCELL_UP	0.350288873835426			
GO_MIDBODY_ABSCISSION	0.3502101567038508			
GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	0.3500022993760872			
KORKOLA_EMBRYONIC_CARCINOMA_VS_SEMINOMA_UP	0.34994361547260056			
WACKER_HYPOXIA_TARGETS_OF_VHL	0.34980430948480534			
WANG_ADIPOGENIC_GENES_REPRESSED_BY_SIRT1	0.34968464816491707			
NUYTTEN_NIPP1_TARGETS_DN	0.3496522335903969			
ESC_J1_UP_LATE.V1_UP	0.34954024486531965			
GO_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT	0.3492359807816258			
NRF2_Q4	0.3491194638519293			
BHAT_ESR1_TARGETS_VIA_AKT1_DN	0.3491077266880043			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.349092578973133			
GO_ENDOCRINE_PANCREAS_DEVELOPMENT	0.34884738024411643			
DITTMER_PTHLH_TARGETS_UP	0.34875954632264594			
RB_P130_DN.V1_DN	0.34858899873399285			
GO_ESTABLISHMENT_OR_MAINTENANCE_OF_CYTOSKELETON_POLARITY	0.3484025665074343			
MIR4776_5P	0.34833294175177454			
REACTOME_TYPE_I_HEMIDESMOSOME_ASSEMBLY	0.34824447034345885			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1	0.348222569198866			
GO_ADHERENS_JUNCTION_ORGANIZATION	0.348151662381699			
WANG_CLIM2_TARGETS_DN	0.34815088604766736			
IPA_GRHL2_UP	0.3478518465821637			
GO_PYRIMIDINE_NUCLEOTIDE_SUGAR_TRANSMEMBRANE_TRANSPORT	0.3477390028379923			
SESTO_RESPONSE_TO_UV_C2	0.347625282647347			
RIGGINS_TAMOXIFEN_RESISTANCE_DN	0.34758743687948246			
BOYLAN_MULTIPLE_MYELOMA_C_DN	0.34748864193457507			
GO_POSITIVE_REGULATION_OF_VACUOLE_ORGANIZATION	0.347386070567237			
PID_SYNDECAN_3_PATHWAY	0.3471164891748029			
GSE41978_ID2_KO_AND_BIM_KO_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP	0.3470747336712205			
LTE2_UP.V1_UP	0.3470685312916465			
AP1_Q4_01	0.34688804757438635			
REACTOME_TRANSPORT_OF_NUCLEOTIDE_SUGARS	0.3468040534168393			
IPA_SNAI2_DN	0.3466867060506992			
MENSE_HYPOXIA_UP	0.3466708479477868			
IPA_BACH1_DN	0.34657618263706835			
GO_MULTIVESICULAR_BODY_SORTING_PATHWAY	0.34629406701234583			
GO_EPITHELIAL_CELL_MORPHOGENESIS	0.34626983399306327			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.34602492562256			
GO_GOLGI_TRANS_CISTERNA	0.34593685201924546			
GO_APICAL_JUNCTION_COMPLEX	0.34590367504390385			
GO_INTRINSIC_COMPONENT_OF_GOLGI_MEMBRANE	0.3458566892988245			
GO_EPITHELIAL_CELL_DEVELOPMENT	0.3457259136870169			
GRAESSMANN_APOPTOSIS_BY_SERUM_DEPRIVATION_DN	0.34557660879142427			
REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS	0.3452995686148894			
IGARASHI_ATF4_TARGETS_DN	0.34526708095779945			
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_YELLOW_UP	0.3451350562028291			
TGGNNNNNNKCCAR_UNKNOWN	0.34488762027255176			
UDAYAKUMAR_MED1_TARGETS_DN	0.34486883617038105			
FARMER_BREAST_CANCER_APOCRINE_VS_LUMINAL	0.3447911719534669			
HNF4_Q6	0.3447140629326368			
WEINMANN_ADAPTATION_TO_HYPOXIA_UP	0.3446602263744754			
GO_MESONEPHROS_DEVELOPMENT	0.34460051495476623			
HOUSTIS_ROS	0.34443948321543383			
XU_GH1_AUTOCRINE_TARGETS_DN	0.3444031594548468			
LIU_CMYB_TARGETS_UP	0.34438455060327167			
PROVENZANI_METASTASIS_DN	0.34437903268318837			
DASU_IL6_SIGNALING_DN	0.34433693189256637			
GSE22611_UNSTIM_VS_6H_MDP_STIM_NOD2_TRANSDUCED_HEK293T_CELL_UP	0.34422574698889224			
WU_CELL_MIGRATION	0.3440002201780756			
WANG_RECURRENT_LIVER_CANCER_UP	0.34388983021962083			
HALLMARK_ESTROGEN_RESPONSE_LATE	0.34386937443383686			
CHIBA_RESPONSE_TO_TSA_DN	0.3437908516069994			
LHX9_TARGET_GENES	0.3437767121776186			
AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN	0.34370399317463535			
GRAESSMANN_RESPONSE_TO_MC_AND_SERUM_DEPRIVATION_DN	0.3436535364790196			
GO_PROTEIN_CATABOLIC_PROCESS_IN_THE_VACUOLE	0.3435839028529592			
LEI_MYB_TARGETS	0.34345153985490606			
GO_POSITIVE_REGULATION_OF_VIRAL_RELEASE_FROM_HOST_CELL	0.3432492631557171			
MCBRYAN_PUBERTAL_BREAST_5_6WK_UP	0.3432296429854271			
GSE45365_CD8A_DC_VS_CD11B_DC_IFNAR_KO_UP	0.3431883915805882			
IPA_FOXM1_DN	0.34314336101990095			
WATANABE_ULCERATIVE_COLITIS_WITH_CANCER_UP	0.34303733530392744			
GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_BCELL_UP	0.3429148417111481			
IPA_PML_DN	0.3428179233474639			
REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION	0.34276000631080683			
KIM_MYCL1_AMPLIFICATION_TARGETS_DN	0.3427137403823605			
GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_UP	0.3425298509847006			
VERNELL_RETINOBLASTOMA_PATHWAY_DN	0.3424679385976174			
GO_OXIDOREDUCTASE_ACTIVITY_OXIDIZING_METAL_IONS_NAD_OR_NADP_AS_ACCEPTOR	0.3423975761629513			
GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_PDC_UP	0.34221997851360664			
ARGGGTTAA_UNKNOWN	0.3420705885546513			
GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_UP	0.34201218469702477			
ELVIDGE_HYPOXIA_UP	0.34192100592192987			
GO_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	0.3417196959296518			
LANDIS_ERBB2_BREAST_TUMORS_324_UP	0.3416922308458097			
GO_COPPER_ION_IMPORT	0.34167696693244815			
GO_CALCIUM_DEPENDENT_PHOSPHOLIPID_BINDING	0.3414704758204621			
WINTER_HYPOXIA_UP	0.34137805637836377			
DELPUECH_FOXO3_TARGETS_UP	0.3410407442633098			
GO_NUCLEOTIDE_SUGAR_TRANSMEMBRANE_TRANSPORT	0.3410387567343083			
ELVIDGE_HYPOXIA_BY_DMOG_UP	0.3410066066689312			
GO_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_HYPOXIA	0.3408784875743152			
ALCALAY_AML_BY_NPM1_LOCALIZATION_UP	0.3408254847703039			
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.3407273649209956			
GO_NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION_IN_OTHER_ORGANISM	0.34068356841606506			
FARMER_BREAST_CANCER_CLUSTER_6	0.3406727943069725			
GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.3406009866674204			
GO_GPI_ANCHOR_TRANSAMIDASE_ACTIVITY	0.3405854823357742			
GO_GPI_ANCHOR_TRANSAMIDASE_COMPLEX	0.3405854823357742			
AFFAR_YY1_TARGETS_UP	0.3405816331080154			
GSE20715_0H_VS_48H_OZONE_TLR4_KO_LUNG_DN	0.3404878715914934			
GO_GOLGI_VESICLE_TRANSPORT	0.3404649219740682			
GO_SCHWANN_CELL_DIFFERENTIATION	0.3403562347340545			
HES2_TARGET_GENES	0.3402033851385837			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_4	0.34017102755654655			
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_DN	0.34001477490786947			
GO_CELL_CELL_JUNCTION	0.33998622765761927			
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION	0.33993921844477043			
GO_TIGHT_JUNCTION	0.3398158431795635			
MCCABE_HOXC6_TARGETS_CANCER_DN	0.33976024080379785			
MIR92A_1_5P	0.3394255179571924			
TOOKER_GEMCITABINE_RESISTANCE_DN	0.3394230259546218			
GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_BCELL_DN	0.3393384290933228			
GSE5589_UNSTIM_VS_180MIN_LPS_STIM_MACROPHAGE_UP	0.3393198928706004			
TSENG_ADIPOGENIC_POTENTIAL_UP	0.339305205856676			
GSE16451_CTRL_VS_WEST_EQUINE_ENC_VIRUS_MATURE_NEURON_CELL_LINE_UP	0.33930292544395274			
YANG_BREAST_CANCER_ESR1_UP	0.3392024346815931			
RIGGINS_TAMOXIFEN_RESISTANCE_UP	0.33913302187652977			
SESTO_RESPONSE_TO_UV_C8	0.3391021430756942			
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	0.3390639976006544			
GO_ENTRY_OF_BACTERIUM_INTO_HOST_CELL	0.3390183416812674			
REACTOME_CELL_CELL_COMMUNICATION	0.33894702828484347			
GO_INTERCALATED_DISC	0.3388771042486407			
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.338809711703281			
GO_REGULATION_OF_ENDOPLASMIC_RETICULUM_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	0.3387930960164917			
GO_CELL_JUNCTION_ORGANIZATION	0.3387864317935965			
GO_C_PALMITOYLTRANSFERASE_ACTIVITY	0.33858215770020395			
GO_CELLULAR_PIGMENTATION	0.3385801461076704			
PID_DELTA_NP63_PATHWAY	0.3384676259062907			
GO_INTRINSIC_COMPONENT_OF_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE	0.33835538515432073			
GO_TYPE_B_PANCREATIC_CELL_PROLIFERATION	0.33832648017678857			
GO_REGULATION_OF_MUSCLE_CONTRACTION	0.33831769993779226			
CRX_NRL_DN.V1_DN	0.3382835826464951			
GO_POSITIVE_REGULATION_OF_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	0.33824830826963515			
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_45MIN_UP	0.33809544562312843			
NR0B1_TARGET_GENES	0.3380604194662843			
GOZGIT_ESR1_TARGETS_DN	0.3379638555104769			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3	0.3379223802488621			
APRELIKOVA_BRCA1_TARGETS	0.33775353513305945			
MCBRYAN_PUBERTAL_TGFB1_TARGETS_DN	0.33775300604969455			
REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS	0.3376866188960977			
GO_PLACENTA_DEVELOPMENT	0.33757931317209877			
GO_GOLGI_VESICLE_BUDDING	0.33757860054756816			
TIEN_INTESTINE_PROBIOTICS_6HR_DN	0.33751681783547194			
GO_MEMBRANE_RAFT_ASSEMBLY	0.33737185852294604			
GO_PROTEIN_O_LINKED_MANNOSYLATION	0.3373643176398988			
GO_EPITHELIAL_CELL_CELL_ADHESION	0.3372624673905183			
GO_TIGHT_JUNCTION_ORGANIZATION	0.3372403866769297			
WELCSH_BRCA1_TARGETS_UP	0.3370149867828334			
