	Score	0.95 MoE	P-Value	Q-Value
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.5360996052884993			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.5333053396181267			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.5327785356489179			
ESC_J1_UP_LATE.V1_UP	0.5321367610430573			
ERBB2_UP.V1_UP	0.5307592511860688			
GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN	0.5306327207679221			
JIANG_HYPOXIA_NORMAL	0.5301232508761374			
PID_NECTIN_PATHWAY	0.5275402540905287			
GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP	0.5253645975355733			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.5253004290624818			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.5234784194688252			
DELACROIX_RARG_BOUND_MEF	0.5224273676650899			
GO_PERINUCLEAR_REGION_OF_CYTOPLASM	0.5223179502821722			
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_B	0.5200330097107629			
FORTSCHEGGER_PHF8_TARGETS_DN	0.5199968876548258			
GO_CELL_JUNCTION_ORGANIZATION	0.5191210557077874			
BASSO_HAIRY_CELL_LEUKEMIA_UP	0.5171068387380962			
GSE21380_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.5170392887608026			
GO_CELL_JUNCTION_ASSEMBLY	0.516654881748645			
CERVERA_SDHB_TARGETS_2	0.5165462884175633			
TGANTCA_AP1_C	0.5161677332911189			
BOYLAN_MULTIPLE_MYELOMA_C_DN	0.5159505928477558			
LTE2_UP.V1_UP	0.5154329763539811			
MEK_UP.V1_UP	0.5153445563910045			
CRX_DN.V1_DN	0.515324949436494			
PID_FAK_PATHWAY	0.5150025400511846			
KIM_WT1_TARGETS_12HR_UP	0.5150000021598186			
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.5148233617419554			
GO_CELL_CORTEX	0.5146038054244692			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.5136387886067759			
GO_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	0.5132716367939756			
WGGAATGY_TEF1_Q6	0.513231915356072			
GO_CELL_MATRIX_ADHESION	0.5130955065563384			
GSE7831_1H_VS_4H_INFLUENZA_STIM_PDC_UP	0.5120648033295139			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.5119714842418099			
KOHOUTEK_CCNT1_TARGETS	0.5117091481933759			
GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.5116496158654901			
GSE8621_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_UP	0.5116285226229392			
REACTOME_CELL_CELL_COMMUNICATION	0.5114589770113462			
GO_GOLGI_VESICLE_TRANSPORT	0.5113786127727111			
GO_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	0.5112078844457542			
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	0.5111613605684744			
GROSS_HYPOXIA_VIA_HIF1A_DN	0.5111365483297378			
GSE37301_PRO_BCELL_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_UP	0.5108589826285568			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_CDC25_DN	0.5107845258961231			
GSE6259_33D1_POS_DC_VS_BCELL_UP	0.5106641742395457			
GO_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT	0.5105580449533401			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.5102621819945485			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.5101525799121946			
EGFR_UP.V1_UP	0.5101402271012825			
GSE7852_LN_VS_FAT_TREG_DN	0.5101359506186253			
GSE4748_CTRL_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_DN	0.5096572700182357			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_4	0.5092021235309471			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.5089711170384441			
GSE11924_TH1_VS_TH2_CD4_TCELL_DN	0.5089062995391987			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.5088563054947984			
GSE7852_THYMUS_VS_FAT_TREG_DN	0.5083016777668696			
RIGGINS_TAMOXIFEN_RESISTANCE_DN	0.5078995412475893			
GO_ANCHORING_JUNCTION	0.5076608902765178			
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	0.5074182279737597			
UDAYAKUMAR_MED1_TARGETS_DN	0.5070999238415929			
HALLMARK_COAGULATION	0.50695767034251			
AP1_01	0.506765313475376			
GO_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	0.5067275075168319			
AMIT_SERUM_RESPONSE_60_MCF10A	0.506568837425769			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.506568687958048			
GOZGIT_ESR1_TARGETS_DN	0.5061662100753749			
GO_TISSUE_MIGRATION	0.5059670114551938			
GROSS_HYPOXIA_VIA_ELK3_AND_HIF1A_UP	0.5058447036436206			
GO_FOCAL_ADHESION_ASSEMBLY	0.5058365312108849			
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP	0.5058202066506509			
GSE20715_0H_VS_24H_OZONE_LUNG_DN	0.505651058529964			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	0.5055896270371598			
KARLSSON_TGFB1_TARGETS_DN	0.5054581904236601			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.5052001342117212			
GO_COSTAMERE	0.5047848270233701			
GSE22313_HEALTHY_VS_SLE_MOUSE_CD4_TCELL_UP	0.5044503612527178			
JOHNSTONE_PARVB_TARGETS_3_UP	0.504325313371549			
GO_CORTICAL_ACTIN_CYTOSKELETON	0.5043120074889269			
DITTMER_PTHLH_TARGETS_UP	0.5040343007347026			
BACH1_01	0.5039745869931268			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.5038216198833281			
TBK1.DF_UP	0.503820360716113			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1	0.5036221726387243			
RAF_UP.V1_UP	0.5034234893256042			
FRASOR_TAMOXIFEN_RESPONSE_UP	0.5032713752579849			
GO_CELL_CELL_JUNCTION	0.5032390113712105			
GSE20715_0H_VS_6H_OZONE_LUNG_DN	0.5030815870117241			
REACTOME_MEMBRANE_TRAFFICKING	0.5029837689376087			
LIU_SOX4_TARGETS_UP	0.5027303828395063			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.5026516852736898			
YAMAZAKI_TCEB3_TARGETS_UP	0.5025555815770358			
GO_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	0.5024188361463792			
PASINI_SUZ12_TARGETS_DN	0.5023892939562642			
AMIT_EGF_RESPONSE_480_HELA	0.5022825564312705			
HALLMARK_PROTEIN_SECRETION	0.502000622789343			
GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	0.5019716596444376			
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.5016177856389111			
AMIT_SERUM_RESPONSE_240_MCF10A	0.5014023765177044			
MONNIER_POSTRADIATION_TUMOR_ESCAPE_DN	0.5011031969119255			
GO_REGULATION_OF_CELL_MATRIX_ADHESION	0.5009791581536971			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.5007497712458391			
GO_SUBSTRATE_DEPENDENT_CELL_MIGRATION_CELL_EXTENSION	0.5006740972349017			
GO_CALCIUM_ION_BINDING	0.5005452892477193			
GSE2826_WT_VS_BTK_KO_BCELL_DN	0.5003547675985363			
GO_ENDOTHELIAL_CELL_MIGRATION	0.5003243203843308			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM2	0.5002751614283965			
MCBRYAN_PUBERTAL_TGFB1_TARGETS_UP	0.5002551037669652			
WINZEN_DEGRADED_VIA_KHSRP	0.5002456814121308			
GSE2405_0H_VS_3H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	0.5001702493139967			
REACTOME_LAMININ_INTERACTIONS	0.499991743950178			
PROVENZANI_METASTASIS_DN	0.49982658104117017			
GO_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.49980142396789995			
GUENTHER_GROWTH_SPHERICAL_VS_ADHERENT_DN	0.4997873878616681			
GO_ADHERENS_JUNCTION	0.4994989051076187			
ZMYND8_TARGET_GENES	0.4993544471443955			
WONG_ADULT_TISSUE_STEM_MODULE	0.4992090482740959			
DURCHDEWALD_SKIN_CARCINOGENESIS_DN	0.4991478625528909			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.4986563187872576			
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_DN	0.4986092244561439			
MCBRYAN_PUBERTAL_BREAST_3_4WK_UP	0.4984175086082554			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.49838039024767156			
GO_LAMININ_BINDING	0.4982357062292062			
AP1_Q4_01	0.4978229640122554			
DELPUECH_FOXO3_TARGETS_UP	0.4977813081534014			
MIR3943	0.4971966838417768			
GO_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ASSEMBLY	0.4970656068856705			
GO_EXTRACELLULAR_MATRIX_BINDING	0.4968334500173308			
GO_CELL_ADHESION_MOLECULE_BINDING	0.4963593173554722			
GO_CELL_SUBSTRATE_ADHESION	0.49627994932056213			
ZWANG_CLASS_3_TRANSIENTLY_INDUCED_BY_EGF	0.4962499429299994			
GSE5589_UNSTIM_VS_180MIN_LPS_STIM_MACROPHAGE_UP	0.49604677427672084			
GSE21546_UNSTIM_VS_ANTI_CD3_STIM_SAP1A_KO_DP_THYMOCYTES_UP	0.4959994959217421			
GO_LAMININ_COMPLEX	0.49591637064632693			
RASHI_RESPONSE_TO_IONIZING_RADIATION_2	0.49577541818192394			
KIM_WT1_TARGETS_UP	0.4957227709813101			
CONCANNON_APOPTOSIS_BY_EPOXOMICIN_UP	0.4957224448658908			
GO_CONTRACTILE_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.49558460568382784			
ZWANG_CLASS_1_TRANSIENTLY_INDUCED_BY_EGF	0.4955759060008438			
HAN_SATB1_TARGETS_DN	0.49550447753354954			
GO_ENTRY_OF_BACTERIUM_INTO_HOST_CELL	0.49546443557224196			
NAGASHIMA_NRG1_SIGNALING_UP	0.49533588628205283			
GO_NEGATIVE_REGULATION_OF_COAGULATION	0.49504913891334024			
GSE26488_WT_VS_HDAC7_DELTAP_TG_OT2_THYMOCYTE_WITH_PEPTIDE_INJECTION_DN	0.49503160928700324			
GSE20715_0H_VS_24H_OZONE_TLR4_KO_LUNG_DN	0.4947302955857563			
GO_I_BAND	0.49471045631000576			
GO_VESICLE_ORGANIZATION	0.4944226065131394			
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	0.4939919268031931			
DORN_ADENOVIRUS_INFECTION_24HR_DN	0.49398378122228215			
GO_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING	0.4939696253807023			
LEI_MYB_TARGETS	0.49388270484264807			
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.4937848837805549			
GSE42021_TREG_VS_TCONV_PLN_DN	0.49366683347974555			
POOLA_INVASIVE_BREAST_CANCER_DN	0.4935882239267114			
GO_EPITHELIAL_CELL_PROLIFERATION	0.4934850094103786			
COULOUARN_TEMPORAL_TGFB1_SIGNATURE_UP	0.4933861583989717			
GSE7852_TREG_VS_TCONV_FAT_UP	0.49316507593742626			
LEE_BMP2_TARGETS_UP	0.4930919027660958			
GSE20500_CTRL_VS_RETINOIC_ACID_TREATED_CD4_TCELL_DN	0.4929179868360097			
GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN	0.49280020279520576			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_DN	0.4926315144765364			
GO_BASEMENT_MEMBRANE	0.4926034811541016			
WANG_ESOPHAGUS_CANCER_VS_NORMAL_DN	0.492590894359397			
GO_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	0.49257894137863484			
ZHONG_SECRETOME_OF_LUNG_CANCER_AND_FIBROBLAST	0.49201785158760025			
PILON_KLF1_TARGETS_UP	0.4919897403408586			
GO_MEMBRANE_RAFT_ASSEMBLY	0.4919751841540646			
HOELZEL_NF1_TARGETS_UP	0.4919240360568433			
GO_AMEBOIDAL_TYPE_CELL_MIGRATION	0.4918891886650849			
HOWLIN_CITED1_TARGETS_1_DN	0.4918835289237234			
ESC_V6.5_UP_EARLY.V1_DN	0.4917957214291847			
HAN_SATB1_TARGETS_UP	0.4915097807212519			
REACTOME_SIGNALING_BY_MET	0.4914463156660445			
ELVIDGE_HYPOXIA_UP	0.49132695720091146			
GO_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION	0.4913192037988967			
GO_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.49128238777422023			
HUPER_BREAST_BASAL_VS_LUMINAL_DN	0.4912389686822539			
GSE42021_CD24HI_VS_CD24INT_TCONV_THYMUS_UP	0.49121253244416785			
DAUER_STAT3_TARGETS_UP	0.49100608668257456			
GO_EXOCRINE_SYSTEM_DEVELOPMENT	0.49099328688528715			
BORLAK_LIVER_CANCER_EGF_UP	0.4908834190155609			
PHONG_TNF_RESPONSE_VIA_P38_PARTIAL	0.4907986965130039			
GO_CELL_LEADING_EDGE	0.49049701587021016			
LIM_MAMMARY_LUMINAL_PROGENITOR_DN	0.4903416373408063			
GSE5589_UNSTIM_VS_180MIN_LPS_AND_IL10_STIM_MACROPHAGE_UP	0.4901179145150441			
GO_ENDOTHELIAL_CELL_CHEMOTAXIS	0.49006848397665814			
KOBAYASHI_EGFR_SIGNALING_6HR_DN	0.4898642430860935			
DORN_ADENOVIRUS_INFECTION_48HR_DN	0.48972380741148847			
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN	0.48968446224885864			
GO_BASEMENT_MEMBRANE_ORGANIZATION	0.4896689840588749			
GO_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS	0.4895926060143672			
GO_CELL_DIFFERENTIATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT	0.4895360631003468			
GO_VESICLE_TARGETING_TO_FROM_OR_WITHIN_GOLGI	0.48944932891008175			
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_UP	0.4893477071524963			
CERVERA_SDHB_TARGETS_1_UP	0.48907501908994866			
GO_APICAL_PART_OF_CELL	0.48901087082250205			
GHO_ATF5_TARGETS_DN	0.48899567118256726			
GO_REGULATION_OF_ENDOCYTOSIS	0.48890122846567735			
LINSLEY_MIR16_TARGETS	0.48883083410010375			
AMIT_EGF_RESPONSE_60_MCF10A	0.4888037037744721			
KOYAMA_SEMA3B_TARGETS_UP	0.48867523414434294			
DORN_ADENOVIRUS_INFECTION_32HR_DN	0.48859544116808135			
SIMBULAN_PARP1_TARGETS_UP	0.4885430405264197			
GO_CLUSTER_OF_ACTIN_BASED_CELL_PROJECTIONS	0.4885330053964942			
GO_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	0.48852858875804667			
PEDERSEN_TARGETS_OF_611CTF_ISOFORM_OF_ERBB2	0.48849460647714943			
GSE3982_MAC_VS_BCELL_UP	0.48841035723151355			
GO_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	0.48838655615818144			
GO_ACTIN_FILAMENT_BUNDLE	0.4883445885435696			
GO_EPITHELIAL_CELL_DEVELOPMENT	0.48826078134280765			
