	Score	0.95 MoE	P-Value	Q-Value
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.5073002033820424			
GO_GOLGI_VESICLE_TRANSPORT	0.5044521557865048			
LANDIS_ERBB2_BREAST_TUMORS_65_UP	0.4967681569345056			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.49442176202189325			
GSE6259_33D1_POS_DC_VS_BCELL_UP	0.4924596227753493			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.49132903931051874			
LTE2_UP.V1_UP	0.49055120813649156			
GSE42021_TREG_VS_TCONV_PLN_DN	0.4895936686619611			
GO_COSTAMERE	0.48953300350033			
ESC_J1_UP_LATE.V1_UP	0.4886288833764697			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.48789951979795754			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.4871748509559236			
REACTOME_SPHINGOLIPID_METABOLISM	0.4852387879455329			
LHX9_TARGET_GENES	0.48485448159157957			
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.48468800530403566			
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_UP	0.48381147809978264			
GO_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT	0.48373634997541193			
BOYLAN_MULTIPLE_MYELOMA_C_DN	0.48185981111353454			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.48180106929956446			
GO_VACUOLAR_TRANSPORT	0.4809868463618939			
DURCHDEWALD_SKIN_CARCINOGENESIS_DN	0.4808345120669744			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.48072308850909545			
DELPUECH_FOXO3_TARGETS_UP	0.480358832700697			
YAMAZAKI_TCEB3_TARGETS_UP	0.47862884535238226			
GO_ADHERENS_JUNCTION	0.47844977876159656			
ERBB2_UP.V1_UP	0.47810719871762464			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.47788901596915484			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.47706197943645334			
REACTOME_VESICLE_MEDIATED_TRANSPORT	0.4764601621710955			
HOFMANN_MYELODYSPLASTIC_SYNDROM_LOW_RISK_DN	0.47632025062235			
REACTOME_MEMBRANE_TRAFFICKING	0.47630449815403647			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.4761031149456383			
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_24H_UP	0.4756644611578895			
HALLMARK_PROTEIN_SECRETION	0.47559493936516395			
GO_REGULATION_OF_VACUOLE_ORGANIZATION	0.47493674884368076			
GO_PERINUCLEAR_REGION_OF_CYTOPLASM	0.47484800546870126			
NELSON_RESPONSE_TO_ANDROGEN_UP	0.4740408732710483			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.4737251772631107			
KOHOUTEK_CCNT1_TARGETS	0.4730360405149316			
LANDIS_ERBB2_BREAST_TUMORS_324_UP	0.4728581470026807			
GO_LYSOSOMAL_TRANSPORT	0.47270751967750946			
REACTOME_TYPE_I_HEMIDESMOSOME_ASSEMBLY	0.47135650246347943			
RB_P130_DN.V1_DN	0.47060865525599355			
GO_AGGREPHAGY	0.4704478717628566			
GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN	0.4700584955022771			
PASQUALUCCI_LYMPHOMA_BY_GC_STAGE_UP	0.4698252929869362			
GO_CADHERIN_BINDING	0.46971238774212115			
MCBRYAN_PUBERTAL_TGFB1_TARGETS_DN	0.46961276097213733			
GO_APICAL_PART_OF_CELL	0.46953501152840343			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_DN	0.46906618142517187			
TIEN_INTESTINE_PROBIOTICS_6HR_DN	0.4688582868100212			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.4688553079515376			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3	0.4687730302924949			
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.46876304889140324			
GO_CALCIUM_ION_BINDING	0.46845105051589037			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.468340400378901			
PROVENZANI_METASTASIS_DN	0.46809517982286125			
GSE20715_0H_VS_24H_OZONE_LUNG_DN	0.46767101548875867			
MEK_UP.V1_UP	0.4676316266460738			
GSE22886_DAY0_VS_DAY7_MONOCYTE_IN_CULTURE_DN	0.4675912216604075			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_CDC25_DN	0.46751061284894724			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.46703742467854226			
BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN	0.46693711555880646			
BHAT_ESR1_TARGETS_VIA_AKT1_DN	0.46688620299617534			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.4667294216624773			
SESTO_RESPONSE_TO_UV_C8	0.466552222764282			
HU_ANGIOGENESIS_UP	0.46636782469563376			
BRUECKNER_TARGETS_OF_MIRLET7A3_UP	0.46604953952138284			
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_45MIN_UP	0.4659767280726594			
LANDIS_ERBB2_BREAST_TUMORS_65_DN	0.4659328669085163			
HALLMARK_GLYCOLYSIS	0.46588532123806525			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_4	0.4657958838886857			
GUENTHER_GROWTH_SPHERICAL_VS_ADHERENT_DN	0.4656831957736389			
LIU_CMYB_TARGETS_UP	0.4656512302778992			
GSE22313_HEALTHY_VS_SLE_MOUSE_CD4_TCELL_UP	0.46538484142760833			
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING	0.46529276622291416			
GO_CELL_JUNCTION_ORGANIZATION	0.46528499464719864			
FARMER_BREAST_CANCER_BASAL_VS_LULMINAL	0.4651149513274334			
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.4650801760832547			
GSE42021_CD24HI_VS_CD24INT_TCONV_THYMUS_UP	0.4648349079121262			
RIGGINS_TAMOXIFEN_RESISTANCE_UP	0.4647350683900092			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.464692672726821			
GSE5589_UNSTIM_VS_45MIN_LPS_AND_IL6_STIM_MACROPHAGE_DN	0.46459139079703715			
PID_NECTIN_PATHWAY	0.46450993543825825			
YOSHIMURA_MAPK8_TARGETS_DN	0.46437986246946994			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_2_DN	0.46430756679101126			
FARMER_BREAST_CANCER_APOCRINE_VS_BASAL	0.464184137302652			
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX5_DN	0.46411674871382236			
GSE32533_WT_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_DN	0.46411192917689276			
JECHLINGER_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_DN	0.46400750404334634			
GO_LAMININ_COMPLEX	0.463397811225964			
DELACROIX_RARG_BOUND_MEF	0.46323883009490546			
AMIT_SERUM_RESPONSE_240_MCF10A	0.46309748442087706			
SINGH_NFE2L2_TARGETS	0.4624651826740573			
REACTOME_SIGNALING_BY_MET	0.4623448865793864			
RAF_UP.V1_UP	0.46230426556699966			
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.4620662508982727			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1	0.46188133696867983			
ENK_UV_RESPONSE_EPIDERMIS_DN	0.46176578010991104			
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP	0.4617177456884234			
MILI_PSEUDOPODIA_HAPTOTAXIS_DN	0.4614292996793048			
STEIN_ESRRA_TARGETS	0.46125507306828295			
DITTMER_PTHLH_TARGETS_UP	0.46082122064534337			
FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_DN	0.4607925557457903			
IPA_BACH1_DN	0.4606544807535953			
GO_EXTRACELLULAR_MATRIX_BINDING	0.4606060062044441			
