	Score	0.95 MoE	P-Value	Q-Value
GO_HYPOTONIC_RESPONSE	0.2851210712105674			
GO_CELLULAR_HYPOTONIC_RESPONSE	0.2816180454009105			
UEDA_PERIFERAL_CLOCK	0.27614296335947996			
GO_CELLULAR_RESPONSE_TO_OSMOTIC_STRESS	0.2761335081929093			
GO_LIPOPROTEIN_PARTICLE_RECEPTOR_BINDING	0.27498262258612405			
GO_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION	0.2745113627573286			
REACTOME_FORMYL_PEPTIDE_RECEPTORS_BIND_FORMYL_PEPTIDES_AND_MANY_OTHER_LIGANDS	0.2728354866736837			
GO_TRANSFERASE_ACTIVITY_TRANSFERRING_HEXOSYL_GROUPS	0.27269490689508996			
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	0.2725598949525468			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_CDC25_DN	0.2724323737491016			
GSE25147_UNSTIM_VS_HELIOBACTER_PYLORI_LPS_STIM_MKN45_CELL_DN	0.27215330487307615			
GO_CELLULAR_COPPER_ION_HOMEOSTASIS	0.27161955294534673			
GO_I_BAND	0.270542252940266			
GO_PERINUCLEAR_REGION_OF_CYTOPLASM	0.2694077422121104			
GO_GALACTOSYLTRANSFERASE_ACTIVITY	0.2691272613233565			
GO_LOW_DENSITY_LIPOPROTEIN_PARTICLE_RECEPTOR_BINDING	0.2682445794893242			
GO_CELLULAR_COMPONENT_MAINTENANCE	0.268168667979666			
GO_GOLGI_VESICLE_TRANSPORT	0.2669652345137513			
BROWNE_HCMV_INFECTION_16HR_DN	0.266792976411785			
GO_COPPER_ION_HOMEOSTASIS	0.2665656492866996			
GO_RHO_GTPASE_BINDING	0.2663130794137778			
GSE15330_LYMPHOID_MULTIPOTENT_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_IKAROS_KO_DN	0.2662794281648654			
GO_GLYCOSYLATION	0.26567828133220794			
REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING	0.2651986314924521			
GO_CORTICAL_ACTIN_CYTOSKELETON	0.26482430709597626			
GSE24210_TCONV_VS_TREG_DN	0.26475221569481816			
GO_ACTIN_FILAMENT_BASED_PROCESS	0.2646815889000123			
REACTOME_CONSTITUTIVE_SIGNALING_BY_OVEREXPRESSED_ERBB2	0.2644664734152833			
GO_POSITIVE_REGULATION_OF_VACUOLE_ORGANIZATION	0.2643307216158678			
GSE7831_1H_VS_4H_INFLUENZA_STIM_PDC_UP	0.2637650467198028			
GO_CELLULAR_SPHINGOLIPID_HOMEOSTASIS	0.26342708466744225			
GO_PROTEIN_LOCALIZATION_TO_VACUOLE	0.2633020160387535			
GO_ENDOPLASMIC_RETICULUM_ORGANIZATION	0.26294054354929247			
GSE9509_10MIN_VS_30MIN_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_DN	0.2628517674186321			
NR1H4_TARGET_GENES	0.2628205017342315			
GO_REGULATION_OF_PLASMINOGEN_ACTIVATION	0.26268701704462366			
GO_CARBOHYDRATE_DERIVATIVE_BIOSYNTHETIC_PROCESS	0.2626840535467981			
GO_CLUSTER_OF_ACTIN_BASED_CELL_PROJECTIONS	0.26263787856289733			
OLSSON_E2F3_TARGETS_UP	0.2624688563084852			
GO_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT	0.2621687440379151			
GO_AMP_BINDING	0.2621550053859788			
ZHANG_BREAST_CANCER_PROGENITORS_DN	0.26210661194194285			
GO_STEREOCILIUM_BUNDLE	0.2620447490924033			
GSE29618_LAIV_VS_TIV_FLU_VACCINE_DAY7_MONOCYTE_DN	0.2618489992003146			
GO_CORTICAL_CYTOSKELETON	0.2618440956240779			
BIOCARTA_EXTRINSIC_PATHWAY	0.26170202816118826			
GO_ACTIN_CYTOSKELETON_REORGANIZATION	0.2613518193769931			
GO_ENDOCYTIC_RECYCLING	0.26118504801316145			
GO_REGULATION_OF_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING	0.26117754272043936			
GO_RECEPTOR_MEDIATED_ENDOCYTOSIS_INVOLVED_IN_CHOLESTEROL_TRANSPORT	0.26089940807836987			
WAKABAYASHI_ADIPOGENESIS_PPARG_RXRA_BOUND_8D	0.2608600241256106			
HALLMARK_APICAL_JUNCTION	0.2607048940397637			
ZAMORA_NOS2_TARGETS_DN	0.26044859618623484			
GO_DEATH_RECEPTOR_BINDING	0.2603950692700807			
IPA_DBP_UP	0.26034470119502545			
GO_REGULATION_OF_ACTIN_FILAMENT_BASED_PROCESS	0.2601811027842744			
GSE15324_ELF4_KO_VS_WT_NAIVE_CD8_TCELL_UP	0.2601437762261416			
GO_NEGATIVE_REGULATION_OF_SMAD_PROTEIN_SIGNAL_TRANSDUCTION	0.2600705269839754			
GO_SPHINGOLIPID_METABOLIC_PROCESS	0.25994725831591725			
GSE18281_PERIMEDULLARY_CORTICAL_REGION_VS_WHOLE_MEDULLA_THYMUS_DN	0.25994201698307234			
GO_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS	0.25984669087365625			
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN	0.25967454000264484			
GO_TRANSFERASE_ACTIVITY_TRANSFERRING_GLYCOSYL_GROUPS	0.2596003069044554			
GSE339_CD8POS_VS_CD4CD8DN_DC_UP	0.25936846101809796			
HSIAO_LIVER_SPECIFIC_GENES	0.25932737782617493			
GO_REGULATION_OF_ACTIN_FILAMENT_ORGANIZATION	0.2592918501560917			
GO_CLATHRIN_BINDING	0.2592007476792804			
GO_POSITIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION	0.2589046093029039			
GO_ACTIN_FILAMENT_REORGANIZATION	0.25887269532060625			
GO_TRANSFERRIN_TRANSPORT	0.2588318361970374			
