	Score	0.95 MoE	P-Value	Q-Value
KIM_MYCL1_AMPLIFICATION_TARGETS_DN	0.3748194285040153			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.36707318764177005			
REACTOME_RHO_GTPASES_ACTIVATE_CIT	0.36411227589938955			
GO_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	0.36271511266530077			
AMIT_SERUM_RESPONSE_60_MCF10A	0.3626202657985443			
BORLAK_LIVER_CANCER_EGF_UP	0.3625904673490522			
GO_COLLAGEN_BINDING_INVOLVED_IN_CELL_MATRIX_ADHESION	0.3623261576559637			
COULOUARN_TEMPORAL_TGFB1_SIGNATURE_UP	0.3613124219845606			
GO_CONTRACTILE_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.3610480297028648			
KOHOUTEK_CCNT1_TARGETS	0.3609159888797164			
GO_LAMININ_COMPLEX	0.3608723014030099			
REACTOME_FIBRONECTIN_MATRIX_FORMATION	0.35990206793223206			
GO_MESODERM_MORPHOGENESIS	0.35989284113370607			
GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN	0.3596381667036596			
GO_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	0.3595282619081522			
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP	0.3587793843286381			
PROVENZANI_METASTASIS_DN	0.3584313822438548			
KIM_WT1_TARGETS_12HR_UP	0.3575625084026283			
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING	0.3573184748079527			
KEGG_ADHERENS_JUNCTION	0.3570611391355256			
GHO_ATF5_TARGETS_DN	0.35701473399523004			
WINTER_HYPOXIA_UP	0.3568876234771712			
PID_FAK_PATHWAY	0.35680634111978504			
AMIT_DELAYED_EARLY_GENES	0.35660643370612805			
GO_CELL_DIVISION_SITE	0.3564941705313548			
GO_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING	0.3563499732643246			
NAGASHIMA_EGF_SIGNALING_UP	0.3562632985337858			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	0.35625966094274225			
INGRAM_SHH_TARGETS_UP	0.35611506855322694			
GO_FOCAL_ADHESION_ASSEMBLY	0.35609307060867074			
WANG_METHYLATED_IN_BREAST_CANCER	0.35595288553701143			
GO_CELL_MATRIX_ADHESION	0.35594832031518575			
WGGAATGY_TEF1_Q6	0.35504774642484616			
REACTOME_LAMININ_INTERACTIONS	0.35504427257587684			
PID_INTEGRIN4_PATHWAY	0.35494358060689907			
YAMAZAKI_TCEB3_TARGETS_UP	0.35484960446993946			
TGFB_UP.V1_UP	0.354763838082871			
LEI_MYB_TARGETS	0.3543330933672456			
ESC_V6.5_UP_EARLY.V1_DN	0.3541204643745192			
REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE	0.35401494499429			
DORN_ADENOVIRUS_INFECTION_32HR_DN	0.35379144878340346			
GO_REPRODUCTIVE_SYSTEM_DEVELOPMENT	0.35365484671012304			
GO_CELL_MATRIX_ADHESION_MEDIATOR_ACTIVITY	0.3533676700532989			
DORN_ADENOVIRUS_INFECTION_48HR_DN	0.35329527563688534			
GO_INSULIN_LIKE_GROWTH_FACTOR_I_BINDING	0.3529412780273542			
GO_CELL_SUBSTRATE_ADHESION	0.35288263962167943			
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.35264293934009605			
AMIT_EGF_RESPONSE_60_MCF10A	0.35246228889398035			
GO_CALCIUM_ION_BINDING	0.352447870526922			
GO_GERM_CELL_MIGRATION	0.3522373662307074			
MURAKAMI_UV_RESPONSE_6HR_UP	0.35217978348032236			
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	0.35214053627268566			
DURCHDEWALD_SKIN_CARCINOGENESIS_DN	0.35187845164165066			
GO_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ASSEMBLY	0.35180945826610155			
DORN_ADENOVIRUS_INFECTION_24HR_DN	0.35172835416052234			
TIEN_INTESTINE_PROBIOTICS_6HR_DN	0.3516614778090238			
GO_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	0.35162875698849055			
GO_EXTRACELLULAR_MATRIX_BINDING	0.3516178460741183			
REACTOME_SIGNALING_BY_HIPPO	0.35131006138417226			
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_DN	0.351190475910472			
GO_REGULATION_OF_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.35096121878365993			
