	Score	0.95 MoE	P-Value	Q-Value
GO_GOLGI_VESICLE_TRANSPORT	0.5233256048220766			
GO_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT	0.5169605183483597			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.514306464784853			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.5127894137820547			
REACTOME_SPHINGOLIPID_METABOLISM	0.51093532670288			
LTE2_UP.V1_UP	0.5101966553022046			
HALLMARK_PROTEIN_SECRETION	0.510047769024163			
ALONSO_METASTASIS_NEURAL_UP	0.5083229279058786			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3	0.507889076186893			
GSE6259_33D1_POS_DC_VS_BCELL_UP	0.5075645713062485			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.5064245854390204			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.5061123129056528			
DITTMER_PTHLH_TARGETS_UP	0.5055451758246268			
KOHOUTEK_CCNT1_TARGETS	0.5043923205116428			
GUENTHER_GROWTH_SPHERICAL_VS_ADHERENT_DN	0.5043267991041366			
GO_VESICLE_TARGETING_TO_FROM_OR_WITHIN_GOLGI	0.5038032516794686			
FORTSCHEGGER_PHF8_TARGETS_DN	0.5034387493767967			
REACTOME_MEMBRANE_TRAFFICKING	0.5026925592613213			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.5016532694890847			
ESC_J1_UP_LATE.V1_UP	0.5014518966317848			
GO_VESICLE_ORGANIZATION	0.5005593074546784			
REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT	0.49977068570799166			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.4995717935840258			
ERBB2_UP.V1_UP	0.49842164148030965			
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT	0.498186660046754			
GO_ENDOPLASMIC_RETICULUM_GOLGI_INTERMEDIATE_COMPARTMENT_MEMBRANE	0.4970832138832737			
GO_VESICLE_TARGETING	0.4969678713285719			
REACTOME_VESICLE_MEDIATED_TRANSPORT	0.49688541252030527			
GO_PERINUCLEAR_REGION_OF_CYTOPLASM	0.49638813966140155			
RAF_UP.V1_UP	0.49617012733953636			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1	0.4961454458026851			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.4951073512501347			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.49444543934244767			
GO_GOLGI_APPARATUS	0.49405386727740214			
PID_NECTIN_PATHWAY	0.4938733708522486			
GSE2770_IL12_ACT_VS_ACT_CD4_TCELL_2H_DN	0.4935950026693792			
JIANG_HYPOXIA_NORMAL	0.49351760270206574			
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_B	0.4933514080354955			
AMIT_SERUM_RESPONSE_240_MCF10A	0.4932517302719143			
LANDIS_ERBB2_BREAST_TUMORS_65_UP	0.4931676776974869			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.49287076698396093			
JOHNSTONE_PARVB_TARGETS_3_UP	0.4928677201628624			
REACTOME_TRANSPORT_OF_NUCLEOTIDE_SUGARS	0.49264684380909807			
YAMAZAKI_TCEB3_TARGETS_UP	0.49225462426694594			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.4919772644258267			
WANG_CLIM2_TARGETS_DN	0.49191906141732833			
GO_ADHERENS_JUNCTION	0.4911548860603733			
GO_COPII_COATED_VESICLE_BUDDING	0.4907011691480426			
PROVENZANI_METASTASIS_DN	0.490502280689784			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.49014681545755806			
LIU_SOX4_TARGETS_UP	0.4898956207864375			
LINSLEY_MIR16_TARGETS	0.4894977264854788			
RIGGINS_TAMOXIFEN_RESISTANCE_DN	0.48948493551600475			
GO_VACUOLAR_TRANSPORT	0.4888909878140758			
GO_APICAL_PART_OF_CELL	0.4887891642321786			
GO_VESICLE_BUDDING_FROM_MEMBRANE	0.487624272308777			
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.4875314272692588			
GSE11924_TH1_VS_TH2_CD4_TCELL_DN	0.4875252852449919			
GSE5589_UNSTIM_VS_180MIN_LPS_STIM_MACROPHAGE_UP	0.48728472551104784			
GO_LAMININ_BINDING	0.48702010075780516			
GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.48697634361013675			
GO_CELL_JUNCTION_ORGANIZATION	0.48695313172175503			
GO_ENDOMEMBRANE_SYSTEM_ORGANIZATION	0.4867000069455593			
GO_REGULATION_OF_VACUOLE_ORGANIZATION	0.4863910471411912			
NUYTTEN_NIPP1_TARGETS_DN	0.4863715441678503			
DELPUECH_FOXO3_TARGETS_UP	0.4862939267101465			
REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION	0.4861366071848667			
HAN_SATB1_TARGETS_UP	0.48575366957559796			
WELCSH_BRCA1_TARGETS_UP	0.48569518423611757			
REACTOME_SIGNALING_BY_PTK6	0.48564404739522776			
GO_GOLGI_VESICLE_BUDDING	0.48563785567799866			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.4856344867062616			
BORLAK_LIVER_CANCER_EGF_UP	0.48557406941225206			
GO_PYRIMIDINE_NUCLEOTIDE_SUGAR_TRANSMEMBRANE_TRANSPORT	0.48540929823460194			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_7	0.4853528929037707			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.48534735206110213			
GOZGIT_ESR1_TARGETS_DN	0.4851667472260893			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.4851125899723126			
GO_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	0.48500766500473946			
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_DN	0.484985035666401			
EGFR_UP.V1_UP	0.4847902226633332			
GO_ENTRY_OF_BACTERIUM_INTO_HOST_CELL	0.4845298563345819			
GSE21380_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.4844422317463874			
BOYLAN_MULTIPLE_MYELOMA_PCA1_DN	0.48415232738553654			
GO_COSTAMERE	0.48414330489093915			
GO_EXTRACELLULAR_EXOSOME_ASSEMBLY	0.4840615300235682			
BOYLAN_MULTIPLE_MYELOMA_C_DN	0.48340572791879555			
CERVERA_SDHB_TARGETS_2	0.4831513929616549			
