	Score	0.95 MoE	P-Value	Q-Value
JEON_SMAD6_TARGETS_DN	0.38783626868865057			
CHANGOLKAR_H2AFY_TARGETS_UP	0.38216630820155734			
GO_LIPID_DROPLET_ORGANIZATION	0.38206370108252125			
HOLLERN_MICROACINAR_BREAST_TUMOR_UP	0.3813453635635826			
REACTOME_ZINC_INFLUX_INTO_CELLS_BY_THE_SLC39_GENE_FAMILY	0.3779493606424177			
GO_INORGANIC_ION_IMPORT_ACROSS_PLASMA_MEMBRANE	0.3613337774508652			
LIU_SOX4_TARGETS_DN	0.36095792979815383			
LIU_PROSTATE_CANCER_UP	0.35676956112700786			
OHGUCHI_LIVER_HNF4A_TARGETS_UP	0.35522759741611937			
GO_ZINC_ION_IMPORT_ACROSS_PLASMA_MEMBRANE	0.355132711877074			
GO_RESPONSE_TO_FORSKOLIN	0.35392554108099267			
GO_INTRAMOLECULAR_OXIDOREDUCTASE_ACTIVITY_TRANSPOSING_C_C_BONDS	0.35306681940662554			
LOPEZ_EPITHELIOID_MESOTHELIOMA	0.3526052922870303			
GO_POSITIVE_REGULATION_OF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.35166709100637705			
SANSOM_APC_TARGETS_UP	0.35115994137741974			
GO_ACTION_POTENTIAL	0.3510517900032975			
KUROKAWA_LIVER_CANCER_EARLY_RECURRENCE_UP	0.34976519299598746			
SMID_BREAST_CANCER_LUMINAL_B_UP	0.3495525683949645			
HUANG_DASATINIB_RESISTANCE_DN	0.3489943865990573			
GSE19888_ADENOSINE_A3R_INH_VS_INH_PRETREAT_AND_ACT_WITH_TCELL_MEMBRANES_MAST_CELL_DN	0.3483289897942657			
GO_RESPONSE_TO_PLATELET_AGGREGATION_INHIBITOR	0.345779925699088			
GSE6566_STRONG_VS_WEAK_DC_STIMULATED_CD4_TCELL_UP	0.34550431095052975			
GSE22886_NEUTROPHIL_VS_MONOCYTE_UP	0.3454716197748985			
MIKKELSEN_MEF_HCP_WITH_H3K27ME3	0.34507644830162604			
MOHANKUMAR_HOXA1_TARGETS_UP	0.34479559165600904			
XU_CREBBP_TARGETS_UP	0.3441416014269568			
GO_POSITIVE_REGULATION_OF_SODIUM_ION_TRANSPORT	0.3432329982338528			
FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_DN	0.3432327696036738			
GO_MAINTENANCE_OF_GASTROINTESTINAL_EPITHELIUM	0.3431893085682952			
IPA_KDM5B_DN	0.3427804873144757			
IPA_SREBF2_DN	0.34258715522811733			
SERVITJA_ISLET_HNF1A_TARGETS_DN	0.3422907510033416			
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	0.34145500303691756			
GUO_TARGETS_OF_IRS1_AND_IRS2	0.34077966401108245			
IPA_ESRRA_UP	0.34009446101006857			
GO_ZONULA_ADHERENS	0.3392754963690967			
TERAMOTO_OPN_TARGETS_CLUSTER_1	0.33912538078530013			
GO_REGULATION_OF_ACTION_POTENTIAL	0.3390489956986328			
IGARASHI_ATF4_TARGETS_DN	0.3389648879584479			
MIR1277_3P	0.33838071244575313			
GO_DIGESTION	0.33820776723777823			
WANG_CISPLATIN_RESPONSE_AND_XPC_UP	0.338004250950189			
GO_CDP_ALCOHOL_PHOSPHATIDYLTRANSFERASE_ACTIVITY	0.33792783203578797			
GO_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.33748997031632755			
GO_SODIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.3364179781373297			
GO_PROTEIN_O_LINKED_MANNOSYLATION	0.3363108903219367			
GO_GLYCOSYLCERAMIDE_BIOSYNTHETIC_PROCESS	0.3355804410096353			
GO_EPITHELIAL_CELL_CELL_ADHESION	0.33537458874478887			
GO_HEAT_ACCLIMATION	0.33498109120802955			
GO_EPITHELIAL_STRUCTURE_MAINTENANCE	0.33496717028174106			
GSE21063_CTRL_VS_ANTI_IGM_STIM_BCELL_8H_DN	0.3347827526012633			
BOCHKIS_FOXA2_TARGETS	0.3346145595703482			
