	Score	0.95 MoE	P-Value	Q-Value
GSE24102_GRANULOCYSTIC_MDSC_VS_NEUTROPHIL_UP	0.2543389894470864			
GO_S_ADENOSYL_L_METHIONINE_BINDING	0.24799732498373395			
GO_REGULATION_OF_GROWTH_HORMONE_SECRETION	0.24662514596560836			
IPA_SRCAP_UP	0.24477363111646008			
GO_POSITIVE_REGULATION_OF_GROWTH_HORMONE_SECRETION	0.24427074274604718			
GO_PROTEIN_LOCALIZATION_TO_MICROTUBULE_ORGANIZING_CENTER	0.2424899371635748			
IPA_MED28_DN	0.2420208137930403			
GSE13547_WT_VS_ZFX_KO_BCELL_ANTI_IGM_STIM_2H_DN	0.2404413720766999			
MIR8069	0.24016947559485752			
MIR492	0.23956663568745537			
HOLLEMAN_VINCRISTINE_RESISTANCE_ALL_DN	0.23933972927988206			
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K	0.23898501418073456			
GO_REGULATION_OF_COHESIN_LOADING	0.23881833162430469			
GO_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_VASOPRESSIN	0.23867164155609866			
BIOCARTA_HSP27_PATHWAY	0.2386462224995224			
GAVIN_FOXP3_TARGETS_CLUSTER_T7	0.23827667932377816			
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE	0.2381625151466739			
DIERICK_SEROTONIN_FUNCTION_GENES	0.23810010873553902			
MIR3682_3P	0.2377825386308768			
GO_KAINATE_SELECTIVE_GLUTAMATE_RECEPTOR_COMPLEX	0.23774290676386714			
GO_KAINATE_SELECTIVE_GLUTAMATE_RECEPTOR_ACTIVITY	0.23774290676386714			
GO_AXONEME_ASSEMBLY	0.23767705922462473			
IPA_XRCC6_DN	0.23763979859624			
GSE22886_NAIVE_TCELL_VS_NKCELL_UP	0.23734320738410655			
GO_NEGATIVE_REGULATION_OF_PEPTIDE_HORMONE_SECRETION	0.2370988308124848			
BYSTRYKH_SCP2_QTL	0.2368112083186523			
GSE10325_CD4_TCELL_VS_LUPUS_CD4_TCELL_UP	0.23666677632995564			
GO_COHESIN_LOADING	0.23625823779552035			
GO_RESPONSE_TO_CAMPTOTHECIN	0.23585126099456902			
GSE3982_MAST_CELL_VS_MAC_UP	0.23574410041658891			
GSE3720_LPS_VS_PMA_STIM_VD1_GAMMADELTA_TCELL_UP	0.23570227305390626			
GO_CUL4A_RING_E3_UBIQUITIN_LIGASE_COMPLEX	0.2354433557935495			
GO_T_CELL_DIFFERENTIATION_IN_THYMUS	0.23488436997158735			
GSE26290_WT_VS_PDK1_KO_ANTI_CD3_AND_IL2_STIM_CD8_TCELL_DN	0.23474445855683954			
GO_VENTRICULAR_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION	0.2346459077681676			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CHROMATIN	0.2343393702537588			
GO_EXOCYTIC_PROCESS	0.2340485208036548			
