	Score	0.95 MoE	P-Value	Q-Value
REACTOME_CELL_JUNCTION_ORGANIZATION	0.38659365172063925			
GO_TRANS_SYNAPTIC_SIGNALING_BY_TRANS_SYNAPTIC_COMPLEX	0.38133089553622246			
GO_ADHERENS_JUNCTION_ORGANIZATION	0.3802910527603791			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.3800477026215804			
JOHANSSON_BRAIN_CANCER_EARLY_VS_LATE_DN	0.3761749718552248			
HNF4_DR1_Q3	0.3748388953972651			
GO_COMMISSURAL_NEURON_AXON_GUIDANCE	0.3743244395032625			
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	0.37406705486881003			
GO_NODE_OF_RANVIER	0.37358384114844595			
TGCCTTA_MIR124A	0.3728278124250883			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.37253934726209864			
GO_ADULT_LOCOMOTORY_BEHAVIOR	0.37208650637605517			
GO_CELL_CELL_JUNCTION_ORGANIZATION	0.37163770413497743			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.37088411971464985			
GO_NEUROMUSCULAR_JUNCTION	0.37074451862837055			
GO_CELL_CELL_JUNCTION_ASSEMBLY	0.3704066071582137			
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_UP	0.3702883414161273			
GSE19825_NAIVE_VS_DAY3_EFF_CD8_TCELL_UP	0.369997136005179			
GSE22935_WT_VS_MYD88_KO_MACROPHAGE_48H_MBOVIS_BCG_STIM_UP	0.3697090224858062			
GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_DN	0.36955197990659455			
HNF4ALPHA_Q6	0.3689588542099622			
MIR6884_5P	0.36874850149820404			
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS	0.3685694677098106			
LEE_TARGETS_OF_PTCH1_AND_SUFU_DN	0.3683305079615001			
GO_CLATHRIN_BINDING	0.3670933225978367			
REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE	0.366703714415545			
GSE32533_WT_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_DN	0.36653606511067355			
GO_DENDRITIC_SHAFT	0.36560061198666177			
IPA_MSLN_UP	0.3655022790194818			
GO_REGULATION_OF_SYNAPSE_STRUCTURAL_PLASTICITY	0.3654359045927986			
GO_SPECIFICATION_OF_SYMMETRY	0.3649645201038486			
GSE5589_LPS_AND_IL10_VS_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_UP	0.36424374948489496			
MIR485_5P	0.3638608340171414			
GO_MAIN_AXON	0.36365631400426207			
GO_PLASMA_MEMBRANE_REGION	0.36317735062285805			
MIR6843_3P	0.36291721997454574			
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_45MIN_UP	0.362544619194991			
VALK_AML_CLUSTER_8	0.3625098379562589			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.3623735463163816			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.36217942430988725			
GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_BCELL_UP	0.3619755552606025			
GO_CEREBRAL_CORTEX_CELL_MIGRATION	0.3618844298717291			
GO_EXOCYTIC_VESICLE	0.3618310561594511			
GO_ADHERENS_JUNCTION_ASSEMBLY	0.36145457180801777			
HOX13_01	0.3613495679169453			
GO_PEPTIDYL_LYSINE_HYDROXYLATION	0.36134596547161124			
IVANOVA_HEMATOPOIESIS_STEM_CELL_LONG_TERM	0.36104894798906173			
GO_OUTFLOW_TRACT_SEPTUM_MORPHOGENESIS	0.3608925894418643			
REACTOME_CELL_CELL_COMMUNICATION	0.36088482378160597			
REACTOME_HS_GAG_DEGRADATION	0.36080805108586583			
REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM	0.36016654859669156			
GO_SMOOTHENED_SIGNALING_PATHWAY	0.3599785278512742			
GO_ADHERENS_JUNCTION	0.3596884860667541			
MIR196A_3P	0.3594444267521092			
GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.3590384195674951			
GO_DYSTROGLYCAN_COMPLEX	0.35804311587941684			
REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2	0.3578539126660716			
GO_NEUROMUSCULAR_JUNCTION_DEVELOPMENT	0.3578125275428616			
MIR6848_3P	0.3577000208366182			
ATGAAGG_MIR205	0.357684045610933			
MIR92A_1_5P	0.35729478002406084			
GO_LATERAL_PLASMA_MEMBRANE	0.3571237245853111			
ATF1_Q6	0.3570962568463629			
ULE_SPLICING_VIA_NOVA2	0.35693558873240594			
GO_DENDRITE_MORPHOGENESIS	0.35678981562379014			
GO_APICAL_JUNCTION_COMPLEX	0.35659194399373867			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.3564593431118359			
GO_PLUS_END_DIRECTED_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE	0.3561625905597784			
GO_POSITIVE_REGULATION_OF_SMOOTHENED_SIGNALING_PATHWAY	0.3559666452692443			
PILON_KLF1_TARGETS_UP	0.355961489873084			
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN	0.3559214181730253			
GO_CLATHRIN_COATED_PIT	0.3558536705184753			
GO_EPHRIN_RECEPTOR_SIGNALING_PATHWAY	0.35575764224989964			
GO_DENDRITIC_TREE	0.3556363901950872			
KOHOUTEK_CCNT1_TARGETS	0.35532709711844457			
TESAR_ALK_TARGETS_EPISC_4D_UP	0.3549363001125631			
GSE21546_UNSTIM_VS_ANTI_CD3_STIM_DP_THYMOCYTES_UP	0.3548332764205928			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_DN	0.3544862323963696			
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	0.35428491243706284			
REACTOME_HS_GAG_BIOSYNTHESIS	0.35414278292186063			
GO_SARCOLEMMA	0.3541094493970858			
MIR4736	0.3538990095012953			
GO_HEMIDESMOSOME_ASSEMBLY	0.3536000280681476			
RNCTGNYNRNCTGNY_UNKNOWN	0.3534928994387967			
GO_NEGATIVE_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION	0.3534204690939782			
GO_PERIPHERAL_NERVOUS_SYSTEM_DEVELOPMENT	0.35324139238136065			
PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN	0.3529116073291659			
GO_NEURON_MIGRATION	0.3528939262154026			
TIEN_INTESTINE_PROBIOTICS_6HR_DN	0.35289200445676133			
TOMLINS_PROSTATE_CANCER_DN	0.35258531170623975			
GO_SCHWANN_CELL_DEVELOPMENT	0.3525336631023063			
