	Score	0.95 MoE	P-Value	Q-Value
GSE42021_TREG_VS_TCONV_PLN_DN	0.6426436916852932			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.6372455176722345			
GO_ADHERENS_JUNCTION	0.6337301427313513			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.6313590165200609			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.6305266904252705			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.6278791962302822			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.6223461239372391			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.6222870335612356			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.6217864802846972			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.6194899213912144			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.6182193632195492			
GOZGIT_ESR1_TARGETS_DN	0.6180238110327569			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.6180001412995931			
GO_COSTAMERE	0.6173711810430623			
GO_CADHERIN_BINDING	0.6129923249086521			
GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_UP	0.6123905246568502			
TIEN_INTESTINE_PROBIOTICS_6HR_DN	0.6117785329970629			
HOFMANN_MYELODYSPLASTIC_SYNDROM_LOW_RISK_DN	0.6102878433362977			
GO_LAMININ_COMPLEX	0.6096140433101889			
GO_ADHERENS_JUNCTION_ORGANIZATION	0.6093233049379552			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.6089442326279627			
GO_PLASMA_MEMBRANE_REGION	0.6088991472195403			
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN	0.6084780230540038			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.6075790539174606			
GO_CELL_CELL_JUNCTION	0.6066657782329115			
HALLMARK_PROTEIN_SECRETION	0.6064106348012146			
MEK_UP.V1_UP	0.6063013142853853			
GO_APICAL_JUNCTION_COMPLEX	0.6059410816452919			
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.6056460097174007			
BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN	0.6048773777826078			
RAF_UP.V1_DN	0.604607090830597			
GO_BASEMENT_MEMBRANE_ASSEMBLY	0.6044882163427743			
IVANOVA_HEMATOPOIESIS_STEM_CELL_LONG_TERM	0.6043943342209033			
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	0.6036879831480958			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.6034232047444354			
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	0.6026246040375581			
REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2	0.6025956272517466			
GSE6259_33D1_POS_DC_VS_BCELL_UP	0.6022863334043427			
MIR4776_5P	0.6019570645472694			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.6019069017579581			
GO_CELL_JUNCTION_ORGANIZATION	0.6017433692366032			
WGGAATGY_TEF1_Q6	0.601088995466962			
GO_CELL_CELL_JUNCTION_ORGANIZATION	0.6007448669090883			
KIM_WT1_TARGETS_12HR_UP	0.6005105985598346			
ESC_J1_UP_LATE.V1_UP	0.600467476229218			
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.6001963213751733			
RIGGINS_TAMOXIFEN_RESISTANCE_DN	0.6000927995100368			
GO_CELL_CORTEX	0.5994125030075707			
GO_EPITHELIAL_CELL_DEVELOPMENT	0.5992374192719582			
REACTOME_MEMBRANE_TRAFFICKING	0.5987748323782379			
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_UP	0.5987291240814716			
GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_UP	0.5984372014735058			
BHAT_ESR1_TARGETS_VIA_AKT1_DN	0.598312721365959			
PID_AJDISS_2PATHWAY	0.5982997795814283			
MCBRYAN_PUBERTAL_BREAST_3_4WK_UP	0.5975448050925268			
GO_BASEMENT_MEMBRANE	0.5969934679361788			
GSE32533_WT_VS_MIR17_KO_ACT_CD4_TCELL_UP	0.5967789270985632			
SESTO_RESPONSE_TO_UV_C8	0.596556560879909			
XU_GH1_AUTOCRINE_TARGETS_DN	0.5960104375631431			
REACTOME_CELL_CELL_COMMUNICATION	0.5958419555938423			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_DN	0.5955217868808674			
ERBB2_UP.V1_UP	0.5954771199357523			
PID_NECTIN_PATHWAY	0.5950552437059993			
CRX_NRL_DN.V1_DN	0.5948865517942813			
BECKER_TAMOXIFEN_RESISTANCE_DN	0.5947224961691112			
GO_GOLGI_VESICLE_TRANSPORT	0.5946314797224939			
AP1_Q2_01	0.5940128214164344			
GO_CELL_JUNCTION_ASSEMBLY	0.593855775286445			
BOYLAN_MULTIPLE_MYELOMA_C_DN	0.5934773396795171			
GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.5930490522727477			
GO_CELL_JUNCTION	0.5921770019761529			
LTE2_UP.V1_UP	0.592113308423483			
HALLMARK_GLYCOLYSIS	0.5920165453563829			
GO_TIGHT_JUNCTION	0.591836402939914			
GO_CELL_CELL_JUNCTION_ASSEMBLY	0.5910465287250207			
REACTOME_HS_GAG_BIOSYNTHESIS	0.59103671432513			
ARGGGTTAA_UNKNOWN	0.5907052505244115			
REACTOME_SIGNALING_BY_MET	0.5902767602349781			
GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.5899500079583768			
YANG_BREAST_CANCER_ESR1_UP	0.5897731177659149			
PASINI_SUZ12_TARGETS_DN	0.589721296331168			
FARMER_BREAST_CANCER_BASAL_VS_LULMINAL	0.5892055655493288			
GO_LATERAL_PLASMA_MEMBRANE	0.5891187290677341			
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_45MIN_UP	0.5888570389293938			
LHX9_TARGET_GENES	0.5887011464416088			
LOPEZ_MESOTHELIOMA_SURVIVAL_OVERALL_DN	0.5884765949061781			
P53_DN.V1_UP	0.5884554337349532			
PID_INTEGRIN4_PATHWAY	0.5883214239914312			
PASQUALUCCI_LYMPHOMA_BY_GC_STAGE_UP	0.5880893551457653			
GO_SARCOLEMMA	0.5878744770811883			
GO_CELLULAR_COMPONENT_MAINTENANCE	0.5878616185171713			
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	0.5876105205164385			
GO_EXOCRINE_SYSTEM_DEVELOPMENT	0.5873658575124281			
NR0B1_TARGET_GENES	0.587148315780263			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.5870792669163322			
FRASOR_TAMOXIFEN_RESPONSE_UP	0.5870674831326916			
GSE21546_UNSTIM_VS_ANTI_CD3_STIM_DP_THYMOCYTES_UP	0.5870110813409657			
NUYTTEN_NIPP1_TARGETS_DN	0.5868262139548651			
GO_ESTABLISHMENT_OR_MAINTENANCE_OF_CYTOSKELETON_POLARITY	0.5865469161666953			
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.5865093693090769			
BIOCARTA_AGR_PATHWAY	0.5864458573725309			
LIAO_METASTASIS	0.5860043888731169			
BRUECKNER_TARGETS_OF_MIRLET7A3_UP	0.5856840042382636			
IGLV5_37_TARGET_GENES	0.5855389879066549			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1	0.5855220320496881			
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	0.5854104522926993			
WATANABE_ULCERATIVE_COLITIS_WITH_CANCER_UP	0.5852017431647946			
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	0.5850540410330725			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.5849764929163476			
REACTOME_MET_ACTIVATES_PTK2_SIGNALING	0.5844833768211994			
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP	0.5842403634519641			
GO_ANIMAL_ORGAN_MORPHOGENESIS	0.5840616387505752			
YAMAZAKI_TCEB3_TARGETS_UP	0.5837963912489109			
GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_UP	0.5835163745341094			
REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE	0.5834232206083267			
COULOUARN_TEMPORAL_TGFB1_SIGNATURE_UP	0.5832589040933348			
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX2_DN	0.5829203792937011			
GO_NEGATIVE_REGULATION_OF_STEM_CELL_PROLIFERATION	0.582919455869153			
AP1_Q4_01	0.5826541111689442			
HOELZEL_NF1_TARGETS_UP	0.5824815793453861			
DITTMER_PTHLH_TARGETS_UP	0.5824093365280573			
GU_PDEF_TARGETS_DN	0.5823140372132118			
JIANG_HYPOXIA_NORMAL	0.5822472717809415			
GO_TRANS_SYNAPTIC_SIGNALING_BY_TRANS_SYNAPTIC_COMPLEX	0.5819777948476268			
GO_PERINUCLEAR_REGION_OF_CYTOPLASM	0.5817786380456061			
REACTOME_SIGNALING_BY_PTK6	0.581495754496311			
WEINMANN_ADAPTATION_TO_HYPOXIA_UP	0.5814246484834673			
GO_POSITIVE_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION	0.5813355387409701			
GSE11961_FOLLICULAR_BCELL_VS_MEMORY_BCELL_DAY40_DN	0.5812371308064147			
GO_RENAL_SYSTEM_DEVELOPMENT	0.5811905455709013			
GO_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION	0.5811030137418575			
MIR92A_1_5P	0.5810983887820856			
CONCANNON_APOPTOSIS_BY_EPOXOMICIN_UP	0.581085771685503			
LANDIS_ERBB2_BREAST_TUMORS_324_UP	0.581045541092493			
GO_BASEMENT_MEMBRANE_ORGANIZATION	0.5810204221568537			
GO_SUBSTRATE_DEPENDENT_CELL_MIGRATION_CELL_EXTENSION	0.5808472302978641			
UDAYAKUMAR_MED1_TARGETS_DN	0.5805534491324904			
SIX4_TARGET_GENES	0.5803932948497034			
GSE42021_CD24HI_VS_CD24LOW_TCONV_THYMUS_UP	0.5803493301557816			
CERVERA_SDHB_TARGETS_1_UP	0.5803420089842303			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3	0.580213198518118			
GO_UROGENITAL_SYSTEM_DEVELOPMENT	0.5799623006170405			
GO_MESONEPHROS_DEVELOPMENT	0.5798589326444977			
GSE32533_WT_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_DN	0.5796115845868938			
LIU_CMYB_TARGETS_UP	0.5795845689783528			
KOHOUTEK_CCNT1_TARGETS	0.5795764886442281			
GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN	0.5792437866681712			
REACTOME_SYNDECAN_INTERACTIONS	0.5791543585370456			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_2_DN	0.5791507407725796			
MOHANKUMAR_HOXA1_TARGETS_DN	0.5791361961143915			
GO_SCHWANN_CELL_DIFFERENTIATION	0.5791342398131972			
GO_CARDIAC_MUSCLE_CELL_CONTRACTION	0.5789993654262758			
VANTVEER_BREAST_CANCER_BRCA1_DN	0.5789487098744921			
SUNG_METASTASIS_STROMA_UP	0.5789071279260445			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.5783226710096249			
LIM_MAMMARY_LUMINAL_PROGENITOR_DN	0.5783205454011786			
PID_ECADHERIN_STABILIZATION_PATHWAY	0.5780339217745369			
GO_POSITIVE_REGULATION_OF_VESICLE_FUSION	0.5778304082134508			
GO_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT	0.5774659980223806			
PID_MET_PATHWAY	0.57744678797044			
GO_INTERCALATED_DISC	0.5773670555669487			
GO_PERIPHERAL_NERVOUS_SYSTEM_DEVELOPMENT	0.5770177045600623			
REACTOME_HS_GAG_DEGRADATION	0.5769354076188535			
POOLA_INVASIVE_BREAST_CANCER_DN	0.5769256393929737			
JECHLINGER_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_DN	0.5767518485507337			
REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE	0.5766452580395386			
