	Score	0.95 MoE	P-Value	Q-Value
GO_NEGATIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	0.32278620168571676			
GO_CELLULAR_PIGMENTATION	0.3158420197905065			
GO_ATPASE_ACTIVITY_COUPLED_TO_TRANSMEMBRANE_MOVEMENT_OF_IONS_ROTATIONAL_MECHANISM	0.3142037982036026			
GO_PHAGOSOME_ACIDIFICATION	0.31206984288879214			
GO_REGULATION_OF_ENDOPLASMIC_RETICULUM_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	0.3096788374162717			
GO_CDP_CHOLINE_PATHWAY	0.30922366102642945			
SMID_BREAST_CANCER_RELAPSE_IN_PLEURA_DN	0.30787401961163074			
GSE17721_CTRL_VS_PAM3CSK4_24H_BMDC_DN	0.3077333644134248			
GO_CYTIDYLYLTRANSFERASE_ACTIVITY	0.30460832224931855			
REACTOME_EGR2_AND_SOX10_MEDIATED_INITIATION_OF_SCHWANN_CELL_MYELINATION	0.3019676350780068			
GO_PIGMENT_GRANULE	0.301486877170054			
GO_MELANOCYTE_DIFFERENTIATION	0.30027104835353285			
GO_PHOSPHOTRANSFERASE_ACTIVITY_FOR_OTHER_SUBSTITUTED_PHOSPHATE_GROUPS	0.30007198078091674			
GO_PIGMENT_CELL_DIFFERENTIATION	0.2990954411773781			
LEIN_OLIGODENDROCYTE_MARKERS	0.29772088242431577			
GO_AMMONIUM_ION_METABOLIC_PROCESS	0.29687298610331375			
STEIN_ESRRA_TARGETS_UP	0.29635122197090863			
REACTOME_ION_CHANNEL_TRANSPORT	0.29591356291753074			
REACTOME_STIMULI_SENSING_CHANNELS	0.29572012730026775			
NKX2_3_TARGET_GENES	0.2935134899990325			
GO_MELANIN_METABOLIC_PROCESS	0.2934872126068155			
IPA_CEBPD_DN	0.2933382173093364			
DLX6_TARGET_GENES	0.293266727888245			
GO_NUCLEOTIDE_SUGAR_TRANSMEMBRANE_TRANSPORT	0.2932004070290547			
GO_CDP_ALCOHOL_PHOSPHATIDYLTRANSFERASE_ACTIVITY	0.29198332122525733			
GO_DEVELOPMENTAL_PIGMENTATION	0.2914944975669438			
GO_NEGATIVE_REGULATION_OF_SCHWANN_CELL_PROLIFERATION	0.29142391949701063			
GO_PYRIMIDINE_NUCLEOTIDE_SUGAR_TRANSMEMBRANE_TRANSPORT	0.2912925598493073			
GO_ENSHEATHMENT_OF_NEURONS	0.29109353758428513			
GO_TRANSFERRIN_TRANSPORT	0.2901825788884324			
GO_INORGANIC_ANION_TRANSMEMBRANE_TRANSPORT	0.2901567393792748			
IPA_MITF_UP	0.28979194266584046			
GSE12198_CTRL_VS_LOW_IL2_STIM_NK_CELL_DN	0.2895808992669757			
GO_CARBOHYDRATE_CATION_SYMPORTER_ACTIVITY	0.2891669178234227			
SOX10_TARGET_GENES	0.28901054213165217			
LUI_THYROID_CANCER_CLUSTER_5	0.2889260458631022			
GO_SCHWANN_CELL_PROLIFERATION	0.28851643204092675			
ZBED4_TARGET_GENES	0.2883893004776843			
GO_MANNOSYLATION	0.2883278155783078			
GO_ANION_CHANNEL_ACTIVITY	0.2882617702545589			
GO_PROTON_TRANSPORTING_TWO_SECTOR_ATPASE_COMPLEX_PROTON_TRANSPORTING_DOMAIN	0.28822144642302977			
REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING	0.2879346529831472			
