	Score	0.95 MoE	P-Value	Q-Value
ALCALAY_AML_BY_NPM1_LOCALIZATION_UP	0.4796275422037268			
GO_SUBSTRATE_DEPENDENT_CELL_MIGRATION_CELL_EXTENSION	0.4689893819195274			
GO_LOW_DENSITY_LIPOPROTEIN_RECEPTOR_PARTICLE_METABOLIC_PROCESS	0.46777018035266066			
GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.4658682036013448			
REACTOME_NECTIN_NECL_TRANS_HETERODIMERIZATION	0.4589224180689011			
GSE5589_UNSTIM_VS_45MIN_LPS_AND_IL6_STIM_MACROPHAGE_DN	0.4588778465667377			
GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP	0.45561105117777384			
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	0.4552012421102954			
BURTON_ADIPOGENESIS_7	0.45315856071244204			
MOREAUX_B_LYMPHOCYTE_MATURATION_BY_TACI_UP	0.4525397656994548			
GO_PERIPHERAL_NERVOUS_SYSTEM_DEVELOPMENT	0.4520089956735872			
GO_TRANS_SYNAPTIC_SIGNALING_BY_TRANS_SYNAPTIC_COMPLEX	0.4515539310189665			
GO_LAMININ_1_BINDING	0.4508883952930157			
WINTER_HYPOXIA_UP	0.45023587671027543			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.44858360775837075			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.44713036888244917			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.4469240687668125			
NR0B1_TARGET_GENES	0.446769962250651			
DITTMER_PTHLH_TARGETS_UP	0.4463933956662433			
GO_ELASTIN_CATABOLIC_PROCESS	0.4449765700854257			
GO_MULTIVESICULAR_BODY_SORTING_PATHWAY	0.4447633404421211			
IPA_KDR_UP	0.44438217219481846			
GO_MALE_SEX_DIFFERENTIATION	0.44270876140822685			
GO_ADHERENS_JUNCTION	0.4424470015917303			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.4422321195307284			
KAAB_FAILED_HEART_ATRIUM_DN	0.4422293202422844			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_DN	0.4421137264141249			
REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2	0.44158351276958185			
GO_LOW_DENSITY_LIPOPROTEIN_PARTICLE_RECEPTOR_CATABOLIC_PROCESS	0.4413132591128043			
BOYLAN_MULTIPLE_MYELOMA_PCA1_DN	0.4412110022504484			
DELACROIX_RARG_BOUND_MEF	0.44116004277333565			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.4409089323654477			
GSE41978_WT_VS_ID2_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP	0.44066840396591794			
GO_BASEMENT_MEMBRANE_ASSEMBLY	0.44060026140278935			
GO_CLEAVAGE_FURROW_FORMATION	0.44028278292579837			
PLASARI_TGFB1_TARGETS_1HR_UP	0.44023567516975004			
GSE12003_4D_VS_8D_CULTURE_MIR223_KO_BM_PROGENITOR_UP	0.4397961673018905			
PID_ECADHERIN_STABILIZATION_PATHWAY	0.4392325145006723			
KIM_WT1_TARGETS_12HR_UP	0.4386923433676169			
LUND_SILENCED_BY_METHYLATION	0.4381414853558069			
CRX_NRL_DN.V1_DN	0.43800858380895596			
GO_NEGATIVE_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION	0.4379563406120152			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.43777948770143355			
GO_REGULATION_OF_ENDOCYTOSIS	0.4377689158670632			
GO_POSITIVE_REGULATION_OF_MAMMARY_GLAND_EPITHELIAL_CELL_PROLIFERATION	0.4373789755848868			
GO_CLATHRIN_COATED_PIT	0.43709096458986646			
DACOSTA_UV_RESPONSE_VIA_ERCC3_TTD_UP	0.4370531240480897			
GO_CYTOKINETIC_PROCESS	0.4369086505677292			
VANTVEER_BREAST_CANCER_BRCA1_DN	0.4366987156388835			
IPA_NFATC1_DN	0.43666813047644265			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.43653216329971856			
GSE6269_HEALTHY_VS_STAPH_AUREUS_INF_PBMC_DN	0.43652354866754284			
GSE27670_CTRL_VS_LMP1_TRANSDUCED_GC_BCELL_DN	0.436496538473433			
GSE42021_TREG_VS_TCONV_PLN_DN	0.4364427121467711			
GO_LAMININ_COMPLEX	0.4363722733792358			
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	0.436319934156224			
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.43599442954951834			
SUNG_METASTASIS_STROMA_UP	0.4356022042074379			
GO_GERM_CELL_MIGRATION	0.43534577263460766			
REACTOME_CELL_CELL_COMMUNICATION	0.4352429159609945			
GSE42021_CD24HI_VS_CD24LOW_TCONV_THYMUS_UP	0.4351144143964692			
GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_UP	0.4350102755100068			
GO_ADHERENS_JUNCTION_ORGANIZATION	0.43500392153184847			
WGGAATGY_TEF1_Q6	0.43477257853779233			
RIGGINS_TAMOXIFEN_RESISTANCE_UP	0.43457706708304356			
REACTOME_EPH_EPHRIN_SIGNALING	0.4343706699987522			
REACTOME_MET_ACTIVATES_PTK2_SIGNALING	0.43401220351700454			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.4339637670026242			
GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.4337749413578141			
