	Score	0.95 MoE	P-Value	Q-Value
GSE12392_WT_VS_IFNB_KO_CD8A_NEG_SPLEEN_DC_DN	0.30822189547844464			
GSE3982_NEUTROPHIL_VS_TH2_UP	0.3067687608206811			
GO_POSITIVE_REGULATION_OF_VIRAL_ENTRY_INTO_HOST_CELL	0.2993049187673848			
GO_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	0.2979124607289803			
GSE39110_UNTREATED_VS_IL2_TREATED_CD8_TCELL_DAY6_POST_IMMUNIZATION_UP	0.297768906090416			
BASSO_CD40_SIGNALING_UP	0.2974595191336084			
GSE17721_4_VS_24H_CPG_BMDC_UP	0.2960705586043027			
GSE43863_NAIVE_VS_MEMORY_TFH_CD4_TCELL_D150_LCMV_UP	0.2955540347705465			
GSE17186_MEMORY_VS_CD21HIGH_TRANSITIONAL_BCELL_DN	0.2951226573294175			
GSE40274_CTRL_VS_GATA1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	0.2950571287578638			
GO_RESPONSE_TO_INTERLEUKIN_7	0.2949850406324523			
GO_INTERLEUKIN_7_MEDIATED_SIGNALING_PATHWAY	0.2943335973313858			
GO_MYELOID_CELL_DIFFERENTIATION	0.2938431862892153			
ZNF597_TARGET_GENES	0.2937904797149273			
LU_IL4_SIGNALING	0.29244034587487144			
KAECH_DAY15_EFF_VS_MEMORY_CD8_TCELL_UP	0.29121954532780553			
MARTINEZ_RB1_TARGETS_UP	0.2911771320878634			
GSE3720_UNSTIM_VS_LPS_STIM_VD1_GAMMADELTA_TCELL_UP	0.29115045641305864			
GO_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	0.2906697723595899			
GSE3982_EOSINOPHIL_VS_DC_UP	0.29036194068952575			
IPA_FOS_UP	0.29019140615509986			
GSE27241_CTRL_VS_DIGOXIN_TREATED_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_UP	0.29017546274803396			
GO_RESPONSE_TO_KETONE	0.290130579153048			
GSE9988_ANTI_TREM1_AND_LPS_VS_VEHICLE_TREATED_MONOCYTES_DN	0.2900514950594276			
QI_PLASMACYTOMA_UP	0.2897217831111738			
GO_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS	0.28953815982888315			
FLECHNER_PBL_KIDNEY_TRANSPLANT_OK_VS_DONOR_UP	0.2894445405940623			
GSE21670_STAT3_KO_VS_WT_CD4_TCELL_TGFB_IL6_TREATED_DN	0.2892054268789824			
GSE39556_UNTREATED_VS_3H_POLYIC_INJ_MOUSE_CD8A_DC_DN	0.28918626204489767			
GSE9988_LOW_LPS_VS_VEHICLE_TREATED_MONOCYTE_DN	0.2891712268155078			
GSE22886_TCELL_VS_BCELL_NAIVE_UP	0.2891557433827373			
GO_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION	0.2891410859037266			
GSE41867_NAIVE_VS_DAY6_LCMV_EFFECTOR_CD8_TCELL_UP	0.28792094836365234			
REACTOME_HYALURONAN_METABOLISM	0.2875564894088076			
GO_MYELOID_LEUKOCYTE_DIFFERENTIATION	0.28725486399515965			
BLALOCK_ALZHEIMERS_DISEASE_UP	0.28707477271614645			
GO_T_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE	0.28707178934649374			
RUTELLA_RESPONSE_TO_CSF2RB_AND_IL4_DN	0.28702606921264184			
LEE_LIVER_CANCER_HEPATOBLAST	0.28673458418607256			
GSE7219_UNSTIM_VS_LPS_AND_ANTI_CD40_STIM_NIK_NFKB2_KO_DC_UP	0.28657596767527405			
GSE15330_MEGAKARYOCYTE_ERYTHROID_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_UP	0.2865563791588268			
GSE22140_HEALTHY_VS_ARTHRITIC_MOUSE_CD4_TCELL_DN	0.2864025734219888			
GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION	0.28627631151677807			
GO_NEGATIVE_REGULATION_OF_CELL_MOTILITY	0.2861944637528601			
GO_POSITIVE_REGULATION_OF_CELL_ACTIVATION	0.2859991843111925			
GO_REGULATION_OF_CELL_ACTIVATION	0.28579982523328634			
