	Score	0.95 MoE	P-Value	Q-Value
MIR1251_5P	0.3117222415265686			
REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE_FGFR4	0.30850463882175905			
MIR4455	0.3059987887265904			
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR4	0.3029665751898749			
GO_MEMBRANE_DEPOLARIZATION_DURING_SA_NODE_CELL_ACTION_POTENTIAL	0.2988966727139271			
GO_REGULATION_OF_NUCLEAR_CELL_CYCLE_DNA_REPLICATION	0.2984784400852743			
REACTOME_ROBO_RECEPTORS_BIND_AKAP5	0.29741258595963677			
GO_POSITIVE_REGULATION_OF_MAPKKK_CASCADE_BY_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	0.2969295553046843			
GO_REGULATION_OF_RESPIRATORY_GASEOUS_EXCHANGE	0.2953229464633955			
GO_CENTRAL_NERVOUS_SYSTEM_MATURATION	0.29528770154758155			
REACTOME_SHC_MEDIATED_CASCADE_FGFR4	0.2951219339582237			
REACTOME_SHC_MEDIATED_CASCADE_FGFR1	0.29206876721086017			
PRKDC_TARGET_GENES	0.29191424668167926			
MIR4645_5P	0.29077840690284945			
GO_REGULATION_OF_LIPOPROTEIN_METABOLIC_PROCESS	0.2903186588225343			
TCCGTCC_MIR184	0.2899967511103293			
GO_MAINTENANCE_OF_APICAL_BASAL_CELL_POLARITY	0.2872437966477537			
LASTOWSKA_NEUROBLASTOMA_COPY_NUMBER_DN	0.2866036508782726			
GO_MICROTUBULE_BUNDLE_FORMATION	0.28553726783452354			
REACTOME_PI_3K_CASCADE_FGFR4	0.28540732181495193			
GO_POSITIVE_REGULATION_OF_NUCLEAR_CELL_CYCLE_DNA_REPLICATION	0.2851266923467612			
GO_CELL_MIGRATION_INVOLVED_IN_VASCULOGENESIS	0.283806010841718			
MIR323A_5P	0.28355062558942123			
GO_ANTEROGRADE_DENDRITIC_TRANSPORT	0.2831996851163149			
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	0.28304688097437936			
GO_MICROTUBULE_ASSOCIATED_COMPLEX	0.28273630192694993			
MEISSNER_NPC_ICP_WITH_H3K4ME3	0.2820691617323368			
chr10p13	0.2819999845002949			
GO_MUSCLE_MYOSIN_COMPLEX	0.2818230641659949			
GO_DENDRITIC_TRANSPORT	0.2816717697185534			
FIRESTEIN_CTNNB1_PATHWAY	0.2812195895811581			
GO_REGULATION_OF_RESPIRATORY_SYSTEM_PROCESS	0.28110932970017777			
RICKMAN_HEAD_AND_NECK_CANCER_F	0.2810922260375025			
GO_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES	0.28095216571016035			
REACTOME_FGFR1B_LIGAND_BINDING_AND_ACTIVATION	0.28090862971550956			
GO_REGULATION_OF_CIRCADIAN_RHYTHM	0.280758592168941			
OVOL3_TARGET_GENES	0.28065048416166416			
GO_DOPAMINE_RECEPTOR_BINDING	0.2802300754609895			
MIR1182	0.2801359401574507			
GO_RETROGRADE_NEURONAL_DENSE_CORE_VESICLE_TRANSPORT	0.2801021991336127			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_2	0.27986655506888414			
GO_MESENCHYME_MIGRATION	0.2797973983248216			
SENESE_HDAC1_AND_HDAC2_TARGETS_DN	0.27965498950560946			
GO_ISOTYPE_SWITCHING_TO_IGA_ISOTYPES	0.27963209175797377			
U2AF2_TARGET_GENES	0.2792452370246768			
GO_LYSINE_N_METHYLTRANSFERASE_ACTIVITY	0.27918005492861503			
IPA_SRF_UP	0.27916647658107896			
GO_PRESYNAPTIC_ACTIVE_ZONE	0.27846983565844374			
GO_MICROTUBULE	0.27821945065475034			
REACTOME_FRS_MEDIATED_FGFR1_SIGNALING	0.2778829902352429			
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR2	0.2777877137353881			
TERT_TARGET_GENES	0.277701123017325			
MIR1231	0.27706250875776206			
GO_HISTONE_LYSINE_N_METHYLTRANSFERASE_ACTIVITY	0.2767535795161016			
GO_RESPONSE_TO_BRONCHODILATOR	0.2756660203173777			
REACTOME_FGFRL1_MODULATION_OF_FGFR1_SIGNALING	0.27532989804938673			
GO_AXO_DENDRITIC_PROTEIN_TRANSPORT	0.275299638848733			
GO_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_DOPAMINERGIC	0.27449662697917665			
MIR4728_5P	0.27427866662941186			
MIR4725_5P	0.2738012798498581			
ASH1L_TARGET_GENES	0.2737849704793791			
MIR8077	0.2736430566803253			
REACTOME_MUSCLE_CONTRACTION	0.27362505974824963			
GO_B_CELL_LINEAGE_COMMITMENT	0.2732662100621045			
GO_UV_PROTECTION	0.2730780040915501			
GO_CYTOPLASMIC_REGION	0.2730377793775925			
GO_POSITIVE_REGULATION_OF_CATECHOLAMINE_SECRETION	0.2729679835533904			
GO_BRCA1_A_COMPLEX	0.27295669216989943			
RYTGCNNRGNAAC_MIF1_01	0.2728763434768017			
MIR6803_5P	0.27272256985341914			
LIANG_SILENCED_BY_METHYLATION_DN	0.2724789389638416			
GO_MICROTUBULE_CYTOSKELETON_ORGANIZATION	0.2724456262355874			
GO_G_PROTEIN_COUPLED_RECEPTOR_INTERNALIZATION	0.27222225016284424			
GO_REGULATION_OF_RESPIRATORY_GASEOUS_EXCHANGE_BY_NERVOUS_SYSTEM_PROCESS	0.2719989638125993			
IPA_SSRP1_UP	0.27190793790275297			
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	0.2718719469021866			
REACTOME_FRS_MEDIATED_FGFR4_SIGNALING	0.27168737824054207			
MIR504_5P	0.2716439309044808			
GO_REGULATION_OF_BONE_DEVELOPMENT	0.27160254595782957			
GO_TRANSCRIPTION_FACTOR_TFTC_COMPLEX	0.2713122116473886			
GO_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_BINDING	0.27119334102279036			
GO_ORIGIN_RECOGNITION_COMPLEX	0.2711239609515917			
GO_N_METHYLTRANSFERASE_ACTIVITY	0.27111031145427844			
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR3	0.2709808666816278			
GO_NUCLEOSOMAL_HISTONE_BINDING	0.27093723259002556			
GO_PHOSPHOLIPID_DEPHOSPHORYLATION	0.2709353099768675			
IPA_HEY2_DN	0.2707164815094763			
GSE45365_HEALTHY_VS_MCMV_INFECTION_CD11B_DC_UP	0.27064891673493313			
REACTOME_PI_3K_CASCADE_FGFR1	0.27040239096848173			
SCHAEFFER_PROSTATE_DEVELOPMENT_12HR_DN	0.27035622605593446			
GO_ACETYLTRANSFERASE_ACTIVITY	0.27022621585849477			
GO_PROTEIN_TRANSPORT_ALONG_MICROTUBULE	0.26997161244002615			
AAGTCCA_MIR422B_MIR422A	0.26989793371345083			
