	Score	0.95 MoE	P-Value	Q-Value
SENESE_HDAC1_TARGETS_DN	0.47254570119226574			
KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_DN	0.4679882653790684			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_DN	0.4679009615449207			
GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.4677043078899859			
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_45MIN_UP	0.4641931726478266			
GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN	0.46097739295248663			
HALLMARK_UV_RESPONSE_DN	0.4602271158787009			
GSE21546_UNSTIM_VS_ANTI_CD3_STIM_DP_THYMOCYTES_UP	0.46016313875147363			
GSE42021_TREG_VS_TCONV_PLN_DN	0.4578936352162574			
LU_AGING_BRAIN_UP	0.45753092259367156			
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	0.4574531499676817			
ALONSO_METASTASIS_EMT_UP	0.45727451025233157			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.4571805513919364			
GSE11961_FOLLICULAR_BCELL_VS_MEMORY_BCELL_DAY40_DN	0.4568037745681549			
SENESE_HDAC1_AND_HDAC2_TARGETS_DN	0.45656811648184314			
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN	0.4565222172712741			
CHICAS_RB1_TARGETS_CONFLUENT	0.4562252789988914			
TIEN_INTESTINE_PROBIOTICS_2HR_DN	0.4559391044143737			
REACTOME_ECM_PROTEOGLYCANS	0.45529431606151405			
CHEBOTAEV_GR_TARGETS_DN	0.4544999987722617			
WANG_SMARCE1_TARGETS_UP	0.4542428862164096			
BOYLAN_MULTIPLE_MYELOMA_PCA1_DN	0.4519181615422335			
GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_DN	0.4516323832679989			
HELLER_HDAC_TARGETS_UP	0.4508698641631034			
GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_BCELL_UP	0.44933270076867515			
TIEN_INTESTINE_PROBIOTICS_6HR_DN	0.4490436276334009			
REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	0.44879298967615416			
MIR124_3P	0.448454995014181			
MIR506_3P	0.44813092495279483			
TGCCTTA_MIR124A	0.44770920331733516			
