	Score	0.95 MoE	P-Value	Q-Value
GSE21380_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.4208404625536401			
KIM_WT1_TARGETS_12HR_UP	0.4173298372880589			
BASSO_HAIRY_CELL_LEUKEMIA_UP	0.41625187150027043			
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_B	0.41599931194798384			
BURTON_ADIPOGENESIS_9	0.4156509139176808			
GO_REGULATION_OF_CELL_MATRIX_ADHESION	0.41562739577053587			
GO_CELL_SUBSTRATE_ADHESION	0.4147621060805127			
REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	0.41441511083800886			
GO_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	0.4142423942003666			
GO_FILOPODIUM_MEMBRANE	0.4142141070124858			
PID_FAK_PATHWAY	0.4136742936536231			
BIOCARTA_AGR_PATHWAY	0.41326187976161155			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_CDC25_DN	0.41290487540654097			
GO_SUBSTRATE_DEPENDENT_CELL_MIGRATION_CELL_EXTENSION	0.41282668259109534			
AMIT_EGF_RESPONSE_240_HELA	0.41276680824034473			
GO_FOCAL_ADHESION_ASSEMBLY	0.41217614621127474			
PID_CDC42_PATHWAY	0.4119618951352802			
GSE5589_UNSTIM_VS_180MIN_LPS_STIM_MACROPHAGE_UP	0.4119283035535987			
HARRIS_HYPOXIA	0.411663612369512			
GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP	0.4116356788068878			
JIANG_HYPOXIA_NORMAL	0.41098979217606807			
GO_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.4105720982001495			
GO_CELL_MATRIX_ADHESION	0.41053993473105915			
GSE37301_CD4_TCELL_VS_RAG2_KO_NK_CELL_DN	0.4105076154312976			
GO_ACTIN_FILAMENT_BUNDLE	0.41047456345304345			
GO_REGULATION_OF_CELL_PROJECTION_ASSEMBLY	0.4104272843566678			
TBK1.DF_UP	0.4103528751027701			
RIGGINS_TAMOXIFEN_RESISTANCE_DN	0.4101433186434647			
GO_TISSUE_MIGRATION	0.41010762152089614			
BOYLAN_MULTIPLE_MYELOMA_PCA1_DN	0.40986023057443444			
WONG_ADULT_TISSUE_STEM_MODULE	0.4093908284700574			
GO_CONTRACTILE_FIBER	0.4091674701946364			
GSE3982_DC_VS_NKCELL_UP	0.4091311859865777			
GO_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ASSEMBLY	0.40893503808788834			
GO_ACTOMYOSIN	0.40892533704229755			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_DN	0.40877640371815177			
GO_ENDOTHELIAL_CELL_DEVELOPMENT	0.4087697232169959			
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.4086416001584362			
GO_CELL_PROJECTION_ASSEMBLY	0.4086315300540132			
