	Score	0.95 MoE	P-Value	Q-Value
GO_CELL_DIFFERENTIATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT	0.4177564285299881			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.4125546151523721			
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP	0.4106620023190599			
DITTMER_PTHLH_TARGETS_UP	0.4106263974160845			
GSE7831_CPG_VS_INFLUENZA_STIM_PDC_4H_UP	0.41027658472256345			
JIANG_HYPOXIA_NORMAL	0.40964112212060916			
GO_METANEPHRIC_NEPHRON_EPITHELIUM_DEVELOPMENT	0.40960201827831305			
GO_METANEPHRIC_EPITHELIUM_DEVELOPMENT	0.4088801025643794			
GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_DN	0.4088428996380294			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.40839995350170805			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.40803520343890737			
GSE3982_DC_VS_NKCELL_UP	0.407758278329418			
GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN	0.4074188383907034			
ESC_J1_UP_LATE.V1_UP	0.40739584439173593			
GO_CELL_JUNCTION_ORGANIZATION	0.4068782632710326			
PROVENZANI_METASTASIS_DN	0.40650593570876703			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.4063926946195076			
GO_CELL_JUNCTION_ASSEMBLY	0.40585203934901554			
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_24H_UP	0.4051849016827475			
GO_PHOSPHOLIPASE_INHIBITOR_ACTIVITY	0.4044347015670039			
CONCANNON_APOPTOSIS_BY_EPOXOMICIN_UP	0.40424440212909357			
HALLMARK_XENOBIOTIC_METABOLISM	0.4040905978812222			
GO_RECEPTOR_CATABOLIC_PROCESS	0.40398281130082075			
DORN_ADENOVIRUS_INFECTION_32HR_DN	0.40396399641900166			
CHUANG_OXIDATIVE_STRESS_RESPONSE_UP	0.40386143299018845			
GSE21380_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.40295870101938003			
GSE22886_NAIVE_TCELL_VS_DC_DN	0.40273468589288713			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.40265721216338274			
NR0B1_TARGET_GENES	0.40254191549242174			
GO_CADHERIN_BINDING	0.40105400130560337			
BACH1_01	0.4009802289419527			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.40058682151259895			
DELACROIX_RARG_BOUND_MEF	0.4005293366936923			
GO_LAMININ_COMPLEX	0.4004812197976682			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1	0.3999508328387321			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_DN	0.39927878004112394			
ESC_V6.5_UP_EARLY.V1_DN	0.3992195654694952			
REACTOME_CELL_CELL_COMMUNICATION	0.39920769906394393			
WINTER_HYPOXIA_UP	0.3991862576452471			
GSE6269_FLU_VS_STAPH_AUREUS_INF_PBMC_DN	0.3991596552490943			
HALLMARK_GLYCOLYSIS	0.3990386070256022			
SESTO_RESPONSE_TO_UV_C8	0.3989631590064135			
BOYLAN_MULTIPLE_MYELOMA_C_DN	0.39888842979069566			
KAAB_FAILED_HEART_ATRIUM_DN	0.3988439880148919			
REACTOME_SIGNALING_BY_MET	0.3988341537497927			
PID_FAK_PATHWAY	0.39848315855093386			
GSE6269_HEALTHY_VS_STAPH_PNEUMO_INF_PBMC_DN	0.398413604740391			
LEE_LIVER_CANCER_ACOX1_UP	0.3980902464693163			
GO_LIPASE_INHIBITOR_ACTIVITY	0.3979331590307682			
AP1_Q4_01	0.39783857206382706			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.3977106298464584			
GSE26488_WT_VS_HDAC7_DELTAP_TG_OT2_THYMOCYTE_WITH_PEPTIDE_INJECTION_DN	0.3974988473709556			
AMIT_SERUM_RESPONSE_240_MCF10A	0.3974945653912304			
PID_ECADHERIN_STABILIZATION_PATHWAY	0.39741378476960193			
GO_ACTIN_FILAMENT_BUNDLE	0.39737156691040965			
GSE4748_CTRL_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_DN	0.39721672687736864			
AMIT_EGF_RESPONSE_480_HELA	0.39694478841518877			
JOHNSTONE_PARVB_TARGETS_3_UP	0.3968760260500698			
GSE7831_1H_VS_4H_INFLUENZA_STIM_PDC_UP	0.3967015602260307			
GUENTHER_GROWTH_SPHERICAL_VS_ADHERENT_DN	0.3966186095721256			
PUIFFE_INVASION_INHIBITED_BY_ASCITES_DN	0.3963028534463601			
YAMAZAKI_TCEB3_TARGETS_UP	0.3957586773389361			
GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP	0.3956813637982852			
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.39562891852452			
GO_ANCHORING_JUNCTION	0.39560305982164107			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_CDC25_DN	0.39559086487738515			
GO_CELL_CELL_JUNCTION	0.3955180153000556			
BORLAK_LIVER_CANCER_EGF_UP	0.39532848372691193			
REACTOME_FORMYL_PEPTIDE_RECEPTORS_BIND_FORMYL_PEPTIDES_AND_MANY_OTHER_LIGANDS	0.39530002558174393			
BRUECKNER_TARGETS_OF_MIRLET7A3_UP	0.395282293528997			
GO_EXOCRINE_SYSTEM_DEVELOPMENT	0.39502916216375417			
GO_PERINUCLEAR_REGION_OF_CYTOPLASM	0.39497452862954774			
DURCHDEWALD_SKIN_CARCINOGENESIS_DN	0.3949051967753738			
AP1_01	0.3946938679252321			
GSE5589_UNSTIM_VS_180MIN_LPS_STIM_MACROPHAGE_UP	0.39466958155548554			
NAGASHIMA_NRG1_SIGNALING_UP	0.3946352483618122			
JECHLINGER_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_DN	0.39462997562335383			
GO_I_BAND	0.39399345907524175			
GO_ENTRY_OF_BACTERIUM_INTO_HOST_CELL	0.39385834370073425			
GSE2405_0H_VS_3H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	0.39382952958472595			
ERBB2_UP.V1_UP	0.39371267979049235			
GO_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	0.39370973181954766			
WANG_CLIM2_TARGETS_DN	0.39354409853891215			
FARMER_BREAST_CANCER_BASAL_VS_LULMINAL	0.39322588114702384			
GSE8621_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_UP	0.3929503278621897			
GSE5589_UNSTIM_VS_45MIN_LPS_AND_IL6_STIM_MACROPHAGE_DN	0.39294323409020454			
GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.3928646941859835			
COULOUARN_TEMPORAL_TGFB1_SIGNATURE_UP	0.39271399229415077			
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_B	0.39264433147674904			
GO_CELL_ADHESION_MOLECULE_BINDING	0.39234632693398663			
ZHONG_SECRETOME_OF_LUNG_CANCER_AND_FIBROBLAST	0.39219303084795454			
GO_COSTAMERE	0.39214729887254435			
REACTOME_MET_ACTIVATES_PTK2_SIGNALING	0.3920648827833842			
AMIT_EGF_RESPONSE_120_HELA	0.3918915110540736			
WU_CELL_MIGRATION	0.39186378611201456			
PID_NECTIN_PATHWAY	0.3917491451612102			
LHX9_TARGET_GENES	0.39166329490266943			
GO_METANEPHRIC_NEPHRON_TUBULE_EPITHELIAL_CELL_DIFFERENTIATION	0.3916576404112944			
GO_CELL_CELL_JUNCTION_ASSEMBLY	0.39165661152742937			
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.3916438675022762			
WOOD_EBV_EBNA1_TARGETS_DN	0.39163740068368835			
GO_ADHERENS_JUNCTION	0.39159037196624535			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.39150435444110004			
GO_ENDOSOME_ORGANIZATION	0.39142604627495114			
GSE3982_MAST_CELL_VS_MAC_DN	0.3911421048959136			
GSE24634_TEFF_VS_TCONV_DAY10_IN_CULTURE_DN	0.3910425495993257			
LEE_LIVER_CANCER_MYC_TGFA_UP	0.39100575065578985			
GSE9650_NAIVE_VS_EXHAUSTED_CD8_TCELL_DN	0.391001583325398			
CHIBA_RESPONSE_TO_TSA_DN	0.3907907029764675			
GO_PROLACTIN_SECRETION	0.39061483633742683			
GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_17H_DN	0.39046786036281467			
LEI_MYB_TARGETS	0.3904429430478281			
GSE6269_HEALTHY_VS_STAPH_AUREUS_INF_PBMC_DN	0.39039895548774345			
LINSLEY_MIR16_TARGETS	0.39037773561804506			
