	Score	0.95 MoE	P-Value	Q-Value
BHAT_ESR1_TARGETS_VIA_AKT1_DN	0.5410284887207067			
GOZGIT_ESR1_TARGETS_DN	0.536597908225752			
ERBB2_UP.V1_UP	0.5334518289442145			
MCBRYAN_PUBERTAL_TGFB1_TARGETS_DN	0.5253624141048334			
LEE_BMP2_TARGETS_UP	0.51912147567757			
LIM_MAMMARY_LUMINAL_MATURE_UP	0.5168179601950722			
RODRIGUES_THYROID_CARCINOMA_POORLY_DIFFERENTIATED_DN	0.5109610746262264			
GO_LAMELLAR_BODY	0.5096930103795511			
BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN	0.5048259696939122			
KOBAYASHI_EGFR_SIGNALING_24HR_UP	0.503970545097826			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.5034465189957062			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.5020683175093633			
IPA_ESR1_UP	0.5007312270540242			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.5000163633337835			
GSE3982_NKCELL_VS_TH1_UP	0.49951813455879024			
SMID_BREAST_CANCER_BASAL_DN	0.4970779663614737			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.4970260608658532			
GO_PLASMA_MEMBRANE_REGION	0.4962148883958408			
KARLSSON_TGFB1_TARGETS_DN	0.4952322674670757			
MCBRYAN_PUBERTAL_BREAST_3_4WK_UP	0.49481100266742434			
GO_REGULATION_OF_METALLOPEPTIDASE_ACTIVITY	0.49451579101168497			
MEK_UP.V1_UP	0.49263256495343194			
MOHANKUMAR_HOXA1_TARGETS_DN	0.49212781434827463			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.49202416195515614			
FARMER_BREAST_CANCER_APOCRINE_VS_LUMINAL	0.491839509105932			
REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS	0.49115583286453596			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.4908655128687424			
HALLMARK_PROTEIN_SECRETION	0.4904565801629383			
POOLA_INVASIVE_BREAST_CANCER_DN	0.4902671368863255			
HNF4ALPHA_Q6	0.48954428730184496			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.48888943599423473			
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	0.48879994478108657			
KESHELAVA_MULTIPLE_DRUG_RESISTANCE	0.485986369819368			
LTE2_UP.V1_UP	0.48560966163098845			
MEL18_DN.V1_DN	0.4851990660993027			
MCBRYAN_PUBERTAL_BREAST_5_6WK_UP	0.4850389230125988			
GO_APICAL_PLASMA_MEMBRANE	0.4847349470957767			
GO_CELL_JUNCTION	0.4831236174475919			
LEF1_UP.V1_DN	0.48267972681269766			
REACTOME_SPHINGOLIPID_METABOLISM	0.48227930810377734			
GRAESSMANN_RESPONSE_TO_MC_AND_DOXORUBICIN_UP	0.4817323443543138			
GO_RESPONSE_TO_CALCIUM_ION	0.4816690030403221			
MIR8059	0.48130815629132756			
SATO_SILENCED_BY_METHYLATION_IN_PANCREATIC_CANCER_2	0.48087785240885217			
DAZARD_UV_RESPONSE_CLUSTER_G24	0.4803057484653767			
GO_INTERCALATED_DISC	0.48005865284024113			
JOHANSSON_BRAIN_CANCER_EARLY_VS_LATE_DN	0.4799661067224938			
GO_VACUOLAR_TRANSPORT	0.47971345113739866			
RIGGINS_TAMOXIFEN_RESISTANCE_DN	0.4796515811578719			
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT	0.47934505897698126			
RAF_UP.V1_DN	0.4793270184069889			
KOHOUTEK_CCNT1_TARGETS	0.47927700216152874			
GSE37532_WT_VS_PPARG_KO_VISCERAL_ADIPOSE_TISSUE_TREG_DN	0.4788665558196953			
CERVERA_SDHB_TARGETS_1_UP	0.4785668497023435			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.47834850762816206			
FEVR_CTNNB1_TARGETS_UP	0.4780116152645448			
GO_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT	0.47790819716597444			
DUTERTRE_ESTRADIOL_RESPONSE_6HR_DN	0.47759020117037015			
ESC_J1_UP_LATE.V1_UP	0.4767021136780146			
HALLMARK_MYOGENESIS	0.47635472323761424			
GO_3_CHLOROALLYL_ALDEHYDE_DEHYDROGENASE_ACTIVITY	0.47607073197324007			
GO_VESICLE_TARGETING	0.47501648838899285			
FARMER_BREAST_CANCER_CLUSTER_6	0.47501585247236155			
HUPER_BREAST_BASAL_VS_LUMINAL_DN	0.47423214317441864			
PID_NCADHERIN_PATHWAY	0.4739621285000426			
BOYLAN_MULTIPLE_MYELOMA_C_DN	0.4739303630177027			
COULOUARN_TEMPORAL_TGFB1_SIGNATURE_DN	0.4738091880434657			
REACTOME_MET_RECEPTOR_ACTIVATION	0.47367141394324014			
IPA_NFE2L2_DN	0.47361001679442977			
GO_PERINUCLEAR_REGION_OF_CYTOPLASM	0.4735003620506724			
GO_CALCIUM_ION_BINDING	0.4733794303000165			
HOOI_ST7_TARGETS_DN	0.4732670818553049			
GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.4732486779381178			
GREB1_TARGET_GENES	0.4727761301153628			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.47270496504176385			
GO_INTERLEUKIN_1_ALPHA_PRODUCTION	0.47241353393387503			
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.4723740244441152			
GO_LATERAL_PLASMA_MEMBRANE	0.4720712658509623			
GO_APICAL_PART_OF_CELL	0.4719033724497678			
GO_PROTEIN_LOCALIZATION_TO_LYSOSOME	0.4716201167980841			
GSE11924_TH1_VS_TH2_CD4_TCELL_DN	0.47156100227895936			
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	0.4712377181346393			
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	0.4711411673650523			
GO_GOLGI_VESICLE_TRANSPORT	0.47088901847856707			
RODRIGUES_DCC_TARGETS_DN	0.470538607613152			
BURTON_ADIPOGENESIS_9	0.4702893105768915			
JECHLINGER_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_DN	0.47018304148113715			
GO_RESPONSE_TO_PROGESTERONE	0.4698953541626941			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_4	0.4696243136016476			
IVANOVA_HEMATOPOIESIS_STEM_CELL_LONG_TERM	0.4695428171354674			
BMI1_DN_MEL18_DN.V1_DN	0.4694596379556601			
YANG_BREAST_CANCER_ESR1_UP	0.46885400077946615			
GO_ACTIN_BASED_CELL_PROJECTION	0.4687892584852974			
SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP	0.4687623746675312			
MIR92A_1_5P	0.46849768467406266			
PID_ERBB_NETWORK_PATHWAY	0.46847695816507384			
LI_AMPLIFIED_IN_LUNG_CANCER	0.46844022080650416			
SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A4	0.4683514212383591			
GAUSSMANN_MLL_AF4_FUSION_TARGETS_E_UP	0.46823789629553814			
GO_SMOOTH_MUSCLE_CELL_MIGRATION	0.4680565893419159			
DELPUECH_FOXO3_TARGETS_UP	0.4680173580301234			
LIU_CMYB_TARGETS_UP	0.4679261785962106			
REACTOME_CELL_CELL_COMMUNICATION	0.46791397496015286			
REACTOME_EPH_EPHRIN_SIGNALING	0.4678417752086503			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.46770782805489547			
WIKMAN_ASBESTOS_LUNG_CANCER_UP	0.46741343487943804			
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	0.46725043410166445			
STANHILL_HRAS_TRANSFROMATION_UP	0.46685131695718507			
GO_GOLGI_APPARATUS	0.46669601173693015			
WEINMANN_ADAPTATION_TO_HYPOXIA_UP	0.46657772741707504			
DODD_NASOPHARYNGEAL_CARCINOMA_UP	0.466544602649712			
GO_CORTICAL_ACTIN_CYTOSKELETON	0.46625043262849547			
GO_ERBB_SIGNALING_PATHWAY	0.46602645155954764			
REACTOME_GRB7_EVENTS_IN_ERBB2_SIGNALING	0.4656973527579612			
WANG_LMO4_TARGETS_UP	0.4653030161689058			
FRASOR_RESPONSE_TO_ESTRADIOL_UP	0.46510978087234867			
CREB_Q4_01	0.46448270936087904			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.4644694011871068			
REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING	0.46435633725111153			
RASHI_RESPONSE_TO_IONIZING_RADIATION_2	0.4643225742888858			
GO_DISACCHARIDE_METABOLIC_PROCESS	0.46416963151673235			
PID_SYNDECAN_3_PATHWAY	0.46406295778404005			
ENK_UV_RESPONSE_EPIDERMIS_DN	0.4640206118996847			
AFFAR_YY1_TARGETS_UP	0.4639185924979092			
GO_REGULATION_OF_MUSCLE_SYSTEM_PROCESS	0.46378555179757625			
GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_BCELL_UP	0.4635170085742408			
BMI1_DN.V1_DN	0.4634658676556908			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.4634359896070394			
LEIN_CHOROID_PLEXUS_MARKERS	0.4631670349976427			
GROSS_HYPOXIA_VIA_HIF1A_DN	0.46311177525048663			
GSE2826_WT_VS_XID_BCELL_DN	0.46296198461352384			
JI_METASTASIS_REPRESSED_BY_STK11	0.4626181174001381			
