	Score	0.95 MoE	P-Value	Q-Value
WANG_BARRETTS_ESOPHAGUS_UP	0.4547947367628671			
DLX2_TARGET_GENES	0.440716363958916			
LEF1_UP.V1_DN	0.43987212298365547			
RODRIGUES_NTN1_TARGETS_DN	0.43272966094063525			
GO_MOVEMENT_IN_ENVIRONMENT_OF_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION	0.42344994791587504			
WANG_BARRETTS_ESOPHAGUS_AND_ESOPHAGUS_CANCER_UP	0.41895265072860327			
FEVR_CTNNB1_TARGETS_UP	0.41867231315162223			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3	0.41338313341728716			
GO_RENAL_ABSORPTION	0.4130980934916827			
VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_DN	0.4108589465873205			
WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2_UP	0.41065012558738645			
WAMUNYOKOLI_OVARIAN_CANCER_LMP_UP	0.41010842791609164			
DODD_NASOPHARYNGEAL_CARCINOMA_UP	0.40638942231532765			
GO_APICAL_PLASMA_MEMBRANE	0.40614608970562277			
GO_APICAL_PART_OF_CELL	0.40602503055947026			
IPA_CDX2_UP	0.4046408001062601			
SMID_BREAST_CANCER_BASAL_DN	0.4037706197360728			
COULOUARN_TEMPORAL_TGFB1_SIGNATURE_DN	0.40339929288354215			
GO_UNSATURATED_FATTY_ACID_METABOLIC_PROCESS	0.40181055192822845			
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	0.401452250898281			
GO_BRUSH_BORDER	0.40090713218206414			
GO_ICOSANOID_METABOLIC_PROCESS	0.40063495031971247			
GLI1_TARGET_GENES	0.3995556155642341			
IPA_FOXA2_DN	0.3994685593954278			
DELPUECH_FOXO3_TARGETS_UP	0.39921005787484537			
ANDERSEN_CHOLANGIOCARCINOMA_CLASS2	0.39654573075345956			
DOANE_BREAST_CANCER_ESR1_UP	0.39592742541001047			
GO_ARACHIDONIC_ACID_METABOLIC_PROCESS	0.395755559290802			
IPA_PPARG_UP	0.395088040128789			
YANG_BREAST_CANCER_ESR1_UP	0.39503788712461074			
GO_ATPASE_COUPLED_LIPID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.3948053487704114			
GO_O_GLYCAN_PROCESSING	0.39428140114666665			
GO_BRONCHUS_DEVELOPMENT	0.3936206266477823			
BOYAULT_LIVER_CANCER_SUBCLASS_G6_DN	0.39328514498605605			
BARIS_THYROID_CANCER_DN	0.39311186403193216			
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	0.39253860934026386			
GSE26488_CTRL_VS_PEPTIDE_INJECTION_HDAC7_DELTAP_TG_OT2_THYMOCYTE_UP	0.392298371217736			
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_9	0.3914719347192729			
KOBAYASHI_EGFR_SIGNALING_24HR_UP	0.3913885464849757			
CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_DN	0.39119581825391203			
GO_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	0.3907264470708113			
GO_REGULATION_OF_MICROVILLUS_ORGANIZATION	0.38968945973552277			
GO_ESCRT_III_COMPLEX	0.3885342931334751			
VARELA_ZMPSTE24_TARGETS_DN	0.3882322801321073			
BIOCARTA_NUCLEARRS_PATHWAY	0.38821266126474063			
GO_EPITHELIAL_CELL_MORPHOGENESIS	0.38820278467559227			
GSE29949_MICROGLIA_BRAIN_VS_CD8_POS_DC_SPLEEN_DN	0.3879172759980276			
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN	0.38769522435709874			
LEE_BMP2_TARGETS_UP	0.3873479467015109			
HALLMARK_XENOBIOTIC_METABOLISM	0.3870692120119619			
ENGELMANN_CANCER_PROGENITORS_DN	0.3865447863489679			
GO_DIGESTIVE_SYSTEM_PROCESS	0.386499333518323			
GO_FATTY_ACID_DERIVATIVE_METABOLIC_PROCESS	0.3850437127482622			
GO_DIGESTION	0.38421756806169505			
GO_MICROVILLUS_MEMBRANE	0.38342232206900034			
KANG_CISPLATIN_RESISTANCE_UP	0.38336875786641034			
SMID_BREAST_CANCER_ERBB2_UP	0.38325115351592154			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_UP	0.3832399033019394			
CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_UP	0.3829259679968248			
MCBRYAN_PUBERTAL_TGFB1_TARGETS_DN	0.3825711389090341			
GO_BASOLATERAL_PLASMA_MEMBRANE	0.3821509536666511			
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	0.3820553918914863			
IPA_NR1I2_UP	0.38202203926971695			
GO_NEGATIVE_REGULATION_OF_CHOLESTEROL_STORAGE	0.3815517398547037			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.38136053074839504			
GO_PSEUDOPODIUM_ORGANIZATION	0.38129721743186445			
REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS	0.3811170683432149			
HALMOS_CEBPA_TARGETS_DN	0.3810450267020286			
GO_CLUSTER_OF_ACTIN_BASED_CELL_PROJECTIONS	0.38074600938144865			
CROMER_METASTASIS_DN	0.38071973408344634			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_NAIVE_CD4_TCELL_CORD_BLOOD_DN	0.3802814787606958			
NABA_ECM_AFFILIATED	0.3802677884438807			
LIM_MAMMARY_STEM_CELL_DN	0.37988524709385363			
GO_PROSTANOID_METABOLIC_PROCESS	0.37919727699476785			
FUJII_YBX1_TARGETS_UP	0.37901222383124666			
LIU_CDX2_TARGETS_UP	0.3789610187951015			
SMID_BREAST_CANCER_RELAPSE_IN_BONE_UP	0.3788298255752652			
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_6	0.37853714044585296			
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_1H_ACT_CD4_TCELL_DN	0.37845532826622313			
CHANG_IMMORTALIZED_BY_HPV31_DN	0.3782872559519251			
CAIRO_HEPATOBLASTOMA_DN	0.378163227722129			
GO_MICROVILLUS_ORGANIZATION	0.3780497114429983			
