	Score	0.95 MoE	P-Value	Q-Value
GSE27786_CD4_TCELL_VS_ERYTHTROBLAST_DN	0.3919038657038491			
GO_TRANS_SYNAPTIC_SIGNALING_BY_TRANS_SYNAPTIC_COMPLEX	0.38998588226518255			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.38811942634522706			
SMID_BREAST_CANCER_LUMINAL_B_UP	0.3879633192203482			
MIR4776_5P	0.3879519018483862			
GO_ATP_DEPENDENT_MICROTUBULE_MOTOR_ACTIVITY	0.3848264285668557			
BOYLAN_MULTIPLE_MYELOMA_D_UP	0.3833191588951489			
GO_ADHERENS_JUNCTION_ORGANIZATION	0.3831846452210395			
GO_EPHRIN_RECEPTOR_SIGNALING_PATHWAY	0.3801491539636478			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.3797694459257326			
GO_NEURONAL_ION_CHANNEL_CLUSTERING	0.3796189355206261			
GO_CELL_JUNCTION	0.37909075664241554			
JOHANSSON_BRAIN_CANCER_EARLY_VS_LATE_DN	0.3790276333438844			
REACTOME_EPH_EPHRIN_SIGNALING	0.37897727888932686			
YANG_BREAST_CANCER_ESR1_UP	0.3789552395970752			
REACTOME_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS	0.3785370134769335			
GO_BASEMENT_MEMBRANE_ASSEMBLY	0.37849595167698047			
GO_ADHERENS_JUNCTION	0.3784360233561979			
GSE22935_WT_VS_MYD88_KO_MACROPHAGE_48H_MBOVIS_BCG_STIM_UP	0.37806007718274465			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.37800952604518623			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.3770577206301147			
FRASOR_RESPONSE_TO_ESTRADIOL_UP	0.3768535718252641			
GO_PERIPHERAL_NERVOUS_SYSTEM_DEVELOPMENT	0.3766117991944461			
TIEN_INTESTINE_PROBIOTICS_6HR_DN	0.3761891480444028			
GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_UP	0.3757638229450377			
GO_CELL_JUNCTION_ORGANIZATION	0.37561007894612586			
GO_NODE_OF_RANVIER	0.3755237923610157			
PID_EPHB_FWD_PATHWAY	0.37514450917446085			
IVANOVA_HEMATOPOIESIS_STEM_CELL_LONG_TERM	0.37490823768288917			
RAF_UP.V1_DN	0.3742232221700183			
PASINI_SUZ12_TARGETS_DN	0.37399765781898286			
GO_DICARBOXYLIC_ACID_TRANSPORT	0.3738045235096173			
GO_CELL_CORTEX_REGION	0.3730452480806881			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.37234244318401744			
GO_ANIMAL_ORGAN_MORPHOGENESIS	0.3723250251886817			
REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE	0.372123515293836			
GO_MICROTUBULE_BASED_TRANSPORT	0.37194912356219056			
GO_CELL_JUNCTION_ASSEMBLY	0.3718396086366475			
LIAO_METASTASIS	0.3716737363611539			
GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_UP	0.37163278573342046			
PLASARI_NFIC_TARGETS_BASAL_UP	0.3714469928507641			
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX2_DN	0.3714091497130735			
VANTVEER_BREAST_CANCER_BRCA1_DN	0.37055592736889087			
GO_CADHERIN_BINDING	0.37023568419540553			
GSE11961_FOLLICULAR_BCELL_VS_MEMORY_BCELL_DAY40_DN	0.3698740749331335			
GO_EXOCYTIC_VESICLE	0.3697718732222781			
LOPEZ_MESOTHELIOMA_SURVIVAL_WORST_VS_BEST_UP	0.3694078434007071			
GSE42021_TREG_VS_TCONV_PLN_DN	0.3693379683857174			
GO_ACIDIC_AMINO_ACID_TRANSPORT	0.3692497216354586			
BECKER_TAMOXIFEN_RESISTANCE_DN	0.3686347413177315			
GO_NEURAL_CREST_CELL_DIFFERENTIATION	0.36858611183561046			
GSE32533_WT_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_DN	0.36848383404362195			
GO_CELL_CELL_JUNCTION_ORGANIZATION	0.368337406837238			
REACTOME_CELL_CELL_COMMUNICATION	0.36813950657943406			
GSE5589_WT_VS_IL10_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_UP	0.3680955920292727			
GO_CAMERA_TYPE_EYE_MORPHOGENESIS	0.36777756932213895			
GO_NEURAL_CREST_CELL_MIGRATION	0.3676384637584175			
AP1_Q4_01	0.3669330737575847			
GO_CELL_CELL_JUNCTION_ASSEMBLY	0.3668519126752385			
GO_ATP_DEPENDENT_MICROTUBULE_MOTOR_ACTIVITY_PLUS_END_DIRECTED	0.3668359425451503			
SCHAEFFER_PROSTATE_DEVELOPMENT_6HR_DN	0.3667122665263456			
GO_REGULATION_OF_BASEMENT_MEMBRANE_ASSEMBLY_INVOLVED_IN_EMBRYONIC_BODY_MORPHOGENESIS	0.366482434918532			
MIR33B_3P	0.36578220289291885			
GO_SYNAPTIC_GROWTH_AT_NEUROMUSCULAR_JUNCTION	0.36556224030726525			
SIX4_TARGET_GENES	0.36543817361291947			
GO_BASEMENT_MEMBRANE_ORGANIZATION	0.36539587627217157			
GO_DYNEIN_COMPLEX	0.3652640885630132			
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.36512578561230613			
PID_INTEGRIN4_PATHWAY	0.3651120379780792			
GO_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_PHOSPHATASE_SIGNALING_PATHWAY	0.36493159331937297			
GSE26488_WT_VS_HDAC7_DELTAP_TG_OT2_THYMOCYTE_WITH_PEPTIDE_INJECTION_DN	0.36489087176468765			
REACTOME_PTK6_PROMOTES_HIF1A_STABILIZATION	0.36477780816707944			
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN	0.3644791628135587			
CERVERA_SDHB_TARGETS_1_UP	0.364435785202771			
GO_APPENDAGE_DEVELOPMENT	0.3643477431689267			
GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	0.3640214414172416			
GO_ASTROCYTE_PROJECTION	0.3637780106935909			
GO_TISSUE_MORPHOGENESIS	0.3634363363193844			
GO_LAMININ_COMPLEX	0.363356577342644			
GO_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	0.3633120209975196			
PID_NCADHERIN_PATHWAY	0.36330971255738764			
GO_REGULATION_OF_LONG_TERM_NEURONAL_SYNAPTIC_PLASTICITY	0.36314291903683604			
MIR515_3P	0.36310230241737734			
GAUSSMANN_MLL_AF4_FUSION_TARGETS_E_UP	0.3628865012799791			
WGGAATGY_TEF1_Q6	0.36286844271518376			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.36285657879487476			
CRX_NRL_DN.V1_DN	0.3628481033095441			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.3626912854854281			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.36265892243435266			
GO_AMINO_ACID_BETAINE_METABOLIC_PROCESS	0.3624045975759495			
GO_BODY_MORPHOGENESIS	0.362403324074479			
GO_EYE_MORPHOGENESIS	0.36234213583513225			
GO_MORPHOGENESIS_OF_AN_EPITHELIUM	0.3620820563014985			
GO_SCHWANN_CELL_DIFFERENTIATION	0.36183574548420866			
MIR519E_3P	0.3617701709125742			
GO_CLATHRIN_BINDING	0.36174721777680513			
IPA_NFE2L3_UP	0.3615694118142841			
REACTOME_MET_ACTIVATES_PTK2_SIGNALING	0.36150533547135577			
PID_AJDISS_2PATHWAY	0.3614998204472446			
WATANABE_ULCERATIVE_COLITIS_WITH_CANCER_UP	0.3614534447560626			
ULE_SPLICING_VIA_NOVA2	0.36141887344710155			
LHX9_TARGET_GENES	0.3613955802434128			
GO_BASEMENT_MEMBRANE	0.361375794199932			
GO_WNT_PROTEIN_BINDING	0.36134807357771476			
GO_CILIARY_ROOTLET	0.3612283947069801			
