	Score	0.95 MoE	P-Value	Q-Value
DUTERTRE_ESTRADIOL_RESPONSE_6HR_DN	0.3076289584655017			
LTE2_UP.V1_UP	0.3063812843409362			
GO_REGULATION_OF_RUFFLE_ASSEMBLY	0.30548209131907245			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.30410333652047244			
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN	0.3032242024078658			
PYEON_HPV_POSITIVE_TUMORS_DN	0.3024595724291491			
PID_TGFBR_PATHWAY	0.30216843690284856			
GO_CELL_DIVISION_SITE	0.3008135813841966			
REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS	0.3005374622156346			
GO_PLASMA_MEMBRANE_RAFT_ORGANIZATION	0.298344788629696			
KEGG_SMALL_CELL_LUNG_CANCER	0.2983076651265541			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.29776516988595647			
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING	0.2974258537084787			
GO_RESPONSE_TO_WATER	0.29725527802187884			
FARMER_BREAST_CANCER_CLUSTER_6	0.2970446949824895			
DORN_ADENOVIRUS_INFECTION_48HR_DN	0.29680072098107185			
GO_REGULATION_OF_ACTIN_FILAMENT_BASED_MOVEMENT	0.29606358499926266			
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	0.29604186658679416			
BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN	0.2958771595754469			
GSE5589_LPS_AND_IL10_VS_LPS_AND_IL6_STIM_IL10_KO_MACROPHAGE_45MIN_UP	0.29567717657237474			
GO_NEGATIVE_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION	0.2956647862196191			
REACTOME_SIGNALING_BY_PTK6	0.2956624882581063			
TEF1_Q6	0.29555677282484244			
GO_REGULATION_OF_ANOIKIS	0.2948021693796357			
GO_BRUSH_BORDER	0.29441244682774265			
DORN_ADENOVIRUS_INFECTION_24HR_DN	0.29396355743146635			
GSE37532_WT_VS_PPARG_KO_VISCERAL_ADIPOSE_TISSUE_TREG_DN	0.29376241785683727			
