	Score	0.95 MoE	P-Value	Q-Value
GO_CYTOPLASMIC_MICROTUBULE	0.43405288820506444			
GO_CYTOPLASMIC_REGION	0.4220198750402695			
BOYLAN_MULTIPLE_MYELOMA_PCA1_DN	0.41925549050856487			
SENESE_HDAC3_TARGETS_DN	0.4147763801585681			
GO_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT	0.41148291710424734			
GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_UP	0.41003779526087825			
GO_MICROTUBULE_BASED_TRANSPORT	0.4031889743618384			
GO_PLASMA_MEMBRANE_BOUNDED_CELL_PROJECTION_CYTOPLASM	0.40314376469516217			
GO_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS	0.39897299829141725			
GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_UP	0.3982153879775415			
SENESE_HDAC1_TARGETS_DN	0.3962120050727699			
GO_PROTEIN_TRANSPORT_ALONG_MICROTUBULE	0.3940313773578071			
IZADPANAH_STEM_CELL_ADIPOSE_VS_BONE_DN	0.3936646587578107			
GO_LATERAL_MESODERM_DEVELOPMENT	0.3935618302588413			
REACTOME_RHO_GTPASES_ACTIVATE_KTN1	0.3930421326354519			
GO_MITOTIC_SPINDLE_ORGANIZATION	0.39228185100928137			
REACTOME_INTRAFLAGELLAR_TRANSPORT	0.3907152800616909			
GO_MICROTUBULE_BASED_PROCESS	0.38926463763506736			
PAPASPYRIDONOS_UNSTABLE_ATEROSCLEROTIC_PLAQUE_DN	0.38899932772056817			
GO_MICROTUBULE_BASED_MOVEMENT	0.3888979339874142			
SENESE_HDAC1_AND_HDAC2_TARGETS_DN	0.38811288931624127			
GO_CELL_PROJECTION_ASSEMBLY	0.3869840550938037			
GO_AXO_DENDRITIC_TRANSPORT	0.38505953109714347			
GO_CILIARY_TIP	0.3849585117869794			
SASAI_RESISTANCE_TO_NEOPLASTIC_TRANSFROMATION	0.38123960235747045			
GO_PROTEIN_LOCALIZATION_TO_BASOLATERAL_PLASMA_MEMBRANE	0.38077965336730546			
GO_AXON_CYTOPLASM	0.3806309611570653			
GSE27786_CD4_TCELL_VS_ERYTHTROBLAST_DN	0.38034489559769613			
MIR371A_3P	0.3796871024083263			
GSE11961_FOLLICULAR_BCELL_VS_MEMORY_BCELL_DAY40_DN	0.37926842506934627			
MIR7974	0.3792003809690217			
GO_PROTEIN_PHOSPHATASE_TYPE_2A_COMPLEX	0.378837559929177			
GO_REGULATION_OF_CELL_FATE_SPECIFICATION	0.378704263056605			
GO_INTRACILIARY_TRANSPORT	0.37856125513731015			
