	Score	0.95 MoE	P-Value	Q-Value
GSE5589_LPS_AND_IL10_VS_LPS_AND_IL6_STIM_IL10_KO_MACROPHAGE_45MIN_UP	0.3566809853151121			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.34797278310874163			
GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN	0.34762770333759424			
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN	0.3415194634501491			
PID_ECADHERIN_NASCENT_AJ_PATHWAY	0.34134350163489363			
BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN	0.3383125281119919			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.33617038370682206			
BHAT_ESR1_TARGETS_VIA_AKT1_DN	0.33526452804585394			
GO_RECYCLING_ENDOSOME	0.33443882103113115			
GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_DN	0.3340091328710631			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.3339888538716289			
GO_ADHERENS_JUNCTION	0.33385436848232886			
KEGG_ADHERENS_JUNCTION	0.33343827899296974			
DELPUECH_FOXO3_TARGETS_UP	0.3333536906439416			
GO_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	0.3330526537665173			
PID_CDC42_PATHWAY	0.3327458053299377			
GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_DN	0.33244325872919467			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.3323856920151847			
GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_2H_DN	0.33217617714483083			
GO_MEMBRANE_RAFT_ASSEMBLY	0.3319776887364488			
REACTOME_SIGNALING_BY_PTK6	0.33121617740674525			
GO_CELL_CELL_JUNCTION	0.3310594278465527			
GO_TRANSFORMING_GROWTH_FACTOR_BETA2_PRODUCTION	0.33100416401416694			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.33039115273078423			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.32902163408746593			
GOZGIT_ESR1_TARGETS_DN	0.3289996640824713			
GSE11924_TH1_VS_TH2_CD4_TCELL_DN	0.32891835788083157			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.3285967423843244			
RASHI_RESPONSE_TO_IONIZING_RADIATION_2	0.32854274710314485			
GO_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.32793940326921517			
GO_CELL_JUNCTION_ASSEMBLY	0.3276404961208726			
DURCHDEWALD_SKIN_CARCINOGENESIS_DN	0.3272939354986248			
BAE_BRCA1_TARGETS_UP	0.3272007989712826			
GO_LAMININ_COMPLEX	0.3271441315033629			
DORN_ADENOVIRUS_INFECTION_48HR_DN	0.3267678800144313			
GO_CELL_CORTEX	0.3267554503341865			
GO_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION	0.32675019449549947			
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN	0.32644792380750814			
GO_REGULATION_OF_CELL_PROJECTION_ASSEMBLY	0.32639095978956756			
DUTERTRE_ESTRADIOL_RESPONSE_6HR_DN	0.3260542010610776			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.3259607490421753			
GO_PLASMA_MEMBRANE_RAFT_ORGANIZATION	0.32557156694860145			
GO_MULTIVESICULAR_BODY_SORTING_PATHWAY	0.32523863868909403			
GSE22886_NAIVE_TCELL_VS_MONOCYTE_DN	0.3250407765748821			
SIMBULAN_UV_RESPONSE_NORMAL_DN	0.3248666770986933			
GO_REGULATION_OF_RUFFLE_ASSEMBLY	0.32473896621350434			
GO_REGULATION_OF_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.32465187724997663			
GO_BASAL_PART_OF_CELL	0.3246453295772195			
DORN_ADENOVIRUS_INFECTION_24HR_DN	0.3242042027013074			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.3239765160159266			
GO_CELL_JUNCTION_ORGANIZATION	0.32396139515029715			
NELSON_RESPONSE_TO_ANDROGEN_UP	0.3235581447107678			
AMIT_SERUM_RESPONSE_240_MCF10A	0.3232244872696659			
KIM_MYCL1_AMPLIFICATION_TARGETS_DN	0.32315303487687125			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.3226671783741016			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.3226230938273893			
PID_INTEGRIN4_PATHWAY	0.3225241206516477			
PID_EPHB_FWD_PATHWAY	0.32243951126618925			
ENK_UV_RESPONSE_EPIDERMIS_DN	0.32229751229903614			
GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_DN	0.3222441105748622			
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.32220707570960194			
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_UP	0.3221547760696005			
DAZARD_UV_RESPONSE_CLUSTER_G24	0.3219078135846694			
GO_HEMIDESMOSOME_ASSEMBLY	0.32183497891286816			
SESTO_RESPONSE_TO_UV_C2	0.3216850038140125			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.3216362545675223			
GO_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	0.32119422488669835			
FRASOR_TAMOXIFEN_RESPONSE_UP	0.32112671561014866			
GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_DN	0.32104442197018573			
GSE11057_CD4_CENT_MEM_VS_PBMC_DN	0.3210346834686658			
WEIGEL_OXIDATIVE_STRESS_BY_HNE_AND_TBH	0.3209626154973511			
GO_CADHERIN_BINDING	0.3209081781943035			
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_DN	0.3207245627261389			
