	Score	0.95 MoE	P-Value	Q-Value
IZADPANAH_STEM_CELL_ADIPOSE_VS_BONE_DN	0.31198873668341415			
INGRAM_SHH_TARGETS_UP	0.3113032248160897			
GROSS_ELK3_TARGETS_UP	0.3090762119659753			
GSE9316_IL6_KO_VS_IFNG_KO_INVIVO_EXPANDED_CD4_TCELL_UP	0.30897145790785485			
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN	0.305999780142359			
WESTON_VEGFA_TARGETS_6HR	0.30232132981224386			
GO_REGULATION_OF_CELLULAR_COMPONENT_SIZE	0.30035184860163483			
EBAUER_TARGETS_OF_PAX3_FOXO1_FUSION_UP	0.29889673632267705			
GO_SUPRAMOLECULAR_FIBER_ORGANIZATION	0.2987952583034124			
BERENJENO_TRANSFORMED_BY_RHOA_DN	0.29878698722358843			
WANG_SMARCE1_TARGETS_UP	0.2980711808299699			
GO_SEMAPHORIN_PLEXIN_SIGNALING_PATHWAY	0.29768096213364353			
SENESE_HDAC1_TARGETS_DN	0.29698232025294935			
LOPEZ_MESOTHELIOMA_SURVIVAL_WORST_VS_BEST_UP	0.29666487877351166			
CAHOY_ASTROGLIAL	0.2966240601705742			
GO_REGULATION_OF_ACTIN_FILAMENT_ORGANIZATION	0.29646699781484914			
CERVERA_SDHB_TARGETS_1_UP	0.2964602994048924			
SASAI_RESISTANCE_TO_NEOPLASTIC_TRANSFROMATION	0.29634566202786783			
SERVITJA_ISLET_HNF1A_TARGETS_UP	0.29620762221036206			
PID_RET_PATHWAY	0.2959644988265131			
GO_NEURON_PROJECTION_EXTENSION_INVOLVED_IN_NEURON_PROJECTION_GUIDANCE	0.2955919259217761			
GSE21546_UNSTIM_VS_ANTI_CD3_STIM_DP_THYMOCYTES_UP	0.2954023231095429			
REACTOME_SEMAPHORIN_INTERACTIONS	0.2953120393716989			
BROWNE_HCMV_INFECTION_16HR_DN	0.29514654650455585			
SASSON_RESPONSE_TO_FORSKOLIN_DN	0.29498104845367973			
GO_ACTIN_FILAMENT_ORGANIZATION	0.2949462607288681			
VALK_AML_CLUSTER_9	0.29491781562615427			
GO_REGULATION_OF_CYTOSKELETON_ORGANIZATION	0.2945778047174775			
GO_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION	0.2945630361933403			
GO_POSITIVE_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS	0.2944496361944537			
WESTON_VEGFA_TARGETS	0.2939862202406973			
GO_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.2939715616272252			
CHICAS_RB1_TARGETS_CONFLUENT	0.2938618031794512			
KAAB_HEART_ATRIUM_VS_VENTRICLE_UP	0.2937906237963733			
MIR193A_3P_MIR193B_3P	0.29374813479278866			
REACTOME_SMOOTH_MUSCLE_CONTRACTION	0.2934540204259971			
HALLMARK_UV_RESPONSE_DN	0.2932893440563623			
GO_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION	0.2932872483254384			
LIU_PROSTATE_CANCER_DN	0.2931658026406242			
BLALOCK_ALZHEIMERS_DISEASE_INCIPIENT_UP	0.293049934717277			
HARRIS_BRAIN_CANCER_PROGENITORS	0.2930399564426265			
GSE20715_WT_VS_TLR4_KO_LUNG_UP	0.2929950639832842			
DAVICIONI_TARGETS_OF_PAX_FOXO1_FUSIONS_DN	0.2929564989737125			
GO_LAMELLIPODIUM	0.29290452914536413			
PAPASPYRIDONOS_UNSTABLE_ATEROSCLEROTIC_PLAQUE_DN	0.29272599183994363			
GO_SMOOTH_MUSCLE_CELL_MIGRATION	0.29269888353376394			
KEGG_DILATED_CARDIOMYOPATHY	0.2920076927575019			
PANGAS_TUMOR_SUPPRESSION_BY_SMAD1_AND_SMAD5_UP	0.2918077574477231			
GO_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY	0.2917687472347986			
MIR4772_3P	0.2916890981134439			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_CDC25_UP	0.2914727571688853			
CHEBOTAEV_GR_TARGETS_DN	0.2913679102079319			
GO_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	0.2910874172689367			
GO_NEGATIVE_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	0.2909268358755856			
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_DN	0.2908326651430148			
NAKAMURA_ADIPOGENESIS_LATE_DN	0.2906187481619803			
GO_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE	0.29060418418716877			
GO_REGULATION_OF_ACTIN_FILAMENT_BASED_PROCESS	0.29044204297909176			
HALLMARK_MYOGENESIS	0.290340640741094			
GO_REGULATION_OF_CELL_MORPHOGENESIS	0.2903246993886811			
WONG_ADULT_TISSUE_STEM_MODULE	0.28980462435692267			
GO_TYPE_B_PANCREATIC_CELL_PROLIFERATION	0.28978868449460504			
CHANDRAN_METASTASIS_DN	0.28975645293579194			
