	Score	0.95 MoE	P-Value	Q-Value
MULLIGHAN_MLL_SIGNATURE_1_DN	0.24362029773239322			
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_2H_ACT_CD4_TCELL_DN	0.24352731587705068			
REACTOME_DEFECTIVE_CSF2RB_CAUSES_PULMONARY_SURFACTANT_METABOLISM_DYSFUNCTION_5_SMDP5	0.243417955339406			
GO_HEPATICOBILIARY_SYSTEM_DEVELOPMENT	0.2401588493888566			
GO_NEGATIVE_REGULATION_OF_VASCULAR_SMOOTH_MUSCLE_CELL_PROLIFERATION	0.23991392675432693			
GO_REGULATION_OF_LYSOSOME_ORGANIZATION	0.23973599300769835			
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION	0.23927028852107926			
GO_CENTROSOME_DUPLICATION	0.2380912718200683			
GO_REGULATION_OF_EXTRACELLULAR_MATRIX_CONSTITUENT_SECRETION	0.23725683679210702			
IPA_GSX2_DN	0.23683715640950895			
PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN	0.23659593348228505			
KRAS.BREAST_UP.V1_UP	0.23651544812094644			
WANG_IMMORTALIZED_BY_HOXA9_AND_MEIS1_UP	0.23609365220655398			
IPA_SIRT1_UP	0.2360813138348333			
GO_RESPONSE_TO_SELENIUM_ION	0.23603987104947724			
GO_NEGATIVE_REGULATION_OF_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	0.23572267014256465			
GO_PROTEIN_HORMONE_RECEPTOR_ACTIVITY	0.23567885111753267			
GO_ANIMAL_ORGAN_REGENERATION	0.23525378865199975			
HNF1_01	0.2341074187594972			
GSE3982_MAC_VS_TH2_UP	0.23332796452178678			
PID_NEPHRIN_NEPH1_PATHWAY	0.2330568986387932			
GO_PORE_COMPLEX	0.2327266560121273			
GO_SPERM_CHROMATIN_CONDENSATION	0.23200583067444858			
GSE6092_UNSTIM_VS_IFNG_STIM_ENDOTHELIAL_CELL_UP	0.23152359498751052			
YAMASHITA_SILENCED_BY_METHYLATION	0.2312530723194299			
GSE19374_UNINF_VS_LISTERIA_INFECTED_MACROPHAGE_DN	0.23120191160581938			
GO_MEMBRANE_ATTACK_COMPLEX	0.23112329696448664			
ACEVEDO_LIVER_CANCER_DN	0.23105374589721922			
GO_INTESTINAL_LIPID_ABSORPTION	0.2309900151609742			
CYCLIN_D1_KE_.V1_UP	0.2306541026983488			
MIR4654	0.23053158810642238			
GO_ALCOHOL_BINDING	0.23048781474105223			
REACTOME_MECP2_REGULATES_TRANSCRIPTION_OF_NEURONAL_LIGANDS	0.23039863755135112			
GO_POSITIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	0.23027898213986786			
GO_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY	0.23020599176553855			
REACTOME_MEIOTIC_RECOMBINATION	0.23018071586570996			
GSE27786_CD4_TCELL_VS_MONO_MAC_UP	0.23015703443484056			
NAKAJIMA_MAST_CELL	0.22993610343467838			
WIKMAN_ASBESTOS_LUNG_CANCER_UP	0.2294810101501988			
REACTOME_HDL_ASSEMBLY	0.22942689032931188			
HEIDENBLAD_AMPLIFIED_IN_PANCREATIC_CANCER	0.22940225182459364			
GSE23114_PERITONEAL_CAVITY_B1A_BCELL_VS_SPLEEN_BCELL_IN_SLE2C1_MOUSE_DN	0.22939476264262706			
LCORL_TARGET_GENES	0.22911632398832366			
GSE17721_CTRL_VS_CPG_0.5H_BMDC_UP	0.22899525650347086			
IPA_ZIC2_DN	0.22888187058595558			
GO_NUCLEAR_NCRNA_SURVEILLANCE	0.22842367024920465			
GO_U4_SNRNA_3_END_PROCESSING	0.22809656840977136			
GO_NEGATIVE_REGULATION_OF_LIPID_LOCALIZATION	0.228005908430536			
REACTOME_CD209_DC_SIGN_SIGNALING	0.22748288311052547			
GO_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_ASSEMBLY	0.22712487832606196			
GO_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN	0.22706257028960172			
IPA_SOX8_DN	0.22691186881756129			
BIOCARTA_STATHMIN_PATHWAY	0.2268873287528726			
TCF7_TARGET_GENES	0.2268517126382062			
TAXCREB_02	0.22679389318771967			
IPA_ESR1_DN	0.2267750028689651			
GO_ALPHA_ADRENERGIC_RECEPTOR_ACTIVITY	0.22675985103604993			
GO_CERAMIDE_BINDING	0.22653448058537803			
GSE9946_MATURE_STIMULATORY_VS_LISTERIA_INF_MATURE_DC_DN	0.22643097562843556			
chr3p22	0.22633271694621168			
REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE	0.22618305431644786			
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA	0.22617522103954882			
SEITZ_NEOPLASTIC_TRANSFORMATION_BY_8P_DELETION_DN	0.22614113219575457			
VALK_AML_CLUSTER_15	0.2259056184152769			
GO_DEFENSE_RESPONSE_TO_GRAM_NEGATIVE_BACTERIUM	0.22586893233667038			
chr2q14	0.2258007783905498			
GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_2H_DN	0.22567045417032824			
ZNF214_TARGET_GENES	0.22559696783168626			
PID_CMYB_PATHWAY	0.2255614510781331			
