	Score	0.95 MoE	P-Value	Q-Value
GSE19888_ADENOSINE_A3R_INH_VS_ACT_IN_MAST_CELL_UP	0.27961094874235976			
GSE40274_FOXP3_VS_FOXP3_AND_HELIOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	0.2782224546621031			
ID2_TARGET_GENES	0.277809899041308			
MARTENS_TRETINOIN_RESPONSE_UP	0.276188908280226			
KOKKINAKIS_METHIONINE_DEPRIVATION_96HR_DN	0.27358709667846653			
INAMURA_LUNG_CANCER_SCC_SUBTYPES_UP	0.2726265520703571			
GSE11057_CD4_EFF_MEM_VS_PBMC_UP	0.27234398933602894			
BILANGES_RAPAMYCIN_SENSITIVE_GENES	0.2721860981978851			
GSE6259_DEC205_POS_DC_VS_BCELL_UP	0.2721648349378309			
GO_AP_1_ADAPTOR_COMPLEX	0.2721444828203589			
GSE24634_NAIVE_CD4_TCELL_VS_DAY10_IL4_CONV_TREG_UP	0.2718093061144774			
GO_CELLULAR_RESPONSE_TO_SALT	0.2712132669817592			
GO_POSITIVE_REGULATION_OF_CHROMOSOME_SEPARATION	0.27120195248748263			
GO_TRANSLESION_SYNTHESIS	0.27102034285355325			
MIR296_5P	0.27054070354433474			
GSE37605_C57BL6_VS_NOD_FOXP3_IRES_GFP_TREG_UP	0.26980446880151987			
ZNF581_TARGET_GENES	0.2694204004204788			
GO_ESCRT_COMPLEX_DISASSEMBLY	0.268816511261899			
ZBED4_TARGET_GENES	0.268394086331976			
HOXB4_TARGET_GENES	0.2682330062700236			
GO_ELECTRON_TRANSFER_ACTIVITY	0.2677706255564645			
GO_POSTREPLICATION_REPAIR	0.26709015321768403			
KANG_GLIS3_TARGETS	0.26677750124061017			
ZNF579_TARGET_GENES	0.2663980326144915			
BIOCARTA_FXR_PATHWAY	0.2662951393307854			
GO_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN	0.266068606468612			
LMO2COM_01	0.2654822455207965			
GO_7SK_SNRNA_BINDING	0.2651540441277547			
FOXN3_TARGET_GENES	0.26472699502808533			
GO_MULTIVESICULAR_BODY_ORGANIZATION	0.2642351493334856			
GO_ELECTRON_TRANSPORT_CHAIN	0.262869575222635			
SIG_CD40PATHWAYMAP	0.26256922663371307			
PBXIP1_TARGET_GENES	0.262543679705046			
GO_THREONINE_TYPE_PEPTIDASE_ACTIVITY	0.26232286095000185			
GO_PROTEIN_PHOSPHORYLATED_AMINO_ACID_BINDING	0.2620940580605112			
GSE36078_UNTREATED_VS_AD5_T425A_HEXON_INF_IL1R_KO_MOUSE_LUNG_DC_UP	0.26205436733358933			
REACTOME_NUCLEOBASE_CATABOLISM	0.26182709228865036			
GO_AU_RICH_ELEMENT_BINDING	0.26158244786424945			
GO_VESICLE_DOCKING_INVOLVED_IN_EXOCYTOSIS	0.26157459750929185			
CREB3L4_TARGET_GENES	0.26105159778761683			
BARX1_TARGET_GENES	0.2607478270815987			
ZNF250_TARGET_GENES	0.26063491009750595			
GO_PURINE_RIBONUCLEOSIDE_SALVAGE	0.2606287993279315			
