	Score	0.95 MoE	P-Value	Q-Value
GSE5589_UNSTIM_VS_180MIN_LPS_STIM_MACROPHAGE_UP	0.5167768025496637			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.5166400402977104			
GSE42021_TREG_VS_TCONV_PLN_DN	0.5157410645738889			
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_DN	0.5135574295298156			
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_DN	0.5126532783112362			
DITTMER_PTHLH_TARGETS_UP	0.5122275755158907			
GSE42021_CD24HI_VS_CD24LOW_TCONV_THYMUS_UP	0.5115213403684287			
REACTOME_MEMBRANE_TRAFFICKING	0.5114038081743058			
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.5107874114573084			
GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_UP	0.5107060639560688			
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.5086581945893928			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.5084929758785961			
GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.5069752439207016			
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	0.5063103876679971			
HOFMANN_MYELODYSPLASTIC_SYNDROM_LOW_RISK_DN	0.5061338151955094			
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.5060532937731455			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1	0.5059325276814312			
LTE2_UP.V1_UP	0.505159734756517			
FORTSCHEGGER_PHF8_TARGETS_DN	0.5049388198115707			
RIGGINS_TAMOXIFEN_RESISTANCE_DN	0.5044587765320939			
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.5037994979499918			
GO_POSITIVE_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION	0.5035756977757432			
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP	0.502964754832056			
GO_LAMININ_COMPLEX	0.5023596328735399			
GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_UP	0.5022179954389955			
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	0.502176848210589			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.5019791944146177			
GO_CELL_JUNCTION_ORGANIZATION	0.5013347593951598			
REACTOME_SIGNALING_BY_MET	0.5009603467477896			
LIM_MAMMARY_LUMINAL_PROGENITOR_DN	0.5005378818912289			
MEK_UP.V1_UP	0.5003273262429414			
GO_ADHERENS_JUNCTION	0.5000272934205054			
AP1_Q4_01	0.4988981681826503			
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_B	0.4984831956387026			
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_24H_UP	0.49782565879537716			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP	0.49772966496948023			
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_DN	0.4970618939488301			
REACTOME_SIGNALING_BY_PTK6	0.497021366058868			
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_UP	0.4969044418590253			
KOHOUTEK_CCNT1_TARGETS	0.49643406266630574			
REACTOME_RHO_GTPASES_ACTIVATE_PAKS	0.49598803713535056			
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	0.4959798049727969			
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.4956470577488764			
HAN_SATB1_TARGETS_UP	0.4954741694481718			
TBK1.DF_UP	0.4949428475572396			
HUPER_BREAST_BASAL_VS_LUMINAL_DN	0.49491289467579536			
GO_CELL_CELL_JUNCTION	0.49477320385924856			
FRASOR_RESPONSE_TO_ESTRADIOL_DN	0.4947515730703571			
REACTOME_CELL_JUNCTION_ORGANIZATION	0.4946709449261907			
NUYTTEN_NIPP1_TARGETS_DN	0.4944404748366783			
GO_CELL_ADHESION_MEDIATOR_ACTIVITY	0.49441840546952354			
GO_LAMININ_BINDING	0.49439405346229437			
GOZGIT_ESR1_TARGETS_DN	0.49436106478193215			
PID_NECTIN_PATHWAY	0.49427916923665693			
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.49401781167726094			
GO_CADHERIN_BINDING	0.4939896632239809			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_DN	0.4939569695372881			
REACTOME_VESICLE_MEDIATED_TRANSPORT	0.4938970642919311			
FRASOR_TAMOXIFEN_RESPONSE_UP	0.49347717535755253			
AMIT_SERUM_RESPONSE_240_MCF10A	0.49344978988320437			
ERBB2_UP.V1_UP	0.4933408175343303			
GO_CELL_JUNCTION_ASSEMBLY	0.49329417209202886			
REACTOME_LAMININ_INTERACTIONS	0.49307008469595			
HALLMARK_PROTEIN_SECRETION	0.49277867671477404			
GO_BASEMENT_MEMBRANE_ASSEMBLY	0.49276660831525565			
HALLMARK_GLYCOLYSIS	0.49274015926405146			
REACTOME_SIGNALING_BY_HIPPO	0.4927310258993574			
GO_CELL_CELL_JUNCTION_ORGANIZATION	0.4919606518122337			
LINSLEY_MIR16_TARGETS	0.49186859254646037			
GO_COSTAMERE	0.49178158989381787			
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.4913921936341853			
LANDIS_ERBB2_BREAST_TUMORS_324_UP	0.49138100933044054			
JIANG_HYPOXIA_NORMAL	0.4911056297310173			
GSE6259_33D1_POS_DC_VS_BCELL_UP	0.4904279841758479			
ESC_J1_UP_LATE.V1_UP	0.4903683288111639			
VERNELL_RETINOBLASTOMA_PATHWAY_DN	0.4901094389986926			
GHO_ATF5_TARGETS_DN	0.49010513149181234			
GO_ANCHORING_JUNCTION	0.4899724272424479			
REACTOME_TYPE_I_HEMIDESMOSOME_ASSEMBLY	0.48995559988988047			
LHX9_TARGET_GENES	0.48974625857996673			
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	0.4895708337386328			
WGGAATGY_TEF1_Q6	0.4894334948010162			
PROVENZANI_METASTASIS_DN	0.48923286377546527			
GO_CELL_ADHESION_MOLECULE_BINDING	0.4889594198490959			
PID_INTEGRIN4_PATHWAY	0.4888313224945715			
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	0.48882913776674364			
GO_CELL_CORTEX	0.48869654834767023			
LIAO_METASTASIS	0.4886682173898486			
GO_SUBSTRATE_DEPENDENT_CELL_MIGRATION_CELL_EXTENSION	0.4885131298430198			
DELACROIX_RARG_BOUND_MEF	0.48846447901876794			
TIEN_INTESTINE_PROBIOTICS_6HR_DN	0.48824802491424746			
BOYLAN_MULTIPLE_MYELOMA_PCA1_DN	0.4881034996092863			
GO_GLOMERULAR_EPITHELIAL_CELL_DEVELOPMENT	0.4876621328203827			
MCBRYAN_PUBERTAL_BREAST_3_4WK_UP	0.4875340909599151			
GSE2770_IL12_ACT_VS_ACT_CD4_TCELL_2H_DN	0.48753078533026384			
REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2	0.4871126921968807			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	0.48701680022423666			
BACH1_01	0.48682071680835903			
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.4867446305369862			
DORN_ADENOVIRUS_INFECTION_32HR_DN	0.4866783875445256			
DACOSTA_UV_RESPONSE_VIA_ERCC3_TTD_UP	0.4865663842922564			
GO_HEMIDESMOSOME_ASSEMBLY	0.4863409880083469			
PASINI_SUZ12_TARGETS_DN	0.48611179831970047			
GO_EPITHELIUM_DEVELOPMENT	0.48604287855515343			
CRX_NRL_DN.V1_DN	0.4857532885857425			
RAF_UP.V1_UP	0.485733412138768			
DORN_ADENOVIRUS_INFECTION_48HR_DN	0.4854886326625129			
REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	0.48503420261463487			
GO_EXTRACELLULAR_MATRIX_BINDING	0.4848872418722307			
GO_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING	0.4848312505492306			
REACTOME_MET_ACTIVATES_PTK2_SIGNALING	0.4848070168477828			
GO_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	0.4848032641353969			
GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN	0.484662591544881			
LEI_MYB_TARGETS	0.48455711443548044			
GO_CELL_CELL_JUNCTION_ASSEMBLY	0.48452682821401816			
PID_ERBB_NETWORK_PATHWAY	0.4844005538452643			
CHIBA_RESPONSE_TO_TSA_DN	0.4843386330226562			
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING	0.48402439538837067			
GO_PERINUCLEAR_REGION_OF_CYTOPLASM	0.4839782964339794			
REACTOME_CELL_CELL_COMMUNICATION	0.48381338540748575			
SUNG_METASTASIS_STROMA_UP	0.48360842132946075			
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP	0.48355342851629024			
AMIT_EGF_RESPONSE_480_HELA	0.4835349043316128			
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX6_DN	0.48346776215934595			
GO_ENTRY_OF_BACTERIUM_INTO_HOST_CELL	0.48341086738227973			
WANG_ESOPHAGUS_CANCER_VS_NORMAL_DN	0.4833945968220168			
LIU_CMYB_TARGETS_UP	0.4833087085902768			
COULOUARN_TEMPORAL_TGFB1_SIGNATURE_UP	0.48326061216248023			
MILI_PSEUDOPODIA_HAPTOTAXIS_DN	0.48319528415945			
GO_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE	0.48312255170577995			
GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP	0.4829854301254405			
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM2	0.48279284480020707			
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_2_DN	0.4827689509116844			
YAMAZAKI_TCEB3_TARGETS_UP	0.48275983461882244			
ESC_V6.5_UP_EARLY.V1_DN	0.48262010677957257			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.48252458189040137			
SESTO_RESPONSE_TO_UV_C8	0.48237620840487			
GO_BASAL_PART_OF_CELL	0.48224130636614254			
CERVERA_SDHB_TARGETS_1_UP	0.4821581346100008			
GO_REGULATION_OF_VACUOLE_ORGANIZATION	0.4821396411260121			
REACTOME_MET_PROMOTES_CELL_MOTILITY	0.48211264612371535			
DURCHDEWALD_SKIN_CARCINOGENESIS_DN	0.48209225869985667			
GO_BASEMENT_MEMBRANE_ORGANIZATION	0.482081525273222			
AMIT_EGF_RESPONSE_240_HELA	0.4820494027517794			
GO_BASEMENT_MEMBRANE	0.4820172226769418			
GO_GOLGI_VESICLE_TRANSPORT	0.48171218382135383			
BORLAK_LIVER_CANCER_EGF_UP	0.4816666386549495			
FARMER_BREAST_CANCER_BASAL_VS_LULMINAL	0.4815483964030979			
GSE11961_FOLLICULAR_BCELL_VS_MEMORY_BCELL_DAY40_DN	0.4812137356705667			
GO_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	0.4811490679317043			
GO_REGULATION_OF_CELL_PROJECTION_ASSEMBLY	0.4808412747786194			
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_CDC25_DN	0.4808310984904176			
REACTOME_SYNDECAN_INTERACTIONS	0.48053001679601154			
GO_EPITHELIAL_CELL_DEVELOPMENT	0.48033577341685385			
MIR4776_5P	0.48014313017785504			
GSE2405_0H_VS_3H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	0.48007960074601247			
BECKER_TAMOXIFEN_RESISTANCE_DN	0.48005204798298395			
BRUECKNER_TARGETS_OF_MIRLET7A3_UP	0.4799657782199443			
GSE21546_UNSTIM_VS_ANTI_CD3_STIM_DP_THYMOCYTES_UP	0.479957504158723			
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.4798829848638219			
DORN_ADENOVIRUS_INFECTION_24HR_DN	0.47972366683719			
GSE20715_0H_VS_6H_OZONE_LUNG_DN	0.4796118298916691			
KIM_WT1_TARGETS_12HR_UP	0.4796051178206884			
HOWLIN_CITED1_TARGETS_1_DN	0.4792754171410123			
SENESE_HDAC3_TARGETS_DN	0.47923315943593			
BURTON_ADIPOGENESIS_9	0.47921191571275007			
GO_EXTRACELLULAR_EXOSOME_ASSEMBLY	0.4791194400311727			
GO_CYTOCHROME_B5_REDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H	0.47903782189302446			
WANG_LMO4_TARGETS_DN	0.4789387619276263			
WU_CELL_MIGRATION	0.4789347766124715			
GO_REGULATION_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	0.47882494407295806			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_7	0.47881082221576626			
GO_APICAL_PART_OF_CELL	0.47880860158089616			
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX2_DN	0.47878640337639067			
KAAB_FAILED_HEART_ATRIUM_DN	0.47876059246334834			
GSE5589_UNSTIM_VS_180MIN_LPS_AND_IL10_STIM_MACROPHAGE_UP	0.4786429148981269			
GO_TISSUE_MORPHOGENESIS	0.4785159789672901			
GSE42088_UNINF_VS_LEISHMANIA_INF_DC_4H_UP	0.47848091594661324			
GO_ERBB_SIGNALING_PATHWAY	0.47842427022650585			
GO_METANEPHRIC_NEPHRON_EPITHELIUM_DEVELOPMENT	0.47820614861482125			
WELCSH_BRCA1_TARGETS_UP	0.47816960611143294			
GO_NEPHRON_EPITHELIUM_DEVELOPMENT	0.478090224927417			
GO_MORPHOGENESIS_OF_AN_EPITHELIUM	0.47807504382607335			
GSE11924_TH1_VS_TH2_CD4_TCELL_DN	0.4777609151379053			
GO_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	0.47749654047215423			
REACTOME_SPHINGOLIPID_METABOLISM	0.47723269887010417			
WANG_CLIM2_TARGETS_DN	0.47711931969362453			
ALONSO_METASTASIS_NEURAL_UP	0.47684684907969777			
JOHNSTONE_PARVB_TARGETS_3_UP	0.47666454971319583			
GO_CELL_JUNCTION	0.4766186163131673			
GO_STRUCTURAL_CONSTITUENT_OF_MUSCLE	0.4765843370865117			
GU_PDEF_TARGETS_DN	0.47657856170694146			
REACTOME_ERBB2_ACTIVATES_PTK6_SIGNALING	0.4765364923873767			
GSE21380_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.476525435827847			
REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE	0.4764359034078726			
GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.4764051480179702			
CONCANNON_APOPTOSIS_BY_EPOXOMICIN_UP	0.47626591620072084			
APPIERTO_RESPONSE_TO_FENRETINIDE_UP	0.4762187661124759			
GO_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	0.47615970843071814			
KEGG_ECM_RECEPTOR_INTERACTION	0.4761288582522556			
MCCABE_HOXC6_TARGETS_CANCER_DN	0.47609047970939			
GO_CELL_SUBSTRATE_ADHESION	0.475959132362126			
AMIT_EGF_RESPONSE_60_MCF10A	0.4758298582701478			
GUENTHER_GROWTH_SPHERICAL_VS_ADHERENT_DN	0.4756301297068244			
PID_FAK_PATHWAY	0.4752622826322069			
WIKMAN_ASBESTOS_LUNG_CANCER_UP	0.47517494012311684			
GO_ENDOTHELIAL_CELL_CHEMOTAXIS	0.47513780078298634			
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_4	0.4751290483110047			
REACTOME_SIGNALING_BY_ERBB2_IN_CANCER	0.47509028049752217			
FARMER_BREAST_CANCER_APOCRINE_VS_LUMINAL	0.4750680336366179			
GO_CYTOSKELETON_ORGANIZATION	0.4749826161100046			
GSE3982_DC_VS_NKCELL_UP	0.47495820483651424			
GO_ADHERENS_JUNCTION_ORGANIZATION	0.4747305808618007			
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_DN	0.47470066446730164			
GO_LUNG_MORPHOGENESIS	0.47464575754056154			
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING	0.47455734611487965			
GO_APICAL_JUNCTION_COMPLEX	0.47454764093464524			
AP1_Q2_01	0.4744888172067116			
VERRECCHIA_DELAYED_RESPONSE_TO_TGFB1	0.47442486690223395			
PID_NCADHERIN_PATHWAY	0.474411491299081			
GO_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	0.47436708493894775			
AP1_01	0.47433691765927827			
TGANTCA_AP1_C	0.474313387351816			
WINTER_HYPOXIA_UP	0.47423364570137344			
CERVERA_SDHB_TARGETS_2	0.47421556406498405			
MCBRYAN_PUBERTAL_TGFB1_TARGETS_DN	0.4741437430991238			
GSE3982_MAC_VS_BCELL_UP	0.47399038569659163			
ISSAEVA_MLL2_TARGETS	0.4738120855040567			
YOSHIMURA_MAPK8_TARGETS_DN	0.47360377253367475			
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_UP	0.4733939673987055			
WEINMANN_ADAPTATION_TO_HYPOXIA_DN	0.4733896507143451			
HAN_SATB1_TARGETS_DN	0.4732549604890903			
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN	0.4731817777639627			
GO_REGULATION_OF_RUFFLE_ASSEMBLY	0.47312533465392037			
MILI_PSEUDOPODIA_CHEMOTAXIS_DN	0.4731054694561802			
GO_KIDNEY_EPITHELIUM_DEVELOPMENT	0.47306796095692405			
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.47294371626444376			
GO_TISSUE_MIGRATION	0.47289969124826864			
GO_ANIMAL_ORGAN_MORPHOGENESIS	0.47289028461014593			
AMIT_SERUM_RESPONSE_60_MCF10A	0.4728490290289888			
WEINMANN_ADAPTATION_TO_HYPOXIA_UP	0.4727861984735381			
REACTOME_RUNX3_REGULATES_YAP1_MEDIATED_TRANSCRIPTION	0.47275214325641557			
