	Score	0.95 MoE	P-Value	Q-Value
GSE16385_ROSIGLITAZONE_IL4_VS_IL4_ALONE_STIM_MACROPHAGE_12H_DN	0.3656948532252907			
GSE32986_CURDLAN_HIGHDOSE_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_UP	0.3590782618274013			
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL6_KO_MACROPHAGE_45MIN_UP	0.3524101739232718			
GSE3982_DC_VS_BASOPHIL_UP	0.3490094637049773			
GSE27786_BCELL_VS_NEUTROPHIL_DN	0.34064016637828254			
RADMACHER_AML_PROGNOSIS	0.33828094547452364			
GSE12392_WT_VS_IFNB_KO_CD8A_POS_SPLEEN_DC_UP	0.3380877265163458			
GSE2585_CTEC_VS_MTEC_THYMUS_UP	0.33800718740461333			
VALK_AML_WITH_CEBPA	0.33591113589055355			
WEBER_METHYLATED_IN_COLON_CANCER	0.3339824456218155			
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_UP	0.33222437098144214			
GSE6259_FLT3L_INDUCED_33D1_POS_DC_VS_CD4_TCELL_UP	0.3308637750234476			
RUIZ_TNC_TARGETS_UP	0.3306517806934374			
BONOME_OVARIAN_CANCER_SURVIVAL_OPTIMAL_DEBULKING	0.3302240261945274			
NAKAMURA_ADIPOGENESIS_LATE_UP	0.33015908419544393			
GSE3982_EOSINOPHIL_VS_DC_DN	0.3298415152778858			
GSE27786_BCELL_VS_NKCELL_DN	0.3292790589903498			
GO_BONE_REMODELING	0.32773829475419064			
GSE25123_CTRL_VS_IL4_AND_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_UP	0.32679474753924714			
EPPERT_CE_HSC_LSC	0.3256862371607669			
REACTOME_METABOLISM_OF_CARBOHYDRATES	0.3252785620967078			
GSE37605_C57BL6_VS_NOD_FOXP3_FUSION_GFP_TREG_DN	0.3250246109814356			
IPA_MYOD1_DN	0.32500445857977395			
KATSANOU_ELAVL1_TARGETS_UP	0.3249773147335048			
GSE20727_DNFB_ALLERGEN_VS_ROS_INH_AND_DNFB_ALLERGEN_TREATED_DC_UP	0.32495992638191384			
MARTORIATI_MDM4_TARGETS_FETAL_LIVER_UP	0.324847777819			
EPPERT_HSC_R	0.3245169177400842			
GO_REGULATION_OF_BONE_REMODELING	0.3243639017414031			
GSE7509_DC_VS_MONOCYTE_UP	0.3241395691108702			
WANG_MLL_TARGETS	0.32360357953703844			
LANDIS_ERBB2_BREAST_TUMORS_65_DN	0.32353427083385305			
ALCALAY_AML_BY_NPM1_LOCALIZATION_UP	0.32332177399306344			
GSE27786_LSK_VS_CD8_TCELL_UP	0.32330128048158957			
KYNG_DNA_DAMAGE_BY_GAMMA_AND_UV_RADIATION	0.32327410162733444			
GSE9316_IL6_KO_VS_IFNG_KO_INVIVO_EXPANDED_CD4_TCELL_UP	0.3228544191585923			
GSE11961_FOLLICULAR_BCELL_VS_MEMORY_BCELL_DAY40_UP	0.322779378533862			
GSE6259_33D1_POS_DC_VS_CD4_TCELL_DN	0.3221985111613348			
WAKABAYASHI_ADIPOGENESIS_PPARG_RXRA_BOUND_36HR	0.3220675137208288			
GO_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_CELL_DEATH	0.32185003755826747			
GSE27786_BCELL_VS_NKTCELL_DN	0.32183666740885236			
GSE43955_1H_VS_42H_ACT_CD4_TCELL_WITH_TGFB_IL6_DN	0.32182459990916035			
GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_OXIDATIVE_STRESS	0.32158380164619615			
BURTON_ADIPOGENESIS_PEAK_AT_0HR	0.32149464248114346			
GSE3982_MAC_VS_BCELL_UP	0.3214845138800241			
GSE3982_MAST_CELL_VS_BCELL_UP	0.32136388068895766			
GSE3982_MAC_VS_TH1_UP	0.32120353778731486			
GSE18281_SUBCAPSULAR_CORTICAL_REGION_VS_WHOLE_CORTEX_THYMUS_UP	0.321147316156794			
LANDIS_ERBB2_BREAST_TUMORS_324_DN	0.3210658182369982			
GO_METALLOAMINOPEPTIDASE_ACTIVITY	0.32050021843875987			
PRAMOONJAGO_SOX4_TARGETS_UP	0.3203276295447777			
PARENT_MTOR_SIGNALING_UP	0.3202028557928953			
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.3201180153790005			
GSE1925_3H_VS_24H_IFNG_STIM_IFNG_PRIMED_MACROPHAGE_UP	0.319824008424945			
GSE2585_AIRE_KO_VS_WT_CD80_HIGH_MTEC_DN	0.3195432628514839			
GO_NEGATIVE_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS	0.319507790474455			
GSE24634_TEFF_VS_TCONV_DAY3_IN_CULTURE_DN	0.3191190118826931			
GSE19198_CTRL_VS_IL21_TREATED_TCELL_1H_DN	0.31883587738399527			
GSE5589_WT_VS_IL6_KO_LPS_AND_IL10_STIM_MACROPHAGE_45MIN_DN	0.3187356890568196			
GO_MONOSACCHARIDE_BINDING	0.3186533566021897			
GO_AUTOPHAGOSOME_ORGANIZATION	0.31855638978555406			
GSE21360_NAIVE_VS_PRIMARY_MEMORY_CD8_TCELL_DN	0.31852514617898514			
QI_HYPOXIA	0.3181571080829291			
GO_REGULATION_OF_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	0.31774260252962816			
GO_RESPONSE_TO_FLUID_SHEAR_STRESS	0.317381558616295			
HALLMARK_GLYCOLYSIS	0.31733701883739845			
GO_SEMAPHORIN_RECEPTOR_ACTIVITY	0.31711294225058856			
JOSEPH_RESPONSE_TO_SODIUM_BUTYRATE_DN	0.3167868629456576			
KRAS.DF.V1_UP	0.31675091642356246			
GSE21379_TFH_VS_NON_TFH_SAP_KO_CD4_TCELL_DN	0.31651635164805175			
KIM_HYPOXIA	0.3164709831227207			
GSE10325_BCELL_VS_MYELOID_DN	0.31638473539269685			
KAN_RESPONSE_TO_ARSENIC_TRIOXIDE	0.3162349446595019			
MENSE_HYPOXIA_UP	0.3161168077397779			
GO_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	0.31594141833757033			
GSE11864_CSF1_VS_CSF1_IFNG_IN_MAC_UP	0.3157080200119799			
GO_NEGATIVE_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION	0.3155337299637392			
GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_DN	0.31526118075601267			
JIANG_HYPOXIA_NORMAL	0.31520586255598915			
GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_40H_TSST_ACT_DN	0.3151695207444975			
GSE360_L_DONOVANI_VS_B_MALAYI_HIGH_DOSE_MAC_UP	0.3150869585596391			
VANLOO_SP3_TARGETS_DN	0.3150603721841425			
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_ERYTHROCYTE_UP	0.31501244316153343			
GO_BMP_BINDING	0.31495741081819484			
STEARMAN_TUMOR_FIELD_EFFECT_UP	0.3147219975931136			
MAINA_VHL_TARGETS_DN	0.3147064002029448			
GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_UP	0.3146414719437159			
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_45MIN_UP	0.31458229750893363			
LEIN_ASTROCYTE_MARKERS	0.31456398078748093			
VALK_AML_CLUSTER_15	0.3145031462914207			
OISHI_CHOLANGIOMA_STEM_CELL_LIKE_DN	0.3143178790828634			
GO_ENDOCYTOSIS	0.31419759503899036			
GSE35685_CD34POS_CD10NEG_CD62LPOS_VS_CD34POS_CD10POS_BONE_MARROW_UP	0.3139799037990663			
GSE6674_UNSTIM_VS_CPG_STIM_BCELL_DN	0.3138161945244437			
GO_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	0.31373952428479607			
BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP	0.3136798523241783			
GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_DN	0.31366896295555097			
GSE3982_MAST_CELL_VS_TH1_UP	0.3136546977398291			
GO_LONG_TERM_SYNAPTIC_POTENTIATION	0.31349435930759			
GSE12392_CD8A_POS_VS_NEG_SPLEEN_IFNB_KO_DC_UP	0.31347773835468756			
GO_VACUOLAR_MEMBRANE	0.3133351757686638			
WEST_ADRENOCORTICAL_TUMOR_DN	0.3130882558279494			
GSE8835_HEALTHY_VS_CLL_CD8_TCELL_DN	0.3130542286523148			
GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_UP	0.31274984589813104			
GSE9988_LPS_VS_LPS_AND_ANTI_TREM1_MONOCYTE_DN	0.3125007905097919			
GSE17186_BLOOD_VS_CORD_BLOOD_NAIVE_BCELL_UP	0.3124453208447309			
GO_RUFFLE_MEMBRANE	0.3124009342929692			
REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS	0.3123611246211			
GO_CELL_DEATH_IN_RESPONSE_TO_OXIDATIVE_STRESS	0.31232700826827403			
GO_VACUOLE_ORGANIZATION	0.31229025939611815			
GSE24634_TREG_VS_TCONV_POST_DAY7_IL4_CONVERSION_DN	0.31221598565022773			
GO_FATTY_ACID_BETA_OXIDATION_USING_ACYL_COA_OXIDASE	0.3121380272111014			
GO_SKELETAL_SYSTEM_DEVELOPMENT	0.3120890816486642			
GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_20MIN_UP	0.3118627909128984			
DORSEY_GAB2_TARGETS	0.31184939722170274			
GSE1112_HY_CD8AB_VS_HY_CD8AA_THYMOCYTE_RTOC_CULTURE_DN	0.3116850305467547			
PEDRIOLI_MIR31_TARGETS_DN	0.3115208198980881			
CORRE_MULTIPLE_MYELOMA_UP	0.3114743160339808			
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_UP	0.31143960071545523			
GSE32034_LY6C_HIGH_VS_LOW_ROSIGLIZATONE_TREATED_MONOCYTE_UP	0.31136209490275496			
GO_REGULATION_OF_AUTOPHAGY	0.3112627310188666			
DAVICIONI_PAX_FOXO1_SIGNATURE_IN_ARMS_DN	0.3112241671041176			
GO_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	0.3112125506123169			
GSE22886_NAIVE_TCELL_VS_NEUTROPHIL_DN	0.3112112136592052			
GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_KO_2H_UP	0.3111972955692965			
BROWNE_HCMV_INFECTION_18HR_DN	0.31107227752447325			
GSE17721_LPS_VS_GARDIQUIMOD_16H_BMDC_DN	0.31105704229428577			
CHENG_RESPONSE_TO_NICKEL_ACETATE	0.3109589196273012			
GSE21379_TFH_VS_NON_TFH_CD4_TCELL_DN	0.3109541364047493			
GSE3982_MAST_CELL_VS_CENT_MEMORY_CD4_TCELL_UP	0.31093841658161314			
GSE40685_NAIVE_CD4_TCELL_VS_TREG_DN	0.3109298074462805			
MULLIGHAN_MLL_SIGNATURE_1_DN	0.3108607188222493			
GSE1432_CTRL_VS_IFNG_24H_MICROGLIA_UP	0.3108034565613443			
GSE43955_1H_VS_20H_ACT_CD4_TCELL_DN	0.3107424062489162			
SABATES_COLORECTAL_ADENOMA_SIZE_UP	0.3107075427538405			
GSE7460_CTRL_VS_TGFB_TREATED_ACT_FOXP3_HET_TCONV_DN	0.31069021077581194			
GO_CARBOHYDRATE_DERIVATIVE_BIOSYNTHETIC_PROCESS	0.3105055039309349			
GSE3982_MAC_VS_TH2_UP	0.31044789753697694			
PID_HIF1_TFPATHWAY	0.31022431543058737			
VERHAAK_AML_WITH_NPM1_MUTATED_UP	0.3101245167096876			
GSE13306_TREG_VS_TCONV_LAMINA_PROPRIA_UP	0.3096567239535665			
LEE_AGING_CEREBELLUM_UP	0.30958060583438185			
GO_POSITIVE_REGULATION_OF_MACROPHAGE_MIGRATION	0.3094918511882424			
GSE3039_ALPHABETA_CD8_TCELL_VS_B2_BCELL_DN	0.3094261787795179			
GSE6259_33D1_POS_VS_DEC205_POS_FLT3L_INDUCED_SPLENIC_DC_DN	0.3094254274357309			
GENTILE_UV_RESPONSE_CLUSTER_D7	0.30941548960526505			
GO_PROCESS_UTILIZING_AUTOPHAGIC_MECHANISM	0.30941000097471405			
SERVITJA_ISLET_HNF1A_TARGETS_UP	0.30939986152907667			
GO_RUFFLE	0.30912430401853824			
GO_PLASMA_MEMBRANE_ORGANIZATION	0.30911842139384577			
BROWNE_HCMV_INFECTION_20HR_DN	0.3090408377696564			
GO_COPPER_ION_BINDING	0.3090279325456451			
GSE43957_UNTREATED_VS_NACL_TREATED_ANTI_CD3_CD28_STIM_CD4_TCELL_DN	0.3088454673567831			
GO_NEGATIVE_REGULATION_OF_MONOCYTE_CHEMOTAXIS	0.3088080654632801			
GSE9988_LOW_LPS_VS_ANTI_TREM1_AND_LPS_MONOCYTE_DN	0.30861655911239366			
HIRSCH_CELLULAR_TRANSFORMATION_SIGNATURE_UP	0.30854670102854864			
GSE29618_BCELL_VS_MONOCYTE_DN	0.30841396834361706			
INGRAM_SHH_TARGETS_UP	0.3083591474235321			
GSE3982_BCELL_VS_CENT_MEMORY_CD4_TCELL_DN	0.3082371638499102			
FOXF2_TARGET_GENES	0.3081929113287542			
GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_KO_4H_UP	0.30817373928028163			
GSE7831_1H_VS_4H_INFLUENZA_STIM_PDC_UP	0.30812322345103993			
GSE40274_CTRL_VS_IRF4_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	0.3080719100200075			
SMITH_TERT_TARGETS_DN	0.3080352931070877			
GSE21360_TERTIARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP	0.30801708454867693			
JISON_SICKLE_CELL_DISEASE_UP	0.30798783683453584			
VALK_AML_CLUSTER_9	0.3079298123694619			
