	Score	0.95 MoE	P-Value	Q-Value
REACTOME_SPHINGOLIPID_METABOLISM	0.43404674311163705			
GO_REGULATION_OF_MELANIN_BIOSYNTHETIC_PROCESS	0.4193003143853292			
GO_MEMBRANE_LIPID_METABOLIC_PROCESS	0.41832422671331876			
LANDIS_ERBB2_BREAST_TUMORS_65_UP	0.413730976577708			
KEGG_LYSOSOME	0.41190580072445193			
GO_SPHINGOLIPID_METABOLIC_PROCESS	0.4101914476913518			
GO_TRANSITION_METAL_ION_TRANSPORT	0.40549555670605625			
LTE2_UP.V1_UP	0.4053704684199269			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	0.40399605776834907			
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3	0.40225907303733777			
GO_MEMBRANE_LIPID_BIOSYNTHETIC_PROCESS	0.40205724370812546			
ENGELMANN_CANCER_PROGENITORS_DN	0.4005678520195119			
ESC_J1_UP_LATE.V1_UP	0.40044493926385355			
GO_VACUOLAR_TRANSPORT	0.39993069553656835			
IPA_DBP_UP	0.3998174458377887			
SINGH_NFE2L2_TARGETS	0.398559102611107			
GO_PIGMENT_GRANULE	0.39808258275450364			
MASSARWEH_TAMOXIFEN_RESISTANCE_UP	0.39754733596305			
GRAESSMANN_RESPONSE_TO_MC_AND_DOXORUBICIN_UP	0.3974281859150023			
ERBB2_UP.V1_UP	0.39711065380683175			
FEVR_CTNNB1_TARGETS_UP	0.3953277922221128			
GO_NUCLEAR_OUTER_MEMBRANE_ENDOPLASMIC_RETICULUM_MEMBRANE_NETWORK	0.39508146136431355			
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_24H_UP	0.39439580658207724			
GSE32255_WT_UNSTIM_VS_JMJD2D_KNOCKDOWN_4H_LPS_STIM_DC_DN	0.3937673022303673			
KOHOUTEK_CCNT1_TARGETS	0.3928051967462765			
GO_APICAL_PART_OF_CELL	0.3918163588639744			
GO_REGULATION_OF_SECONDARY_METABOLIC_PROCESS	0.3913219536020333			
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_UP	0.39118625216592723			
GO_SPHINGOLIPID_BIOSYNTHETIC_PROCESS	0.39118016943058825			
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.3909904418090343			
LANDIS_ERBB2_BREAST_TUMORS_324_UP	0.3904278705179672			
HALLMARK_XENOBIOTIC_METABOLISM	0.3902778091517879			
IPA_NFE2L2_DN	0.3902706478107757			
GO_CYTOCHROME_B5_REDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H	0.3900727223694803			
GUENTHER_GROWTH_SPHERICAL_VS_ADHERENT_DN	0.38980618995377997			
NELSON_RESPONSE_TO_ANDROGEN_UP	0.3892378731169031			
DELPUECH_FOXO3_TARGETS_UP	0.3891102800194534			
